,UKF248,UKF251,UKF255,UKF259,UKF266,UKF269,UKF275,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1
IGFL3,,,,,,0.02864310688361093,,,,,0.04564711674134057,
BMP1,-0.026302781901408074,0.010675430829009161,0.09343881416721042,-0.041600667201760824,0.12803756173184538,0.09906389675182235,0.0041982490857823025,0.030932326060198072,-0.06543282357132191,-0.10084197988966051,0.004653083594114438,-0.06437064531147098
NDP,0.052938896937080204,0.12230158650264555,0.024822409429744546,0.05483324478595719,0.026630299107378002,0.060633829563447976,-0.0077265701407776026,0.027577140852716796,0.06821096560614491,0.17748036451176435,-0.07435569858374592,0.04309563750328398
TNFSF18,-0.036097845127406596,-0.010783539442833954,,,0.008393003355472993,0.0746837715386783,-0.03437329291053172,,,,-0.028471741975082104,
RTN4,-0.07368803778381161,-0.013257941660339539,0.0036967807552605904,0.04820101333480684,-0.18834123894011295,-0.0969364519190964,0.024590933525348514,0.05430217215081184,-0.05561548159251292,-0.1641115475281557,0.0038489664718235773,0.06813303476743303
HEBP1,-0.004426677812609242,-0.0270983466089698,0.07844951719436893,-0.02758869642295689,0.10734813763376962,0.040578909065532784,-0.003995612027151765,-0.012949613551731612,0.10353024019176156,0.14918030249307562,-0.030288152182372324,0.014403663643655938
WNT7B,-0.031144063987376267,0.04195981248969555,-0.0027572140141464215,-0.019072118776149807,0.05401277175445478,-0.025644400622552778,-0.047870323286174896,-0.04322923095795459,0.057628876806068874,0.07615836452967341,0.02718473222334591,0.006534854344510768
PTMA,0.09451828712706281,0.07021290161619011,0.10473051431723326,-0.007183637662081486,0.26342760221485384,0.00430331600035274,0.026533230037856917,-0.08225698552120243,0.05217560113764096,-0.058880145280721295,0.0350696729325458,0.0806093308274663
CEACAM1,0.0022023039419127167,0.01590494119232874,,-0.007104154648516288,,0.050187211791807226,-0.02503530729257487,0.01842896263895751,0.016534133976278807,0.0002889114991758944,-0.027918520196459896,0.04358223792113064
PDAP1,0.03204957651010324,0.062730714441322,0.015132015647065181,0.0540275717317963,0.0736265622328319,0.08994957345333257,-0.0036952442427587258,0.043239685201830226,-0.02381399984882581,-0.09488511395487471,0.021266325279048173,0.03030055622728541
QDPR,0.0652128022910169,-0.004913383299289435,0.12281147387035424,-0.018130295348604372,-0.06259030784119084,-0.0824434106807759,0.046029325086916074,-0.016684287902791528,0.1314718646696833,0.23550616680708963,0.029380954813985668,0.008951237153560066
POMC,-0.021128506077113963,0.04765721861414946,,-0.04887605405127355,0.0013326952020792642,0.003949266565809717,-0.03988405091740614,0.06014598621130176,0.08418920466561981,0.11098696317474728,0.0028341565963324097,0.005581353331184103
CCL18,-0.03920352050995674,,,,,,,-0.027487622137210715,-0.015806793737639258,-0.014279935313028897,,0.05534597449763288
CCL17,,,,-0.012578056131230001,,,0.03066970183502648,,-0.06377859149146232,-0.0758257245424667,-0.008038254427036292,
VEGFD,0.015950176713922265,0.05636038902691608,,0.029959939636706373,,-0.0041590516447755225,0.010827129270835862,,,0.06194049811750723,0.0705393810314153,
TNFSF13,-0.02645683351728256,,,-0.03436712620454207,0.055421734830535446,,,,0.040818497427522034,0.04663829363138383,0.09500368697796308,-0.004461814758356379
WNT5A,-0.07165289290661073,0.10212775321962012,0.025068887830633248,0.0022148892364785826,0.2103343715982079,0.07780958050382596,0.0786175583519307,0.044766778224182326,-0.017874863823337788,0.04606882668542525,0.060509356042037284,-0.04240494214190942
CXCL8,-0.10710692289436063,-0.01157709843175956,-0.08893825314743678,-0.039751839417659404,0.011277387477135534,0.033431587886666884,-0.043453643130760354,-0.04839628651266238,-0.2859829299958586,-0.40643244089493863,-0.031116363454904986,-0.050813231485079664
GRN,-0.040135487246899075,-0.06868724152597805,0.08016112758537004,-0.041817527059410387,0.13773767635680664,0.07435010789062464,0.04501211615463224,0.07805540041707684,-0.02979435142145026,-0.09361609628993031,-0.014050878241522357,-0.07931539762715535
MIA,-0.03710552448332646,0.03269199220127481,-0.03233711126418223,0.01806373805795326,0.03204108477997209,0.032304424522505364,-0.041477362405677294,0.10809638556668423,0.3469024859021883,0.36999713204887447,-0.01733385218922963,-0.03755517067045836
COL4A4,0.016763388369936107,0.052932069038143285,0.0399155099130089,0.04968765702397225,0.036850072264314075,0.06295300434253506,0.022996701385958017,-0.03475294297889635,0.13407443396070665,0.04758088969688715,-0.03813753218050797,-0.00467662066478529
TAC1,0.08196129530754387,-0.020998760338681713,-0.02927880873046772,0.038362339293544455,-0.14842146632148015,-0.08623924522354229,0.05575820907537904,,,,,0.06705553719709433
