,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,,,-0.07398461084956466,,,,,,,,-0.018219043330381456,,,-0.02844330309420298,,
BMP1,0.03126604772219837,-0.043462281281012885,0.012865919183925996,0.008321180437285157,0.10173800863367773,-0.028222516535596993,-0.04609993876502387,-0.1140342011456328,-0.45045738425796816,-0.11542639231994399,-0.03503328949124514,-0.13856035646372272,-0.1681226678614725,-0.019359813239965853,0.12869130831062822,-0.009637859876434509,0.07978429836790589,0.01792940537380178,-0.013712724230918651,0.04415205990000909,-0.04988761763420968,0.04810765897122636
NDP,0.03843048210182425,-0.12982449038784852,0.04883385415199709,-0.0443326140443309,0.03363364375462321,-0.01926612592913096,0.12297338641673865,0.07810506088022581,-0.12829397434480186,0.06414049521256351,0.036049854158382154,-0.13092929991314636,-0.10341401555578743,0.011466377433035477,0.1448027855963514,0.08079583434533236,0.011909400450666905,-0.004409433463326195,0.08440754290422944,-0.01705827851082259,0.05995517903740321,-0.05318636689612555
TNFSF18,0.0385976128804509,-0.055174920667010796,0.010551456262943588,0.026843891057097464,,,,-0.049785604134835994,-0.09610514737879923,-0.025433687440942605,,,,-0.02678737840201546,,,0.1964659817655515,,0.03459296371145925,0.09066841435148174,-0.06575549595580624,
IL36G,,,,,,,,,,,,,-0.015911624702610913,,,,,,,,,
RTN4,0.06992729613998269,0.3245296396528613,0.08098712900054728,0.0548982294130984,-0.05346018682728332,0.13191522102091602,0.19731277737134736,0.2847143630156485,0.5926745865400449,0.24515477128821914,0.14026942903951664,0.40290080633853176,0.29160175204218985,0.00416901793160394,0.05789556872817585,0.03205255513091706,-0.033883085040652176,0.05351282306299172,0.040723158381999476,0.014568019489839157,0.36091235179175896,-0.02373330621226139
HEBP1,-0.07144663540619578,-0.07112144409781404,-0.0076902394342245484,-0.024295999446287405,0.022465914924844108,0.004061680304029918,-0.08530798086346197,-0.05056169045687686,-0.1817733514498655,0.03818476286835673,-0.02848282617897805,-0.15231656651643138,0.023269322921771484,-0.08014597161997652,0.05076833890625974,0.11248087664855448,0.015576740372650255,-0.019005093084356533,0.03687278493680519,-0.022993144977662895,-0.07167842744604563,-0.0606203811904022
WNT7B,0.05021776731165385,0.34494668217804486,0.06423688481800618,0.07450943281739678,0.019918620314556667,0.013441941024108313,0.030608378668792433,0.05402144543081267,0.39755508005149365,0.043986301646361775,0.02523957555407364,,0.07176197753222023,,-0.004122456416559645,-0.028756340909062452,0.12193058103925411,0.014341951447405894,0.005956268751208418,-0.054000430241387475,0.08661638767736729,0.05761937919521483
PTMA,-0.0026903524277938997,0.02479651478497661,0.07512193002615163,-0.07328231976748127,0.16077284527232924,-0.0010702934049045367,-0.18948780980454316,-0.334879083187967,0.08447988476753804,0.09590650182858952,-0.11020847949205333,-0.5133303303168014,-0.24149569372337032,-0.07189298368797661,-0.1471841599738064,0.0227512914506359,-0.040360979110030906,-0.008672475413397144,-0.01786294475709164,0.05190452554878868,-0.22129851030542594,-0.2055964666564764
FASLG,0.01435464349012978,,,,,,,,,,,,,,,,,,,0.00987996882301886,,
CEACAM1,-0.03411218075008264,,0.03878675512291922,0.030728627833878253,,-0.005285195621504168,-0.005241411036296401,,-0.1288993197763137,-0.0319628537813375,,,,0.11314661214701509,-0.012254062783717524,0.07743662392946876,0.009611404344389589,0.025360332010477785,,0.01475109750109708,,
PDAP1,0.028962500703927238,-0.07382883842994652,-0.00953053538154647,-0.014894547042553427,0.058098884312703276,0.025900206079065857,-0.12073427481238329,-0.07241136013002757,-0.3081331844787431,0.0422846283652246,0.013215268430684976,-0.06487149944344826,-0.14528199206761142,0.053975544550168154,0.042465581216471524,-0.040449977865820295,-0.06245058642851192,-0.02917659586870692,-0.05890517354875512,-0.024850679073852404,-0.044768234513667605,0.04562154375194668
QDPR,0.07486509776648213,0.19293120115331067,0.029039663071340982,0.02928258696757585,0.05703609397675296,-0.0575920559294589,0.24768066868925603,0.13400639972275832,0.18574725671882916,0.14506565532993684,0.005460697577104951,-0.3488417357931065,0.028758718558399166,0.04356169067636353,-0.010011052985192304,0.048265444682419834,0.018579961927902434,0.03352077958779081,-0.08465424778697189,0.00034573105820633976,0.28668806755794196,0.006820689383681624
POMC,-0.03700906796420641,0.15300528038850383,-0.057437106817926555,0.07113299569179347,,0.01789171565181434,0.08858443035096773,0.03797404482749943,0.03986666024027623,-0.02229022560348112,0.0023784121134113245,-0.07947819343178632,0.04270732499382201,0.017981446152236076,0.006311269091807297,0.051086193727904225,-0.019220131154337523,-0.01960137470398415,,0.09080672456899079,0.023772962750336652,0.08206814913926175
CCL18,,0.03765043678896363,-0.03629442343511886,,,,,,,,,-0.2122711863757077,,,0.11790667471747757,0.02510580081273904,,-0.034945627379683764,,,,
CCL17,,,,,,-0.027277953459781498,,,,-0.0017725623748223974,-0.02548082645724558,,0.03236677693654075,,0.09325018247296858,0.08878072797495694,0.10214353349877352,,,-0.022359557201232904,,
