,UKF248,UKF251,UKF255,UKF275,ZH8811Bbulk,ZH916T1
IGFL3,,,,,,0.1315684519049788
BMP1,0.010280406628683049,-0.03476924533832764,0.011556428266054509,0.0028937635890001665,-0.004926763819204516,0.04342068105896489
NDP,0.011051131410254,0.03418732331432107,-0.03384527022158309,0.08083325006825487,-0.004788296429064124,0.04698871572731018
TNFSF18,0.030784131753752216,0.06633494047153642,,-0.012622088374354792,,-0.03206678327909824
RTN4,0.043549334215199506,0.025217329132747362,0.005067546823455275,0.06743984167424716,-0.002399589171347328,0.025807272153807584
HEBP1,-0.04218988406301733,-0.004888462362319731,-0.017503324287861756,0.007367365528305991,0.016618746016602765,-0.0036696588122050846
WNT7B,0.011561271239123538,-0.0199368237204476,0.015367289787309762,-0.0361800413643679,-0.03314194780528173,-0.04057563725280355
PTMA,0.029020047605637186,0.035906270686895156,-0.047510958543247814,0.011985373510646415,-0.01226537860843021,-0.020347388525376934
FASLG,,,,,,-0.01648752689120191
CEACAM1,-0.01580393568753256,0.07053217843999424,,-0.019851538001786,-0.01605573074694998,0.048475717884693424
PDAP1,0.04483553715141106,-0.04687324200021686,0.029520043868110697,-0.011024274126789435,-0.01719283343979394,-0.016031345277628804
QDPR,0.005602124341803153,-0.019010397269478636,-0.03941271307984808,0.017199008558993895,0.022762962926233747,-0.017372236608100305
POMC,0.04813780683540572,0.008441225539675988,,-0.014645673218364328,0.055475281868071886,0.01586996336466288
CCL18,-0.019721818518551773,,,,-0.03920703127954564,
CCL17,,,,0.0019181674276906478,-0.023177455302909326,-0.014944091254137147
VEGFD,-0.019721824781152864,-0.021914628803925095,,-0.01677198436214975,-0.01605573074694998,
TNFSF13,-0.01488272184950288,,,,-0.02519310150227631,-0.02435014936600115
WNT5A,0.0004764002180591991,-0.03960456499985963,-0.07267697226855463,0.00393966817997429,0.02429542037188287,-0.015928388734500292
CXCL8,-0.04758244467831838,-0.020519559490521283,0.1705283244616496,0.05312662940103561,-0.007232632557094555,0.007871352193919639
GRN,0.046197761691907153,0.024677706110935206,-0.06045629207081466,-0.007372459883966696,0.03577361805489078,-0.0025785337455291996
MIA,0.0542133644877304,0.014179464993887399,-0.03127289557801463,-0.03094150557544083,0.031158985058978864,0.015125576082596221
COL4A4,-0.008842651706606544,-0.023108645727547738,-0.0400108393873823,-0.016435345563258905,-0.0257077353824687,-0.001895421406806679
