,UKF269,UKF304,UKF313,ZH1007inf,ZH1007nec,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916bulk
IGFL3,0.09801563299735074,,,,,,,,
BMP1,0.13060305216718446,0.11452975584085656,0.093274560175807,0.04416081449552564,0.008845536653341913,0.009606167546928718,0.03794138352930552,-0.04209507540628009,0.062172394136083456
NDP,0.044767972101763885,0.0017370307160330634,-0.005123959159868073,0.09389639806357199,0.03069480973793049,0.026689443567889628,0.08034258937185176,-0.0013108840342651877,-0.05353238361179774
TNFSF18,0.038098549091340764,,,0.055144767623620965,,,,,-0.02825215805605853
RTN4,-0.15500396357925525,-0.043258165671331075,-0.07998138307286111,0.01795767842415027,-0.17992258841264971,-0.023667906732966842,-0.047705619656193604,-0.04253118906689995,0.02107721935606167
HEBP1,0.09443161394828965,0.07351826900064233,0.03279839582093605,-0.06193416848174728,0.11426304169431446,0.02238529753031941,0.007000424784167566,0.028447721741058342,-0.07284424981410093
WNT7B,0.016856072247570773,,-0.026604391667330047,-0.043570965115841145,-0.07985968684876095,-0.015639678182722064,0.04546833002798925,-0.02415945712353435,-0.01712092581232377
PTMA,-0.02924555813884524,0.056523859819535255,0.21873629298658354,0.002638905824276094,-0.06849230541813203,0.013129717941512005,-0.031235126083921285,0.009333676141996986,-0.027089279371928458
CEACAM1,0.02602517696946875,,,,-0.06937553168182221,-0.021798925590877486,0.019365197286160454,-0.01603498306079712,
PDAP1,0.09629241560511272,-0.05973217688270854,0.10239766149627325,0.07275196290344664,-0.044473666860305815,-0.011960865710861303,0.013164506077640198,0.03098578875352086,0.05652799361758543
QDPR,-0.14057352360749312,0.027572656068357865,0.11693634228360701,0.06724845326124977,0.03944099298153149,0.019206383542716112,0.03422235085371361,0.008286971658285682,0.0012411425748417428
POMC,-0.02393881560828427,0.03921591657983777,0.03048647811011143,0.07790394260640529,0.028004155048221912,0.011096296463808995,0.13276530606813872,0.002434745102244568,0.06488512477558606
CCL18,,0.11496409240313006,0.1850535634263163,,-0.059485891473295166,-0.01715329623517333,-0.049902910546822256,-0.025247540729674015,
CCL17,,,,,,-0.015465282609070928,-0.029500384011157378,,
VEGFD,-0.032693574682043605,-0.020426090459502378,0.13499425394428213,,0.15246612620065325,,-0.02043581646149552,,
TNFSF13,,,,,,0.07400509528860345,-0.00510274067157136,0.10513330760250363,0.032905954429507535
WNT5A,0.15845086400320585,0.008684069390580793,0.0517893523314329,0.017799700303166525,0.12324547627930249,-0.0743213391419481,0.05079398372756319,0.026150781914472548,0.0022629996476130673
CXCL8,0.050522021744256775,0.09885063770764763,0.02213228970143459,,-0.03148405538358056,-0.014671911500788436,-0.10565382656982136,-0.04128445746228307,0.0180332440593707
GRN,0.1134251763016831,0.03688960696978982,0.013434506571444555,0.08747016617086387,0.0796823523276102,0.059071460537102036,0.08115448990246048,0.06948504077262312,0.03051452330681308
MIA,0.08456350422849629,,-0.039010207618322815,0.18262898403777048,-0.014208194896275726,0.08442300198293637,0.04210090020441672,0.08389951937513233,-0.05630061801494269
COL4A4,-0.019231004517050326,,,,,0.005053733403145647,-0.007177903257470121,-0.03231603307061273,0.026833260744234252
TAC1,-0.06390714492670378,-0.004694543285711487,,,,,,-0.027664913865814572,-0.010128507483150662
RARRES2,0.11599765685135931,0.014529948607169316,-0.07415190516794798,0.06299357727663293,0.09663945027877945,-0.03154597540683996,-0.0541339425001411,0.0034011373322221923,-0.045185078021899756
FGF7,0.08713294232465385,0.03136023834737839,0.12913355571937032,-0.002451029058462028,0.007102284215134514,0.01188484351672796,0.010200647102926452,-0.0008206110123486348,-0.06093828844360254
EFNA2,,,,,,,0.023389635741402882,,
HBEGF,0.04490071435216751,0.029613343964460952,0.15101824347578746,0.05607426864732691,-0.1207358566401209,-0.027712021216970327,0.003963317965652669,-0.03257792929628152,0.02717018746541342
CSF3,-0.020346032628166588,,0.0018023487412742725,,,-0.05626055826916745,-0.01913752393798778,-0.006558080432126963,-0.03613253718831341
PI3,0.0461223400549413,,,,-0.05910833617160622,-0.06506909141573385,-0.06362651746277956,0.04016495010112749,0.010947169545246731
PCSK1N,-0.0371996079017294,-0.06528599438529903,0.0958083550444207,-0.02950400796716225,0.01437488823189207,-0.05158180225991563,0.024842384509488797,0.055024156332365515,0.016833448068423632
NTS,0.021855190155808227,-0.018390042827294516,,,,0.01545753329415905,-0.02366308855578034,-0.04548894782417965,
SFRP1,-0.0015361546892699116,0.0591532567033138,0.010020586744940704,0.12906999378501063,-0.017164062704546772,0.019910346343488233,0.026398041443055218,0.011278242855835051,-0.010541077234034298
CXCL13,,,0.17756700210452978,,,-0.034738195567181884,0.005224704439105087,-0.005730242258761324,-0.029308395864647317
MICA,0.012905699656739166,0.03877104206559385,0.01045251748452541,0.09125899265907449,-0.12850145381728925,-0.011800135180861699,0.025774742103784658,0.05639578026420262,-0.0023717611423017563
TG,0.03727474940564432,,0.07611029630883655,0.0395863672583565,0.10423233315582989,-0.020549494045204415,0.0007039945851639532,-0.018919755899343405,0.01458604182314056
ADA,0.05891132018130324,-0.05716511944870178,0.14420426239234405,0.11326654586239829,0.04575557951684715,0.04895878578839702,-0.002300084542237971,-0.03677316681442552,-0.008814060339584737
LAMC3,0.11719394559056928,0.028533236054520027,0.10379770046876288,0.03839152432149093,0.029661365813048256,0.03922027074504437,0.05262431142365624,0.0582174168645142,0.02050893648155496
CCL7,,,,,,-0.023178893873738674,,,-0.04134207629092632
NGF,,0.0987654204315309,0.1351432000173208,,,0.036279046944978396,-0.01916179978981438,-0.01935492702152416,-0.040949254580749495
TNFSF15,,,0.088526080198532,0.09801853687401473,,-0.0038090482612201057,,0.08947711440298164,-0.03998953667115811
