,UKF296,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916T1
IGFL3,,,,,0.010624633821920932
BMP1,0.035076419275607194,0.005456106610934594,0.06713861550282907,0.01523584844967724,0.026285304286844568
NDP,-0.0208300804936176,0.029318087804170778,0.010447853388232958,-0.00520646515182892,0.024688659945008896
TNFSF18,,,,,-0.0104685505849611
RTN4,-0.014373961531668865,0.006097714164535631,-0.025835206449188776,-0.024780043396475392,0.011180722165514318
HEBP1,-0.02342576574959271,-0.016156672310727198,0.06785998380764288,0.06177217621106194,0.0726976021605676
WNT7B,-0.011246855396774986,0.010796222783644071,0.10055226188499135,-0.008593115951066028,0.019183148813721462
PTMA,0.02566944582403681,-0.05477566316617318,-0.07499260868353241,0.0459620273898812,0.020674225017975473
FASLG,,,,,-0.013629416918361
CEACAM1,,-0.02058507286901666,0.010862821889122203,-0.02112884606712321,-0.018963331844925296
PDAP1,-0.028099014325490928,-0.008340033580308546,-0.008786156077586477,-0.02534584373401222,-0.012226219900436847
QDPR,0.07043580401615875,0.02418025362487282,-0.00608670426286851,-0.0008274972952516129,-0.04393598915760052
POMC,0.008801086725956921,-0.007380505685132287,0.1378432117608519,-0.0017795035770975607,-0.00867340275880777
CCL18,,0.020621623235009857,-0.0003493205946448577,0.03674610787998203,
CCL17,-0.013920454173200043,-0.014604112855033893,0.07261487552317322,,-0.012353535585579849
VEGFD,-0.010210821482018302,,-0.015399751345296819,,
TNFSF13,,-0.012284536356126662,-0.024163802001075468,-0.023726278024549005,-0.02012905512898304
WNT5A,0.05069913743048087,-0.04276160956552999,0.04018992061763017,0.05428375011530951,-0.04655943626929582
CXCL8,-0.00950876094533376,0.09326980932499625,-0.009085224675307054,-0.055276530407588106,-0.03313599777730363
GRN,-0.01646449320491,-0.04419235436581198,-0.015131559798818505,0.028830610510398112,-0.0009618656244646607
MIA,-0.011612659056814467,0.0022175913832552497,-0.004199327798435054,0.061604348956384954,0.012242048730426495
COL4A4,-0.019508343691309497,0.009239081051302153,-0.024657409792196005,0.014716451906182211,-0.01124286347171405
TAC1,0.06741550895273637,,,-0.03645327870411613,-0.01623997868761495
RARRES2,0.009702883933023158,0.0335624902406434,0.025280929001555184,0.05482809234298886,-0.005875850966254531
FGF7,-0.005833467761419585,-0.007413608697605063,0.013906527534915157,-0.0660894317114777,0.05830983874192604
EFNA2,,,-0.014636433054956832,,
HBEGF,-0.026222368606009013,0.04277849414176528,0.029818733583926404,0.009271057163309384,-0.029637520771191594
CSF3,,0.0895863011664522,0.053113167624630975,0.007892021140793083,-0.013006367213817214
PI3,,0.11133866927536812,-0.02609316039053814,0.033552226438557924,0.02962613008078712
PCSK1N,0.005237299881175074,0.01888812196306987,0.05439582122897499,-0.017863071868716905,0.0012059433041479866
NTS,0.00351374160906667,-0.03406987505867277,-0.017831716217815763,-0.03262002776155234,-0.01926065627959495
SFRP1,-0.013920454313390451,-0.002933990112418935,-0.014633075368366652,-0.04880318803930073,-0.018813087423410375
CXCL13,,0.03585138401224902,0.13714406538545892,0.006496716979176511,
MICA,0.030438460816214517,-0.04956051115591206,0.0648706580480268,-0.08508016535361995,0.03829171633790071
TG,-0.010074172233886458,0.07288274678783974,-0.021961707821728054,-0.024930030079177445,0.04168058784606569
ADA,-0.016361265873301892,0.01865814833529434,0.06852926044639135,-0.010149688541950821,-0.018920931554731353
LAMC3,-0.014114545472277569,-0.03699423441965209,0.055256563844549904,-0.011238097746072278,0.000999304657036962
CCL7,,0.1360720930086952,,,0.017117552056680904
NGF,,-0.02527911746124214,-0.01443969477057573,0.020916414975546756,0.029207461846163827
TNFSF15,,0.05967860249738971,,-0.01881024499904158,0.011385654314300013
HMGB1,-0.012434430151621963,-0.005061604185579005,-0.05497960798565406,0.013150036095800998,0.008195131477117423
ITGB3BP,-0.011539876676716528,0.09944526604004938,-0.053835503283272704,-0.01107992748768189,0.0348794952388019
