,UKF243,UKF259,UKF260,UKF269,UKF275,UKF334,ZH8811Abulk,ZH8811Bbulk,ZH916T1
IGFL3,,,,0.10692235695659917,,,,,0.039659646297137266
BMP1,-0.025746344836542586,-0.027674050320595462,0.06652841554591916,0.01838531382589723,0.022794401311100786,0.003784078092246438,0.060584992766946476,-0.01934550400867074,0.04175538030006696
NDP,0.022159713031770483,-0.02272916479075154,-0.01907751546782605,-0.03721450280014258,-0.006049410452128624,0.0765606157098887,-0.022250833053215482,0.06816840516718187,0.03177125444098364
TNFSF18,0.030804736526043187,,,0.026676198799284515,-0.013259369911084552,,,,0.01579772396306212
IL36G,,,,,,0.025390686143007917,,,
RTN4,-0.08593179888153503,0.009345983953371923,-0.025708894623532222,0.0076675544345213556,0.011853979393061204,-0.056899937457894297,-0.006978219082692715,-0.05136226683522867,-0.05559192712122107
HEBP1,-0.02884947807946394,0.08415005667169437,0.00473466398111413,-0.041797256531816346,0.059080829235898094,0.02059820903512274,0.014793981869240759,0.00845817097132323,0.012328811114781655
WNT7B,-0.039240351103090904,-0.013711721359328764,0.012642454989593873,0.05365459407727554,-0.03800674956635426,-0.017739985509264842,0.03148378009028633,-0.024402627587497384,0.009793286047470246
PTMA,-0.01541765541995456,0.004504023352132106,-0.023683348294348042,-0.0019982135315959717,-0.08695820688212522,0.03436747706496112,-0.03513764858508234,-0.0005792055971738952,-0.037373995675585074
FASLG,,,,,,,,,-0.0038637242902871062
CEACAM1,,-0.03421403368562475,-0.02056280731856554,-0.0046313499131392126,-0.020853830036908442,,0.05914021903278308,-0.01729748486544408,-0.030756414294058294
PDAP1,-0.049650007048235044,0.02708578825172043,0.009921984746186692,0.008181580473848357,-0.033903843601930855,0.00036303609597915736,0.000523844115158867,-0.07012946009778837,0.0310762115896497
QDPR,-0.007127422891754831,0.040113539408198944,-0.044364784438636236,-0.06562492412272743,-3.3025951900129868e-06,0.008907936876152378,-0.0805082621024641,0.08608856001130513,0.01793709256299091
POMC,-0.041184905802362844,0.013028791421915048,-0.032471726880800945,0.011769587287371597,-0.015385124318548701,0.005492448357899552,0.01720944721629306,0.023011479835324086,0.016299889794952196
CCL18,-0.029251834394216036,,,,,,0.021345356293572405,0.050392509803185465,
CCL17,,-0.03068451342823674,,,-0.016537015799150057,-0.014744568895338468,-0.015126259559366216,-0.024970005329576155,0.10384952547846368
VEGFD,0.019589890600588158,-0.008490249885684904,0.03556581490376285,0.12031238677817321,-0.017618791613954042,0.06814746472212328,,-0.01729748486544408,
TNFSF13,,0.005912620878348449,,,,,0.11884249885597425,-0.027141542095927534,0.11131614452714644
WNT5A,-0.01650108658180426,0.02184624626268436,0.06573799803522166,0.041521876026733885,0.05035839140514952,-0.008213540963308834,-0.001369459109287696,0.0025852300531930177,-0.011566496955773026
CXCL8,-0.03928031043196993,0.015465091146752026,0.03193389182857975,-0.02743099297991285,-0.03554895733125259,-0.03306892560697465,-0.004138786174872164,-0.06858238437375731,-0.06153682152840967
GRN,-0.01524922183655651,-0.0445128167561089,0.0654361192795124,0.015105071839462053,-0.0007062896310613738,0.027848201775712178,0.03174053705805993,-0.029345447393922083,0.03197701422819256
MIA,0.08236366083640434,-0.0009587318624134303,0.08325300005925299,0.02384906349024282,-0.02315479217894193,0.04137647328218007,0.12417687139787284,0.12772288504517104,0.05124102028901984
COL4A4,0.04054721317352346,0.0319257065140585,0.032925121315983796,-0.015306904122403334,-0.01726515612761202,0.04181455601473031,0.08243781458277673,-0.02769597788550153,-0.011515189226508037
TAC1,-0.011641733813697042,-0.01098300416714467,-0.03646711451800308,0.04199975177765485,-0.034665779658264166,-0.03720469781603663,,,-0.010077282754625907
RARRES2,0.026541497971106644,0.01635976846380323,0.03567515774810593,-0.006436586624672993,0.03234663258904316,0.04532902884729004,-0.0042911795289017314,-0.05784613307362121,-0.009803688692402666
FGF7,-0.01596377306525731,0.008103505265267357,-0.037668705039403144,-0.017300791371135934,0.00594561074359862,0.00223689734119797,-0.035759691073783614,0.0033820426469935282,0.06640301676746162
EFNA2,,,,,,,,-0.01644010176368997,
HBEGF,-0.015417040583295035,0.011361961676719661,0.003040146615623452,0.010093432929809671,-0.009144426699845793,0.020676078297474185,0.02739762470624312,0.026417770004491973,-0.05269721227371141
CSF3,-0.0331782218770851,-0.036573264530532675,0.021313341080158563,-0.016194409940183622,,,-0.019941045792564012,-0.061338044166916475,-0.02109488046510504
PI3,0.020286247208491814,0.027027059033205608,0.025368094449490085,-0.018235119335722295,,,-0.043090946426246134,-0.12149111089861221,-0.027319731231262624
PCSK1N,0.03304687549002794,-0.02489385358279,0.029331479969259725,0.04682776999238567,-0.021162209435228722,-0.04267005835316477,-0.0033605915874565526,-0.009055038318530396,0.07486497258407189
NTS,,,0.014093304163773284,-0.019904877864159443,-0.019723433929969315,,0.0010185218740137636,-0.020029144269057476,0.03627136919812444
SFRP1,0.09139103048571612,0.030163344674860017,0.04276774597238247,-0.01635105430342451,-0.00541226477835142,0.020475220240122244,0.039578026105312726,-0.011175935785058797,-0.0032497103486916804
CXCL13,,,0.010885192190442068,,,,0.005668205107651316,-0.004059459903297512,
MICA,-0.020313941146012527,0.01450102129996675,0.01164786663327821,-0.0180554706383449,-0.02274972431800964,0.03709323519293167,0.11721516829013678,0.04180812727814777,0.01782423270759887
TG,0.01597414105673574,0.012288958401073096,-0.030231184866258497,0.020908450949981144,-0.01666041759919644,-0.02214842298280071,-0.02009901717276706,-0.008233842855677059,0.07221662984750633
ADA,-0.010248401428563488,0.021559846290581497,0.0008633074887760061,-0.009864432769966,-0.012745222477350143,0.02403723949198603,0.0030298121290943583,0.09174494979857553,0.06195092650316747
LAMC3,0.04686497399183283,-0.041852523095872854,0.03645829909086625,0.01980327219791423,0.02014049586409225,0.055340237080091594,0.08232329446748138,0.09559230379739879,0.008633623581289525
CCL7,,0.1294484101532747,-0.0162767198079,,,,-0.022670776467255085,,-0.02210538990172591
NGF,-0.019114916764062198,-0.004100666711875422,-0.031476427552561984,,,,-0.009053329028676161,-0.016219119137397445,-0.008346632599792656
TNFSF15,-0.02364753764386858,-0.023261395217313297,-0.021833548114049986,,,,0.05504359068607593,,-0.05112312235952028
HMGB1,0.005162833169464392,-0.03575345469329444,-0.04056061258764555,0.04147744949470495,-0.02435971238437833,0.0035724609286684095,-0.009765583105457472,-0.039044190207309294,0.011252461362301402
ITGB3BP,-0.031448124271203644,0.03499209364606649,-0.015592501067826404,0.02029792066647196,-0.004111740880012966,0.04696709748650775,-0.023971486300808757,0.0006771312276739036,0.024838842653654096
AANAT,0.0338773240841806,0.006473477037046674,0.01751126735811497,0.09230687930551575,-0.014982810910740866,-0.019778428839848358,-0.01988866785977492,0.05105801867885681,-0.005155672148712943
RELN,-0.03295825039036008,0.02657356396848805,0.04330375320552252,0.022133442007351768,0.0005178739299259681,0.054637443548417854,,,
IL15,-0.03361456657081368,0.05053818802982364,0.04585185254970382,0.0012962461537060971,0.00015497695348660063,-0.018343578604848865,0.010076212184652525,-0.018599722181873234,0.005869922361752786
UTS2,,,,-0.007998210192412342,,,-0.016936656286233514,,
BSG,0.0008822395443070826,-0.034117376800190335,0.08195823032853221,0.03134883939304987,0.0034785943184187677,0.01004552753595545,0.07822017869236615,0.036127779881509565,0.01817561901339982
ADAMTS3,0.014774225107382497,-0.021176660112064396,-0.02893441566126259,-0.0026861084175158418,0.019973434758505448,-0.019234860993160532,0.08627893867979242,-0.0035972536955304595,0.048798430888696315
CD34,0.004923365676426161,0.005802171247915804,0.027683508809592614,-0.00018166509372164713,-0.005946849306671765,0.026989251053379227,0.06755655861774064,0.03175074473645242,-0.004097878621125659
CCL23,,,,0.028849049597842007,,,,,
PLAT,0.040219090065567696,0.01753798016910673,0.050542319328963595,-0.014474977734870803,0.023369432989003736,0.05901575002581532,0.0939540152809142,0.08037918696857807,0.06424946438520773
NTF3,,,,,,,0.06760420109020085,0.07773712684568916,
LTA,,0.05905757023477918,,,-0.014430008360139197,-0.00024035899991979264,,,-0.03147729446698176
CKLF,-0.006969105499494986,-0.017726529335582837,0.04887115748773867,-0.001471594625339501,0.011834662596043747,0.026638230126326837,0.03912485840266604,0.082556111611345,0.08795920914947891
CD24,-0.06664084998817421,-0.017071526356833407,-0.01999239165366326,0.03614240425772373,0.014603162893955697,-0.010077985280790874,0.02622232447399372,0.010361994980216234,0.029479217601508963
HSP90AA1,0.032080652091718315,-0.06630958307939995,-0.00406161477265596,0.004449143776588697,0.014572299178098018,-0.04744167485522473,-0.05341675051132715,-0.14184871343524363,-0.09157174701549599
BMP4,-0.04136935563261782,0.037324226999110796,-0.027560784507597594,0.05940893240518952,0.008667323238526294,0.006052640799870719,0.024850789712644716,-0.008018727375608006,0.018756756635290913
SCGB3A1,,,0.07346443310963005,,,-0.01279990814680843,-0.03450588018762314,0.07181341998270224,0.017472180321341006
IGFBP4,-0.06533556901722799,-0.02179939636294939,0.058006248606649394,-0.006867488579277055,0.03688999547717045,0.05496060534437831,0.04012733319034807,-0.010439273531381368,0.016503722478375296
RSPO4,0.025030123408382177,-0.0022346586455351887,-0.027040309528982186,,-0.016782978199390557,0.0290805316238216,,,0.03017060800931727
LEFTY2,0.06624720735417929,0.01353552498998112,-0.03208444160935836,0.06067615510085506,-0.026676208947869495,-0.022644945728609957,0.07016686800904388,0.06645698403023449,0.0259341518716594
PF4,,0.032298622772207394,,,,,,-0.015068491467690612,-0.031477287182902346
ANGPTL2,-0.014941566796835127,0.045527723427800496,0.021831885086617216,-0.001130856559991534,0.03547598343004112,0.03938588666733242,0.07554544301555938,0.07464649853265619,0.06497320069027446
