,UKF243,UKF248,UKF251,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1007inf,ZH8812bulk,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,-0.012443411388055582,,,,,,-0.017312737550754687,-0.024219224782072488,,
BMP1,0.027536153613950235,-0.017442495503010712,-0.006545000191924229,-0.016276974054678546,0.004469080181696841,0.015525457600572974,-0.029941444291688605,0.013789431429289418,0.010263147410568293,-0.0005221430943872266,0.024353586456291737,0.06363020470561623,0.04649945803505984,-0.004333875226565841,0.051515711020895284,-0.06538755435489003
NDP,0.07754232651663188,0.05998618337335388,-0.04461454901987302,0.04614263889601454,-0.002277530861802771,0.0027253324784497746,-0.04811617590321721,-0.016965255457136973,0.01881768347115037,-0.035102860872776094,0.09622504832090222,0.08480021217070033,0.09112848482512018,0.06072765786785335,0.05020983507016828,-0.056199595049985125
TNFSF18,-0.03384888095120657,-0.023730665932534856,0.049131581387691796,,,-0.012024539127963078,-0.018478092349815955,-0.018434064457393772,,,,0.24362263970709067,-0.017854320648329883,-0.030577998076969183,0.017924530335587874,
IL36G,,,,,,,,,,,-0.030019665302532167,,,,,
RTN4,0.0029426370353063374,-0.024588396300561588,-0.02336491521726295,0.0011205328334537362,0.0571090946209447,-0.014476977607510318,0.04635802853864336,-0.07658702842053085,0.03644339883040648,0.07291313130614153,-0.049301732654337814,-0.03343820891488783,-0.0692369747241024,0.0009346453576864129,-0.004343836150767479,0.05674173874551288
HEBP1,0.14219412668109024,-0.03740242124874586,0.03145884321728594,-0.0011435131690885523,-0.01122252905074071,-0.043516522268351246,-0.0004718164769820549,0.04025840773015003,-0.030795160484948667,-0.05515965488683996,-0.004502353530901993,0.033246303307514116,0.0010553928373155151,0.09615689712113164,-0.012670550545238218,-0.09069496101636461
WNT7B,0.022506487429041957,-0.023900832650095138,-0.034261306742282595,-0.002977593938482557,0.11378724091452191,0.0004849506417470913,0.09938035182341357,0.010058693459733503,0.000711982340642266,,0.0217747401471519,0.07807075982538454,0.00284531898167547,0.008470807845816098,-0.052017239923981204,0.031170390210067497
PTMA,-0.0943705495668836,-2.715028837289435e-05,0.018727850096128183,0.025285705251971477,-0.06939647665430815,0.0450445216792776,0.02312493205031354,-0.011669854357674123,-0.019177944485481976,-0.11968723175283165,0.0346048339049948,-0.05279288823818455,-0.07185212575444358,-0.03399373411862646,-0.0053567675311924495,-0.11100466057696608
FASLG,,,,,,,,,,,,,,-0.021005325390983542,,
CEACAM1,,0.052658929515489644,0.04991219187237425,0.005438786625427859,-0.0008995648490234999,,-0.024316117098910843,0.00986292485453555,,,,,-0.005404638593672696,-0.014352689863552157,,
PDAP1,-0.04394944875731311,-0.026571296060471594,0.020738717340542393,0.03084761411644458,-0.02785396660666355,0.012413169547893534,0.0025017198991310607,-0.016634183976944623,0.029783292888813484,-0.017589113726231974,-0.03468044152112973,0.01528855738749428,-0.010405961021516811,-0.027209257445200637,0.001335812777980231,-0.07881211964345453
QDPR,0.05411169041996243,0.003765475616436245,0.009624854198193512,0.051595947894663735,0.12977748305383183,-0.01845709489833581,-0.03216014176323536,-0.032019710897147974,-0.007959069425489254,-0.02270488600875272,0.01818891087887275,-0.007253057134838906,-0.014805603694814876,0.03684554383348805,-0.02213700552457929,-0.09124653492600186
POMC,-0.026851847776224135,0.04471700796564028,-0.0038013348226818445,-0.038773153106054246,0.024568430145335378,0.044078764263079724,0.006683651411788568,-0.00818077164868486,-0.015692880343379262,-0.06573109792519934,0.05724930686663449,0.07453824762870435,0.030270914203476166,0.027325565005767362,0.01883650119374491,0.05991885423477724
CCL18,-0.03297376087614372,-0.018848263222203194,,,,,,,,-0.06010117601961627,,,,,,
CCL17,,,,-0.012763390562503196,,,,-0.022990867380479965,0.030965365285868057,,0.010386896752936975,,0.020220557291353677,0.06772601986050189,,
VEGFD,0.006716612883497566,0.01660917666826212,-0.02861659522985315,0.09584313745785894,-0.026348664757670115,,0.016043698345835192,-0.024494824599583992,0.018785987798392963,0.045835174582431144,-0.0060736118471449154,,0.058477596385506835,,,
