,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF313,ZH1007nec,ZH1019T1,ZH1019inf,ZH916T1,ZH916bulk
IGFL3,,,,,,-0.008443765666751124,,,,,,-0.014520335039445132,
BMP1,-0.01859469791581899,0.0575273584739327,-0.006496014855684882,0.04358019920775371,0.05527600900860414,0.0996822170819455,0.031356948531122905,0.022711857888377377,0.07937555371182117,0.028870028549325886,-0.0009051933590361826,0.08730560236428768,-0.05182704196343467
NDP,0.04907382083414284,-0.003261145153011118,-0.002416513649262899,-0.012040025913374152,-0.08248175590343934,-0.026075230012734235,0.0073436371016689156,-0.049391536151599615,-0.0011571585548142969,-0.0133430562478228,0.09447101068082032,0.009104321371948111,0.02776654935055631
TNFSF18,-0.03209564793244487,,,,-0.01380079451100472,0.16687467158150443,0.06286726829518027,,,-0.005448284113149784,,0.10007126631753621,-0.02430872133424127
RTN4,0.004277713663302006,0.01692036678020271,-0.03577182650205708,0.08043085503791295,-0.09217514364373795,-0.14841955845241614,-0.02903891420480947,-0.017249421317070232,0.02696393675599567,0.03259414310029478,-0.0590313627795334,-0.011395340893654519,0.014341040972503969
HEBP1,-0.01653364217686708,0.03515197296074638,0.006131803875188334,0.04135695887421873,0.09703797949508604,0.08055942023954554,0.013625154953377532,-0.015428011282732692,-0.06672271776880132,-0.04004408359957605,0.004815469222090095,0.007573939941731902,0.06680680613826492
WNT7B,-0.019936821570459968,0.05826675182932364,0.023601273083581138,0.050845376860517225,-0.002881280720321009,-0.036511463235866,-0.0009101443679513561,0.09786599981419758,0.04072498330279139,,0.10515012717579207,0.044596410400223156,-0.029948371352601127
PTMA,0.025086147060377758,0.030659636472157258,-0.014197942898985565,-0.05257214678540026,0.11910361019776648,-0.06290094157035889,0.00629242076306118,-0.016469333753838494,-0.01039478763129344,-0.017495290858354533,-0.0977666397667377,-0.014366741080460594,0.07819238396458972
FASLG,,,,,,,,,,,,0.04141488597221206,
CEACAM1,-0.015300311436255314,,0.011752795718625473,-0.01770963073446518,,0.07009409658362795,-0.01730709656343023,,-0.018969070009500467,-0.03363196795825973,0.023016493337344825,-0.011570740464500299,
PDAP1,0.0211084913875234,0.03317162916742156,0.0026010919099404995,0.01691724828681341,0.08198228709956004,0.14130453127337256,-0.020832558796317076,-0.03794863951580367,0.04687881329557154,0.0013733061824860863,-0.021206423509604447,-0.006483711152670666,-0.05501748059675776
QDPR,-0.014771185393197115,0.05619916001544213,0.0064243877155911715,0.014303575804019635,0.003776033344777794,-0.14969818580631677,0.05543137245499621,-0.02624079074772377,0.08499432213993537,0.007725996410709988,-0.08021720397014113,0.0029106037881291434,-0.004015614244251351
POMC,-0.0035533990332036066,,-0.03764412449406945,0.008819528198225176,0.027028260792227005,0.00903098147329016,-0.020297101570756124,0.08777083155093085,0.02804269097631946,0.005707064052549063,-0.03448013303667383,0.01622834136139376,0.09097612993594449
CCL18,,,,,,,,0.04848494814811829,-0.038150583250902204,,-0.019670901418605034,,
CCL17,,,0.014231137048030947,,,,-0.021816755094261734,,,,,-0.004773728512397248,
VEGFD,-0.021914626440650904,,-0.011450941208071561,-0.01694357200005567,,0.07206574630079161,-0.011075677840265726,-0.016993075500257464,0.0338008715103309,-0.024514431470432457,,,
TNFSF13,,,-0.018997244959058714,,0.15168767130862543,,,,,,,-0.03732838104757115,0.012436188558200343
WNT5A,0.02080264239896521,0.032188614263059044,-0.007577668625733625,0.0008492292544668366,0.08936403930071497,0.13297382526962948,0.046825218960728034,0.04943031556752006,-0.011762869819555906,0.0009345184042579363,0.0941628234073444,0.027974105410429047,0.006627643442132968
CXCL8,0.010397577054083312,-0.04670959605177395,0.02431043049601426,-0.0338214602610311,-0.019037717829155996,0.09612657330477055,0.0016829982213426963,0.00827871742060271,-0.038064690820450824,0.10248348680202857,-0.034633718997773934,0.014045597756842831,0.019136720193487815
GRN,-0.007001655013148031,0.04598137976979427,-0.004914138910573357,0.04030749316010258,0.021550692444379228,0.09298214007320292,0.014691115550204343,-0.005180357588990049,-0.12134050969399686,0.029784454508552684,0.03048476412284225,0.05764219324596422,0.06684626006795666
MIA,-0.019489336204612462,-0.0018028000561311419,-0.053008057884193834,-0.02177101926594002,0.11476712817964049,0.12699889874111137,0.012153093245595516,-0.023045663233970278,-0.015361470543093643,-0.05495644485740959,0.0480025376845008,-0.0014696037045837799,-0.02403578927325572
COL4A4,0.046268639938601155,0.022729419638536922,0.03195392613006263,0.015503083826867011,0.045479340574937015,-0.02377527384223294,-0.022777367299828252,,,-0.009972446411353194,0.034087603862637435,-0.029785790704549186,0.07508457336600466
TAC1,0.0510452712603322,0.015497631955917801,0.010433641615732075,0.023666565986817486,-0.04115271101219773,-0.09084524901337697,-0.054458789235069284,,,,,-0.03011627266015404,0.04299649681929659
RARRES2,0.029737644116682616,0.05160188668788472,-0.01731025703711559,-0.0319990398157268,0.03123732119185441,0.1642842056058407,0.0161049237601709,-0.005181782674337214,0.0590632508244992,-0.014461986967260332,0.002365953146199551,0.0168181640772433,-0.02527435564348518
FGF7,-0.024734708126533146,0.05848248441916685,0.032892789065103505,-0.02029976497636074,0.017242798825741153,0.18046743207440533,0.027254995877935128,-0.037024674838490236,-0.04336310586622507,-0.0388867531429115,0.03442045995956676,0.0015128481541612144,0.02743911162374111
HBEGF,0.01985921993394707,-0.01991179237868959,0.007466386144191604,-0.04621808532496686,0.034284590160826994,0.07657193367530576,0.03340920783565358,-0.03454011153463099,0.1146277764460434,0.07166762119539315,-0.038556790024294414,0.0277337292983936,-0.043709946909960655
CSF3,,0.0173665366438181,0.0025781231982623396,-0.022849456419031595,,0.15038421261400603,,-0.009566124769000432,,,,-0.02411969306512273,-0.03108915700765258
PI3,,-0.060075262601666034,0.023434459084247995,-0.05197605166773986,,0.027421959913370052,,,0.1679820138889734,,,-0.012507034065975767,-0.029714001244084368
PCSK1N,-0.0710232332499431,-0.005573312328607997,-0.0333074230078838,-0.05138209888263455,-0.031646183346183535,-0.02441253671868518,-0.01267505789325109,0.009519674267837928,0.0724361997668133,0.04080858451241646,0.0423935139751672,0.0055088711498323655,0.012454505989104523
NTS,,,,0.0012856260429216046,-0.015545542442642333,-0.004506050556716032,0.058906545881919334,,,,,0.0011357349445232253,
SFRP1,-0.0183745765649712,,0.023734248862937523,0.018368130508769745,0.07828460375346857,-0.013950400341505548,0.011244844518884987,-0.01705519161477035,0.01724489305263404,0.11173366246696013,0.007239993943404296,-0.010652923642700837,-0.03878622653211541
CXCL13,0.0065951928561101105,0.09106938241284995,,-0.019155961136556775,,,,0.02412027356343497,,,,,-0.025217529450801003
