,ZH1019T1,ZH1019inf,ZH916T1,ZH916bulk
IGFL3,,,0.10519099932049558,
BMP1,-0.043729723291858945,0.06844735087149138,0.04765524246038746,0.045472978638071065
NDP,-0.02338325980787402,0.08219051694170051,0.049979620578768695,0.053560360052859884
TNFSF18,-0.0653505600104178,,0.05412991713250432,0.05712260981128301
RTN4,0.021270044150512733,-0.08278172381205075,0.0027146836241129127,-0.13579724804257756
HEBP1,-0.06273553867549625,-0.039435000822580175,0.036200729998567334,0.037632844576110935
WNT7B,,0.005818595228094783,0.00967519677970853,-0.005083502984193733
PTMA,0.029443736185697063,-0.12972403044843453,-0.05248054026130941,0.011041604541342053
FASLG,,,-0.024422855314124362,
CEACAM1,-0.04595253461658703,-0.045740340437381,0.07906783095351552,
PDAP1,0.0617099462786511,0.047120291638485294,-0.00018433832870570204,0.05004705937236117
QDPR,-0.03406724733687211,-0.1581227573395214,0.06270218446212289,-0.11439208958292436
POMC,0.07182325310451376,0.02030963756897136,-0.026892330589089568,0.06388327623771418
CCL18,,-0.032430653413440556,,
CCL17,,,-0.02213657517645187,
VEGFD,-0.06247146381531885,,,
TNFSF13,,,0.04401797457945116,0.008646473502808628
WNT5A,-0.02800175807771634,0.03398449618729624,0.05334705364789493,0.034766405351386004
CXCL8,-0.024904427095354377,-0.03302304510384982,0.0027307480664307353,0.04617751532855252
GRN,0.07751191720886909,-0.0060245303603723745,0.05243025617794142,-0.013940666342171127
MIA,0.024141207586943714,0.12717773693008072,0.02969789449642452,0.02185404240531489
COL4A4,0.026011444473886904,0.030359753343827234,-0.016321199802061464,0.09654252290825256
TAC1,,,0.027304548748927526,-0.1135774348749107
RARRES2,0.00899110280443742,-0.026531966293824677,0.026759010221181382,-0.004325024174039145
FGF7,-0.12428226181921205,0.013448731131694223,0.07601064673526403,0.050442751711165974
HBEGF,0.07734232055470903,0.12095880383079698,-0.040951011821017826,0.09702569371166544
CSF3,,,0.08634055813379474,0.07079388208571513
PI3,,,-0.050637061563675326,-0.04489042713626763
PCSK1N,-0.04172760757172642,0.05120220632816403,0.10207757527935855,-0.08932114183262922
NTS,,,-0.009259773768138408,
SFRP1,-0.04247544145454399,0.08867436428639523,-0.03371158978451571,-0.05129728450363775
CXCL13,,,,0.14344969318680567
MICA,0.008186855955858052,0.043456657751099435,0.04555382151821606,0.07220294294765432
TG,0.06915434282005023,-0.02576610793095598,0.02276960566388247,-0.01880364883242435
ADA,0.05972919473638372,0.05505346749668612,0.04334221780611177,0.1330374969727914
LAMC3,0.08389487222362774,0.06922899142062547,0.04470585798034293,0.07639511816709703
CCL7,,,0.042215504542748625,-0.004660966013015303
NGF,-0.13788552256386674,-0.03273525533207075,-0.012299196665979313,-0.003321807194034743
TNFSF15,-0.030719626641253172,0.028025635533372353,0.008818430212525498,0.038995374697297115
HMGB1,-0.02990260786429948,-0.06107222075649434,-0.03429766071246699,0.014690666319685424
ITGB3BP,-0.01460570440796886,0.07295819768189381,-0.009626614347403828,0.009241355588318083
AANAT,,-0.03377788496277917,-0.009652900190835284,-0.0118119556801385
RELN,-0.060811458495962686,,,-0.06357644858338483
IL15,-0.0146001271946626,0.22791458200359785,0.12181020021334493,0.14394169389418943
BSG,0.04944851362843129,0.08581443153687096,0.10015971869153557,0.09607196276854513
ADAMTS3,,0.04672731844546695,0.042983008917559504,0.05711268062931286
CD34,0.0073016998713091525,0.049734236345247686,0.032899455411122325,0.07214223227725117
PLAT,-0.061579703082832414,0.057135489299442455,0.051066793877591596,0.05750281414203344
LTA,,,0.06490741433377611,
CKLF,-0.10435305598885701,0.047490806819829375,0.0754727898926263,0.08410183487964445
CD24,0.048959192409609054,0.18653858245258573,0.03589838364779728,-0.012762019435778328
HSP90AA1,0.0674509330842374,-0.10673939764777109,-0.08751794865771022,-0.13034352215600548
BMP4,-0.07583123663161244,0.16099738708600816,0.0018094744784034483,0.04297169144287167
SCGB3A1,0.016576502144761657,,0.007434016446800568,0.008802808081878203
IGFBP4,0.04502885651366076,-0.0002825905395426225,0.03975236198223261,0.03687732582119706
RSPO4,0.016842923086146277,,0.08889702764842938,0.005030261199489466
LEFTY2,,0.07174072149362505,0.023328796022072114,-0.03786740454968894
PF4,,,0.03871928091358502,0.04525745970747518
ANGPTL2,-0.026681793460651464,0.032771059233534204,0.04087456226941209,0.08551980922917946
LRIG2,0.08780862559296901,0.06315439143741185,0.02814641470628015,0.07783122552195626
ICOSLG,0.042909477891121844,0.022644878312267552,0.06932629793825781,0.09865364762306265
WIF1,,,,0.01237819280341689
NPPC,-0.015165285734476548,-0.04044550083354154,,-0.05192433320953834
LYZ,0.060455139583997786,0.03958046262578311,0.025148550303986078,-0.03799429575007308
EREG,,,-0.004577251019448113,0.017171493946384325
SPTAN1,-0.01902582589048182,0.062038745958971096,0.035332657127800635,-0.05070584183344319
LIPC,-0.02017205201803388,0.017618597856451288,0.07392118135031517,0.1013338561553973
COL8A1,0.03993456273715965,0.023653308642444703,0.0806278109935558,0.12875456560412704
GSTM2,0.013020897384007617,0.05508206357657028,-0.017180374076615063,0.008390267400940388
SPX,,0.034397998335408776,-0.003629482996651169,-0.03470326683663215
MFGE8,0.03928685869034214,0.02455728865683992,0.04114999985560828,0.05749074975034672
TGFA,0.10583237795176513,0.02219970368926181,0.06125295853650494,-0.06369753097248229
SLIT2,-0.051039269450569906,-0.015035133807152126,0.04163285108367191,0.022700899136943675
PLTP,0.07019706332950762,0.14484199624960717,0.030283842840893166,0.09764593883291063
APOD,0.019580420153445965,-0.159399049916553,-0.0037950456257023484,-0.05472826449038876
B2M,0.0003252960409045067,-0.0023171007144334754,0.015543603563325657,0.008396965326803788
OMG,0.0391274130754061,-0.12744156874048015,0.05719936320557941,-0.07066140909357192
CXCL3,,,0.025591567035386082,0.0041299899226525496
CXCL10,0.02740931608607641,0.11292894866661735,0.06863340078465223,-0.018636117588333133
RSPO3,,,-0.024784413674461613,-0.07994293412824927
NCAN,-0.012272239646134667,0.020078933918460915,0.02806273708642918,-0.06031642592181466
PRG4,,,0.004685758329128211,0.014799653824828713
ZG16B,,0.03820036461687451,0.02403553093938102,0.07957591079269935
TGM2,0.04686091807271543,0.04307015254596764,0.04605566577607135,0.022674992342287613
VEGFC,0.00923979447655784,0.012419605914803298,-0.006838752551904562,0.04797710472227283
WNT6,,-0.03570976866653395,-0.002941282024333594,-0.00260480028021146
NRG4,-0.04891633253576029,,-0.02478441645220307,-0.027505384597922136
PMCH,,,0.13226997668081902,-0.008570473163438992
COL9A1,0.0044306735294044755,0.0899631298856584,0.08155449550742279,0.10196822736096692
GDF11,-0.073511885943821,0.011075100328847674,0.0520427971591763,0.07580648540204722
RAET1E,,,0.03508394666449212,
IL24,,,,0.04258949605279095
SORBS1,0.048242156870809835,0.08114301319341582,0.019132721411755375,0.0690094069742737
DLL1,0.0463185680259584,-0.02686509265583295,0.04100502854399801,-0.009626671237528058
TLN1,-0.052602933203646535,0.0005376592482937522,0.018838423242738267,0.03826136895182375
COL2A1,,,0.09388927019693177,0.0025923438889344994
SHH,,,0.010535489027482732,0.0961815938191126
PON2,0.04816692536983085,0.04202960898452073,0.07981277785732037,0.12373601599218165
ICAM5,,,0.027343253107121848,-0.02200300281330799
HPX,0.023929971040861413,0.060041500227994635,0.02700430145757712,0.0843021703850378
SFRP2,,-0.00488490253386079,0.03670428607529948,0.03694268904884295
CFC1,,,,-0.04444908846001459
CD70,0.05145885833921678,,0.052039432945454024,0.09309567877160514
HP,0.007702458059181655,0.08809817628764252,0.04643461361350059,-0.017030858839236725
CXCL2,-0.008299437710333412,,-0.017044172449531155,0.024692334947211913
NPPB,,,0.009416532002582445,
CCK,,0.03064007316765097,0.05868117799110882,-0.15727499199570197
SEMA6A,0.020669345048720214,0.01519395499505843,0.048990518278157015,0.10848344488532417
IRAK4,-0.05225158909691672,0.03517970908020479,0.06685434159655176,0.07349269902340765
GSTP1,0.013232950940668854,-0.0809511330831791,0.034730273374479786,0.09209264964313531
VCAM1,-0.08904558076019055,0.09750185716877245,0.04609633462135805,0.016766702978853684
NXPH3,0.05129109422754336,0.17201846711650465,0.06296816812726136,0.069886207012374
MTMR4,0.04109420575282562,0.08653663673542551,0.025839755522264547,0.047247987084609075
LAMC2,-0.04891636186133606,,0.05105141957024952,0.01989083691512458
IL10,0.014598402066578076,0.03251997110483102,0.10346750381072713,0.03649600720278707
SEMA4D,-0.02616824683193837,-0.0581587454211466,0.06771723749332235,-0.009885722054392634
TRH,,,0.03145595952756997,0.055646573965309074
SEMA6D,-0.11387834206381088,0.04575721594223119,0.010929855567944475,0.10340778260727226
CEL,-0.037947036111262655,0.056673243410955004,0.04605422111779756,-0.0010196377451804825
PDCD1LG2,0.1269125706900905,0.09889898797015717,0.12319328674615564,0.11423546360569661
SPINT1,0.012646353343841756,0.1013576186999846,0.04337204731852797,0.02399142232000524
CTHRC1,0.06158081126554669,0.1482823682987028,-0.0007861971350082774,0.049847126208789234
PODXL,-0.008654865799217433,0.08587845024831814,0.03373481408367855,0.0811202574265111
JAM3,0.02968549424782898,-0.07729904260546107,0.029123742684647392,0.0666259092612065
TGFB2,0.06397928740451214,0.13263851457955186,0.01407775220110855,0.058011286366818904
COL18A1,0.030195885085087217,0.009276734507547006,0.001692011636728995,0.004199581989302164
NODAL,0.05452623379687042,0.10084591319580312,0.042991081876399925,0.0021622746584329623
INHBB,0.018198172261330036,0.11574536256939219,0.07491760214543362,0.06187516242401866
LCN1,,,0.030800420596690838,0.03114797683664124
ARF4,-0.04231766322843985,0.11066689918135528,-0.0601963863518157,-0.016324558279036464
CXCL14,0.0658219663896708,0.1083750592176637,0.07644457706105065,0.03218955870964881
LIF,-0.01572730925649646,0.03169321355249123,0.0242493965786201,0.049729620557613645
IL17B,-0.005880750497812904,,0.016384342906573816,0.08191377063719456
MMP1,,,0.022061690197259065,0.05850457703785962
MATN1,0.024690317096390173,,0.016337163034045754,-0.01989632003640679
ADAM28,0.057789277211508214,0.0039768105261924185,0.0742448331833846,0.06982042561198454
TCN2,0.0020669355608136544,0.05103809699319164,0.11748524499720218,0.04217746140503433
