,ZH1007inf,ZH916T1,ZH916bulk
IGFL3,,-0.019010187582767485,
BMP1,0.05204414405029529,0.06845752337950242,-0.007101174673723692
NDP,0.0561948895481288,0.027683129269333907,0.02351410583784145
TNFSF18,-0.0270503018866056,-0.03206678777945485,0.06444730661238746
RTN4,0.07248760565815589,-0.04491243239018022,-0.07978131786023933
HEBP1,-0.0017546001518552068,0.064937013768438,0.02718003478321864
WNT7B,-0.029779742121350185,-0.040575642947320384,0.027359863862191514
PTMA,0.009350788717455184,0.009010083307577122,-0.03997340069297653
FASLG,,0.008235296381427063,
CEACAM1,,0.013089698817590987,
PDAP1,0.030846996683394783,0.02992670071660626,-0.024867790438035227
QDPR,-0.010535678528820223,-0.0056214190861040925,0.023843346742805374
POMC,0.019651400482502055,-0.02767930785482153,-0.03653410922724826
CCL17,,-0.014944093351439494,
TNFSF13,,0.04308457950639962,-0.025267179672719436
WNT5A,0.04229308082011783,-0.0014540694068260734,0.01781074963138485
CXCL8,,0.0026366456618081764,0.026834150508760948
GRN,-0.0687930862917856,0.04966864394587501,-0.01926039025518218
MIA,-0.07309560299171755,-0.02756768966674689,0.010937424180126883
COL4A4,,-0.04388610429934494,-0.010882854367127139
TAC1,,0.022629788340941842,-0.0581211168088354
RARRES2,-0.08538250728341289,-0.005753447708584323,-0.05276789562884142
FGF7,-0.009209989699700051,-0.018823219183761796,0.06819680988105992
HBEGF,0.03596335622483807,0.030175092310085652,0.015883449147010606
CSF3,,-0.015733824900562923,-0.029705142850826576
PI3,,-0.034184374458029576,-0.030635511292818496
PCSK1N,-0.05491961938669228,0.012017927862445502,-0.020988942751341704
NTS,,-0.02329964919421454,
SFRP1,-0.01943135924261582,-0.003729381537580667,-0.03705955743661389
CXCL13,,,-0.02409490596662309
MICA,0.01773339701392218,0.06517309881440593,-0.02326215567725792
TG,0.05809987269505716,0.023798224176956553,-0.007128951307549672
ADA,-0.06707919321014075,0.09412565464339563,-0.047041434509565994
LAMC3,0.0015382219276177582,0.04287294883903011,-0.02144404345287859
CCL7,,0.03303887466206876,0.030035179246124966
NGF,,0.013017183994164369,-0.0012250154713286374
TNFSF15,-0.03195348391003503,0.07657494507713879,-0.0328760444682896
HMGB1,0.06461009861245613,-0.0966247714813453,0.023894834269677017
ITGB3BP,0.09112237352449104,-0.0012722594078634726,0.006745924448137987
