,MGH258,UKF243,UKF248,UKF251,UKF259,UKF260,UKF269,UKF275,UKF334,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,-0.025751403231781808,,,,,,,-0.03198891467056872,,0.02382985673571148,
BMP1,-0.00979962615065235,-0.0001391059435958906,-0.014364121282472038,-0.004681991360950975,-0.06054403850756291,0.04453683045751782,0.13700756036906697,0.036131089706381,0.11231450277714937,0.03662762299893364,-0.003862335206580639,0.05955491387561075,-0.001349143959907384,0.012336963529817547,-0.034163471574931756,-0.029728882395212364,-0.06692309531709281
NDP,-0.015546214985735227,0.08062697061999065,-0.020963937004590618,0.0356692245375784,0.04758462973391459,-0.06697855294857775,0.016057881148229484,0.027144277004747596,0.05114393245331441,-0.041426513460259454,0.06822245742003363,0.052010425225866824,0.015539445246764413,-0.04590557090811459,-0.006108298535789144,0.12311947914226055,0.015098435250283832
TNFSF18,-0.025610732192762716,0.1710910710231331,-0.02585452787758289,-0.03209565058602833,,,0.07545324735810005,-0.003959435780650485,,-0.04287683002907527,,,,0.00034774305793899146,,0.02555590622071542,0.05445383135845605
IL36G,,,,,,,,,0.10022650197801297,,,,,,,,
RTN4,-0.05607691633731526,-0.028143141165457214,-0.05649012362419945,-0.0817911380733315,-0.04197498464768905,0.009137163632039607,-0.12436727808348841,-0.03949857351722272,-0.11205726597878432,-0.04442308221160065,-0.08143229880334227,0.0004719771017420851,-0.06375961595023402,-0.02822842297702951,0.036294533111858276,0.05546847830794067,0.06755471576667481
HEBP1,0.025241557773565442,0.037907574241135555,0.05013398842061215,0.07400899329305773,-0.047365234587755024,0.04938094685260154,0.10661794164958056,0.03906627280771026,0.10731542196954082,0.0021283225625720686,-0.00806077700448769,0.037857280584615335,0.0434370181283001,-0.04049489678418274,-0.025429150836457068,0.0946950772021446,0.07072421982969011
WNT7B,-0.033725788884811515,0.054370684196715195,0.05020037477346299,0.013114983172691896,0.01758653308058519,-0.026694835615418015,-0.08054339214230397,0.07387015712447487,-0.042592003971677624,,0.16545206487026903,0.015465012296978053,-0.002338619608237219,-0.010414290078761466,0.038008632645277596,0.05983320669419493,0.039452197202787906
PTMA,-0.06406898735237677,-0.08614780012558838,-0.036947188273732515,-0.023739743416034072,0.008766936037243867,0.035746945822578924,-0.03331203716652067,0.03203380295973887,0.09521726651192028,-0.08314219441950316,-0.02051989896204549,-0.0203287509826125,-0.07000211008945428,0.046588600996166005,-0.0694707348739393,-0.07621919412915115,-0.06155148316802177
FASLG,-0.004913515097726297,,,,,,,,,,,,,,,-0.01120267753174224,
CEACAM1,-0.04682856626242792,,-0.013047051199215697,-0.015300312701244684,0.09536612149651043,0.02251711360649137,0.059369806756216253,-0.014960439684716132,,-0.03014968832472907,-0.025671542798725647,0.016210216841811478,-0.020606748806310936,-0.008400450129945187,-0.015698625574195678,0.04076075835350411,
PDAP1,0.06867222800889183,-0.017184549944956284,0.018829361107780784,0.04174160591314922,0.022395163403186782,0.07289494252801038,0.086634724932286,-0.07377506344304027,0.04629738076621984,-0.005265974787337734,0.042639684027351306,0.010635553006685769,-0.0595972467129485,0.034592737316776784,-0.02361520994467563,0.017411933248509343,0.03063381583227212
QDPR,-0.0183341306905225,0.02768302838167305,-0.017404827718026088,-0.03386079174871176,0.03360665362174677,-0.022939644454941295,-0.030526704722905022,-0.05087496784372535,0.003347007456252041,0.018082453264547695,0.012882818894285263,0.006781724855072951,0.071459403554181,-0.007175603141559894,0.04055319827287948,0.02903462477062621,-0.004289208483791739
POMC,-0.0009739939275484631,0.04034549297841233,-0.04559601889288619,-0.0037496463122119,0.05485148743441698,0.005591984332801713,-0.03526887037969553,-0.012640249882376008,-0.012721059931109596,-0.07887351879587058,-0.026851395916520485,-0.022499016186086053,0.08328706606210239,0.0891846739948514,-0.025680889179521434,0.09148277279405762,0.011779943870734087
CCL18,,0.053854723173931966,-0.04162092710067503,,,,,,,,0.01941099437631397,0.06455833096762109,0.12169298549709222,,0.009011017279956146,,
