,MGH258,UKF243,UKF248,UKF251,UKF259,UKF260,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,-0.03350341069939074,,,,,,,,,,-0.015352601990997724,,0.05025377950779041,
BMP1,-0.004599501165478192,0.1260211239539641,0.04337975467945886,0.03980903643310235,-0.03282536956057515,0.11818729060734677,0.23175368844945293,-0.02341256848358513,-0.006777193156857252,0.12670336900648807,0.008644131963320855,0.08268039209940725,0.07095755299065032,0.05436020959181862,0.14728252156698274,0.15559279737551399,0.0518699118983153,0.12036315006852193,0.06839409187086397,0.02081851712102721
NDP,0.017109209522990686,0.1526471380975884,0.010074050845802608,0.002978861096384176,0.014382757341914987,-0.03875003673984883,0.060774654599419616,0.02860053610021593,-0.0016572070001963691,-0.06116979989280015,-0.0004221696736888409,0.07731656667583489,0.04588825739272158,0.01575008392382426,0.14691388502464064,0.20058429684771184,0.07182385933317559,-0.006647583090611073,0.14310290737213652,-0.07366764322396714
TNFSF18,0.034961503102946996,0.09456224618845362,-0.0060014007496764,0.043932788465204514,,,0.07686132237762894,-0.010647509681371023,,,,,0.01536001485467819,,,,0.047203744550203534,,0.01672074496563792,0.006757878220640492
IL36G,,,,,,,,,,,,-0.01334979738180574,,,,,,,,
RTN4,0.0032238017297698497,-0.07012100558806919,-0.0010176571710255283,-0.05734042181826099,-0.004632254741817729,0.03926992541180642,-0.23435508036347721,-0.0008335095045995654,0.01155734451764208,-0.14835359731131884,0.05016683976382402,-0.056875503037840974,0.008097671663895507,-0.04126701296834402,-0.11288744187961211,-0.047926509349141985,-0.10843742967914183,-0.08310823957306622,0.10549935597006563,-0.10796321674677947
HEBP1,0.002640771993591859,0.019347000249130976,0.048631340107939715,0.047049306146509436,-0.014376443345438283,-0.010569194815194853,0.06253333584793425,0.04211673003841054,-0.005827329500585943,0.022410857475736422,0.0019007753907515149,-0.03876144848637116,-0.10031501505765479,0.052642860875493594,0.03989816193335087,0.11083159459564224,0.010451796716332274,0.013029687062091365,0.062168391614408076,0.06456892464826863
WNT7B,-0.020783297644423045,-0.06722138830227206,0.02848794509610821,-0.04192848392144181,-0.038995052810595836,-0.030780164676880946,-0.0992578080979906,0.027538732648925774,-0.010917752265459726,,-0.03795806942215917,-0.01467296577193763,,-0.03362342578274473,-0.011225973728642407,0.012992622967407117,0.027871336249457274,0.0479606736015328,-0.02379123639673463,-0.007709695354593498
PTMA,0.04094551425888603,-0.16764879990961923,-0.08215647908978062,0.007225939398583842,0.021168613331449593,-0.019903928992198668,-0.160037738542246,0.002881695860657303,0.011812179170390246,0.12029823194049807,0.07994314514397019,0.006519539651096314,0.024518469335660684,-0.03319037979503369,-0.021905455224957644,-0.10416909442013855,-0.1517990527004151,-4.434566112071244e-05,-0.06959912130450663,0.10036370007781717
FASLG,0.0014674259412178158,,,,,,,,,,,,,,,,,,0.011340422718785199,
