,MGH258,UKF248,UKF259,UKF260,UKF269,UKF275,UKF334,ZH1007nec,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,0.010108745565299254,,,,,,,0.021969362260884712,
BMP1,0.03984453837486564,0.04199432377877572,-0.010529459429576407,-0.07738937756343421,0.0757226838258336,0.031118925147857898,0.028698210893117318,0.04247499026200928,0.05316585630745439,-0.01932306563834578,0.03362601385831245,0.05500713114377815,0.07564094922686611
NDP,0.07620501777763555,-0.007211737456251019,-0.007481521870246693,-0.002880749740395239,-0.041245102970916186,0.03662253844096522,0.04784587636423279,0.03693003526403635,0.09560460362948132,0.04960570172272425,0.022382633784616253,0.008719765911667924,0.0032075196407985803
TNFSF18,0.3261088028130849,0.006525381191785029,,,-0.02232145094323585,0.04241471344409554,,,,,,0.015511571864700683,-0.03691706146429988
IL36G,,,,,,,0.004876736176818014,,,,,,
RTN4,0.05308284275627937,-0.0005761166144970969,0.007064354922026413,0.04312972487765318,-0.109431056171504,0.03760384640459567,-0.05602222020867085,-0.0779019378502033,0.023266129646046897,-0.006508245927383642,-0.0027781459496274367,-0.023442524554751456,-0.005370466334902501
HEBP1,0.04296689280342551,0.0778525749707427,-0.039720463934988355,0.059881648311969536,0.01573797480802321,0.0003081344825821964,0.03258599483089398,0.06435567462712147,-0.003116526654350584,0.042970091653143375,0.0011995128449413795,-0.04826117294008279,0.0070891114617546045
WNT7B,0.12380304148280329,0.01612775494287388,-0.013494068843913397,0.015847122621559413,-0.056020932156002116,-0.03895937000976424,-0.02648593585911527,-0.05640685129174511,0.002264020117891818,-0.023627432674542294,0.03155355392822355,0.03802749158602627,0.004004031130627984
PTMA,0.09779423376821406,0.03781108567206141,-0.018554514314955747,0.014058775280339535,-0.04116803926495405,-0.0512833491467378,0.019929420577209634,-0.12423257633838627,-0.04522314322305334,-0.013923101444504033,0.05199398272465851,0.0318843066096031,0.03835121371747342
FASLG,0.03902218026041369,,,,,,,,,,,-0.017174637800848328,
CEACAM1,0.11765209594313167,-0.03779125028787058,-0.011960701087321824,0.0017119924597135377,-0.0029365072896434343,-0.007613071692677161,,0.07215234312328024,0.03037476502193311,0.03499834683096914,-0.020604609141968638,-0.023895986004737347,
PDAP1,0.0031682502863194196,0.05174015325742596,0.03597400699157405,0.07516028142593097,0.043868524273737594,0.017788711938747936,0.025367098220703113,-0.047086028001598945,-0.053767744471890894,-0.04639122755556481,-0.0263696557616277,-0.04525260344722445,-0.03357460463308711
QDPR,0.06258752034320751,-0.00014815974441497725,0.0036919062023827217,0.023630955158140714,-0.06708563149469972,0.03932866461879679,-0.00016155122839700496,-0.1014288162282892,0.02416868718671126,0.016969028273819124,3.741191102530154e-05,0.002711553477316831,-0.06278409544471959
POMC,-0.0023048380043955013,-0.03798379413799549,0.05686880223048272,0.0034558889795484934,-0.017942306108470283,0.08678392045231632,0.015552321745711693,-0.05978539692834271,0.002520012087764506,0.05268369732281995,-0.03370643381876835,0.004039623960798185,0.07648208164324696
CCL18,,-0.04715990968974357,,,,,,-0.03642075517266114,-0.0524098697468478,0.0006848195180514587,-0.022600654463165802,,
CCL17,,,-0.021326318358084986,,,-0.00974053078953681,-0.006055440343734628,,-0.020318314269345716,0.02461453543290632,,-0.015566880117696098,
VEGFD,,0.10037406331417668,-0.023759873710281643,0.06395677345383513,0.0348256316373844,0.00033552473036387124,-0.009386691638838514,-0.0410320518637688,,0.102600612401764,,,
