,UKF259,UKF269,ZH1007inf,ZH1019T1,ZH1019inf,ZH8812bulk,ZH916T1,ZH916bulk
IGFL3,,-0.013231782459339776,,,,-0.015863882790287408,0.09868234733364696,
BMP1,0.014707207567368643,0.06532282450408777,0.10129295178184185,-0.04219599565105757,0.09356817587627207,0.016204228573693018,0.12204843228477619,0.06906866060808499
NDP,0.05141038644071434,0.014028535092651779,0.016239902285339353,-0.11494368746109082,0.0691350089783517,-0.03092951706533577,-0.01631148557416228,0.05531753912731779
TNFSF18,,0.21535835852005025,-0.033370066087574375,-0.04416012296584607,,-0.01636014230764832,0.0548894421767437,-0.0031522133622799786
RTN4,0.01084901370755257,-0.08412103180692626,0.004188185671820529,-0.00046418542367664947,-0.02618028240980306,-0.06641729554628362,-0.04120740251727046,-0.0435002476588795
HEBP1,0.015860935130796346,0.03151635837013505,-0.020526302884018705,0.07300062041298949,0.0012396007798465823,0.03878326669712543,0.06930747493800071,-0.0006570179347533231
WNT7B,-0.025837062589170293,-0.026815533471513178,0.005887166003599347,,0.015593536083167736,-0.005315587646143821,0.1300698283937754,0.021042670621176412
PTMA,0.026396464105379797,-0.08772302719487673,-0.06401480081169139,-0.038826196277810164,-0.04385031761241736,-0.04852489460755254,0.03726153271170147,0.05992286275129914
FASLG,,,,,,,0.02145442565289717,
CEACAM1,-0.029834399918426208,0.062251360014713784,,-0.031052061052534028,0.02302108588229007,-0.023507816474115727,-0.028633408860759005,
PDAP1,-0.011390030095199382,0.07358981331166509,0.0616053249158356,0.021097310843304424,0.08454765374167879,0.08636193493334347,-0.06343157453220312,0.028591896863976823
QDPR,0.038157137215820765,-0.03760626245961276,-0.006775913387232263,-0.021236436981536395,-0.08453994213010924,-0.052597307709937764,-0.05879385122529391,-0.044413801586803685
POMC,0.03623350756858117,-0.022036030868653248,0.023207638212319838,0.0420842138617715,-0.024107882916916797,-0.0015387941861977014,0.041586745319535934,0.07687966581719773
CCL18,,,,,-0.019670898989261096,,,
CCL17,-0.017292387197151312,,,,,-0.02091561308150157,0.0709391193423674,
VEGFD,-0.004200449189957194,-0.022166784962534145,,-0.04221459653140083,,-0.022059516211254203,,
TNFSF13,-0.01192790167354156,,,,,0.15878335252671674,0.03928902564302003,-0.02605753673978865
WNT5A,-0.00486939018928298,0.056645992462529285,0.06317473929795393,-0.08782850518145452,0.07752164462501243,-0.00016664995922730075,0.03612785524196988,0.02329079856237491
CXCL8,-0.013717264281282778,0.03517746532318974,,0.08620202746159716,-0.03463371472053144,-0.029695611293816142,0.020808514885227843,-0.053215124111175315
GRN,0.013979525501943778,0.11689720449664924,0.11470113922917571,0.11102717362263194,0.0877444504045954,0.1031022848696722,0.09580894194700254,-0.04500342722130246
MIA,-0.036411966093577615,0.00665905289007107,0.009730346277925453,0.04820529676112841,-0.03621036800256579,0.06765113277920405,0.054520444922984475,-0.024570094240081664
COL4A4,-0.024293897104441603,-0.013038939482414861,,-0.03305486046812043,-0.024870162559168185,-0.03221881123792793,0.009062753192500845,-0.029123242882832648
TAC1,-0.019870633315583072,-0.06576322311999103,,,,,-0.024521321118837546,5.156977303640757e-05
RARRES2,-0.05432230958726116,0.08639499963485284,-0.012920947812470867,-0.05981511829243882,0.018971852045234452,0.013323825464834859,8.002895418224247e-05,-0.03769784280011859
FGF7,0.039210727957791035,0.006106744082405071,-0.023477403604430885,-0.07473146014413194,0.057319089756606725,0.010446432692888866,-0.005407129051874171,-0.02079925111467171
HBEGF,-0.019379059662455497,0.07573962425931911,-0.008634098296663775,0.06291089412868521,-0.004183943022368297,0.0349010884717165,0.03557067950556341,-0.032849258673890935
CSF3,-0.02061101776324156,-0.013794947003974442,,,,,-0.019638776206200293,-0.03063431935111481
PI3,-0.03556839399944917,-0.015533292400067922,,,,-0.01777122457216214,-0.042668536352287297,-0.04696722390349716
PCSK1N,-0.013348402041292468,0.006546722979011952,0.007331647153078365,0.05911435408932185,0.01472376773091371,7.427388962678546e-05,-0.030406008977363702,-0.021670594328917686
NTS,,0.027282402706678685,,,,,-0.029082349593949227,
SFRP1,0.004321031205177168,0.04439472924794936,-0.001432389559423089,0.032880424571289694,-0.01994983725603788,-0.006025602539355233,-0.02840654946782821,0.04860137336738816
CXCL13,,,,,,,,-0.024848594326691616
MICA,-0.03105422870909809,0.07074455962889244,-0.002926750733270914,-0.03541860699451017,0.03685234608994866,-0.008069311380778446,0.06230343901738753,-0.028103123458286396
TG,-0.016282640565147874,-0.01664926682781837,-0.009050247818226335,0.013149646006813684,0.08049428581836784,,0.07481954950730275,-0.02738327953797479
ADA,-0.012152509204467086,0.037188818752936205,0.02305709131981181,0.17040981156051652,0.014462615246376402,0.03199854124480542,0.0657580915554836,0.060948276276408454
LAMC3,-0.017482307777961503,0.08910060037094729,0.042810698799053554,0.09163774928962999,0.11878118836479262,0.15762095820174646,0.10748745558299518,0.028905560974922855
CCL7,-0.011772323113349905,,,,,,0.04272638571076685,-0.03276325438769801
NGF,0.01682166026350651,,,-0.05253766580410504,0.02027407041837863,,-0.010622856239287453,-0.03471808623565237
TNFSF15,-0.013109057563662985,,0.18045659389970267,-0.04750188396798392,0.01741181835890741,,0.0639675360486242,-0.03390440673188045
HMGB1,0.0318971522889345,0.03178295823263505,-0.03594240749525379,0.01934731613182097,0.028700397137971432,0.011251903253425007,-0.05061812426613582,0.005831611060564212
ITGB3BP,-0.035839649950476636,0.06223346289594954,0.03382432314854954,-0.009177516992845672,-0.0011318733931743,0.03619673110707678,0.05654427790112756,0.011901932850896047
AANAT,-0.011927902946583803,-0.01244341551534497,,,0.014980561326130962,0.072065771986821,-0.021774004956347917,0.0080939382110591
RELN,0.038016380814856504,-0.03651288536864908,,0.05302254458677718,,0.0543536090620637,,0.026664290852822712
IL15,-0.007590191718510406,-0.03245749830367109,0.07173356992241739,-0.029378473881980845,0.005856213258232692,-0.032218807154954454,0.07975564142173855,-0.042837394210696246
UTS2,,0.06703923327833221,0.015147913421679626,,,,,
BSG,0.022071826830696688,-0.04478162422099563,-0.00028821642251546277,0.03206100465572935,0.11621445772827486,0.08116719640586456,0.023694611364323263,-0.024043370382310945
ADAMTS3,-0.00984462919424484,0.03614221137783302,0.002381758546557064,,-0.024532373101557436,0.017020055622423133,0.09478817590433299,0.10073192241829176
CD34,-0.0388473912216774,0.09449103632862542,0.03632345533385081,0.08196682670849575,0.062480778482167716,0.08808877220906391,0.06502100932503352,0.015611406514518122
CCL23,,-0.014158631594259584,-0.03719593481308835,,,,,
PLAT,-0.008404730732026161,0.05008728472793033,0.05514034649287174,0.07845040425750333,0.05795714530185523,-0.010999893284242678,0.044790724669412356,0.03172287362098763
LTA,-0.01508827553651454,,,,,,-0.02930452924994299,
CKLF,0.01596833082953976,0.07892415457067087,0.05831543274010407,-0.011299625297327894,-0.02026077386603402,0.06283173919897225,0.04254225775505529,0.08426115828385103
CD24,0.032873276491340704,-0.001787228919586646,-0.00024727288938910727,-0.09388223302481065,0.022313372678913947,0.022186207115701025,-0.016095022850302797,-0.026826785465968627
HSP90AA1,-0.08297443434380292,-0.0924263831519351,-0.03685491837189047,-0.03010545376600873,-0.021664028593303658,0.02913737048134838,-0.10669342650345036,-0.03012059515686407
BMP4,0.015514530265743428,0.08994910189708324,0.06757687050131071,-0.05055366846897433,-0.003759858032246415,0.03391916313423005,0.05829591489629065,0.021663415183996657
SCGB3A1,,,-0.045902771739878195,-0.04529530933197497,,,0.016528449934921235,0.05401092259896063
IGFBP4,0.022842023284580598,0.094002000082931,0.07486137215067484,0.13980050875470051,0.06243167990589384,0.09071184502521921,0.09472660445500855,-0.01750930527855888
RSPO4,0.07842574707169675,,,-0.01838894902265374,,,-0.027789231724879015,0.021352037375024776
LEFTY2,0.049718687266872695,0.11189032878840202,-0.01456877024548173,,-0.02618201181508052,0.1699094603437805,-0.004306035345647422,-0.028647039851059847
PF4,-0.010271119987803083,,,,,,-0.0007403378505381477,0.007998357046516311
ANGPTL2,-0.003498358246423022,0.03935420391128659,0.06412097282069337,0.024244195314040148,0.07776218536405288,0.022255522988582986,0.11126902488896616,0.016741792919799936
LRIG2,-0.005867206332722932,0.022193936201716648,0.01568157952132512,-0.08782508872728187,0.08756474143014753,0.009880611373545463,-0.002219377062887699,0.07835321727539006
ICOSLG,-0.06018981733309072,0.08542549964176085,0.0010878734570939532,0.10078794496646613,0.08954857609843665,0.05397167414570333,0.024634763047846803,-0.024497869963635333
WIF1,,-0.05391669814105924,,,,,,-0.033904403949514654
NPPC,-0.015933040025268547,-0.033503403869817996,-0.03286388499128445,-0.0721750830606461,-0.024532325985665855,0.09983275140535822,,7.078214833566812e-05
LYZ,-0.08145418609309303,0.06349839434665258,-0.06761524555008577,0.01894844811172224,-0.04215582981310845,0.007073482792749328,0.027973149736345446,-0.016392657299241196
EREG,,,,,,,-0.04425661692275523,-0.021272189120841105
SPTAN1,-0.019357114275130267,-0.03662883887565668,0.02980943145640238,0.06979852305692043,0.05674783337400781,0.005862866268549629,0.017487924982692075,0.044741033478925614
LIPC,0.09430490008006127,0.12198425155492619,-0.034848785950561324,0.02638072591061841,0.11519689535994831,-0.030127661039897884,0.011079633099696761,0.005571158048884754
COL8A1,-0.04742267773719209,0.08350884387667885,-0.07959219515613206,0.054884187515113377,-0.07655215168910567,0.0416753822352915,-0.0029130182412084207,-0.009332217371685847
GSTM2,0.04134035109071194,0.02085611046640775,-0.0020670561115911207,0.09800164771514154,-0.011115146587085525,0.007941200889073859,0.006353515277637842,-0.04429027976617875
SPX,0.007731579664189288,-0.014562388867895605,-0.04356738374741811,,-0.044389154039029786,0.00393046871121543,-0.01693468800460557,0.10976572336667492
MFGE8,0.011482466580770234,-0.0321622173589585,0.038260241266323596,0.08221578946956767,0.09187157203381864,0.06952765634778117,0.10484378741943579,0.03561665359755514
TGFA,-0.005466770815560602,0.008418921626603189,0.025480904243312688,0.03438057705915666,0.058247050994203395,-0.020964079678321385,0.06672055920208644,0.014124291085600666
SLIT2,0.010542459784480316,0.04080830380526202,0.08274581353725519,0.18480597242738298,-0.02774389111641788,0.01860858104576001,0.03815592694805577,-0.028595689616296053
PLTP,0.01115458810395456,0.055156155089526746,-0.037764507423790554,-0.04155004124658062,0.07775746336982808,0.04064227213600152,-0.041691763301955426,0.010803472085771005
APOD,-0.006093468726970063,0.05771494951139986,-0.08491616258994386,0.008728901931482985,-0.05405364854013113,-0.03185425412830623,-0.09165395373227293,0.029717108400061924
B2M,-0.011537376582923017,0.11192703576591133,0.11726137805493478,0.05832805934756094,-0.05431242152035173,0.07820518130084353,0.08381574552031344,0.003340214701731763
OMG,0.038240990182152886,-0.025390049138522913,0.029850690460802527,-0.039417226902478175,-0.04219874048691036,-0.0320794702000785,0.01259306832226909,0.047552850566413014
CXCL3,-0.003080140457791658,-0.0163376097442514,-0.033869529161909474,,,-0.01821903427308855,0.10716057227542279,-0.01836248320187451
CXCL10,-0.03238041108009552,0.07563617722327631,0.02350119631563013,-0.028697372403408326,-0.033091158843440924,-0.024544925379405617,0.11748026546693996,0.029484231960966428
RSPO3,0.08512693951738226,-0.020432748080539062,,,,,0.09975089087551565,-0.018095673565653857
CORT,-0.004788657442840571,-0.03536344839051212,,,,,,
NCAN,-0.0018806218858999745,-0.039111517073300746,-0.07808656794611298,0.019569522623689446,0.07298878550132402,0.008122361046812143,0.025447270139764545,0.12153420587221832
PRG4,-0.011772324947891709,0.0044463646662983025,,,,,0.09552102321055671,0.013358391419143648
ZG16B,-0.013663222854321288,-0.019110330310230354,,,0.03881077635624688,,0.0053398070312972445,0.20148415150236038
TGM2,0.005078245789888922,0.030262546478271587,0.04504472820464783,0.14905698435157702,0.004727682973963577,0.030382654501111085,0.07447234782726785,-0.07305965818950856
VEGFC,-0.020981435211761216,0.09064494808882759,-0.027480777150554497,-0.0357591425310236,-0.0295220508961282,-0.02403120642217072,-0.04259431169655237,0.052875114877011964
WNT6,-0.016282641241211745,-0.01740593825798527,,,-0.021659855057935693,,-0.018416214449179947,-0.016287438371658563
NRG4,-0.014327457996867469,-0.022046860411016472,,0.08637818273059025,,0.03197851924337328,-0.020884205001335743,-0.024493809161122218
PMCH,-0.019852088886113808,,,,,,0.03245323326203448,1.974841706420398e-05
COL9A1,-0.01496398417779653,0.12800557201803692,0.032820020399551196,-0.03083893238858276,0.06946648669912028,0.006241021634589524,0.07401668265373706,0.04827586291850144
GDF11,0.0383180950400794,0.03228377728419617,0.020138597244347974,-0.00870837591466249,0.07047632766460753,0.0931480069630679,0.011338055529844012,-0.06821751306948007
RAET1E,,,,,,,-0.022909824500186124,
IL24,,,,,,,,-0.027383263813731306
SORBS1,0.0012983554370961817,-0.028021809044176487,-0.10396993691965184,0.01237398394037996,0.12013460866786624,0.04742978756994505,-0.037693750634040346,0.07237361180321429
DLL1,-0.004991622769852891,0.08065085010913556,0.0828334156995428,-0.031508469830009815,0.11102261561709577,0.035692880408080295,0.06642999531192452,-0.03597560528527436
TLN1,0.0527963656870177,0.059224913158513644,-0.003384578789306821,0.11320086565412632,-0.02070682399329961,0.044017500657456916,0.07249082573950714,0.005749679904033397
COL2A1,,-0.01633761530412106,,,,,0.0506822799817367,0.000557321306977738
SHH,0.08319614146926758,0.10397094489527203,0.05322946001131176,,,0.024260080911235455,0.025690749113237578,-0.044630435419155394
