,MGH258,UKF259,UKF275,UKF304,ZH1007inf,ZH1007nec,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH916T1,ZH916bulk
IGFL3,,,,,,,,,-0.020521701301428552,-0.025332097661491346,
BMP1,-0.04284220725519592,-0.011249053263704381,0.005239817996499743,-0.04844048393534733,0.0673896224802398,0.009196517523448371,-0.05978653764643608,-0.07183402076308347,0.02862028158341155,-0.0008518132884533548,0.05061432924445795
NDP,-0.02646254632345465,0.050946187953710635,-0.026819301007188764,0.0015047271316640262,0.06954731147564819,0.0731872175096741,0.0506712955537082,0.046542495020957544,0.03695783605264037,0.06931266035975359,0.063472614708624
TNFSF18,-0.024504293061053794,,-0.011390333432518104,,-0.04276652980698683,,,,-0.021163668322863368,0.09862306982104471,0.02883755620862906
RTN4,-0.013555994182715825,-0.013067366245500376,-0.049972631112498174,-0.11262614679831241,0.03683818518403067,0.041102634479235865,0.02814037895861762,0.02095520421377996,-0.027562301081204423,-0.09898153243651285,-0.06679994072440547
HEBP1,-0.05793512253221715,0.0034156945088791102,-0.0008248949900159351,0.0321103813291716,0.010585386514520167,-0.037385736886860144,0.04139578375910806,0.044378502352503554,0.06969422675929694,0.03782522017040645,0.011720411238302385
WNT7B,-0.02158751469098725,0.0392424911280979,-0.032649330484783044,,0.09985109419364015,0.017675060983365444,0.017144822339476357,-0.03178788401209902,-0.021258811886005605,-0.013616596364469965,-0.01948928689119234
PTMA,0.021291884380352614,0.01569658108395873,2.884644181331022e-05,0.163469282123957,0.09428987746161106,0.10338338783828394,-0.0113703508145297,-0.006189913466406677,-0.05450902767120891,-0.08345127289632648,-0.03720773305671789
FASLG,-0.02158752079372235,,,,,,,,,0.09751745228043669,
CEACAM1,-0.02997446154931306,-0.011815766020085465,0.09184041353228006,,,0.035138385293937605,0.11390565121458672,-0.015399749879281405,0.0018778907786878222,-0.002628656473342789,
PDAP1,-0.04679352729188484,0.02029022726188116,0.0052727329548095895,0.05297329755138687,0.018851956115089673,0.002981301530707866,-0.03859510575181716,-0.008252972869546633,0.004231629169275608,-0.014674844213172951,-0.0599282024219977
QDPR,-0.006886242053336419,-0.04833619285763488,0.056613863983061945,0.09280612217586058,-0.004777689002575416,0.027569221524896118,0.03851442151640052,0.013333382178009634,-0.00965226590105942,-0.02753029130004918,0.04526206337747752
POMC,-0.0015428576065708592,0.08101314427184908,-0.01321644218874339,0.03824839597016525,0.07285186973953692,-0.023870806242282237,0.13536404433741764,0.010386353016971639,0.035612215679476866,0.002328029036987734,0.03333112239482545
CCL18,,,,-0.04118303594242532,,-0.04498787519549181,-0.04074890238438295,-0.037605169439507556,,,
CCL17,,0.0016216094646652425,-0.014205963420152585,,,,-0.01579757799009949,-0.022230505738322217,0.045567625811303296,-0.019913808351069283,
VEGFD,,-0.026467557898765003,-0.015135252467255085,-0.025007578897000195,,-0.003495244614793182,,0.0365444200127082,-0.02853644397943626,,
TNFSF13,,0.05410449882939967,,,,,-0.002502790165786196,0.1309658269836469,-0.029014787811132422,0.0453487288070898,0.14028359257232356
WNT5A,0.06084187413952825,0.012135030971294924,-0.019235694184095424,-0.008129630989362927,0.06787968098225541,-0.005915579263205851,-0.006460487546575329,0.047414930186602165,-0.001126225911140752,0.07811484983602297,0.0018927978876209378
CXCL8,,0.022627446661286483,-0.027125974187924243,0.16173251030382582,,-0.0289850489774951,-0.014944066427599911,-0.07209259385499323,-0.011572320210504946,-0.011235332012946712,0.02837995868135522
GRN,-0.013382745072432615,0.022413950878715647,0.003391794128020285,0.0018644753833555329,-0.03257502056747363,-0.008390888555396806,-0.04043538633743695,-0.03170059595211791,0.0871807870491604,0.07993131147045152,0.03801804025242489
MIA,0.12108498197128412,0.002947998389375146,0.0029554618254552605,,0.09470797688151811,0.04560895972351803,0.05307732620226098,0.0673396231618513,0.024210158936732316,0.075885864458874,0.08884789750543427
COL4A4,-0.025000979504527912,0.06382589817954805,0.0036325333559171923,,,,-0.0008575357577052263,-0.024657407444876104,-0.041678624914997096,0.0822387720228966,0.008967757993532067
TAC1,-0.02158750904884053,-0.0183604075035216,-0.06000171825598876,-0.08590492743958869,,,,,,0.00533634382674594,-0.09709069934502138
RARRES2,0.030676946569863806,0.01759421257206117,0.017071309778499997,0.05379764895655417,-0.01111734878593945,-0.021467246136995705,-0.034391327138653505,-0.04743500731845216,-0.004779069254162009,0.05983258879236985,-0.13330687526932633
FGF7,0.009615832477138831,0.023313505136239976,-0.033810221475310806,-0.058057154352072204,0.039739131150598336,0.0442074312735823,-0.02287555919741498,-0.04104398943032647,-0.014952913150134702,0.08569388735960254,-0.0020735513111716035
EFNA2,,,,,,,,0.013302774412399427,,,
HBEGF,0.03448680283983162,0.03582501159519823,-0.007088504506595379,0.09217101239433165,0.057959543458081735,0.04822886705526723,0.039028591553787066,0.0047792378278205885,0.009565809443826243,-0.06602691581872568,0.011461671511656168
CSF3,,0.0027133494175243167,,,,,-0.035660628632905735,-0.0018891217150392133,,-0.020966168126145386,0.04087819401327114
PI3,,-0.0008685782565669401,,,,0.018974416862451646,-0.059673952157483896,-0.07280193601343707,0.04294464033633598,-0.04555251801159395,-0.06868505977619375
PCSK1N,0.02682911097323434,-0.010101745724000431,0.017975926853721014,-0.10445353084208464,-0.01643224785023994,-0.04226869123940035,-0.022083918399908233,0.009127871443515116,0.004243609268841499,0.05585090628290503,-0.0020441200224050643
NTS,,,0.01615799946842329,-0.022514854119273495,,,0.008865692974124177,0.02860271960532392,,-0.004352293308965648,
SFRP1,-0.03141037096194222,-0.006415546643070686,-0.01373469193044728,0.05268091707229189,-0.03312861869126581,0.07249603032847077,0.013674324690845225,0.10696233963656487,0.00433395379041012,-0.016059405741970924,0.013818214716516295
CXCL13,,,,,,,0.0019159985556038734,-0.014680233374239945,,,0.015217494499151848
MICA,0.010794734140388784,8.760777502489199e-05,-0.0003837180602002776,-0.031473139735566216,0.12557902633636156,-0.01034682013684496,0.03833197639562484,-0.007695991163682881,0.03964054614113883,0.028609747831712565,0.009292518653633505
TG,-0.025000973870460925,-0.022369460838462116,0.005143736969026226,,-0.012544155367419187,0.0007509608898777832,-0.020991031527984733,-0.0033680454321590955,,0.02322397510495352,-0.03840969422604982
