,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1019T1,ZH1019inf,ZH881T1,ZH916bulk
IGFL3,,,,,,,,,-0.044947302416036616,,,,,,,,
BMP1,-0.030691200245725702,-0.0358688355091043,0.059209617830470455,0.05529764580702391,0.05229587055570457,-0.0010587933685062946,-0.06639870995064756,-0.04669655288554751,-0.27622392508333404,-0.05715535430417959,-0.028968942699730875,-0.012156521617033251,-0.06857519861093077,-0.017931924024814933,-0.03442094307539893,0.002542270626217121,0.06354777619355502
NDP,0.017389159600593097,0.023255609461574997,0.04897476514937182,-0.01446257342755998,-0.015267104851111027,0.011769616011151932,0.15426944312429725,0.060900284500036546,-0.10089680925882569,0.028330172013190637,0.015341870387300421,-0.0617550315430275,-0.004634962038138176,-0.04399833073128046,0.041420136412893174,0.05420960954755887,-0.01656188282055411
TNFSF18,0.05666571299521639,-0.01773976073154362,-0.0273421206110977,0.010514657147443637,,,,-0.0549638473793269,-0.04814018184636102,-0.03376732585809327,,,,-0.04782913482296696,,,0.0016744671405040307
IL36G,,,,,,,,,,,,,-0.019561995618320654,,,,
RTN4,0.012303956068090979,0.06820884962627913,0.08920293235950831,0.03401272030927923,-0.09294530199355679,0.022861649181569924,0.10475205892955691,0.2357580377865327,0.34224013747386073,0.12448696284124457,0.06618118548775438,0.16885354233246655,0.11464271113752611,0.025927378264875973,0.036921366345153216,0.03580902557929614,0.07885059368496862
HEBP1,-0.06695511697491771,-0.04102058082549126,0.06110934186959803,-0.011496010406247766,0.005711041901794526,-0.05427586167207529,-0.017527026459595533,-0.08344782434672743,-0.10225119143248,0.007224986496502233,-0.01158540925405923,0.010599685445145062,0.06981862130742081,0.023650933759086657,-0.022406348712712687,0.0012639878900721742,0.0568620576807168
WNT7B,-0.01622975993057047,0.2787791868628145,0.0657233288292469,0.10287201237590254,0.20497842379267317,0.018631269200635715,0.01660228284439256,0.13957837375748172,0.2166028480201197,0.019979544552655777,-0.0002957808884930647,,-0.02150088753628618,,-0.03046731953947147,-0.024901605272566928,0.015433820484783908
PTMA,0.024587098106887844,-0.07162114248043976,0.009495650090713481,-0.022610303591149482,-0.00367268639102028,0.02716297643796248,-0.057038694016175145,-0.19146777243758867,0.05178966103620043,0.09104518099743668,-0.05107677114761986,-0.16486052349292027,-0.13168044981879676,-0.08024297040635696,-0.014848201636971696,-0.07086183985553544,-0.08467172832625491
FASLG,-0.016229764518682025,,,,,,,,,,,,,,,,
CEACAM1,0.04218182459707383,,0.012317779924090083,0.0009129827149841969,,-0.020958260283875874,-0.029662030704171165,,-0.06708900940771959,-0.03142429266953793,,,,0.08193783910715724,-0.02732358016866472,0.02966224021827717,
PDAP1,-0.03002880982684549,-0.005722924552890157,0.019379367909045514,-0.017727158124124294,-0.007544724242515884,0.007585839819639004,-0.05397109722402658,-0.025251823352918038,-0.2184862059378538,0.03493323855428548,-0.03533335607726493,0.007275603715998151,-0.023689634858172177,-0.007915942038847547,-0.0005620044850934141,-0.03748810379656509,-0.01567817803516993
QDPR,-0.0383693304741707,0.07635665088743247,0.012231785855409672,-0.03539029497677717,-0.043145610293771584,0.002661547675854142,0.14624916780851488,-0.04410574460709165,0.09108100523725589,0.07590539310116566,0.03893735907555079,-0.15585891246980574,-0.08479811187219916,-0.08138759618061232,-0.034866531398906324,0.06342430881787538,0.012799856256580004
POMC,0.025668426678785345,0.17792355863968054,-0.04022377496644191,-0.03155670306062799,,-0.012447424660996399,0.08934183415378417,0.06558032878168689,-0.029713468991378302,-0.011342812370798242,-0.004935980840556096,-0.03145609331883844,-0.033592345303887335,0.026541068209538773,0.02554772637484986,-0.027036913049297458,0.030263623642705736
