,MGH258,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1007inf,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,,-0.034695098323961296,,,,,,,,,-0.0399706464351338,,,0.022578757873262217,,
BMP1,-0.02043213744637086,0.11609791211625434,-0.026121622913331213,0.17734914152240838,0.014579534364018515,0.14226353524777272,0.2349726393435878,-0.20472587990652433,-0.009229820411789927,-0.001914974388210589,-0.02428320525335243,-0.09541803158570177,0.014335983511865309,0.01297016517517554,-0.05962020936488505,-0.052717689920848944,0.05337489344714657,-0.03482157142879858,-0.01945457662300843,-0.07506024961443442,0.07757011555363655,0.0030990115725728416
NDP,-0.048351885981753016,0.07054865370925953,-0.009802117102518992,0.05187020831494107,0.028299579935158418,0.013167375054978215,0.005998713843766087,-0.05235258342978851,0.030066936309599338,0.004770010090538526,-0.035410819107012916,-0.0638747443718442,0.04799470841719888,-0.051529000854090616,0.10006188713766255,0.15207461005928935,0.020178110619559694,-0.055014663421914994,-0.06833267524746885,0.013164437626878994,-0.06786535802237456,-0.029742597990037815
TNFSF18,-0.018422623932701568,0.03842462344527735,0.0662226838272536,,,,0.06843986857036265,-0.051521179435688534,0.004081083603793065,,,,-0.030036609037229822,,,,0.009651098973408554,,0.024702830486427293,0.0005210702397968081,-0.03198463032078529,
IL36G,,,,,,,,,,,,0.024279773257400345,,,,,,,,,,
RTN4,-0.0011733283303645467,0.008187892980697293,-0.007994983063074865,0.006202022058700863,0.04303468853527592,-0.002560297756746745,-0.33330478033945554,0.24169115293315724,0.06673101718224503,0.04225859981194878,0.24446052327585893,0.19216149610050876,0.06752828012494563,0.013968391889552121,0.058203092660758245,-0.03867242008797595,-0.05149734193482355,0.14686836868451808,0.027762958545793578,0.03793243181733427,0.17504358856817986,0.12504778242513298
HEBP1,-0.017598913068002087,0.022265834248010354,0.03461510436112268,-0.016236767644263836,0.003400190580887673,0.05012284584161112,0.17639311032174174,-0.07991572423785363,0.024204177462292902,-0.0032836452797507885,-0.08345793743051752,-0.006234247791085651,0.042032343639528624,-0.060943462070377374,0.05622910639562599,0.10296178958683871,0.0007328799383723703,0.02490650277498718,0.015242178993927755,0.06197089256193162,-0.03073998945585871,-0.027150321098654142
WNT7B,-0.01622975467208298,0.08745486732871804,-0.03043422576707637,0.01611840371075268,0.05213204460470116,0.12382807265521253,-0.027317398153550446,0.15133856741260782,-0.0033545004972398477,0.11167817573896477,,0.006968803931406817,0.1038459002997627,-0.03653401662919283,0.018489967573130667,0.039771466620669174,0.07497276121810657,-0.015736181263378127,-0.055248516321197094,0.16732720956570024,0.05715438696779843,0.009996796350180168
PTMA,0.01788867778963604,0.08281010338312636,0.010977766494004278,0.24518432283901725,-0.00931468178147556,0.0013552271441102017,0.47066964286552354,-0.00024359969619093847,0.013570915351956068,-0.06731369296696446,-0.26170623141433486,-0.18903682004845926,0.14083924375229032,-0.06445802717702397,0.03136988696721007,0.01736557708575685,-0.029028910892903808,0.0170789290517447,0.05326663668799259,-0.07525965184325192,-0.061647993582591876,-0.10597449798388416
FASLG,-0.016229759260193048,,,,,,,,,,,,,,,,,,,-0.03190890607560586,,
CEACAM1,0.04067278136282224,0.025146280556776375,0.004704190169331006,,0.03386291911133026,0.04745361175469885,,-0.06185396390110145,0.003600757837210434,,,,,0.011584896022945202,0.031691798965541314,0.058817750152554756,0.010979090177007825,0.03780708502460133,,-0.024353096062144728,,
PDAP1,0.05352537399398653,0.08228884536436314,-0.033893834604035285,0.03459350863252085,0.05733770000439516,-0.0627341411464808,0.18866455363180387,-0.12682861840819773,0.01134862422267411,-0.033346433202588475,0.028171824326229004,-0.08645922208888372,0.01952708217281649,0.0488972018412224,0.0301352200099345,-0.04280701243875752,0.014794422525227826,0.060620480216608076,-0.07407349073500738,0.1045392000896965,0.06967939331808291,0.14065411327586677
QDPR,0.05675873839970445,0.03999536350313477,-0.017215776618382708,0.1485500609583827,-0.027652772191863902,0.08400723273311657,-0.07833513017594168,0.07613971722658795,0.039345489113635376,0.04987424092008503,-0.22109444756643779,0.09398688301787447,-0.012314159937594325,-0.017072617465693656,0.08969719851158951,0.17409460570467167,0.006868881032668319,0.008853296928594481,0.11516315402210907,0.08965753150848851,0.09952928344775118,-0.10103459601174641
POMC,-0.052615700351315846,-0.01820647193671243,0.04232664681350671,,-0.026972452359366454,0.07118439355071259,-0.014319393557174502,0.007501063903592263,0.011782831350073903,0.0003658690832701072,-0.058755768977364974,0.012360440479801442,-0.04958527448736357,0.022968552431386353,0.08527540392154191,0.06786222826338109,0.011318319406051991,0.007212177829158589,,-0.001491560762482633,0.010623708973229312,0.029585590331938805
CCL18,,-0.0584412261769965,,,,,,,,,-0.03391167898649494,,,-0.023230421222032793,0.06924890645896757,0.031173207894920642,,-0.0752142967364288,,,,
CCL17,,,,,0.02996346541327575,,,,0.04551661220671185,0.05051433074608333,,-0.010917431702684274,,,-0.07352510316159225,-0.05184127173725103,0.031237497722887864,,,-0.028921839361366084,,
VEGFD,,0.09860660764495151,0.08450024994924564,,0.010986138222617322,0.03654507770569187,,-0.05812359643642475,-0.001286686185951886,0.017539683447229056,0.05565589481827121,-0.026360745985949573,,,,0.029498866532969514,0.02280633075884401,,,,,
TNFSF13,,-0.033248173560711115,,,-0.031300278394845484,,0.011561093640748447,,,,,,,,0.03866559097820735,0.07118118057123153,-0.00048263892563338144,0.025493087013587063,,-0.047125723231500584,-0.0029866466971973124,
WNT5A,0.029404214621720534,0.00515811714119191,0.026068382232337272,0.13054004923885287,0.05797772058720522,0.2437519001322435,0.3465248908950582,-0.12251312589358729,0.06873630859383086,-0.026449996484635765,0.05333883404077212,-0.022715027943081847,-0.011754119214233182,0.027525870709014664,-0.00431560854841516,0.045189413577237575,0.004563529405305007,0.04565218514192208,-0.00906812031671346,-0.040398965894485876,-0.030723524445409853,-0.03383996694047351
