,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916T1,ZH916bulk
QDPR,0.004565612437094566,0.0190917682094434,0.015014907669836864,-0.007371361681386617,0.009113681820118624,0.04837906715052302,-0.022742645360206863,-0.09645176680408891,-0.14504854403798548,-0.06330836914115533,0.049191137671720286,-0.07448833625134732,-0.04718658186473203,0.02063316705549516,-0.08412415515372619,0.0018410551526860833,0.006836939763661055,0.010944879217723951,0.02912889452053929,0.004223522942013387
POMC,0.01596079534045882,0.008018757805316842,0.005774659969508643,-0.005532658919165476,,-0.032957071254046344,-0.016247767775148678,0.03431549493446419,0.017116149596650292,-0.01729733298458386,-0.03215893382676278,-0.051230261059780235,0.07535315880968954,0.031981770300433233,-0.05861472548691655,0.0011448518550009497,-0.04954890999467148,-0.04608806697066645,0.008661557365220977,0.09882288117305581
CCL18,,-0.03198812619730026,-0.02631934903179779,,,,,,,,-0.01017147282113337,,,0.1231421806483005,,-0.03474629391806343,0.03654520619842842,0.0046912780157657916,,
CCL17,,,,,,-0.020512772605594053,,,,0.010850434038626174,,-0.030535579565060953,,,,-0.02553407537936242,0.009319922612179052,,-0.023976537306569838,
VEGFD,,-0.03604126858276467,-0.02682101848254048,-0.022698150367924507,,-0.009775688117655928,0.03709966754326905,,0.022963260794893938,-0.019808621563436605,-0.02172787566851109,-0.01092946938458302,,0.01160946795205577,-0.044221922427859946,,-0.0010718884531384625,,,
TNFSF13,,,0.0335444562874996,,,-0.014149251453931679,,-0.015911884783132657,,,,,,,,0.058793939956977015,0.0006703297266791574,-0.03163689869813099,0.08107115803358625,0.14462744245632256
WNT5A,0.02119604319996228,0.030815361084692537,0.058327364832788366,0.037802045134039765,-0.05664434218095149,-0.03790353907082876,0.003598179839673837,0.1255148575534397,0.07597552512650686,0.04645229744892026,-0.045292791235156615,0.04275998239707697,0.06532269186460375,-0.023590124146544898,0.03893815731670204,-0.033999831539455086,0.037436809385295665,0.004147270259122454,0.017638380988656062,0.06896306215882338
CXCL8,,0.05046088584772028,-0.035452811161718466,-0.021253202642246154,0.06387731400094142,-0.014900491987835307,0.0011158707258601996,0.05850862222907915,0.08957117118812423,0.0264386136916328,-0.010496888338558717,-0.0033068918502815294,,-0.13336135151065737,0.16753944760788542,-0.0188048144419001,-0.0196182591892116,0.012076122980204372,0.014330933871774528,0.014421297263080638
GRN,-0.014215284353261658,0.02231946660579403,0.037251280670158954,-0.020926956230891004,-0.04635615797214598,0.0396462893373334,0.07242526889006307,0.035864967984754255,0.14430099909912097,0.01531692001420961,-0.0015676827511641278,-0.018492812288440394,0.02664919631531131,0.13878232702966234,-0.005254732046734387,0.073608812704289,0.03179422428338885,-0.04175129575041071,-0.0010519237344253677,-0.014160356059897352
MIA,-0.024392715390146757,-0.04898091097146316,-0.0019757613581483195,0.10961564169110623,0.1111906274801299,-0.0002374045099003385,0.02901551169700934,0.04859362985335674,0.1020777174320794,-0.021438684903124665,0.036232717621195495,-0.028914182332340613,0.0415932670338986,-0.10766286403747569,0.04476267318216251,-0.05890644016583506,0.06643497246741781,0.038468750558238146,0.032691248309478484,0.07005809418218263
COL4A4,-0.02158258075049148,-0.019239259241525284,0.035616733683629276,-0.014851746170253411,-0.010374808572448444,0.03527794462075337,-0.009281561812277373,0.009088044469238951,-0.022996635678130813,-0.019411032916392106,,0.09171302946975002,,,-0.047524048046076316,-0.0008240852816613377,0.006803936759747405,-0.00733081321889554,0.08993636990172243,0.06182050909572831
TAC1,-0.01863583613450764,-0.0454401594825809,0.11380195295683722,0.041073687816271985,-0.05820584892665383,0.032763801379566346,0.035422957481083664,-0.07216784304986433,-0.08850489610495255,0.0054534333164831415,,-0.05884674630159732,,,,,,0.0410049684298503,-0.018476744766796574,-0.012599522420367232
RARRES2,-0.07093227926519129,-0.016625063557818814,-0.008794305423855342,0.000447658395708552,0.05526868022660746,0.005035896350149664,-0.007640103143806383,0.07694575989255763,0.13762454002429594,-0.05121424229383472,0.04851041600070226,0.09531824886611448,0.013215551744177914,0.04306436323346886,-0.05493193226027847,-0.0018354062929828508,0.05533119215504514,0.017766036715583206,0.011799277814452199,0.0161468202703407
FGF7,0.04060335975465607,0.02468675178971257,,-0.0007479936800576018,0.005469266311075982,0.03899056291365799,0.00045143140280190616,-0.017563706713580544,0.15726082355270235,0.014979621551078568,0.0060259232358829545,0.04161659255612507,0.0015186838642333963,0.012293300911513113,-0.014233564098176136,-0.06693310335169732,0.13184627137430416,0.045425080651007484,0.06435492824841327,0.03236408312473472
EFNA2,,,,,,,,,,,,,,,,,-0.027685784843107047,,,
HBEGF,-0.012561847142687328,0.03749540350607714,0.054037957060472847,-0.01429790650976854,0.006720520604129427,0.015014479141550255,-0.013821685826723672,0.2060620059757588,0.017863412176745322,0.027930736289231213,-0.027818370076244117,0.029898645760125547,0.07652706713348299,0.01639899165996986,0.012558811029504537,-0.027285707079022503,0.06686809460022965,0.0010507882779902525,-0.005249159385559147,0.07041051553691423
CSF3,,0.04589336505874187,,,0.030516085850330638,-0.024449436374920093,0.03508884583894731,,-0.024329997917190187,,0.004725717887021858,,,,,0.04158473062731275,0.017349194178306736,-0.031184634581786753,0.008977356501724413,0.03174309402132932
PI3,,0.027188333806761205,-0.05981507169937321,,0.05806739849408178,-0.026858382209621213,0.04340591819257566,,0.028824014151915996,,,,,-0.10628506308465821,,0.044754243788018996,-0.029061141907768002,0.026480554211598045,-0.007421764332864011,0.02740128997601698
PCSK1N,-0.055256871914526155,-0.05185306034852124,0.04517018941942501,0.04865569236565574,-0.029357496119642352,-0.059994794127700465,-0.011899829520318077,-0.05332110403745109,-0.005833968936883686,-0.0035387038770272436,-0.03165860932820526,-0.030398435513666226,-0.014384601097519278,0.04491250840618579,0.06569144177940492,-0.08192791106604215,-0.03485515926833077,-0.0024498599181671733,-0.018925861121763882,-0.050656787853129555
NTS,,,,,,,0.045487407604175606,0.05984399750876427,-0.02990449412888168,0.027516305501309943,,,,,,-0.0595683398607639,-0.03372987508200275,0.001708357506210505,-0.03738232189785292,
SFRP1,-0.027115612312958923,-0.035253572286879004,0.006470452860895547,-0.03187282218278913,,-0.0178981869906929,0.006267031709582527,0.02384790040705487,-0.005253067264579293,0.05911343201621196,-0.02696951229429516,0.021642444697917006,-0.00014434678971650034,0.1378907139671576,-0.0029154957610716325,0.0706096421421941,0.06595813199636222,-0.011019374189023566,0.024668106578655185,0.01692361695624247
CXCL13,,,,-0.003052727422760322,0.023518482778032163,,-0.015984166042785408,,,,0.06878442912356787,,,,,-0.03947234930883631,0.03903552683464659,0.06016345037208861,,0.04116134634490096
MICA,0.022463915293170645,0.05412798294598283,-0.021653793274885653,-7.890957666361414e-05,0.09316661558849078,0.026433046458043685,0.007873062031020431,-0.039228301443453836,0.08210760487475009,0.022845731538754306,0.0038944705735882565,0.022205871521423656,0.011070584233059625,0.02248635385594614,-0.03924503583797229,-0.0018595690686901683,0.05465381279275952,-0.040239752803691756,0.027961268938518608,-0.02614844213289365
TG,-0.021582575886773807,-0.028922384057093853,-0.04142950477467761,0.039264799903054384,,0.01135350920362134,0.029971188159892078,0.04894892817339491,0.04825596946352798,-0.018731131767852134,0.03402277710508235,0.06700859458532234,-0.026697432723991447,0.08136445841722156,-0.013412702770331752,-0.020707390583125353,0.02596550738097969,-0.03324199587226607,0.020844649119931478,0.0178272441037802
ADA,0.008698159437600902,-0.0281962733224584,0.0252681143426097,-0.021785001755720106,0.02567474025338838,0.04789944313685459,0.003938267121333524,0.031447862915538395,0.07426593506602261,-0.027480188051339366,-0.026633719483853704,-0.01088118909921257,-0.009738766338162726,0.1276986110934974,0.005211556692023358,-0.0005364200408121606,0.0313590163558504,-0.005198698658720993,0.03460386810998191,-0.0045629492524390915
LAMC3,0.07500264242490488,0.036601331290677004,0.0897033975599162,0.003664401356975244,-0.0870110109844364,0.031114240560338898,0.030946486540106913,0.027975513179530866,0.14797810218485516,0.020588825600942523,-0.022070907328335304,-0.08092501167976252,0.07549925355866219,0.11889775482636121,0.040542554163858005,-0.02749500939244534,0.07893868263649227,-0.04575883112599516,-0.004767446314360893,0.01190728590567209
CCL7,,,-0.009737199989832345,,,-0.013964699281282958,0.047622440464161135,,,,,,,,,0.007241345911289966,,,-0.026452840544698007,0.05610158428484852
NGF,,-0.020902975227448092,0.006822034287875924,,,-0.03199669280507986,-0.02262031094711305,-0.020357317881722608,,,-0.0003333968599958602,,,,0.08709189771275552,-0.01126168088172083,0.019353841068263135,-0.0031356838259048456,0.06809766146163698,0.05648547640994997
TNFSF15,,-0.02585958911886386,,,,-0.015550375654401247,-0.015690524173807185,0.004567452414566806,,,-0.02078729501537069,,-0.04043613215363139,,0.050329332709148786,-0.014701597549581785,,0.03753437616466415,-0.028377553546022418,0.03696773826761143
HMGB1,-0.042618368013268994,-0.05719215963503497,-0.0022534924999652204,-0.03132169491769154,-0.08126673858904977,0.025957368886665652,0.04931642654788826,0.1824006552639418,0.14966432430169327,-0.004954420998778805,0.0067400069308869385,0.026292934454587438,-0.03645372463484499,-0.039500544164055594,0.0169317949421964,0.10560862346306363,-0.011163355643098928,-0.033089692353260806,-0.05868634007274348,0.0014039448402883284
ITGB3BP,-0.03263422314350564,0.04600751202221236,0.032640496035615696,0.01895609712314186,0.0643089205334002,0.03051744276621376,0.08984017024854778,0.1369022156385305,0.12775261087161197,0.030625972460956344,0.005981085278673744,0.023490470534882835,0.07455351313770071,-0.05341305920917994,-0.04773201172525963,0.01942050690714825,0.02031932380131884,0.02095927562646391,0.04396612929293134,-0.049994225950124
AANAT,,0.009272661253046896,0.004161630441203035,,,0.08909582554556868,-0.014138100664251366,,-0.0038945237025168997,-0.0168450162639042,,-0.007080102329668036,,0.005718600229584453,,0.04575275426807651,0.01758099864533876,,-0.02798820843736068,0.05652376005559111
RELN,0.03365461792693851,-0.03604124987585462,-0.010934757373265828,-0.03529619005381938,-0.014501811403885245,0.07066791069317846,-0.014398094316125301,-0.016094568344073076,-0.05856027281117463,-0.029488933902645512,,-0.038101678454799656,,,0.044709078201958706,,,0.0698870270949054,,-0.03549996492635643
IL15,0.04200707750388854,-0.004765959963328983,0.0129754065247624,-0.027453356081165437,,0.07694778407837272,0.03624931653437684,0.06765502415844542,0.020624146925009964,0.004500895453747512,0.00019403070353607855,0.06743069250927479,0.06645686263881996,-0.06387644408221342,0.12006078728635286,-0.01175330410526052,0.01768467966772783,-0.0484089655613468,0.20091937500995946,0.023036479929593796
UTS2,,,,,,,,,0.06733335048041553,,,,0.022820179288819898,0.024071265263629293,,-0.028590138665130698,,,,
BSG,-0.012582712222152551,0.0494754007695798,0.06316852330156263,-0.025933935253660275,-0.06453062499105122,-0.05748023924585273,0.00809531876939365,0.004734958364492487,0.025397190498574095,0.053911539788159046,-0.009854726865763348,0.13121626524867552,0.09858642442756986,-0.01856340991202449,0.0511069984974144,0.011825778048353854,0.03289657960508181,0.05336723331354318,0.06295408659208385,0.0542666837650687
ADAMTS3,-0.0328164068675064,0.084900506799453,0.019906158527661467,-0.001195736454539211,,0.019518951373144848,-0.05156803321571366,-0.0022941422225417826,0.19743881729004326,0.12958772179160458,0.0372174889702452,0.05598675340599833,0.04636818981068845,0.03289730359903027,,-0.026325369470573616,0.022306976267416363,-0.057464136728020934,0.05643708543271259,0.008412693092826665
CD34,-0.04143367653181079,0.01394837412158825,0.06502347419186902,-0.019363010140125522,-0.02044713748008428,0.033833605004368925,0.02384637638078636,0.06888961119753696,0.06409724457272958,-0.021933175305040666,0.054426729438827696,-0.03902717792204598,0.07632138535010692,0.05198852189114919,-0.09656943443026929,-0.012390640465892546,0.04006518601952515,-0.001438898607363873,0.033567657481530226,0.004108912497994132
CCL23,,,,,,,,,0.08301082136215536,,,,-0.018127522380572768,,,,,,,
PLAT,0.07512417197333113,-0.04004195053512203,0.11434509082360901,-0.003427146222098739,-0.06658896154431355,0.026288772727050776,-0.035111548164724345,0.1051183224626099,0.15178355997730725,0.057316992252418694,0.11214265728061988,0.030481664612318254,0.005631524891398993,0.028421899348960743,-0.09974584572224993,-0.07621613220181792,0.010584514034899526,0.035128112661040205,0.0016665576160924563,0.011998365424386738
NTF3,,,,,,,,,,,0.09280601595071701,,,,,-0.023489403616950413,0.02899174626166398,-0.052311347476902664,,
LTA,,,,0.06457731634055228,,-0.001873084702869825,,,,0.1013007422596997,,-0.0028451390764789608,,,,,,,-0.01387054147977564,
CKLF,0.04204837272740277,-0.01748347669783053,0.006730278222175588,-0.008920787155230148,0.028170851444196298,-0.042587187403706345,0.002420514698592808,0.15660041963804977,0.14697541907074338,0.0026039652271572992,0.06568812897813399,0.021035345625585546,0.08737920479817962,0.12502044866539178,0.05285091524384121,0.0631816106457164,0.03559140363327218,-0.006349759101057533,0.007399930033319781,0.0009738838799727675
APELA,,,,,,,,,,,0.045180594169240515,,,,,,,,,
CD24,-0.011714060893313259,0.069554536354994,0.021880784053323995,0.018043388656090842,0.03507699462779453,0.016759984661095257,0.028912458138555655,0.0899326960776942,-0.01947948708050707,-0.08110338582580234,-0.012591570007638333,-0.006698533746988647,0.061723751795687815,-0.016610814179543926,-0.14968181260813784,-0.061413815050173855,0.0029189786451810883,-0.00030378633474730925,0.07564191939835506,0.04524530708197876
HSP90AA1,-0.022176144643378894,-0.01436003105777584,-0.03411213183665829,-0.04198168050180798,-0.031980652903771986,-0.048502101709821444,-0.04657749628538103,-0.12969984127245254,-0.111047534332869,0.004949659726925152,-0.07808488993871344,-0.11752902028177485,-0.015077253566104303,-0.05626786719852161,-0.07373789666630316,-0.011903952005419546,-0.11368555652238305,-0.03146399837446439,-0.03232370495833817,-0.0049316677118455485
BMP4,0.01934888850588906,-0.031107924214225372,0.0016366681214851236,-0.01679912238890576,0.021176481469214015,-0.00021769173633916252,0.025244015410278247,0.18809169578157542,0.01946607305149772,-0.04035197242705637,-0.00031218659592912673,-0.032370577410658435,0.04277289539480915,-0.027414552509973343,-0.017048164918602924,-0.04855244810962528,0.08077504559646975,-0.011274603791910927,0.05305199997257043,0.06776456482732963
SCGB3A1,,,0.07994531755816568,,-0.01347265686958207,,-0.01683673254821825,0.07545252080106069,,,0.022992629506131516,-0.02650824289382308,0.11327882821340002,-0.034305664142364384,0.028224313988616603,0.05266544166193667,-0.003293044815686232,0.0006851187595262899,0.041866713429913306,-0.007184697313616963
IGFBP4,-0.03302314186782735,-0.024566670028994375,0.054272906546136625,0.019465076736443276,0.021833796909541722,-0.004147476012157643,0.08027898575073515,0.09951040528766097,0.11978182471205535,0.021475148716996594,-0.024650405011401408,-0.005243034278873899,0.008446761294277771,0.02956674906042092,0.012721770122033812,0.08811953385146817,0.02448516788344202,0.015788860320813582,0.0202989271149506,0.03788093597176863
RSPO4,,-0.02553512729225671,,0.023997328054487028,,-0.02739630967717288,-0.00110483840842118,,,-0.01886892535784557,,0.002106053918215869,,,0.04162310828732026,,,0.02982826803181411,-0.0051469644267594285,0.06598532815038154
LEFTY2,-0.021369182951294582,-0.014364943306991831,0.08803951772340916,0.06574927664365154,0.10140382100369803,-0.00983536603818075,0.019334164228966333,0.11500774597502816,0.1444921983830558,0.05878235753154546,-0.02350398370015898,-0.046897033541690634,0.09144619314263888,0.007220857190735913,,0.035382721769598745,-0.03183367834338771,0.031056863854813117,0.040038960275718724,-0.002040816185375845
PF4,,,0.017542507884974055,-0.014415320779303596,,-0.012183925001938701,,,,,,,,,,,-0.025375938584886234,,0.02351544775590446,0.13866518045840429
ANGPTL2,-0.029270190581186125,-0.019365073000652648,0.07197386697368789,0.04412458540901427,-0.011746853270073786,0.07166515742040482,0.02586616199810257,0.16936532602677318,0.14720844065236396,-0.03460374766770155,-0.03998757846368492,0.10451968979464676,0.07457332727028053,-0.005464902966152751,-0.0026010889098924852,0.008946991244632219,0.03575768093696385,-0.04274380744025446,0.027214436173116724,-0.02964960659202999
LRIG2,0.01896557632316231,0.029065567344474616,0.02226882418074369,-0.009088837774563728,0.036957401261307386,-0.03847269503716103,-0.006940851641870183,0.08722263518985097,0.05053369685736193,-0.010172257361911286,-0.060009733489053405,0.012779131870902712,-0.012913090632454235,-0.02196213351660569,0.07822583470668903,0.02724857140782504,0.025459176703189253,0.018229710172302592,0.06488009409851996,-0.0014062161375181256
