,MGH258,UKF243,UKF259,UKF269,UKF275,UKF313,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf
IGFL3,,,,0.024568268187931713,,,,,,
BMP1,-0.06927058299525801,0.03502492150113921,0.03480558835189121,0.14568489475605675,-0.0421513840200006,-0.018022627116917572,0.058755732645402514,-0.030598054843557668,0.025563975040249615,0.02035159004091031
NDP,-0.03273672062343924,0.023697537412193315,-0.0006704642297196562,0.029633841471711296,0.011189022285263752,-0.016699278260438943,0.12268082021889967,-0.017700406664442097,-0.03632171593661996,0.029467916825563212
TNFSF18,0.06525177496269963,0.09166880375237513,,0.028099121954527552,-0.012622088769382658,,-0.024124875246125596,,0.013346834142818854,
RTN4,-0.01021024101948739,-0.02826635867769688,-0.007269075258707281,-0.22407442479706172,-0.0386601604888702,0.02404174869945603,0.058631671511712107,-0.1739045748142234,-0.020259882957253394,-0.039700002460577824
HEBP1,0.0076131341001312,0.014718652948196624,0.00406225434744745,0.11918707411447967,0.019863784033485477,-0.013058804689448445,0.06282893015323066,0.11248696202846203,-0.09535917337123709,0.013526608605877394
WNT7B,0.02283019200788817,-0.03554766133083996,-0.02748647667700932,-0.04739227362774453,-0.02838125991064161,-0.03973190267215007,0.16885798731656187,-0.0635744704199552,,0.045892577677940125
PTMA,0.0021477849724111818,-0.058554312695508065,0.0629602421693724,-0.0323978532390559,0.0002004977514511501,0.04217770819262432,-0.038788795904255144,0.07770880175971366,0.009888900910892421,-0.16873678045975463
FASLG,-0.010997583724304066,,,,,,,,,
CEACAM1,-0.05258441301911749,,-0.010720464509680843,0.024882226268423437,-0.019851538623070725,,,-0.07424599812734128,0.04676236084541501,-0.008362090644367373
PDAP1,-0.007476494606263231,-0.04201065779333503,0.0643245510852577,0.09797440087495704,-0.013642016707640798,0.0652255989644438,0.08478503664830957,-0.037226882367321,0.04439426496376437,0.007421441254027739
QDPR,0.04467726599741895,0.056313999352315035,-0.018877476216704842,-0.13424358551735258,-0.022120792657209568,-0.05404906177121392,-0.06441048021486385,-0.05017645578103819,-0.03951807302492951,-0.06946646595045668
POMC,0.02326816463430518,0.014803058596646285,-0.005238757298828816,-0.01593244872862376,-0.014645673676723425,-0.0041787309940235174,-0.037377467153675376,-0.01309939325451851,-0.09354002939163542,0.0046094025475397985
CCL18,,0.03798255958571825,,,,-0.026732650983214402,,-0.07465062492900343,,-0.021922617403277094
CCL17,,,-0.02375667540139929,,0.05331587594493295,,,,,
VEGFD,,-0.028373065898543152,-0.026467559840182724,-0.04139796802901591,-0.01677198488705506,-0.02020485487609511,,-0.020742305534364007,-0.08122795599882225,
TNFSF13,,,-0.01638682300178978,,,,,,,
WNT5A,0.01050905328169241,0.046692038582355586,0.04469512157566185,0.09843215830807378,-0.06236537416137948,0.021026303464403102,0.05504702023169036,0.025886412268154958,-0.03805760084874159,0.002950768544380731
CXCL8,,-0.08280002365802412,-0.003915596692606755,0.0763775521762113,0.053357158892363206,-0.041143655722752526,,-0.02928493245246634,-0.052056705498471106,-0.03859821950623403
GRN,-0.04874249051309462,0.06587402121549557,0.010496701808076088,0.14596630845682992,-0.01726104423692043,0.03772723297284551,0.05432027858272023,0.010622261285826093,0.1441810241892522,0.009874421416004718
MIA,-0.04957005927368698,-0.015347369786949753,-0.0387410617373081,-0.022955271808030198,0.026409260777786128,-0.013418149978878805,0.038855583781989445,-0.03795902259575601,-0.09667552378281376,0.07250785356677608
COL4A4,-0.03316421339562861,-0.0030942641103997542,0.008471962851513734,-0.029293751807244098,-0.016435346077628577,,,,0.03489540170205181,-0.027717038191269323
TAC1,-0.012531968342846493,-0.04316862970698907,-0.05493032978068854,-0.1412879623885927,-0.006170136898372935,,,,,
RARRES2,-0.05142541173797919,0.03218245943315463,-0.03156307644680601,0.1653585228613265,-0.08991892052287648,0.10038195264058408,0.00016359106772652666,-0.08291150999781322,-0.07088813987734152,9.631006513870958e-05
FGF7,0.08724069687545498,0.04446945624932704,0.008093910775619596,0.023078891614237776,0.04584508535975914,0.013524094713139137,0.025272218416668928,-0.08193924761453558,0.14032421414731386,0.054810942885035824
HBEGF,-0.02207589090496752,0.026592317402114,0.005005315755227828,0.016880166146724353,0.014446536529729478,-0.02773171961740769,0.05343288817911472,-0.041135520714665794,0.02949919835226381,-0.015467679643882156
CSF3,,-0.05120941356349396,-0.02831588566178229,-0.030992225577357382,,-0.004314976318186034,,,,
PI3,,-0.06066518676406447,0.039668612135537074,-0.023368941215850147,,,,-0.06252267807473792,,
PCSK1N,-0.05536293473009517,0.004516494714650128,0.035757587190688944,-0.016931501630811273,-0.053794034512095135,0.0010763259291695392,-0.042822096841759055,-0.042283334559727444,-0.016915559016177528,-0.0008291265587543878
NTS,,,,0.04340876909225,-0.018775472407102006,,,,,
SFRP1,-0.04593214576498818,-0.017132206596254224,0.037650120417470075,0.0618464765608183,0.018334803851108226,0.006586209732626624,0.05546952103006471,0.005471728955809059,0.01222724514947463,0.04630213317794775
CXCL13,,,,,,0.028084655308772914,,,,
MICA,-0.004875939227045639,0.05979598976992154,0.009056089727367078,0.04455514715331607,-0.05903775206134153,0.03153272653856615,0.061541289753527566,0.0359919092357362,0.011907655798135295,0.024787691858678563
TG,-0.011525220909888431,-0.040822076235850574,-0.02236946247928096,0.04656579763536322,0.07224366508408853,0.033601167852083315,-0.030917154119351642,0.049683138527367464,0.033519869088168175,-0.035695146593487215
ADA,-0.058569950701500464,-0.0494947759012788,0.07181606326417078,0.11626736287809819,-0.010486402951207324,-0.004227661119079695,0.04698786389524601,0.026771203484466266,-0.020367945246372553,-0.005567855342538049
LAMC3,-0.08188715772069219,0.0005077648493303816,-0.021887304273465594,0.11032163388685975,-0.006478119744285811,0.003470754106739993,0.03969428419830822,0.1013835433462457,0.04440783346762492,0.027015120553518242
CCL7,,,0.0014192405969427075,,,,,,,
NGF,,-0.02950319885824525,-0.037056669983328995,,,-0.03288006566457418,,,0.04517957248360625,0.012201557703995735
TNFSF15,,0.029914518800133617,-0.018009521866911654,,,-0.019330204455322207,0.02474327082417253,,0.003766072701502227,-0.011211313895506902
