,UKF251,UKF296,ZH1007nec,ZH1019inf,ZH916T1
IGFL3,,,,,0.02264896541661097
BMP1,0.04741451485107084,0.04240343644818468,0.07894644228756728,0.03136782490380289,0.021020596760260635
NDP,0.02173251045795815,-0.02374030953977291,-0.009545037232413083,0.05637247774245726,0.02618948212040421
TNFSF18,-0.0023640657822181456,,,,-0.03307371809704593
RTN4,-0.018351689336130423,-0.017402733201370046,-0.1319513210970407,-0.042147500249620336,0.014864409460072746
HEBP1,0.07125641024198495,0.024834715907543624,0.026334396691646052,-0.00878608720676898,0.04635575124422817
WNT7B,0.010827270967454268,-0.012626033138109739,-0.036451500652330104,-0.04146649385252036,-0.0418497601217754
PTMA,0.04811909404665687,0.09757748518678258,-0.17629412074725004,-0.04583885989334994,-0.03463045031996916
FASLG,,,,,0.08238560888633019
CEACAM1,-0.027564464553009076,,-0.002663071606997997,0.014823017917445664,-0.02366031427373187
PDAP1,-0.03991266297031702,-0.00907109306965632,-0.09535213628699325,0.0026607866957500366,-0.0016886071258960342
QDPR,0.01650285045612836,0.0854273435764042,0.02752003524649787,0.03243193919434062,0.04983327052404978
POMC,0.016884459231036503,-0.02461010377835946,0.023280911633944155,-0.07961928938435121,-0.046999214744206895
CCL18,,,-0.05151395336656358,-0.03487446488288709,
CCL17,,0.02133131010489548,,,-0.015413353346172007
VEGFD,0.019664245591528844,0.08588277170752047,0.05384926140380243,,
TNFSF13,,,,,0.02505881559140403
WNT5A,0.017195310222104607,-0.03599126968630956,0.12978977627857946,0.053838625193121735,0.003224214616442755
CXCL8,-0.00868364691809384,-0.010674799894072978,-0.027694790694469798,-0.03675796496494112,0.05276355876074733
GRN,0.04177966144627704,0.026756831694185107,0.16699599139368632,-0.025939541559901268,0.011038211804945682
MIA,0.01205821918073003,-0.013036694515958049,-0.031155169982341784,0.08298713405353474,0.005359376744709014
COL4A4,-0.014615057290394197,0.10281370880529278,,0.1146055334073471,0.09015492002491907
TAC1,-0.03866193332233083,-0.04682736334169857,,,0.060331343990905846
RARRES2,0.05804796020555282,-0.017083754062782674,0.05721656781942347,-0.03655543646222637,0.0038920578817788058
FGF7,-0.0296404337139109,0.07440834498183459,0.004164320948669505,0.04808708973489719,-0.035034263444716954
HBEGF,-0.010222973080551482,-0.018778714611095725,-0.08684082966799797,0.02968408812675429,-0.011175842719148801
CSF3,,,,,-0.016227883283117746
PI3,,,0.021475997503174065,,-0.01027770157096619
PCSK1N,-0.019670024595228715,0.0034625508943085448,0.030293864505735797,-0.03354000168482315,-0.03886731006779534
NTS,,0.08842481833177829,,,-0.024031282288375682
SFRP1,0.0029596936480961247,-0.015627489752274164,-0.06456967328529577,0.010963297606867437,-0.02347285616985076
CXCL13,0.012999909231793791,,,,
MICA,0.061792288841311986,-0.032644547659158384,-0.012272895566308019,0.049071921317911944,0.05130080990495968
TG,-0.037482117985103966,-0.011309546355557205,0.19397294905076756,0.01147884546540307,0.10178750055900276
ADA,0.05028107505375826,-0.018367612795748174,-0.06174335848286226,0.1147098902219418,0.010299033486873603
LAMC3,0.002139623655774884,-0.00211435572200107,-0.03202901630878033,0.028474179803394548,0.02546305051724858
CCL7,,,,,0.05572643545358358
NGF,,,,-0.02529801079673514,0.05933729988442873
TNFSF15,,,,0.0021334232522113947,-0.026612881835334983
HMGB1,0.032867616434919866,0.044943642417242205,-0.19642014738705996,-0.00402012724013178,-0.039308461770402654
ITGB3BP,0.019424984631196903,0.006193485844064734,0.032944083920100675,-0.027489132191145804,0.06555438362011595
AANAT,,-0.013036695241092284,-0.005672993550192253,-0.03632321704823985,-0.017992262212656818
RELN,-0.035827097550739956,-0.011985222509229041,,,
IL15,0.01518565089054027,-0.02802013045358538,0.16448371687743554,-0.061402146654371347,0.04111128087494577
UTS2,,,0.03019601730226333,,
BSG,-0.028173218864573826,-0.0011061578345349552,0.10240139979363894,-0.0306106064983066,0.06935627747074755
ADAMTS3,-0.050589292809053554,0.031524294943190076,-0.03231961137263633,0.054478533483912885,-0.023417879259124547
CD34,0.0490066689479859,-0.024391302822528566,0.013458843504810903,0.01259891071027667,-0.030333568570788144
PLAT,0.011899572491137312,0.04147420226978254,0.01509147615211043,0.06500329735065283,-0.00920180393973299
NTF3,,0.058285149976645294,,,
LTA,0.05980516060805914,,,,-0.006152640465382442
CKLF,0.026800172884964193,0.04156065685457519,0.107027416981479,0.08247107960669096,-0.010801542359727133
CD24,-0.0005835880175898415,0.011915820436160263,0.049262103338814596,0.04768985329356422,0.04314708788963394
HSP90AA1,0.01611330348982762,0.06224723628502186,-0.06667624730497074,-0.0751796240784746,-0.011059447302663911
BMP4,0.02722940014580159,-0.027880930230722367,0.009768314746196438,-0.03865509830727402,-0.019643813780974975
SCGB3A1,,-0.01099657994372916,0.03876118044181347,,0.011125447030483624
IGFBP4,0.0041328452103930515,-0.034724753147658445,0.11319290417674899,0.03985883079032081,0.013674128328887727
RSPO4,0.017804265253533624,0.090639295740671,,,0.02079885117620854
LEFTY2,-0.027903000979665703,-0.012057882635688367,0.010600791276935308,0.138770528660615,-0.022461805397515754
PF4,-0.025073629486536457,,,,-0.024214867835743108
ANGPTL2,0.014390165486466665,0.05037373232100897,0.08684245638499172,0.07545821244561439,0.03201891982701332
LRIG2,-0.014692474095157962,-0.013419428037275888,-0.08216805926735622,0.00912350203735275,0.038990016100903656
ICOSLG,-0.0032671363280494465,0.005801568878821659,0.040664139177579856,0.043271546314926246,0.05831829093761897
WIF1,,-0.020693283637454197,,,
NPPC,,-0.015282552789701379,-0.07250349321171748,0.024723997567947607,
LYZ,0.10903218809381682,0.02954267971980179,0.08331054886436261,0.08415081892159676,0.0631354405539449
EREG,,,,,-0.01420944038184688
SPTAN1,-0.003166860113756494,0.01707742232796475,0.020646631684034807,0.06090104967035252,-0.05371981218324063
LIPC,-0.020627034364700723,,0.1287493473132247,-0.015831418541151065,0.11836518652224554
COL8A1,-0.02029266524258112,0.023670294894478656,0.09147183978888988,0.04597042009659827,0.032076928614217834
GSTM2,0.0478566641724229,0.006544574757915554,0.04151450159371323,0.031681485031591,-0.006267858031429369
IL4,,,-0.049967470045960104,,
SPX,-0.03714553981324234,0.05307861389058927,,0.031445493191961986,-0.013195658422285778
MFGE8,0.03941713634708471,0.039840942912500496,0.09508232471374607,0.12599876807353091,0.014792105736272813
TGFA,0.005645810323148606,0.09048345177739453,-0.1042348235231341,-0.03656794690460105,0.018090146292859224
SLIT2,-0.012760588160212426,-0.052145397437049185,0.06662304995865077,0.05183349741560529,0.08342220280758947
PLTP,0.02534331523595859,0.05886801069391992,0.10804970115765276,0.03722885129001058,-0.004243819025280823
APOD,0.026318505412341413,0.018881166000297604,0.006638560229889518,0.012580149862529099,-0.054010146191321544
B2M,-0.004675699557225884,0.07897586429808903,0.2755595499344195,0.16805788569921645,0.025778997535074986
OMG,0.021951896980592318,0.0021293932606858993,0.010600571560257606,0.004210807619995094,-0.0017329589209058851
CXCL3,0.025732560946571708,-0.011764014398390223,0.012950439288772507,,0.01743708842287739
CXCL10,0.0007271088371762827,-0.017870398899376073,0.19085571845699018,0.03869258192059538,-0.017219464566745824
RSPO3,,-0.028566598395131013,,,-0.01725700215128781
CORT,-0.006147722253734867,0.008968204803460162,,,
NCAN,0.006191142536266185,-0.015315799956963656,0.061363080300322725,-0.04480217907125178,-0.026770886152370228
PRG4,,,,,0.1850509720109132
ZG16B,0.0035594163955511857,,,0.06427002281640785,-0.002629377961238491
TGM2,0.002210656934415289,0.0013533781216718253,0.00039484401285304923,0.02524037072594797,0.046345793782873915
VEGFC,0.025058158118408242,-0.013652383345124794,0.0948006880071465,0.02951615579512893,0.036482797446221626
WNT6,-0.027903001711966104,,0.1446424679720947,-0.03840067782355976,-0.025986953939695894
