,MGH258,UKF243,UKF248,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007inf,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,,-0.017553686601073516,,,,,,,,,,-0.01865694324702687,,0.001212226973500123,,
BMP1,-0.016349182782226572,0.026645148559588508,0.0008061047300640852,0.05908469682643539,-0.03164953575899783,0.03610371581705681,0.014503718242076288,0.03569958700266372,-0.010746531071378598,0.020583809572709503,-0.06559852955247597,0.1138923251555692,0.035392050619889835,0.11055390014627287,-0.049329962664985585,0.010217596366957609,0.05844963190213506,0.08391892844396404,0.015706694178174555,0.07406920494290528,0.035032815121081265,0.03415527507020182
NDP,-0.042737538083793034,0.10332398606037543,-0.014973295575798184,0.021185775709050652,0.01580263380536725,0.036850778860389434,0.031280325178893655,0.02893836111878806,0.009493585938506894,-0.08063643534569219,-0.027462941623597324,0.12298903620014211,0.06843026284460635,0.05519400497522109,0.0011584964132669213,0.044854510299219906,0.03959241122342809,-0.015269932730301682,-0.02759763912210081,0.031456667452453645,-0.03750289510136335,0.009187749659145185
TNFSF18,0.16520598489452742,-0.013759556939572664,-0.01527998384859639,,,,-0.025262731618650006,0.050192497859967614,-0.0217593077189744,,,,,0.09437470620369315,0.007228061419713055,,,-0.0192405762562715,,-0.003370592752888911,-0.03618261138037687,
IL36G,,,,,,,,,,,,,0.03601953427153734,,,,,,,,,
RTN4,0.012904942126301543,-0.047987590408679184,0.06567721393897709,0.06499045472195207,0.05496490208382636,0.06322148280661105,0.02245575322180974,-0.002701195352504259,-0.012677403875916012,0.015181367414960855,0.1442550010618449,-0.08796839933872037,0.020463757536012143,-0.08410984759370094,-0.006221186524880984,0.019162599586153583,-0.038065695089870476,0.0008148216251335692,0.021508519934928316,-0.006368918448559792,-0.025556470805585752,0.010722659939925081
HEBP1,-0.0372450108909918,-0.011752083099479253,0.05456324230695677,-0.012953337865040045,-0.019620485020516654,-0.004978659259072473,0.007899704992347434,0.06306188417618913,-0.009065723782444742,0.020442936749009117,-0.00934190632497376,-0.022969649378839985,-0.018881579769195734,0.04406947494744771,-0.05451295863492031,-0.0171887996760855,0.05816490381848794,0.11178313825851031,-0.006390103795114354,0.03581557282573275,0.004376443429927856,-0.028529980455681787
WNT7B,0.1129528416565872,0.010623692954535668,-0.012419493307447814,-0.03251136387726754,0.0014171409956465046,0.03771916603549409,0.012552536463559732,0.027098164359415283,-0.043257208651395464,0.06592951506745194,,0.06605730443872597,-0.025151471656755974,0.004576518954616037,,0.03080658517229073,0.04858682413655983,-0.027158803624180293,-0.03537362761410822,0.10711195698915889,0.08962968703177558,0.05527269954020006
PTMA,0.06884374632649103,-0.05201573395942449,0.03581662063412755,0.05935379801482261,-0.025066042661637,-0.025407800143682952,0.04158497731977706,-0.05554317874886511,0.04595288386445124,-0.008055710691901767,-0.1273803984285937,0.12410901730757212,0.04783856786621096,0.09472345521796155,0.03063085449014522,-0.0990092502981244,-0.08622473578658031,0.029910984895857383,0.02940394068035677,0.02132001434269863,0.0432020036465402,-0.17180997808167497
FASLG,-0.017471539479242536,,,,,,,,,,,,,,,,,,,0.0665826184717067,,
CEACAM1,0.013527290232394082,,-0.02856473071625322,,0.025098030345535222,0.0013335681460031634,,0.04572229993771018,-0.0020821135378999607,,,,,,0.1457706034770335,0.03539585385723947,0.0413783557326451,0.01060550021007886,-0.02347799111092737,-0.022655494372932346,,
PDAP1,-0.003840916249370109,0.06307854995691098,0.0480837586124239,0.012573656154834656,-0.06854761270603152,-0.029383916968235436,0.036056271053725476,0.014049034770325527,-0.017236850382933773,0.03400860301188398,-0.014292308550440785,0.11499124736937177,-0.0010592960423555604,0.08200673597395065,0.07325274246375772,-0.02152188934595849,-0.04480066999753879,-0.0376192284283165,-0.0015893178827458962,-0.02791642110190072,0.009702831635075309,-0.06646356719442732
QDPR,0.07056681963547577,0.017575289855471445,0.023670634160322442,0.08008545664687616,-0.02040120374564783,0.050264492894648495,0.007021172497325219,-0.08147492629108942,0.010066369168039446,0.0026995962700207027,-0.12621072428255148,0.06478246143952165,-0.029969518685753174,-0.04273747619997948,0.025689883846042445,0.06124594717227903,0.03438741713888732,0.03280194787981269,0.017604510437534044,0.004040893496587476,0.0022687322949052433,-0.021765666335377253
POMC,0.07041995506713408,0.12187519254556088,0.006397446137936231,,-0.017786158480100168,0.017911878786756256,0.059943197590311935,0.012274220510922577,-0.0022407773349974094,-0.02208855003874847,0.004306075493270409,0.059940525634820295,0.013488923289523787,0.10405493157605826,0.07631096786291205,-0.014328854906558818,0.1785120935582351,-0.0017043221262208947,0.022428505192766287,-0.03162376605550418,0.03830092192429767,-0.01669583395793773
CCL18,,-0.04340343507925987,-0.03212942762913061,,,,,,,,-0.05689325605599085,0.060980483290623055,,,,0.04440789278939764,0.08267220306662726,,0.04346103259454657,,,
CCL17,,,,,0.025260405027001935,,,,-0.01683139113038192,-0.01749884591836259,,,-0.004498141296875198,,,-0.029617570558670578,-0.024185931871307395,-0.0037226891651720518,,0.06494606592302865,,
VEGFD,,-0.024462500481975746,-0.041029353685387904,,0.017508213064503068,0.09040111869579924,,-0.02940713372377562,0.04736785186594856,-0.012835615102109161,-0.01856410748028755,0.05837967030493304,0.00729706028735528,,-0.05558305923141815,,-0.02496686891498524,-0.025943405372499128,,,,
TNFSF13,,,-0.022686318441208705,,-0.018997245929332912,,0.02192512410468232,,,,,,,,,0.05933329258343163,-0.03917559858736025,0.012715748558729633,0.07638673461495654,0.0025346909169617154,0.014383666271065824,
WNT5A,0.026741138507566122,-0.038458774534690696,-0.031180776700056857,0.02106511778979042,0.04630273737949201,0.01927815915576825,-0.009362628201586478,-0.009015570264370385,-0.0017901919749234243,0.04730606540016003,-0.01328655843911031,-0.004865274246689522,0.033923458394848484,0.1673868706900185,-0.02592463177879217,-0.00890227745479847,0.0005959224391090153,-0.053014024743755585,-0.013380965460626459,0.045728740512764196,0.04593840237302893,0.07951556479593501
CXCL8,,-0.0749042303703807,-0.03503841680093915,-0.04410287461293043,0.03809615620700923,-0.07309021055880406,-0.034849062911997714,0.01341535372750274,-0.0020662287099038443,-0.011953082894183245,-0.042301393661959105,0.07154171839731797,0.011698657027805814,,0.06174115262059287,-0.04208883490903941,-0.08978782754347676,-0.03492394276473726,0.00427799697157337,0.03460408488891281,-0.0014595050436776893,-0.02229705621516907
GRN,0.02847327984002149,-0.06011682297612249,0.018019486748983488,0.10742482817124561,0.009725229895415145,0.015288117152862494,-0.012949214303847512,0.02711016343835429,-0.034047489023962374,-0.040766396547109125,-0.11541582401484424,0.03176878840440344,-0.006467732632692058,-0.0035560339724665367,0.09039302111507187,0.044599549167347104,0.004249443148238232,-0.030064029213856917,-0.02479502590810661,0.04058595105046255,0.03506658856033529,-0.02465427444737755
MIA,0.13709169083978834,-0.052747022102962796,-0.010280868385779941,-0.02338502492585663,-0.011101518828381809,-0.0055243709337566395,0.034507798092613236,0.07894878622304782,-0.03698456543278968,-0.014597809023278481,,0.11373023304775817,-0.03068347696381668,0.07962348639259278,0.1062213673894635,0.0555678884574468,0.10878592492967071,0.06847576208986085,0.03571905169855918,0.04917711791769384,0.08373811466886484,
COL4A4,-0.020234171612708577,0.04673337313858274,-0.026037840088157627,-0.008263521677107526,0.06719544192233468,-0.030204759036217388,0.02375753078577305,-0.017297855220036216,-0.028333008847033346,-0.0002789935599112036,,,-0.02976411098423354,,-0.0435226300438322,0.008692957948376278,0.054863070596680524,-0.03789138766965149,0.06431405321819977,0.002290760309505555,-0.018760075571618025,
TAC1,-0.017471529973696786,0.05590458715586112,-0.00039006285989667453,0.006570922564616261,0.0021916063967840457,0.018198835078702184,-0.028769669854073216,0.012720504730877429,-0.029241562628927808,-0.07735494227956975,0.02864055806415997,,0.03902176747969637,,,,,,-0.04050622313497333,0.022365388804974445,0.010997152966585051,0.21116336934164523
RARRES2,-0.047833632806026205,0.00028264405075219306,0.036981733963077516,-0.06384858371626354,0.00654104808671525,-0.07120637578680403,0.004456660282752447,0.015068563915457956,0.02545028509917652,0.020820144259784935,-0.036943445237242155,-0.07628802682211787,0.03125825080878882,-0.008674647504809056,-0.11044672204458118,-0.011444422001703529,-0.029668339486292317,-0.008684332201326105,0.054910968590522115,0.02287368302209492,-0.01976589709768141,0.06715444363773672
FGF7,0.12195979831936653,-0.013162955033440196,,0.03712909852542883,0.05649205229221143,0.09055021687700286,-0.010193402041479682,0.03203065391320174,-0.032962502408534114,-0.031034898443325864,0.07437311235668154,0.07704937483720488,0.00828704115957427,0.030137046179812037,-0.11463653447284332,-0.025229493838392552,0.027396366164231998,-0.04351583011662208,-0.011235216143943686,0.019731321317679337,0.06433561302467637,0.009893785270151053
EFNA2,,,,,,,,,,,,,,,,,-0.023729338043998193,,,,,
HBEGF,0.041705635262248124,0.04815572026415506,-0.035312402988046665,-0.012478127521036666,0.03706667692254686,-0.07822008657979454,0.021145188951536296,0.06906377166891876,0.008024835124045334,0.023501981339693702,-0.04483550401639878,0.09905391408522991,0.046898766972503315,0.03719588881687597,0.030603706989375187,0.045373242758300035,0.005829671708608781,0.03003977542274512,-0.020866724728703125,0.024098627984564733,0.04856638572970334,0.025299304324154018
CSF3,,-0.024667884722730977,,0.01687603865481519,0.020392767033104157,-0.037208585820070944,,-0.01830079788042918,,,,0.06272814346430662,,,,-0.001427585428663837,-0.03690079123302463,,-0.033658907319777845,0.06057684406712847,0.14056434170243906,
PI3,,-0.03716070665368384,0.018525769965711692,-0.023059046823132125,-0.00839464972327078,-0.012381760580483044,,0.034863377034787764,,,,,,,,-0.0727268359550712,-0.0738479877628581,0.003956729421532411,0.08024718758448625,-0.004475912657218062,-0.02486799288301246,
PCSK1N,0.02908668818511135,0.07108052008655805,0.02129033836309965,0.06476612234962469,-0.047642492742846786,0.0697966171739811,0.009084626288410958,0.08469719664518778,-0.024840921470697195,0.02343695494220581,0.1399077500240946,-0.025240133573292276,-0.014799225994706986,0.045224146151547295,0.042207198340110615,-0.013272786613283448,0.00382782926300245,0.005376762695592105,0.05122262234858244,0.06439961070567904,-0.08232066645665476,0.12206757473326399
NTS,,,,,,-0.06644617945908157,-0.028456540402920276,0.010849173391474176,-0.006718306340378487,0.004852606790247665,-0.016713660026614,,,,,-0.04878140541138593,-0.0289096954461794,,-0.020200918005646933,-0.0339457734908324,,
SFRP1,0.04651308586568258,0.12057560429496837,0.016351135245666497,,0.06191391837114504,0.07286533292198136,0.041358520213854714,0.023984624377169056,0.04026580065817649,-0.01749884609459034,-0.07761025486787067,0.07396793104413255,-0.023386192439637646,-0.02592164335993156,-0.0148808389180717,0.08185912718278752,0.009508537599271337,0.010964600408659986,-0.01390966168404562,-0.03227787020891469,0.06897320755234249,0.012140433121343663
CXCL13,,,,0.01801428149345131,,-0.028720203331269026,,,,,,0.03687890972560942,,,,-0.018072085412427132,0.01562764285320323,,-0.027419397661951096,,-0.009439359411053599,
MICA,0.037720353553048355,-0.07140676444493811,0.01986146853650584,0.0010582788277528152,0.01123012052121368,0.00011812930977506086,0.0568809168494324,0.05225752049057804,0.042442322261230826,0.03305981324845301,-0.05320782817132722,0.06866176900448717,-0.00368612668396445,0.07294769706582237,-0.11848019420791477,0.10812574480699476,0.05992067619375267,0.0222394185203107,0.003168759984350973,0.08875491171484388,0.022982059195765386,-0.05637661785690027
TG,0.07022820467147685,0.018371514408689907,0.050775829909722785,,-0.003535133171583096,-0.027451471551297697,-0.00955403575477473,-0.022087425706344005,-0.007057086023600002,-0.012663838800260993,,0.017760867640886784,-0.031401684776057065,-0.009977080676231515,0.0529270974937882,0.029812388034705505,0.044748176419697396,,-0.02770179794649677,-0.020601890334915593,0.05004453208257681,
