,UKF259,UKF266,UKF269,UKF275,UKF296,ZH916bulk
IGFL3,,,-0.013609668976616442,,,
BMP1,-0.025644955186713145,0.008809903317455847,-0.06450320373704002,-0.030950430035718304,0.027503768045225196,0.05271651923971761
NDP,-0.005853906823952512,0.08505477005876205,-0.033588359238367296,-0.02289184502811928,-0.04276803194079063,0.051778796680146205
TNFSF18,,-0.021520626091046133,-0.020209949856816588,-0.01433915972666538,,-0.037159133342352026
RTN4,0.005861497146145655,0.13391104056486922,0.11304142946257587,0.024423056468939,0.06980393371075286,0.17723665396360425
HEBP1,0.03820959021349078,-0.00789693500164528,-0.06352564596460245,0.0055303296547701735,-0.0021398986395516793,-0.00900330991738932
WNT7B,0.06749539498206965,0.07182329608022342,0.10104052022145077,-0.027320102460897104,-0.012182917657679046,0.0025627313475601317
PTMA,-0.0657785319768216,-0.06294348609045196,0.04235246360047517,0.07224360455362759,-0.06908452423259981,0.029557371107063378
CEACAM1,0.03206078895197678,,-0.026595142938895602,-0.022552082174129753,,
PDAP1,-0.04733740759646514,-0.05213032446850035,-0.07556103424274462,0.014292987627280387,0.035325892900781114,-0.07492162959518131
QDPR,0.030421377889116,0.006658008029198576,0.01057986660864028,0.03798828756556147,0.0003928147654855523,0.10032265193997841
POMC,0.027850572926567743,0.004021004364591565,-0.03428261367616345,-0.00024982590926255844,-0.012647843547238549,-0.04615879784369162
CCL17,0.11662067090267049,,,-0.017883723927799054,-0.015079036847777103,
VEGFD,0.07281941692787258,,-0.02279984624467457,0.040349945100730845,-0.011060655885053883,
TNFSF13,-0.011927900929673836,-0.003529481520472846,,,,-0.026947020853285163
WNT5A,0.03582959360786779,-0.04110991131485798,-0.08298534195167777,-0.01747106532168115,-0.056817053825735944,-0.0355857575891707
CXCL8,-0.014120386783998264,-0.003919779953488017,-0.025031307207135936,-0.012612094028915315,-0.01030016369346882,-0.07639916131018094
GRN,-0.03192690029047804,-0.050922435175005505,-0.04805881693501636,-0.024882614276798797,0.007727745142092925,0.021541006361088338
MIA,0.11131691234225134,0.03211101514697086,-0.03887727551360797,-0.01801271115241235,-0.012579166716808636,-0.05035215363330012
COL4A4,-0.04167698584362737,-0.01985737566845965,-0.013411318596501114,-0.018671161079281965,-0.021131999696295294,-0.04517975841304338
TAC1,0.07737100229335135,0.10137999422907737,0.11381676891963824,0.05834202176403145,0.08508160005268636,0.13134966149613864
RARRES2,-0.0322686201940914,-0.03055715101288133,-0.09276549905654449,0.0016724341548989008,0.006343929769603224,-0.03953778555177224
FGF7,-0.01145297134442976,0.025535225752285947,-0.0382202160153017,-0.009552416336090441,-0.031109843542836968,-0.02237201396291093
