,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk
IGFL3,,,,,,,,-0.011164260580009952,,,,,,,,,,,-0.031944348337018154,
BMP1,0.03040848736728739,0.08296820545378483,0.008767419895129792,0.01588895469257858,-0.10739677644483483,-0.07707153163999163,-0.005750947437872123,0.06635255790705616,-0.015027796308257136,-0.02115070920280588,-0.07689973600142722,-0.003419918999675705,0.10743455425081419,0.07518083777455391,5.948674941698377e-05,-0.007174472256983077,-0.02005748128301883,0.13492201842425622,0.14701137967088623,0.03964072464353219
NDP,0.011479899058733093,0.05562751244871018,0.0371194276601819,0.036652733497857456,0.0428034887239555,0.011121676643786134,0.0036212894551519523,-0.004950633600586964,0.07201987123907201,0.03964702819204208,-0.028016343088107826,0.011766453549025734,0.08050701308266427,-0.021853310036326856,0.056939769405684106,0.03447680989631194,-0.07914179521960649,-0.03626096608995061,-0.06295983709287095,-0.05280184063088685
TNFSF18,-0.006720819718311944,-0.01415798869040184,-0.034227540461624975,,,,-0.010739406192088274,0.030494681887434073,-0.019597322684948983,,,,-0.00039965131879727113,,,,,-0.03642675536025562,0.1342922549414636,0.03000949692445158
IL36G,,,,,,,,,,,,-0.035729257737234815,,,,,,,,
RTN4,-0.013803522865997842,0.09609422110398125,0.02785468251956403,-0.05867992012802787,0.03104682315619638,0.038362201599377026,-0.04135942805530778,-0.07643175874151718,0.04207218629746481,-0.0009955426081665274,0.20925937891276136,0.03562000444816014,0.03145321215356739,-0.07727456653542973,-0.004485676651694428,0.037263671742188406,0.03687409763278444,-0.003208429928405253,-0.02212298635534988,0.07933334646370246
HEBP1,-0.05203280356878314,0.009303245523490065,0.02949608027265445,-0.0014577133401251872,0.0448167698226914,-0.027810557683400326,0.049670814242426066,0.012031835786278726,0.07237104693426546,0.00571866302039419,-0.09454062388498428,-0.012825645018405694,-0.047730167459656345,-0.02453611721895981,0.076175724231699,0.033493158897021376,0.015581677404392792,0.017748399195172022,0.0253312247460505,-0.00242799258871433
WNT7B,0.07533546235272932,-0.0020419651560306244,0.0031007311290478247,-0.01600182287747331,0.039614676819554114,0.0169275133874526,-0.03741244821307423,-0.06407227852744196,-0.05617390120741912,0.09193319326100546,,-0.0016514281456738535,,-0.04756690103681827,-0.01636234503824395,0.07819243045705017,0.032207378540059,0.10709297808751027,0.047622571390720216,-0.021500807443485537
PTMA,-0.05102316582043845,0.014702479842458895,0.07604670994108824,0.13317051570041694,0.05092721585243067,-0.023736326237777557,0.07001965655633705,-0.07593357365258728,-0.004379491674039352,0.006375514893080288,-0.22678807099925946,-0.07775052328162867,-0.025575557346618698,-0.0626743137459532,-0.10617052955147299,0.04093223324636489,0.0435184840125703,0.029605886977477288,0.10216821599166401,0.0011130996074553239
FASLG,,,,,,,,,,,,,,,,,,,-0.03674116753870975,
