,UKF248,UKF251,UKF259,UKF260,UKF266,UKF269,UKF275,UKF313,ZH1007inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,-0.00425190030202933,,,,,,-0.01535260248577749,,-0.015471715089754893,
BMP1,0.029406324316266226,-0.0008252029490081409,0.012850573739882042,0.005597819865749348,0.098159319947753,0.12934173839337668,0.04015219821516771,0.02151020801365897,-0.04159612181580962,0.07643149162870587,-0.01610367398210463,0.0007249101564585311,-0.06996017835135622,-0.01930984277007052,-0.009325593599928251
NDP,0.03442217775589565,0.013512030798546225,0.010010327457960976,-0.025289109919333905,0.023310525800849656,-0.014800346325250789,-0.014525074057590324,-0.009045298938932701,0.02312408985081097,-0.030486899347125007,0.08143646406421574,-0.0013207009648870084,0.0456793889438044,-0.01921041723166775,0.03609311541708769
TNFSF18,-0.001171958512190105,-0.006235979426657727,,,-0.016121189315420902,0.1149166778221656,-0.011674764661574738,,-0.0252577245950281,,,-0.01583286795423459,,-0.010640636341408893,-0.024308725671196442
RTN4,0.02098258892637739,0.02968916807883525,0.005365425950581623,0.01627545482188803,-0.14914269421775675,-0.12220900157411098,-0.02990844197797222,0.07058185256119938,-0.04373001443659781,-0.016869830158195525,-0.09072594519646233,-0.04485999669353932,0.03400585842175823,0.07265413879508621,0.022010939267563867
HEBP1,0.00042402617402923854,-0.0017214394347337873,0.03338455192244311,0.014182981492051544,0.0774727043861004,0.04447477918833007,-0.03748328205010958,0.0624730310654498,0.0037216006721851997,0.0028251268674794735,0.038637699940436664,-0.02630368203766637,-0.022864927285279238,0.006963727521227865,-0.014523424848111168
WNT7B,0.05850658373230563,0.00017328500659046978,-0.02624202440456255,0.059676805213811995,0.027713148877993355,-0.02329513552017793,0.020605968274517637,0.04969960552313474,-0.027806289488564614,0.021184880881917608,-0.034341771421440015,-0.0179966175009872,-0.013913085759735168,-0.008578442517569585,-0.042832524102669856
PTMA,0.018435816231279892,0.02894126761710434,0.0010946876810651264,-0.06504460368422361,0.16461727716550936,-0.0651965401054242,-0.0035961651599965413,0.07050711465523088,0.045101681417397704,-0.0653789685873498,-0.0647729989155721,-0.026809557619872953,-0.03019083610072487,-0.018368660131357257,0.06647347041307425
FASLG,,,,,,,,,,,,,,0.017057382614204288,
CEACAM1,-0.024684096689494693,-0.013691698883732159,-0.009533266432216435,0.001735447108234202,,-0.007044881878520285,-0.01836162348633581,,,0.042068836874002466,-0.0016421896175625777,-7.130634479576382e-05,-0.01822827754273522,-0.018670029458821,
