,MGH258,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF275,UKF296,UKF304,UKF313,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,,,,,,,,,0.05264510670837024,
BMP1,0.03475614846469954,0.11899921353665129,0.05703017308823906,0.06644553593452264,-0.019763612516368725,0.06973625284457183,-0.053114480380106924,-0.014771799494609005,0.032257462471670946,-0.07299249078218707,-0.08362573668585957,0.06972630871884172,0.07515740797083881,-0.006958658852263986,0.16871110091918462,0.009657272491455404
NDP,0.02345204772322597,-0.012926434167880349,0.05123336858815068,0.0499807568971922,-0.01667027477075982,-0.02650426767761794,0.027043708604712554,-0.023958500590689904,0.006191592816872923,-0.03630887136307754,0.06064307038909918,0.04176316777803123,-0.020197386869954988,-0.011775217754363987,-0.004628962237582838,0.021878243697222532
TNFSF18,0.03400236986939671,0.018981664682704288,-0.02528979954525549,,,,-0.026878766573611233,-0.015874234900317342,,,,,,,0.0646984948124846,-0.025624361817241877
RTN4,0.0017130792783242906,0.011997292406640296,-0.008913339796904438,0.00934622392918109,0.029488273127457658,-0.008161114230538046,0.03614591238927415,0.0940193291962894,0.008697492960771054,0.04897171356264564,-0.04647915705960385,-0.03871789656643041,-0.04982792063307203,-0.09438046009227828,-0.07425391325563611,0.24105926583746973
HEBP1,0.024919351366641158,0.07517107998902955,0.03447223986301146,0.0296837807186895,-0.01990891179853854,-0.02416951755450341,-0.03671288654326823,-0.005537586154428351,0.044994719835499485,0.07537589811514009,-0.06800462945645573,0.05322656658562064,0.02373728903745721,-0.023610180742145347,0.06962868093599825,-0.009055186656355635
WNT7B,-0.020986969204688725,0.07554454960620598,-0.015709239525174813,0.013697287799417,-0.02807151368111627,-0.007781271970173706,0.03167065021677402,-0.028636493875884916,-0.014267907588083337,,-0.05498835456207464,0.00755987391009416,0.002213067764504891,0.01742807658230429,-0.011429797186218752,0.08554683569656792
PTMA,-0.02544292579476557,0.0004470658923824078,0.021770443957110138,-0.02714809126846652,0.0011681017562445504,0.0026894063841088277,-0.05565584662319715,0.019959597298137097,0.003496558154628884,0.009963034819041362,-0.01499431385539516,0.007751650957568515,-0.09330495748766712,-0.017024103061457383,0.13385736277170052,-0.06277941596786119
FASLG,-0.02098697513765116,,,,,,,,,,,,,,0.09823649657182341,
CEACAM1,0.08285744999268765,0.011803430566973278,-0.012055896488437145,,0.049309918792580225,0.022230585894348554,,-0.00032071774825909193,,,,-0.028453863394917615,-0.021442923452982512,-0.0306308313930673,0.04247725436048032,
