,UKF243,UKF248,UKF266,UKF269,UKF275,UKF304,UKF313,ZH916T1,ZH916bulk
IGFL3,,,,-0.01223877305036776,,,,0.05189793859164213,
BMP1,-0.06357691911500103,0.05659610797472336,-0.028730839381722276,-0.044439189291984864,0.016987686065060095,-0.015320483810677764,0.019902509614162192,0.1280395277310034,0.09000316910078249
NDP,0.03886416074705843,-0.030329630256033125,0.05548721907408626,0.09148819135548865,-0.01257517890349637,0.021471468249259384,0.018161605711020254,-0.020854958992120327,0.028052864388793848
TNFSF18,-0.020160107355044237,0.011375387138971068,-0.013291554494541244,-0.018174210561760783,-0.014907370306635127,,,0.041995825263461385,0.023092904734568324
RTN4,0.0787503465766797,0.03138658893363008,0.004704660965998813,0.08709116720364278,-0.011702356139965614,0.07089489468031804,-0.005262179671599849,-0.015329457067946282,-0.10377856239967787
HEBP1,-0.038642193813746485,0.038987040380468636,-0.02944107934990767,-0.057063630074494075,0.0148186056018468,-0.03007241280157819,0.032409047372472556,-0.010408334459260793,-0.020990748146526617
WNT7B,0.14098061912751464,-0.002202507042535923,0.014017400427620693,-0.023889456666725536,-0.017443983164342633,,0.05021885114256943,-0.007575712956316821,-0.02025855923532546
PTMA,-0.04575905909940976,0.053132717098976316,-0.008966653774188989,-0.03990663400908593,-0.017889763066560097,-0.11886550063579987,0.0018816908544047807,0.08480970952000422,0.023204649365962133
FASLG,,,,,,,,0.1362017031143275,
CEACAM1,,0.04727410372093716,,-0.02391622597364273,0.025553693594642154,,,-0.008443792514283989,
PDAP1,-0.08950525757047215,-0.03553189326285709,-0.015916170480777623,0.0010381471645704967,0.02452517310171393,-0.03431764562221076,-0.0341509513147167,-0.026799054730850938,-0.02442316178819239
QDPR,0.058609666714629256,-0.03491339492336121,0.028565497120536656,0.03919405146387268,-0.01275268430569296,-0.11716016804659204,-0.021092766398441633,0.022350204249185313,-0.06262635522289756
POMC,0.08754055335597942,0.053401770381933764,0.012307966278229837,0.06367264957558433,-0.017297333656744105,-0.0610455263742829,0.04650392654743397,0.05215995410002683,0.039760524894002836
CCL18,-0.027036361612349104,-0.02570830773390003,,,,-0.057880816179747635,-0.0429919553424097,,
CCL17,,,,,0.07189769663149909,,,0.029246565260314265,
