,UKF243,UKF259,UKF260,UKF275,UKF304,UKF334,ZH1019T1,ZH1019inf,ZH8812bulk
IGFL3,,,,,,,,,-0.01971270493166568
BMP1,0.025276740553862986,-0.004780014076408159,0.05140605377592619,-0.028254390637832246,0.13426578235082134,0.0405251325379216,-0.008375319656739292,0.18476010892168768,0.026422695707688935
NDP,0.04129621455726601,-0.009514397932828936,-0.011036390908312078,-0.008581654756989238,0.07006873621453856,0.005574635597459829,0.04036189413958291,0.060253739436589585,0.0761253765772201
TNFSF18,0.1044776972370908,,,-0.02151945143849262,,,0.10510774883701528,,-0.020329364646351412
IL36G,,,,,,-0.023618395278338353,,,
RTN4,0.04921741810341088,0.031244388665787933,-0.024215770811354443,-0.006905399524508315,0.057704325296148974,-0.04162775851376312,-0.08046335517943179,-0.08506008963833976,-0.030740168531302316
HEBP1,0.04571726882382315,-0.022639562039504697,0.012857361265909233,0.03558736651291683,0.060085932677568704,0.02497690188948596,-0.015224340391258409,-0.031558384520625336,0.01653837824090674
WNT7B,0.11393033410528147,0.0185043374843793,0.04876858829904552,0.004009038553440773,,-0.025959338227819317,,0.023288384662776353,-0.030718641133495716
PTMA,-0.04959560742014003,0.005532745279311161,0.0038870314504927733,-0.02135641430862842,-0.022402855894955973,-0.02559143079848108,0.031363506800735776,-0.2194678124803405,0.03565498631004533
CEACAM1,,0.009328851540540906,-0.017458764308391196,-0.033844970446949646,,,-0.008074185296542625,0.21005401601174295,-0.029211174582411122
PDAP1,-0.038373635364872295,-0.0018452504194969275,-0.043866366485183314,0.004708461629498246,-0.03429390487016462,0.02239606955635911,0.016142945889362548,0.048375233517086474,-0.04253645080037735
QDPR,0.07299596426270691,0.0038324364196731337,0.004391422892233433,0.04194304261216684,0.004424948944122573,-0.08001373240282197,0.08292766278383344,-0.2095287828908433,-0.01606845336501166
POMC,0.1214571003038778,0.013012314219345403,-0.032503132333209867,-0.024969469731092226,-0.017413562434819604,-0.03539249488698433,0.015899967670033936,0.026726970927820552,0.040364893229468006
CCL18,-0.024639271752412664,,,,-0.009346959299741298,,,-0.07927698555765686,
CCL17,,0.006321034609247406,,0.013878017249705854,,0.010866318049275925,,,0.014656625616741453
VEGFD,-0.02776125758148909,0.08641431792198757,0.0971304256924288,-0.00896790138405154,-0.020426090459502378,-0.008495597904382568,0.0865867559840246,,-0.027411494383580943
TNFSF13,,0.10764685089824069,,,,,,,-0.027870981181074304
WNT5A,0.026119777954616518,0.09684489852065828,0.06744167682399593,0.008975778276703992,0.03553259715782401,0.008350286044717839,0.011379298909739441,0.11523335118380608,-0.012760736880538024
CXCL8,-0.08389209088169224,-0.02703751445273581,-0.09435207708943963,-0.021353321401652227,-0.04654423027983963,-0.015435046192345592,-0.04386380430035543,-0.09938025781494625,0.01691941710434737
GRN,-0.027135435773982076,-0.013750836161784297,0.048705311537004393,0.0530297870346656,0.042588604576082455,0.039549264952254526,-0.09407061542574355,0.04458673720319688,0.005104898350566425
MIA,0.005836546787758934,-0.0008727548581128659,0.013106521001716716,-0.0192941116935627,,-0.03166903183159322,0.08289099049752068,0.12246097900090314,-0.014179206548013582
COL4A4,-0.027946550677197025,-0.042088617149580405,0.11346731677288487,-0.018130623977242268,,0.015471616781126973,-0.0576406728332037,-0.02465063527653693,-0.02666565192112671
TAC1,0.11874523968031121,0.04982647834996353,0.03366467157360135,0.03579935445129722,0.005820975114791702,-0.05444250976224892,,,
RARRES2,-0.012304270137526621,0.087445763241575,-0.020431454886743347,0.09914442430203976,0.009271946188565664,0.03602918978003337,-0.10907476313740005,0.08493990715267634,0.040967688913978076
FGF7,-0.027205173222255113,0.011799952797981114,-0.032671069497980015,0.031330993268885714,0.00921363986591906,0.0929287298805131,0.014763055078490926,0.10018185009331558,-0.0042961599178906965
HBEGF,0.015435267823826966,0.012637221902315596,0.004852121847252554,0.0008388357806380243,0.02763813955162781,0.03999917509126569,0.006220566370333224,0.02086211352155165,-0.004487782674233416
CSF3,-0.027946528551829376,-0.019642900261969954,-0.08972867726881091,,,,,,
PI3,-0.03310683048345995,-0.04734933231633139,-0.08586477680996,,,,,,-0.022082797187576303
PCSK1N,0.13995168156274154,-0.014329396475411536,0.04731257474926901,-0.0342698938394425,0.03360845785022752,-0.060610593817040724,-0.0077730337811573085,0.03509630205795403,-0.03872535810575252
NTS,,,0.0718436419135825,-0.013709871454199576,-0.018390042827294516,,,,
SFRP1,0.060482313719366944,0.07349160525517884,-0.00704324579740443,0.02586804534748624,0.06863387832459367,0.009400092872725314,0.13556757872684985,0.01664171557540593,0.036744301469978376
CXCL13,,,0.006119019251272008,,,,,,
MICA,-0.017868044300392526,-0.030054152384357838,0.004207456355267561,-0.00504967973513041,0.03251188766472533,0.030511814381170066,0.05339976270232212,-0.0015430091928606794,-0.043732989850422524
TG,-0.022277843851026435,-0.015407276319724921,0.007013845359237006,-0.00662951571529364,,0.0004739160995814431,0.08052341609286948,-0.01023120822301607,
ADA,-0.032945291611114313,0.04198558845710302,-0.023072748134277444,-0.04109557994402791,0.07688952692449323,0.03481593493706381,-0.03930057507127516,0.1242654841620312,-0.005478352289618719
LAMC3,0.016182639285680464,0.0014871041862279668,0.06385903672513953,0.010422044077609664,-0.03715807442641037,0.017807607821770582,0.011818415584194397,0.13718746593642467,0.08636480925432992
CCL7,,0.023789113569214013,-0.0177984773102889,,,,,,
NGF,-0.01610078952066006,-0.008901999073419022,0.01012491873872093,,-0.018390054935917558,,0.1094899156786855,-0.037380120740304966,
TNFSF15,-0.019918686070433084,-0.02649115490460531,0.03617047039595683,,,,0.01700815677395637,0.022899453912081032,
HMGB1,0.07620898532939067,0.019628810938405263,0.008992585052995534,-0.03274444253441401,-0.007758357138870779,0.06516539360754968,0.07713370892312463,0.01090806005830697,0.05231779863386973
ITGB3BP,-0.03194825978641533,0.036596907338230907,0.049825874685028096,-0.05125254837200114,-0.02264993808868126,0.026807772669215944,-0.10083144821450984,0.046094410908269476,0.01903008143506871
AANAT,0.0526791262749814,0.0014417176824820111,-0.036738244704193186,-0.0015343816739489158,-0.01728935619519619,-0.028942240319211894,,0.008897404457728889,0.01530631015113738
RELN,0.16057852952644375,0.031135010363632712,-0.012598148289727005,0.03126405435989225,0.023374236476619344,0.034019086404216484,0.11584021793022994,,0.0018565966737251736
IL15,-0.028314068424427158,0.051398976753535525,0.0440520557333112,0.01925448867257644,-0.03542975269362516,-0.0009603148054395694,0.031001153878951353,0.08642051054808222,-0.04003558568175412
