,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,,,0.021336446864185416,,,,,,,,,,,,,0.0399123534597373,
BMP1,0.0052241127308145655,0.04975788934159563,-0.0386481117439409,-0.015656212339566142,0.054411997014817116,0.07803419252034098,-0.063142392656699,-0.01145986918395,0.17599547767018398,-0.023362113090643937,-0.0013414212491465935,-0.0530182844941024,0.015610974838742504,-0.23621911967509931,0.0686857764492853,0.08821960303481335,-0.003247742258131591,0.07715350020256026,0.07989839839959434,0.0648582328809694,0.03604962644568304,0.3376806788788093,0.05702707276501119
NDP,0.0594739651725663,-0.007113454746567257,0.029902435665343983,0.005604227061360028,0.025230365478265068,0.010114082301676774,0.02432645299709425,0.044675794930534495,0.054218209353214634,0.0463640344175866,0.025783931993956438,-0.020357342880076058,0.0932931775364799,-0.05487976674841649,0.0752620936391778,0.09959730879626044,0.07879764339301412,-0.0029617114577718383,0.051448755091395716,0.06871418880288781,-0.06091885691609239,-0.062294785104262604,0.045262602994706747
TNFSF18,-0.027484299339896868,-0.024578336514289575,0.006586487393025205,0.06144906696369231,,,,0.024293442065609985,0.06583059849741088,-0.028349639525963876,,,,,0.08331138247474239,,0.17466611389312442,,,,,0.10994518561307569,-0.02439363697073107
IL36G,,,,,,,,,,,,,,-0.03342596482400293,,,,,,,,,
RTN4,0.009348713014065656,0.11414749596268368,0.03204033322541262,0.006537208245506342,0.013463447989136222,-0.018270144863100662,0.04334808940155443,0.13673584107755446,-0.24958757555084676,0.016401048481990057,0.04135300521590445,0.23819784965806817,-0.019524255123701414,0.3158381838411552,-0.029168814817848186,-0.09266683958818113,-0.05207667236387341,0.05534433002529271,-0.030735926303255254,-0.02589593649193862,-0.007642215123314033,-0.110230778370642,-0.002148435536041802
HEBP1,0.015539637500688756,-0.008160534827439626,-0.014698660663026837,0.007107810323626966,0.0030789918027713933,0.03839457697239191,0.009559526405892561,-0.08846702950823956,0.08578010143008798,-0.008134117773560474,-0.009359668167208707,-0.06083085014156494,0.000688907973024672,0.0015434497605006658,0.04783152631809944,-0.044532557127927364,-0.04210586176288827,-0.023030962403395517,0.038554401613431356,0.02106304017099993,0.07849130239272288,0.05217331879493641,-0.009346420124826777
WNT7B,0.03504236403098342,0.26373674185962315,-0.019825640319611655,-0.02452604823250501,-0.031103842426901843,0.01901121851184799,0.05675563147491973,0.009714968903632703,0.024586556814961587,-0.016157446536006013,0.016036176520260476,,0.04690214335147099,0.13826879926900104,0.08071789101299758,0.03152510337665952,,0.03130418503317627,-0.013643854356336754,0.007058707392191449,-0.019268044362707532,0.1409427163318368,0.07855023851484673
PTMA,0.08680340836808538,-0.022433615435325335,0.11025763748253872,0.03533584580636868,-0.036956057067935325,-0.07926708885829836,-0.04875179439811609,-0.10941221615185998,-0.11446401628802073,-0.05206577559526923,-0.05497618299874314,-0.2800232629534471,0.08366324411967205,-0.33294021450156935,0.06199561469283984,0.01569305898655369,0.01712155902197437,-0.0037213995084197436,-0.04188279128929079,-0.08609651522608862,0.020209412390887235,0.2267923668525192,-0.050261262182088144
FASLG,-0.024212813731154335,,,,,,,,,,,,,,,,,,,,,0.0422243118155979,
