,UKF243,UKF259,UKF269,UKF275,UKF313,ZH1007inf,ZH8811Abulk,ZH916T1,ZH916bulk
IGFL3,,,0.07118217611513637,,,,,0.06868297550600272,
BMP1,0.003865775371889292,-0.006759703912860257,0.16088267878663182,0.03384518332465832,0.11231289706615227,0.051888282309716476,0.021333360924695847,0.0710753687047535,0.005735502670954692
NDP,0.005441933545129419,0.01774871958348435,0.023737097889906397,0.03113859378158281,0.05796092655812494,0.08138023796970655,-0.03455516337680954,0.015544277204662022,0.036861863905211026
TNFSF18,-0.01868161798222399,,0.12216905679272423,-0.025614071439429117,,0.18598493372870833,,0.08466015860868557,0.11023526301634073
RTN4,-0.08430511174859821,-0.01559100747573591,-0.20700247361243754,-0.014725813601669711,-0.03768824149969767,0.005973935489356839,-0.01098919009720557,0.0051010844856776575,-0.03441262419607235
HEBP1,0.01954827659293065,-0.005921227585487922,0.08875668828304004,0.047310350309155855,-0.001426544768240237,0.01673857723975216,-0.0019816865056813122,0.008832793055363108,0.009356949857724178
WNT7B,-0.04360310403851211,0.015753957826885753,-0.035308230178314526,-0.04058953555622098,0.041146230084676605,-0.02698067325997131,0.025563971303612727,-0.008258633046833858,0.04250782800892526
PTMA,-0.028926238117585514,-0.0036384942118469345,-0.06502866407970982,-0.039442817962536916,0.06340266569804293,-0.018488937132665223,0.07573402185396245,-0.014436517331413979,0.0018732206141914875
FASLG,,,,,,,,0.07050203573679592,
CEACAM1,,-0.002281935116419392,0.04185289800116274,0.02623593465470964,,,0.1663451020846298,0.035113388433231314,
PDAP1,0.016269015035110676,-0.018692745831060533,0.16718812821130033,-0.018288346589513296,0.04260760001084574,0.012880291247025923,0.08481805703297504,0.07276677614233211,-0.05921658590593392
QDPR,0.004690223175778255,-0.03805225530262904,-0.1675703297432126,0.018531551177452116,0.004876188852300187,0.008621807609459367,-0.04439376624463281,0.06808996477950008,-0.0190914943645188
POMC,-0.017813902201135136,0.007755790741570585,0.014137392218096212,0.04859998790777845,-0.022256556698760258,0.07332956396410815,0.03537838056037663,0.05535084061861986,0.05846523720419203
CCL18,0.07021436252217222,,,,-0.007930778171857373,,0.012181749405252159,,
CCL17,,-0.02544022923970827,,-0.022847808006290438,,,-0.014604109302563237,0.020756704510627857,
VEGFD,-0.028228068410654318,0.07805069673829029,0.14873159045894405,-0.0011951002457900144,-0.015037429392556142,,,,
TNFSF13,,-0.017548100760407807,,,,,-0.028023092180748044,-0.009095273951798368,0.06342763762713986
WNT5A,0.008922042724555792,-0.0013083103911984688,0.14613873615408635,0.01610337054953123,0.04964704210671911,0.02670730044855804,0.009556901204311538,-0.00938030949058822,0.05553476031828207
CXCL8,-0.0026978398308534365,0.05668082226495098,0.03866790881914444,-0.03314112606953306,-0.021362387135346713,,0.001242659414194351,-0.04606020939491255,-0.028306116931783473
GRN,0.006561001826401973,-0.05464572774586893,0.17576532460387315,-0.035050782824990294,0.015889657685941187,0.04605635165285086,-0.0026308372666392905,0.0018423701026607702,0.011093989226759722
MIA,0.0432998432832656,0.05479095190971228,0.027461376835440844,-0.03363477662476933,-0.020393455774394963,-0.05436079083701364,0.015344316165224067,0.09113308057613428,0.09319072502997203
COL4A4,-0.028416477245027622,-0.06131438811288495,-0.027779224391878205,-0.02436283325745413,,,0.019018071293578773,0.020431118391650026,0.05324960022207106
