,UKF243,UKF248,UKF251,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF334,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,-0.026789155001348656,,,,,,,,-0.015090855103059221,,-0.03181050411889327,,
BMP1,0.03846627469056112,0.04006467972867009,0.009000799108734454,-0.05120036087921953,0.08063817463921272,-0.03129352255108329,0.03285552469376134,0.025503346402396244,-0.0014891416898155057,-0.06565622488235724,0.08560677949906205,0.0490007978681904,0.10828260994260945,-0.03260632128803065,0.024244067018241184,-0.08321415146439233,-0.021713454103185717,0.03549583260566718,-0.024018737296350845
NDP,-0.033212546853255843,0.03840488663683865,0.022597522166791305,-0.04921356985963014,0.02366041998493917,-0.031200556102019914,-0.0053955637916442015,-0.001889814578398917,0.034454193844427834,-0.023850204554927947,-0.12905484459920907,0.04172672336108819,-0.015668026851212394,0.004649987433196391,0.04986327014116735,0.007901582805470278,0.1126409747705377,-0.017701646100928104,0.013916152391258688
TNFSF18,-0.029419590627068205,-0.02723213112352285,0.06634660420220709,,,-0.018805375768478825,-0.000845535568597431,0.0399570069465414,,,0.0116993690323357,,,,-0.015562932498549861,,0.03504226290083069,-0.03308653473325905,
IL36G,,,,,,,,,,-0.01314380870657064,,,,,,,,,
RTN4,0.053418678799847456,0.006717051858654068,0.011224719589186518,0.014780695880090218,-0.004202423078747631,0.07561234330351016,-0.04086377606452046,0.025732981533394202,-0.07233732017844777,0.07595085063721961,-0.06199919531787107,-0.05070791262091194,-0.007611497245083613,-0.04914776684139722,0.010372409687454091,0.05867823195439971,-0.028068038731721492,-0.013862618551892792,0.08690291595914774
HEBP1,0.0038252132598710995,0.04390399905201535,-0.015286805940714366,0.05135199122967139,0.03524412958194469,-0.05023950207011784,0.05900282341483267,0.02030405054845708,-0.004437385995182882,-0.01906574639101317,0.08512932946919484,-0.06941551801441272,0.03960153670387673,-0.01979512485827704,0.014752907819972867,0.03237863677159222,0.0932088669440778,0.005524895623999353,0.006014406152884729
WNT7B,0.0847498343199218,0.0651723087953575,-0.02584340129769101,0.05323864742957975,0.048996720714284556,0.026935011466402453,0.026592190828802903,0.038652835274443104,-0.009752675209891684,0.05532545405896304,,-0.011823854327400622,-0.02514461011514972,-0.04182770392881776,0.027885160073292663,0.06321370774850367,0.0598523090976446,0.006931533601847871,0.04750123804318544
PTMA,-0.030689712319700965,0.04334322336336156,-0.0340562640157455,0.043372043489246476,0.014823296510353043,-0.05843506806280058,-0.012661660776070338,-0.01336791509097648,0.035906346843976894,-0.1376114885278851,0.014488132861754453,0.01880949730729717,0.014344357425430457,-0.03551697896294818,-0.06997775600828393,-0.042807955659654624,-0.12105320123865065,0.03855963328071898,-0.002331239721615191
FASLG,,,,,,,,,,,,,,,,,-0.027589239370005826,,
CEACAM1,,-0.01733250514458667,0.04788713776004859,0.01882061015099984,-0.009770464839967347,,0.023495329626619904,-0.010430302005406318,,,-0.05242126107955178,-0.03969402415864243,-0.021078381151651025,-0.02026357521259548,0.021925104017276525,-0.01923877390871792,-0.03838637446167532,,
PDAP1,-0.02307599168733041,0.002197269341717537,0.024962148037471318,0.05872278698547334,0.03179945797607241,-0.034022491821120056,0.029123841559130153,0.03145603403749549,-0.03229156816719405,-0.05991883260916502,-0.00894456865544228,-0.015180304297815257,0.002151895246818982,-0.02257469133465536,0.04407893169834456,0.017220493046235352,0.02364295987369621,-0.08507525549700003,-0.05652924539255883
