,UKF248,UKF255,UKF260,UKF266,UKF269,UKF275,UKF296,UKF334,ZH8811Abulk,ZH8811Bbulk,ZH881T1
IGFL3,,,,,-0.01740593644042309,,,,,,
BMP1,-0.03244431203012417,0.010908774931796442,-0.014170122339205187,0.04182958396602195,0.02109065818364288,0.006927522623417841,-0.008689464692866826,-0.01799286604446203,-0.005874459455517261,0.008172245905733304,-0.001653554407917919
NDP,-0.003678504765188556,-0.012791035966241336,0.06632491335469409,-0.0046228367516553005,0.05335255494449145,-0.015191424176187423,-0.022270834510735697,-0.01165944947878686,0.03679880100675316,0.044183338405033606,0.021589859786335094
TNFSF18,-0.026901508242589394,,,-0.016264938802008855,0.00372335282022262,0.03544117648178533,,,,,
IL36G,,,,,,,,-0.01745643778220654,,,
RTN4,0.008456035398698283,-0.01850077772244411,0.09065584793724242,-0.00341013414571495,-0.006693606069186669,-0.025875992337586792,0.11127257349898506,0.03465902595412732,0.023650162752220427,0.002971857025658389,0.0902750582462278
HEBP1,0.05243030085359371,-0.04192558698381759,-0.021837526993250787,-0.008179986799822356,0.008055768527164515,0.048542693116027304,-0.024058805832844074,0.064947068827251,0.03660771753499595,0.010528982013489126,-0.036863471154604706
WNT7B,0.01921392747870992,0.025269569383214174,0.02850849518228158,0.00185991498149164,0.03761780706971218,0.06800438032039835,0.035506708950572875,-0.019186636826965035,-0.04123648135886993,0.036552098988552405,0.024551959240660982
PTMA,-0.040352184055966,0.02441483859524121,-0.07058066401240044,0.04735089899357699,-0.05360078296973121,0.03188264576785157,-0.04539571788142199,-0.004227436593717252,-0.08405522994724832,-0.02524847829759685,-0.07108861318369969
CEACAM1,-0.01712207274182304,,0.025012769670824803,,-0.03401356553298555,-0.01836162237105636,,,-0.009560419616055051,-0.0005478939475619072,0.004732842451952348
PDAP1,-0.03907393443848006,0.03884146579671061,-0.02957435660669675,-0.023923281557715746,0.004478754425141847,0.018699343339707238,-0.02746201922704334,-0.038979215268804455,0.008813906063499685,-0.014295554801479987,0.04742877120816179
QDPR,-0.03459145654965511,0.01907417890007974,0.10620446735316384,0.0543614227898559,-0.03384408746261189,-0.04617979333424342,-0.0038879807266156293,0.011255660671044419,0.05615780539222692,0.045320388229953296,0.06784247048326751
POMC,-0.004352209750968544,,0.01743422231077408,0.03148550674985084,0.06992351629958038,-0.013546472871840229,-0.032360647745057466,0.01901265289622947,-0.019928802376302148,0.0518333648100723,0.015506440029818894
CCL18,-0.021366729019409034,,,,,,,,0.05193842624857637,-0.016581289363770367,-0.0723429552187954
CCL17,,,,,,-0.014560703655432758,-0.014891940199704792,-0.01594695150214628,-0.02542548135271784,-0.011793766541428623,
VEGFD,-0.021366735804346254,,-0.01677028477551217,,-0.02915961257162684,-0.0155131981836042,0.04147465043116,0.023367934409873,,0.026337873440197064,
TNFSF13,-0.01612402449248972,,,0.03121059314916303,,,,,0.11816561992190061,0.09651542101027848,-0.035972627305430965
WNT5A,0.007056567493476876,-0.046457385635531236,-0.0877788105221931,0.033458560823442604,0.0020673036104856047,0.02841741893801282,-0.020878257350842706,-0.037605169004557154,0.07238405362651383,-0.004313484481859636,0.022687079264277432
CXCL8,0.04742705240221598,0.03254893985007888,0.008269184671479303,-0.02243691949577419,0.04424504979512718,0.01492040006907131,-0.010172362022772045,0.023348560006640578,-0.0707385323230446,-0.11474604291848003,-0.1087036443126671
GRN,0.008150305109114853,0.10014632410005807,-0.05924116463485908,0.024902790048432506,0.034326806479865524,0.03860231273185748,-0.08483257315436743,0.04527611930396883,0.05874184624082186,0.007734151833481146,-0.024331315698841657
MIA,0.027304065098427362,0.03448558198981969,0.023789120725422806,0.048763902909623784,0.00615731527526126,-0.028619255642412463,-0.012423087787363974,-0.023406691152211893,0.1251967588483728,0.019297847738872966,-0.01655980896440258
COL4A4,-0.02566126795263667,0.02622598482553517,-0.08981273709576278,0.16283436948063704,-0.01715225840349559,-0.015201825105098968,0.03371786302080215,0.12584507058252697,0.03751730916900676,-0.02902400437128871,0.014695684598137736
TAC1,0.08197473910706012,0.0777825637947566,0.11061817764585011,0.04079697027418081,0.006719391785213466,0.0009841798657329761,0.04035086150027935,0.012461444557852936,,,0.04174462811453937
