,MGH258,UKF259,UKF260,UKF266,UKF334,ZH8811Bbulk,ZH916T1,ZH916bulk
IGFL3,,,,,,,0.096787026632461,
BMP1,0.01754243940435113,-0.04246216256746344,-0.021401536844375818,-0.026389365906467337,-0.0004243574594029718,-0.010806590962129931,0.04939142789505408,0.016622721118898846
NDP,-0.03814127938902784,0.033192849434673356,-0.00566453295377109,-0.007452815606320764,-0.0027126802684716467,0.012952332215428866,0.040153291494094294,-0.03881964195320621
TNFSF18,-0.024949405422806912,,,-0.012399103332895775,,,-0.020778710631252733,-0.02226383269352275
IL36G,,,,,-0.014899818597067443,,,
RTN4,-0.07540895544185959,0.03332887749813885,0.002257776062984533,-0.00037310798289676996,-0.022109160794664,0.045936536992688036,-0.014007208131943245,0.08232944365333804
HEBP1,0.08240938650030873,-0.024294377612589492,0.004093645211921405,-0.004828533913069533,0.03185582631318086,0.002453047873479155,0.07342296631627444,-0.06839573416660735
WNT7B,0.06372094905201114,0.027027677984309984,-0.058459135244101144,0.03683368000327592,-0.01637661771412432,0.02654399692742575,0.005134248641307824,-0.04919963055504714
PTMA,-0.0062973358642576145,0.055836795084040124,-0.04353832012894282,-0.029394997918835642,-0.06996976989821979,-0.037641965095325976,0.010181234877592612,-0.042454702923045304
FASLG,0.06725026131960223,,,,,,-0.02114556947813958,
CEACAM1,0.015516654742257814,-0.02627433897835939,-0.014562086976614567,,,-0.014947342055567995,-0.029420954209984324,
PDAP1,0.06666951658016046,0.018313820758837848,0.04094555481685027,-0.05996741819062574,-0.014624955972938343,0.03962147642335662,-0.03349432540115594,-0.028717101306883635
QDPR,-0.03823189767134942,-0.025028174468955566,0.0011152998272128847,0.04379264785065127,-0.07456530091606867,0.003624841403006687,0.01029711220528467,0.04904552352379922
POMC,0.050677497523670796,0.026710317396395483,-0.029302362524741492,0.037794219806467994,0.05373936735209674,0.10848513929906874,0.011904087024426538,-0.029119014462921106
CCL18,,,,,,0.011079803409097632,,
CCL17,,-0.015228931843954545,,,-0.013611407294127655,0.05271196139569419,-0.019166083669627857,
VEGFD,,-0.01696671180085197,-0.013932180340675702,,-0.014587766787818512,0.04038010245320151,,
TNFSF13,,-0.0105045763524009,,-0.012024543634043589,,0.010435750496676614,0.022349068838213623,0.011172286251227827
WNT5A,0.01932311966018358,0.038934138364222846,-0.0005116263271170711,0.0053462561981178535,-0.0006094206151211895,0.0246733803805896,-0.006616152383862639,-0.06050343964278217
CXCL8,,0.01858534734733264,-0.005456288277696828,-0.017104133417680502,0.0739442761372812,-0.06693162615436783,-0.03241396148077906,-0.11506773261435618
GRN,-0.12358699313191675,-0.0758797285543385,0.058928771076151805,-0.026684266064336264,0.08764550036799097,0.03305428413766281,0.010432038383555551,0.040256878013348874
MIA,0.10348618284114111,0.0093409399865984,0.013199470657938538,-0.021742693958417207,-0.019978615137678856,-0.05310772327714319,0.10563276576360688,-0.05057517918356239
COL4A4,0.08638599391646758,0.027218588665457753,0.015264717500999553,-0.011440822018454245,-0.01937999787215753,-0.023933031781115534,0.012213358942296608,-0.04399245733611225
TAC1,0.06433599666697569,0.02322834244126852,0.009214212326607636,0.01961439720122504,-0.03434541211911041,,-0.008646917951739077,0.075317373552008
RARRES2,0.06987873758005744,-0.02251207466702749,0.027347147973417647,-0.023232366504537576,-0.011720098604401165,-0.0424411461776651,-0.0014659954958957078,0.0056726239350505395
FGF7,-0.019320597489070772,-0.026994694677178792,0.06130892664460221,-0.02153267797163603,0.033332196496256926,-0.03853670812526767,0.0360465562663068,-0.025579645321316583
EFNA2,,,,,,0.014420478585444393,,
HBEGF,-0.047662503907847945,-0.030707101624739924,0.009931093804315429,0.0463085729634378,0.037553395260235344,-0.040464770997403886,0.038298907228227194,-0.01928391420999768
CSF3,,0.045821681079808205,-0.010516388725988821,,,-0.006696028874156237,-0.02017892938673431,-0.024204797856311976
PI3,,0.02479820905725675,0.08366453396359244,,,0.0598843177182509,-0.04384210976528554,-0.07098639021371625
PCSK1N,0.015248726557064518,-0.052280813693868625,0.010230078983663213,0.049046803362552335,-0.02710308940821371,0.026310778380830815,0.0037771317471988974,0.10230734098871214
