,MGH258,UKF251,UKF259,UKF266,UKF269,UKF304,UKF334,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1
IGFL3,,,,,0.00737174045811406,,,,,-0.02420349372307678,,0.0945287819299648
BMP1,0.08392759161590682,-0.023263831772035937,-0.01302297348806827,0.04053532815719738,-0.008250313984273372,0.03549654255147629,0.013683824714255928,-0.04610320694430627,0.012639683286052042,-0.08050174328456079,-0.01682679524629488,0.04728239285954706
NDP,0.06255463976406042,-0.005431097790595796,0.0172029162791597,-0.004848227599656542,0.004862089269890574,0.048833887727324055,0.0640497962362672,-0.02316478830904794,0.005370689095454282,-0.00674229282243634,0.02130466385022756,-0.012581576412279805
TNFSF18,-0.019279987219288242,0.03204309967430764,,0.0025916816997365736,-0.024260858571514613,,,,,-0.024960635859856552,,-0.02525910689250192
IL36G,,,,,,,-0.01823410328646562,,,,,
RTN4,0.00071399168008597,0.03392964057055999,0.025290983173919077,0.016220510366476946,0.0601080902719019,-0.051385662564235726,0.038855749376440964,0.06309595535149869,0.014935473355146434,0.05803202501429511,0.062559480119174,0.007918177205644675
HEBP1,-0.020293589408449247,0.03238059612159067,0.006113076330165779,-0.004076810873093289,0.017859881362807552,0.017705875241258096,0.01852812815510418,-0.019253596001573742,0.04171305332802892,-0.09124621827484991,0.018536570086382147,0.0022864054482344956
WNT7B,-0.01698506487420097,0.056549687089974925,0.0268517731650236,0.057737059958502424,0.046527628391895955,,-0.020041380835406804,0.028725020287025328,-0.008785076624614224,0.023563480317568972,-0.0400979797482221,0.09460908765770934
PTMA,0.020158155168647822,-0.028669845701503802,0.026666990627259784,0.04062785782872268,0.11485949521257166,0.05095221817064815,0.0197371593663081,-0.12326109446268235,-0.028039101111979655,0.05416000256108981,-0.007477792973669059,-0.02461188037599056
FASLG,0.0901467983699396,,,,,,,,,,,-0.012987277224320965
CEACAM1,-0.004061168872679453,-0.013845182020900059,-0.026274341079143768,,-0.03192590808492956,,,0.06620225462559028,-0.019915044506872485,-0.03586582780495901,0.06190790505840758,-0.01806988877382256
PDAP1,-0.05563572446387491,0.02016309057941702,-0.015645013444199447,0.026242962869073103,-0.037293242492746535,0.038990187258653025,0.044670391182102594,-0.01616736952679781,-0.01965363550296432,0.03443156795668258,0.01433213170588343,-0.00293491506799563
