,MGH258,UKF243,UKF251,UKF259,UKF260,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH916T1
IGFL3,,,,,,0.006521891768722364,,,,,,,,,,,0.06621178237106473
BMP1,0.011850005714309069,0.07512629123352807,0.025979570446509302,0.057749264223691255,0.05907741576115961,0.06925132259432827,0.0021706735545888793,0.05979020117285832,0.0047494346724345805,0.0669018205343282,0.05258274560429726,0.027596770037907493,-0.14063248992844551,0.010831246654775629,0.08740783488576495,0.08541160375972774,0.03870699956513449
NDP,0.018006014453500294,0.10863150278590424,0.0299816914363157,0.06632425068774442,0.020261865281986608,-0.06539950336173198,-0.00948003241008595,0.013387079153559992,0.026983407569034692,0.06392119498421409,0.04489254355000002,0.12073974938167387,-0.04830168991184703,0.05370107989398789,-0.02526063614425181,0.03980190710344032,0.05073489398698363
TNFSF18,0.040089033586896895,-0.035634902103130424,-0.05568058171088257,,,0.006132709019239145,0.01740439770939891,,,,,-0.025257716666446405,,0.015198797093533325,,,0.05342631207130406
IL36G,,,,,,,,,,,0.023810696826032686,,,,,,
RTN4,-0.02459231611002673,-0.094649140385474,-0.011737085457803519,0.013095851238950502,-0.00593558366314607,-0.04061710926418333,0.06633101413398594,-0.00925955300272934,0.044978288465567756,-0.07882039652657777,-0.044333077819150024,0.07360264325044509,-0.03765552931550291,0.14469323023059474,0.015188822312155539,0.015476264300310703,-0.03318015853395604
HEBP1,-0.0250962081258856,-0.014807538963346304,0.00739089478616931,-0.0019696517067263283,0.10262767269156178,-0.04504094515894347,0.008036814513891977,0.0010727783216542461,-0.019649980662876165,0.004416132607743737,0.03337566944848389,0.011233009945767675,-0.04371580495398719,0.03315760342210449,-0.08007089069900176,0.0037907658287992503,0.07897335758638971
WNT7B,-0.019520830608048004,-0.0487650612649326,0.030427386406034426,-0.005462946840804425,-0.06267023288332957,-0.024293163316152354,0.004994434856286272,0.06527448370128541,,0.018211594175614996,-0.01829499460448904,0.0246028421988284,-0.07413926364183565,,-0.03572387073436697,-0.005262820440217253,0.0816489843626553
PTMA,0.06413224150376697,-0.032640993857845746,0.007819706539859755,0.02319405365488898,0.023030565097057972,-0.050289639410720545,0.008535773163947394,-0.0004223107466389394,0.0386042319060198,0.1147896573216102,0.0657618400901637,0.015516081077482728,0.0011023694588639106,-0.09919823750078889,-0.0911539546867748,-0.04894475970762999,-0.05285398133636824
FASLG,0.028552215159438458,,,,,,,,,,,,,,,,-0.02702588110254666
CEACAM1,0.14572276166325462,,-0.029269840788326104,-0.04672279362361783,-0.018242959238954488,0.03275501153797274,0.017891833659351097,,,,,,-0.05582872470097484,0.04388301056624654,0.01355365916291022,-0.018212104714234397,0.05528878372221394
PDAP1,0.032482144706290156,0.025241081091227795,0.0796901606872634,-0.009274042279709592,0.060791250564469275,0.020190001158468904,0.015906885252021528,0.04682588187141944,0.011761035731471994,0.07286544829491079,-0.02562534319552561,0.0030654319680326228,0.003605122491308994,-0.06358885970670211,-0.012553734934794319,-0.012865312920833444,0.03909419803356526
QDPR,0.01085421251721771,0.06946757400217105,-0.07339180541687344,-0.029339175981869116,-0.06992985313339213,-0.1193862745696905,0.008653759911079825,-0.021884001663555978,0.018924661134450977,0.07909448618436189,0.0016061554575854272,0.03903526778123421,-0.04030266655491747,0.010110461804086915,-0.10490613403673071,0.025913030805731898,0.01815646406486046
POMC,0.02855438730483036,-0.05785589240710012,-0.03925311845250411,-0.032457652312368884,0.006988145403229802,0.008975047532533486,0.05624199579125043,-0.01580789588559859,0.016634850403992978,-0.010030906675886646,-0.03566252250164567,0.004001391395997058,-0.029828239417452544,-0.054830986417988906,0.010198365477898054,0.027578369781194677,0.06447139420547653
CCL18,,-0.04778933377256213,,,,,,,0.05244857528620224,0.13876894786092717,,,-0.047870212712543964,,-0.022715284039633108,-0.0067424282997278085,
CCL17,,,,-0.010429704700040147,,,-0.020199005861340824,-0.017819125632626383,,,0.07134582727150562,,,,,0.020962788091919787,-0.024495925682792078
VEGFD,,-0.042897436351299986,-0.0006911181383915038,0.03057899724158476,-0.01745383051707322,0.03339997051059272,0.030941492217803766,-0.013070544145800531,-0.037632977965595914,0.20821985409527516,-0.016296595507905503,,-0.05393114561845122,-0.02408617790317932,,,
TNFSF13,,,,0.029725739819633095,,,,,,,,,,,,-0.024792703752157676,0.01718944395329204
WNT5A,-0.026653310690296497,0.07405577629022451,-0.015729313391577383,0.10074600771984892,0.007813587734317074,0.06824765123108648,0.0299096691175513,0.0031307803490579857,-0.015420902483533415,0.05836076865482864,0.03584860053825982,0.021921949778605357,-0.028730191861484188,0.07375244535378765,-0.05747502817237222,0.009522749943644304,0.04734086599307075
CXCL8,,-0.04809732570557673,-0.005183101139208249,-0.0477784164570516,0.014287963800297544,-0.01893596357121957,0.0032715859016339186,-0.012171859034723074,0.020526348382527503,0.02296980300586393,-0.005788558192438568,,0.03652141149589133,-0.05487625369409824,-0.022892711776764847,0.020405240930862573,-0.0034843831260368617
GRN,0.0012742857261999726,-0.018992915526757522,-0.00795085932737263,0.01561001472499901,0.008360708095085179,0.049837462451041196,0.012012651890642947,-0.04396879175332478,0.09724180410532227,0.029509058692402498,0.012999147746597682,0.0763929075293202,-0.12068515178292759,0.030814359672170676,0.10646397957225644,0.04014835259913964,0.01063319759373664
MIA,0.046030681735437916,0.07344199855285247,0.08180641751328367,0.012314527501943508,0.06870232908715536,0.023589292251564947,-0.0172228375578977,-0.014864991334881495,,-0.023045664083159008,0.03850644134305732,0.10101173912861297,-0.027794633391497424,0.024858882105440957,0.00597244382640249,0.0076577015047954305,0.07671629528735206
COL4A4,0.03785375932987481,0.10151765377388144,0.011150017205042625,0.03614304024971547,0.07487881864936781,-0.024639761039944086,-0.007974875945736353,-0.013214554556412834,,,0.025084321046155492,,,0.04540946317953763,0.019393928099231322,0.0447042008475045,0.13844340521978313
TAC1,-0.01952082550605308,-0.0678862817658506,-0.01416479588382442,0.04765824110415482,-0.002210015420889984,0.0401968487708516,0.07609072732544842,9.625834261358193e-05,-0.01307430505407173,,-0.018870046391325886,,,,,,0.021855922125823688
RARRES2,0.04028744296633849,-0.06126564215870474,-0.003767665567889213,0.048036401418208675,0.014466460008627434,0.04009315115027471,0.030268278788343064,0.032546393960588615,0.032746145148374206,-0.03467713521434713,0.04065999062159711,0.05191248466992281,-0.00800158989050745,0.14856924962553347,-0.02917002624754733,0.026608652684011778,0.02664208644400354
FGF7,0.044775685263467466,-0.055685088887744906,-0.03971030289443397,0.00446609364635749,-0.033419009378042916,0.019562208432031655,0.01313092488116443,0.05666256303303155,0.026447938420985674,-0.026752356479419728,-0.018291902186563985,-0.027787962204766543,0.03678418628361123,-0.02303965543805462,0.045324631159971054,-0.0018430911856882782,-0.030435925629005278
HBEGF,0.00017523067374374928,0.051531410308960315,0.10044349850354592,-0.020344736053266203,0.03172448897502889,0.012191726379545112,-0.028775474950773,0.011786772949798569,0.032196818717931966,0.05564044565152217,0.043599185109576694,0.02365081651296078,0.029739862222216615,0.018456332834477607,0.0765333263680962,0.08915276874614836,-0.06058391448343052
CSF3,,-0.008816001917830637,,-0.041117878313731884,-0.0030988347939951513,-0.026068392923752664,,,,0.04964033685564719,,,,,,0.038404903804142854,-0.025790430801419458
PI3,,0.035193849123024167,,-0.04089821253543188,-0.015805081513202947,-0.0025761767123672484,,,,,,,-0.007938965175720753,,,0.004802745319140839,-0.0403131692471411
PCSK1N,0.013486958720946242,-0.0799749864313996,-0.049500956807664434,0.034424653382426645,-0.002907237893959912,0.027675748042284183,-0.0061919246698646565,-0.012111227962547304,-0.04057192610380628,0.02231633263249559,-0.0034567272197967083,0.06378628498871906,-0.027058001644920882,-0.05059267283358663,-0.0034006934281818092,0.02814781124325941,0.06712979617536569
NTS,,,,,0.011554237651595262,-0.032041190705854865,-0.024091030836270635,-0.015102039644151013,0.06336146936819068,,,,,,,-0.0007729363173363883,0.006741853980211727
SFRP1,0.036500518158781886,0.030657423693577015,-0.06543207012325003,0.062360737190100796,-0.019911798020976458,0.00895183335204357,-0.018635477182700963,-0.017819125812079614,0.02253594239875144,0.03979461070483462,-0.002128053030189262,0.014372655479073439,-0.05671475101498241,-0.0660830698655861,0.04916094691497022,0.06514392974399574,-0.037304623295509765
CXCL13,,,-0.019145877078445922,,-0.019732846124064323,,,,,0.0263509383506777,,,,,,0.03234685334863687,
MICA,0.05759195953490751,-0.06161417410752607,0.04346600922936302,0.008411454378373645,-0.03206330605036357,0.048666795556874996,0.019280002298459904,-0.015401803947419156,0.0661288615085228,0.005685638656553396,0.07096474030420818,-0.013609417986541406,0.01457863771461046,0.06221829841699784,0.026037230407465854,-0.005766147107734629,0.034432670216582945
TG,0.0378537507993844,-0.04320920383637043,-0.031563294884098377,-0.03744313824967165,0.0011080015152444963,-0.006505270538355379,-0.02034973400435711,0.008776031966115106,,0.05117018993526576,0.006233824923008001,-0.03236894329660214,0.027679652873725234,0.09252286643118152,-0.0369857932012351,-0.017168256105815446,0.09657153002644224
ADA,0.09913347211558289,0.022869520993871677,-0.03246748464215131,-0.01176661898808659,-0.04290175182958538,0.023903816347521305,-0.009217655803631104,-0.02094353018067864,0.03359607813985507,0.06841429631212664,0.044553922281528796,7.414801550842279e-05,-0.027387893495983057,0.022618882036393034,0.05228870306624431,0.057736391136250106,0.05612089875759219
LAMC3,0.053559093920184896,0.016340679514906923,-0.004757339993719312,0.00476022498384935,0.011215795115511054,0.045038704695492676,0.0014290331995027218,0.016560318600944472,0.0479968504263854,-0.020718462528750127,-0.008605920804312954,-0.009727928090826761,-0.11628509846760075,-0.06321739142351307,-0.0011228624005247207,0.019774785245128334,0.01292498428780924
