,MGH258,UKF248,UKF251,UKF259,UKF275,UKF296,UKF313,ZH916T1,ZH916bulk
IGFL3,,,,,,,,-0.019822257488302897,
BMP1,-0.01215830778986627,0.0971136901849657,-0.005664002902336921,0.06911371672812944,0.010456616793599152,0.02332725251291703,0.05801924134290345,0.11017197724168254,0.007257931642298195
NDP,-0.057968394484849604,-0.028532483328606303,0.022135150315287663,-0.006653191940018645,0.05385713793341562,-0.04791917783002984,-0.027745048643081242,-0.019201187499700824,-0.007445670798566019
TNFSF18,0.0417115987026473,-0.027232122400675754,-0.024759508560676536,,-0.010647508906761256,,,0.05351098673167282,-0.03415808745304188
RTN4,-0.010551334530038101,-0.0009473949512725812,0.03046864701560091,0.0025881604955716943,-0.032835581753177655,-0.06121769980124419,-0.04671171478772019,-0.07301137611499914,0.07909298779686305
HEBP1,-0.04094766624700163,0.03414673676312596,0.053875760310226305,-0.01847341197658401,0.013918663917062046,-0.028314585587376952,-0.048067970391581116,0.04970095043706195,0.01477958682471564
WNT7B,-0.019303086871527403,-0.022895296325236694,0.008798478970948952,-0.022088078955837243,0.0366428183028574,-0.012031756098130847,-0.016430551216097815,0.048594076541837644,0.018381029360737367
PTMA,0.02525672610330451,-0.025305098537697177,-0.030542243804771167,-0.022540852789693228,-0.0134532921751182,0.08706165783535467,0.09697665690781081,0.07191939149949328,-0.03916328443408019
FASLG,0.05320464609024944,,,,,,,0.09419699543165937,
CEACAM1,0.04625150531284047,-0.01733249959273355,-0.016246425097295188,-0.02550539863902479,0.016118535907159563,,,0.12751042132649398,
PDAP1,-0.08066185671989845,-0.0037054814653060264,0.030411194884267093,-0.03376993983237967,0.01057181286144741,-0.007218055316220041,0.09274410080379171,-0.046991350497838695,0.00861880504271278
QDPR,-0.005471856378044852,-0.014668792136239768,0.04730895531968507,0.022669215174233648,0.0017389459888402313,-0.07269135972113318,0.030165187064268784,-0.09474403384580694,0.07816117970120648
POMC,-0.05288980382402706,0.09763611916756754,-0.02886730540103222,-0.023751662056552533,-0.012354527350234958,-0.03236064994451895,-0.0239055450554172,0.12662610306378846,0.019028616459093636
CCL18,,-0.021629321847369053,,,,,0.10305936058096103,,
CCL17,,,,0.11971427442461081,-0.013279516613040892,0.06216461195666157,,0.0077509345921688,
VEGFD,,-0.005949670436780963,0.034336066016286,0.0530704553913923,-0.014148201754226626,-0.010923418973487233,-0.016151552584116904,,
TNFSF13,,0.026066785635694704,,-0.010197151206077172,,,,0.057777035269241175,0.020578037474094618
WNT5A,-0.008482474734147824,0.06000539036753947,-0.005941395441837523,0.05887563836860204,-0.016763487875988425,-0.022383711583374374,0.016076120239135964,0.04276033242034855,0.0012139021090107885
CXCL8,,-0.03416943544290341,-0.021788409453661586,0.005387455016228233,0.0693442005319805,-0.010172362714158653,0.010342697653983214,-0.013268171560179632,-0.05933851348889772
GRN,0.11555605000749875,0.12443046714477572,0.006126657173211735,0.07638248848860249,0.017048821209001263,0.049154323974786106,0.03781762867933308,0.1281384263610921,0.10787744421192964
MIA,-0.007131748454738802,0.000126253747023851,0.091736668883565,-0.031128553380883325,-0.005320109673315615,0.08034708042031176,-0.02190440697763516,-0.019924865565889592,-0.028617515287161572
COL4A4,-0.02235533298562903,0.027766667605033515,-0.034801957277952794,0.014833026526134113,-0.01386422619461683,0.07466417864333807,,-0.01710285543432484,0.03369295379743643
TAC1,-0.01930308182644232,0.0009126485973510617,-0.04840546394238611,0.009112438988189064,-0.033586357824071586,-0.016920351617453533,,0.018081126477587545,0.014653283450729552
RARRES2,-0.052053480351341865,0.034510785689844316,-0.03038016880028164,-0.02605111888279139,-0.029338691381097664,-0.026886892733514658,-0.004457751974295822,0.024591126553320446,-0.021866726580108825
FGF7,-0.017481344983111026,,0.038664234339722846,0.04489234260506698,-0.03160527621344244,-0.027708514645993786,0.0087078137578057,-0.033125499023013136,0.0012842999351985755
HBEGF,0.03955887358272052,0.07220681421966818,0.08667948550614607,-0.00890916968072742,0.04150706988872534,-0.017325694392144295,0.03370770291179261,-0.007733289631178974,-0.017292878950942576
CSF3,,,,-0.017620338463145056,,,-0.02426490125168645,-0.027274250523470128,0.019314468438902704
