,UKF243,UKF248,UKF251,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1007inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,-0.0654466073972517,,,,,,,,-0.006653134228628531,,,-0.015471715957966361,,
BMP1,-0.019918046568895835,-0.0480991910762176,0.02101821491470323,0.007212179155140867,-0.1248620268863568,-0.060882299475428475,-0.4113717605290361,-0.062459829366011035,0.0260938493934987,-0.11492704846236179,-0.15386826994102126,0.022715941940338078,-0.0719960621675898,-0.0009590367910393885,0.1711673729004979,-0.03938821207616688,0.004204922722060448,-0.01610655494652593,0.01632764525688939,0.12110751598962984
NDP,-0.03818568526144158,0.04351499270511274,0.02554372421045907,0.006785211159874415,0.14902912212509487,0.0022634498759264154,-0.10453867760027179,0.052125591149948546,-0.008157625509814305,-0.041729013178022245,0.01165484127809681,0.059374392959230415,0.013223702110417936,0.07739311915680261,0.037602791696776904,0.0820997288508355,-0.09036833803452174,-0.018607525018562523,0.0003440343573056472,-0.014655224424166944
TNFSF18,-0.03492903816510676,-0.0010428451796166897,-0.0019020138248014126,,,-0.015960306592350853,-0.05030996230693746,-0.04260552201440603,,,,-0.03906927555697874,,,-0.012056392199465795,,0.08527319177327346,-0.026098018762205525,-0.06540916259790606,
IL36G,,,,,,,,,,,-0.05012683898490447,,,,,,,,,
RTN4,0.24056793553764305,0.10772404006509818,0.08846531420451814,0.023916077377102253,0.24003180474859553,0.19376401958087355,0.5413021974002525,0.12358956991731286,0.10522201985001679,0.3579084927012853,0.2502605301686922,0.09965413989604349,0.04196413664543809,-0.023207225646802155,-0.060686394849667966,0.10007443170121923,0.042482500825411364,0.024901552689464906,0.2183783081693383,-0.0018953090539058281
HEBP1,-0.0358486902969468,-0.00260747411884117,0.027044800811595937,0.02073351905738595,-0.03996587151527978,-0.06285281589629797,-0.16893807824649612,-0.02912623965257387,-0.018810287337576063,-0.1948091017880442,-0.02685962295770733,0.055255844401481825,0.06501730992051581,0.13020983396634128,0.020137853759787123,-0.017712767277982364,0.013834785136386661,0.053791849143156927,0.008227977568600608,-0.046088476372906535
WNT7B,0.20088332190666142,0.013682951397010116,0.032842772531763056,-0.013951531802006485,0.11586568604527601,0.026412556858314777,0.3664284925840208,0.022626520519342202,0.05338546994809562,,0.08912080594640168,0.026075079525960703,-0.010909878502632324,0.0418934850291635,0.05956152588896419,0.05458360325818684,-0.015120787079274738,0.045404107349336004,0.0448582026076125,0.012442770582402146
PTMA,0.04740019920579212,-0.016397409950078518,-0.03723395481881938,-0.03237268125204692,-0.12086884934460179,-0.23779731870474896,0.05503546541589049,0.06562618152682655,-0.11113033292059418,-0.4545018660483437,-0.2069743123236431,0.024982503164883818,-0.11149882296026764,-0.037772593761659576,-0.03331553637428135,-0.003660617138939338,-0.16693556496544168,-0.03173198465388234,-0.033536496567136115,-0.0906593239835084
FASLG,,,,,,,,,,,,,,,,,,-0.013418613972092057,,
