,MGH258,UKF243,UKF248,UKF251,UKF255,UKF266,UKF275,UKF313,UKF334,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,,,,,,,,,0.037773176831826315,
BMP1,0.009526668075737627,-0.0017841583598376635,0.09600024082328446,0.03866652460209928,0.03846624808625688,0.03441667671025891,0.00815705052681941,0.03312507124557151,0.07221943471894769,0.04003953619872563,0.04817511902068993,0.04858863476418802,0.0385848649904626,0.031248553507045168,0.1496826485527068,0.1236381918081365
NDP,-0.044113474809660776,0.029449117801589816,-0.019558839202282904,-0.0007511721723779258,-0.07246233267081852,0.014840620893658932,0.027248189022213806,0.0004593312607361242,0.015603699232264467,-0.07151006412373012,0.02094181018840218,0.05599799708388887,0.04928280090128892,-0.01702896818226227,0.051639735821143874,0.049403263484045896
TNFSF18,-0.02115380653898456,0.0514746494189671,-0.04109489215233607,-0.017586746111227465,,-0.017643354106772313,-0.014222980290699256,,,-0.015586967510576425,,,,,0.0042702415790787825,0.00782859045074572
IL36G,,,,,,,,,0.035662369101811635,,,,,,,
RTN4,-0.029003017795532313,0.014959312102614175,0.015282185136880967,0.07442896155505413,-0.01410136628183135,-0.14776793926956688,-0.021149180378977755,-0.027567853455552075,-0.026932738602763937,-0.023861749906261616,0.02972035369837918,-0.05762280125284026,-0.06352578356694513,0.063674903904394,-0.06304140710955905,-0.18770884923062253
HEBP1,-0.011140753705809846,0.08551311391410041,0.02908367706907295,0.004921943129681912,0.010663689605855137,0.07414106733979758,0.06220259128405348,-0.007756646053269677,0.014327394602498577,-0.04224095691937567,-0.04019682069088205,0.06618919606584966,0.0396179969516582,0.010617379739773478,0.07731408367737277,0.0615371080002932
WNT7B,-0.018635841005200295,-0.02895979495085012,0.007058535127151014,0.051417496662448346,-0.002789707468702799,-0.03763122693636482,-0.03312589684291649,0.022576936592297404,-0.015116034573743229,,0.01279339923727326,0.032316620499620176,0.030691640323395518,-0.03464481428740867,0.01258892179260117,-0.06109712489733391
PTMA,-0.018949550947242117,-0.06739290901645109,0.0743178250231857,-0.006009931304193146,0.050138189947672517,0.1620252865844471,0.04403355757333834,0.09996524131647677,-0.01932932700364332,0.008656276475497767,-0.08144152121095012,-0.1135916803792821,-0.051556124003354645,0.0655567112038721,0.10257164217568904,0.008190275930352724
FASLG,-0.018635846273504803,,,,,,,,,,,,,,0.041491670840953655,
CEACAM1,-0.025876035645858858,,0.013259366402842926,-0.01701861914303549,,,-0.022369359599251133,,,0.06341119439477624,0.14488424476585873,-0.014796169201383795,0.12899609909690704,-0.009631223954502045,-0.04577619185655415,
PDAP1,-0.025730025918424746,0.04248135865296401,0.0007350178769861931,0.021825060384639477,0.09748658070967833,0.1132075414429042,0.026629068820531072,0.0749837367810457,0.03317539899460635,0.04748381976399172,-0.050205131714056626,-0.013528017011353513,0.042273696882414356,-0.03549268360232138,-0.046211342027034814,-0.0013511092308956
QDPR,-0.018300086089665712,-0.027785390434203867,-0.02255977406288084,0.025162489499132388,-0.035739496095386694,-0.02955125351623116,0.00014602206473541873,0.06802726957723149,-0.007312179930473115,0.10958066524759666,-0.07959638565096236,0.02795301066441025,0.016472857396614332,-0.010488199103622437,-0.0005631485659287643,-0.10274309170462557
POMC,0.057199905365060255,-0.04291963152044729,0.06614416361789997,-0.030239371022468847,,0.05397112632752955,0.13675766486449042,-0.03191560895966331,-0.029465760158764898,-0.006450596486115497,0.004867282695980803,0.08296698388268996,0.10533369935642765,-0.007300727444698754,-0.06291147626583847,0.12360156002887078
CCL18,,-0.038624238351213674,-0.032639932928024036,,,,,0.10412834332096088,,,-0.02543532320332909,0.019838977735846197,-0.010597183339670635,-0.04176930613986227,,
CCL17,,,,,,,-0.017738825551707894,,-0.012563675042489455,,,-0.006763075866850995,-0.00974720561957771,,0.056235030367616075,
VEGFD,,-0.01630108461325211,-0.0326399432927315,-0.024375757487627502,,,-0.018899218254837005,0.03244184905031217,-0.013464879681973988,-0.011578599345771759,,,-0.005195935573910934,,,
TNFSF13,,,-0.024631148618331537,,,0.004357315986973,,,,,,-0.0027695992952465084,0.007905025668649313,0.05507627993705185,0.04742608153734319,0.056203425991902305
WNT5A,0.0539184419319753,-0.002457256073767686,-0.01522855101636865,-0.0047267627220838795,-0.03695403559553221,0.06621188493071706,-0.013130701944534869,0.10220700621321545,0.001920423134371023,0.05532279899396626,0.01634441854256971,0.039382704346171506,0.05677065823082222,0.06617544114789581,0.08322238932011887,0.08442176238445481
CXCL8,,0.016884040391005096,-0.09998894816459528,-0.02282401451419089,0.009528048558235734,-0.0243383956464807,-0.00015780139147270744,0.0038842897914681995,0.07063002784096896,-0.030300451266533683,-0.0447828911189841,-0.04946471197624899,-0.13186509368357915,-0.0945733311028115,-0.0027647832206980083,0.035801105054286526
GRN,-0.07941146324084664,0.016321649146380773,0.08292806169947223,0.010755989146283512,-0.025939326016343026,0.12620664420325103,0.007990552424041846,-0.017381611738084692,0.07203583569061141,-0.09614471288858155,0.06646916802383439,0.07371978459203227,0.0950688335736021,0.06137068537479502,0.1563811821709478,0.06382388941817776
MIA,-0.024392715390146757,-0.012501641868850383,-0.03494175065749786,-0.021678094043950387,-0.04035086063007076,-0.018341154656160125,-0.0348658962694477,0.050476516552700676,-0.01844076978704828,0.020988594333118966,0.059886096525846685,0.15296439544633444,0.13083685979658816,0.1094414799569307,0.08068617972863386,0.139895261997117
COL4A4,0.06419872090570367,-0.0438086906665427,-0.0014185944347650662,0.0470170805819562,-0.05048088217509692,0.07467117976384284,0.02576170374166393,,-0.017888230829369873,-0.03920536110302362,0.052591081843195886,0.03697492576999217,-0.0007619622747065376,0.026681703825222024,0.015859568173378587,0.042896234156859635
TAC1,-0.01863583613450764,0.026444215634003794,-0.05515159040477267,0.03531714100335415,0.05698091422798599,-0.08126861484906525,0.03855623545508018,,-0.03170168871892075,,,,,-0.08367847276932043,0.03607469902485164,-0.11417124748396205
RARRES2,0.12937425266604183,0.016432342720435526,-0.07443887849762053,0.02475978973223705,-0.09688687398440571,0.041819506003301296,0.06683986873171792,-0.010510037903959818,0.0076909166405162,0.027053091855411264,-0.047175110598026995,0.011644357258923967,-0.0008290166617651358,0.03637729615696526,-0.01459366798869976,-0.08227494130120427
FGF7,0.020433069844399885,-0.008474684481282706,,-0.0029818033685808615,0.020375903254988326,0.0956979922281408,0.017352596400407,-0.01297614524193658,0.0949329370224451,0.06793323685307578,0.031825226772733105,0.04246440878876293,0.028864431014053945,0.0630385100968953,0.033398097824107895,0.07630205793866139
EFNA2,,,,,,,,,,,,,-0.050604217428944234,,,
HBEGF,-0.05698904771148238,0.0071881633213938,0.05690221829789803,0.08107444671716146,0.017569456806621583,0.11563267984294194,-0.029534942313200203,0.042808410930237135,-0.010902451558068233,0.0029530859311905438,0.08666615156846244,0.04524570454027718,0.023645062955827717,0.020886524427681775,-0.012435914913283656,0.16175119781763123
CSF3,,0.02409572825088269,,,-0.005345522318425404,,,0.03994356163504226,,,,0.0622346871489303,-0.03840798781561674,-0.0011521298989766392,0.0146681196567592,0.06632096136534425
PI3,,0.099732362756986,-0.03433858559711057,,-0.021522776172662406,,,,,,,-0.011776618125319837,-0.048686128162042666,0.010001423113373683,-0.07451355733956193,-0.08725141864176496
PCSK1N,0.09693069150003045,0.004287780932059376,-0.053808303710381075,0.0021704806514142127,-0.03314978957259626,-0.05527353050802493,0.011335710729179698,0.036494297966875956,-0.025965381277880995,0.04571010533782444,-0.00605842283149299,0.0872687652593932,0.03595704390315741,0.10469550566634,-0.003097465522191415,-0.06422008112296725
NTS,,,,,,-0.0198738927587604,-0.021156813176797247,,,,,-0.028997004782601452,-0.060050770004244844,0.029080121306639634,-0.002784342634177583,
SFRP1,-0.027115612312958923,-0.0397854551327386,-0.05154497297787908,-0.030788813486316628,,0.07388603849820907,-0.039283763518264334,0.06363497622757594,0.013925072336604593,0.01674643242352479,0.005620726744359621,0.11334160534101527,0.02322218693033768,0.03447895633796311,0.034048615138956705,0.008199673217624562
CXCL13,,,,-0.008106249382553119,0.01603687285934317,,,0.0035308871454741517,,,,0.05776602018833029,0.0009576148289280148,0.05400295486968884,,-0.018388870916837795
MICA,-0.015581702531075946,0.006757313968434302,0.044691787394442586,0.0084339164401803,-0.04906653659457129,0.037723256369045534,-0.02036272923968404,0.011056325285243635,0.04336750273777187,0.06848335633028736,-0.004801211418454625,0.06031420801814215,0.09633574032624344,0.006731974667521692,0.14250386046896404,0.10842808206605209
TG,6.567239498166325e-07,-0.034922491196149444,-0.04383180565214993,-0.023141893049874948,,-0.022939711265564162,-0.01787119544421909,0.09358410762788072,0.017639928591556466,-0.02933021890779096,0.010399684588821474,0.03681428439861436,0.11788069058296374,-0.04649005277392542,0.09519719486578447,0.019804356312908666
ADA,-0.020405159283359873,-0.027012327504481223,0.07558224367681027,0.016371808495707157,0.0970275639016631,0.024246986844135343,0.025039520039959,0.03437827412094525,-0.0003941457424583114,0.018603468185438506,-0.002008655204831654,0.04080141167540028,0.029965369338934962,-0.027716979477820966,0.1491046976940281,0.040301208186608005
LAMC3,0.033965017717844846,0.038002480140579095,0.1217464182620345,0.022918821370564797,-0.041778131387021356,0.13805355899052094,-0.05283583357743581,0.052926807306568485,0.10214791485212034,0.006943690334466601,0.07490340410295078,0.04163071497813958,0.05163653998732647,0.08520686912255736,0.19423821312242467,0.19529262711123155
CCL7,,,-0.02076175469081411,,,,,,,,,0.02621955166506665,,,-0.005835402195405741,-0.05306955398789751
NGF,,-0.0016274154602145805,0.07075131797785589,,,-0.021890637368429576,,0.03792142560559058,,0.017334309713309664,0.00022076070725017153,-0.0006589456191800232,0.034253063447510675,0.07314329535734251,0.117145649572002,0.012123271664607024
TNFSF15,,-0.031224302656269597,,,,0.07488305304797899,,0.01713037099761276,,-0.039525145843494446,0.24676578446983136,0.0673778382057348,,-0.041831638353339834,0.08184493282105507,0.00806698112330912
HMGB1,-0.029056053917556286,0.01792222763636984,-0.029657272370110493,-0.010619106171018486,0.0831551657139485,0.0170065393782193,-0.0031300917649979307,0.09398235647533157,-0.009856482353361517,0.054743566181804704,-0.003945585805726903,-0.0228626464367146,0.03246380652489814,0.009984182587142764,-0.13473680159654874,-0.014984127730563705
ITGB3BP,0.07873660942961441,-0.009096323754629721,-0.02428482227018283,-0.04675607130117434,0.0349954872528505,0.03503010946027179,-0.016700301793263737,0.03239090740917513,0.05471599455503113,0.026471866363134602,0.008062015204780424,0.06438401665450977,-0.007518310053464981,0.0074936497776593326,0.04613658648533274,-0.028325677642290853
AANAT,,-0.04523765523245948,0.049107109258858514,,,,-0.016071670502577486,,-0.01685296834100163,,0.02645883324789968,-0.01776771971922817,0.030221406791967012,,0.004484691839948146,-0.015328817939795077
RELN,-0.017892527610674832,0.08617188614092613,-0.03715869121785437,-0.03546659274719048,-0.027122698256266054,-0.06992869073397964,0.005705555447045806,,0.10534776318400382,-0.007958104528519023,,,,0.0020342822727540677,,-0.07225395230382978
IL15,-0.00749248834746936,-0.017470904852217695,-0.0029731140936133642,-0.02948241769521606,,-0.018913273584884736,-0.024067442726230827,0.046009135060287025,-0.015630349204753258,-0.05719241218940491,-0.027888105601378797,0.02771019972535251,0.07668177210088127,0.07461977424279737,0.08868795545344471,0.05267648983075646
UTS2,,,,,,,,,,,,0.06718280197440211,,,,
BSG,0.04931056420638781,-0.09523471983354392,0.008038089736907261,0.034971513947709455,-0.021824516507330905,0.00773466057837654,-0.018441489716389675,0.00741791059875875,-0.029977575683388807,-0.02698750856040771,0.043926967417911855,0.13572687716259046,0.10081401558068712,0.04149403353715095,0.02078017283982762,0.15051928547540147
ADAMTS3,0.054599662204121865,0.019898841919062157,0.06632575902384608,-0.024769582785467332,,-0.0304638123733476,0.03868562036806662,0.0700610517828464,0.014430815238582553,,0.10693826532282379,0.012323011596085464,0.040806038605619994,0.0734428118754168,0.14192353813793057,0.0820536965969351
CD34,-0.0396496474889806,0.0553659858473098,0.11068041085758386,0.007548286530082589,-0.014041340408104288,0.07384076022709445,-0.02155445336698345,0.10289055057122169,0.0037234821768244927,-0.05674824538174445,0.08798769504555787,0.02598729610895827,0.0735848764986455,0.04967409493267874,0.17541939502074996,0.0248903356462981
PLAT,0.05898588843414306,0.053755262800153726,0.09231686374638122,-0.009489932425071164,0.02664969158951488,0.14956281294537135,-0.05694577337977081,0.006364398060141911,0.014671698904272631,0.023209243192533712,0.0774064048800803,0.10509316636067055,0.07935595175322235,0.1270040678002554,0.1796498348812865,0.17197273204901894
NTF3,,,,,,,,-0.034821758084725485,,,,0.01881339017809248,-0.009273229963238145,-0.032491762453690544,,
LTA,,,,-0.017018620889450647,,,0.0027236128548037064,,0.005813102669048425,,,,,,-0.06669225398248135,
CKLF,0.027651190339378958,0.038399068136102145,0.05445248925185886,0.009009094204903314,-0.03670725203299995,0.12508359900592306,-0.0589313176983352,0.09187809377273372,0.05263749208490392,-0.016702339114794056,0.05460828633613115,0.07399634201358407,0.05744110564071817,0.006022621811331694,0.07435240780724496,0.10741939798472415
APELA,,,,,,,,-0.01581899798766597,,,,,,,,
CD24,0.020208950187229194,0.03221720068586374,0.029107668188494046,0.004897628731774161,0.048022988820885536,0.03891323613299582,0.009767065418838764,0.03750334586477778,0.04131741149347532,-0.07909974746257004,0.01414356022742226,0.06895758079719123,0.028309912362441188,-0.0413550569476252,0.022447834107762223,-0.10817907623756053
HSP90AA1,-0.029826683669856413,-0.03266630129398303,-0.11633980394297054,0.031111031831963606,0.027016278600141424,-0.11995310749626797,-0.0013432557855754168,-0.04155512207043765,-0.08216309641094144,-0.05573163049304375,-0.11657427417794491,-0.11130090883459527,-0.12847986605203424,-0.03115132327074752,-0.2035460310539403,-0.17087996146358872
BMP4,-0.022211603846258383,0.025571381621060808,-0.045782481406128867,-0.018040735774471118,0.037893000552116404,0.013339862157265995,0.04227954850613576,-0.002374595092004515,-0.01331867353815036,0.04964192323739995,-0.03313896782732313,0.052560252507579605,0.035070671636857224,-0.03165815672805952,0.1583173456979042,0.10850168661679353
SCGB3A1,,,-0.003726730206192708,,-0.023059112784837577,-0.02414312823719322,,0.030390514580614345,-0.01090665231867554,-0.03584222287127257,,0.02462707520935253,0.04536729952221632,0.012891589678049887,0.07971371356264874,-0.02235048598643799
IGFBP4,-0.017317210184390208,-0.045016797127182366,0.1475684492651381,0.06277422397962885,-0.05168273103851563,0.14261278716407985,-0.013673454393520216,0.07992303862002574,0.06490891137102484,0.021721689583927624,0.08740989147293926,0.022674588384201947,0.02839534624082283,0.07443116581432378,0.20561044985201055,0.14495563784098725
RSPO4,,-0.030832529444877098,,-0.02751254437244305,,,-0.01800266300358781,,-0.021681757737862125,-0.007346229239063188,,,,0.013049793901787576,0.05243972196664079,0.09874140336551028
LEFTY2,-0.021369182951294582,0.023897022376094573,-0.022147746392972734,-0.01722763544735127,-0.04587526259600752,0.029159422554199354,0.011886026046503484,-0.02332614497761433,-0.019295493921087897,,0.009758389893532128,0.010736489538597953,0.05663919931444566,0.00628613816747196,0.08521543406974853,-0.03243528370377681
PF4,,,-0.021536985588932207,0.13400989479785264,,,,,,,,,-0.0017114501456018969,,-0.01931142506290707,0.06606983277519786
ANGPTL2,-0.01707214173054237,-0.01484195414174339,0.057253429637430735,-0.02226745582758154,0.04512414986786463,0.1641283854167075,0.066381370314074,-0.04302416620743961,-0.004370391388939591,-0.0049528630982873184,0.011818509094650124,0.11492958728366669,0.058396375180802595,0.04350380163558759,0.14920663942598342,0.08935877716736981
LRIG2,0.002118577111133732,0.039080270992266616,0.016272480376211484,0.0845470795850347,-0.04698645560429499,0.022087850475789032,0.00443702510342182,0.01678962291429457,0.012260895140984053,0.022211620550080313,-0.048736630263247024,0.03971655481675318,0.05542661409320211,-0.04064384578061322,0.06019532983543457,0.04031874128351253
ICOSLG,-0.051605568337922084,0.08986274097542063,0.02065428815048622,0.057978353466441715,-0.031165333857849194,0.017581963443367307,-0.019861129097948217,0.020833526656518733,0.006456850026849974,0.028066544044120626,0.020218649346622312,0.06331367381217343,0.0207881364816418,0.04025154623928477,0.10412173356958293,0.04327654909399853
WIF1,,-0.04227018100809487,-0.03875230982784228,,0.10893501968848836,-0.12534027067081352,0.026302040937873826,,-0.005708658654669513,,,,,-0.034860311027900444,,-0.01914625733567281
NPPC,0.026531801937053383,0.0271076466024561,-0.039405114739017325,,-0.04738471144397712,-0.04631850617370695,-0.006198435196093785,,0.04859504291385846,-0.08560466309523203,-0.03172135857723089,0.031520809488732454,0.04282030922856616,0.016400123280383642,,-0.00989734600819948
LYZ,-0.07332600892604489,0.046485057596036036,0.07016564256216294,0.0004687698484927651,0.005811998135149593,0.06808721819992776,0.008461019486952057,0.0720066085692496,-0.03568045111994532,0.02378513956583302,0.022197524239392794,0.06225619932688307,0.03201441237739739,0.025963839070910724,0.12722540488351922,-0.006764629478065957
EREG,,,,,-0.02550611390464426,,,-0.027276285814479117,,,,0.03766400164137908,0.044347326730644614,0.025297905881293842,-0.006915338037383618,0.14623146205674814
SPTAN1,0.04405193027820103,0.041994605104583665,0.032939809433496336,-0.008468107402645525,-0.05429305139397613,-0.08531151474559175,0.010953341105850127,-0.018026322108786987,-0.002767578056129468,0.06137435327833615,0.03707005148047228,0.0792065761346031,0.015453751947032454,-0.008131556692489873,0.02962676717403817,-0.017210442473280893
PTH2,,,,,,,,,,,,,,0.04608879737177891,,
LIPC,-0.027632157858066685,0.016328469859507463,-0.01304310714399237,-0.023299354263061768,,0.02049833538492738,-0.03365781183503006,-0.022634558339831162,-0.02455381996530238,0.0473968995977742,0.015495452671352756,,,,0.06188013199555363,0.044600837255792704
COL8A1,-0.036817183794864844,0.06136337427315583,0.06514225450149591,0.02093278827876533,-0.0209321983285966,-0.013331717332331057,0.005900093126211256,-0.05305866311410663,0.03460308210368538,0.035393996010296414,0.014020071962073876,0.06913637543235034,0.06656310313006633,0.057658732681567904,0.00802805285778168,0.017711187630941518
GSTM2,0.027881580513424393,0.004726973813747793,0.024670280090447944,0.018034112594306928,0.026038660626089612,0.03117599180022953,-0.013165810267061652,-0.01748161793112642,0.03910402771566887,0.06273737261138716,0.018774266351463266,0.05348438096393428,-0.021507614648380715,0.04707728167318831,-0.004435039664922913,-0.0046798032925340245
SPX,-0.03787013375629598,0.046858287047702105,0.049008210628260815,0.04529135541672566,,-0.058738993556026284,0.07068801279504557,,0.02400342020854111,,-0.07488618107943476,0.12070706179454495,0.004547308151958236,-0.08791299581597513,0.00909456341668682,-0.009118252535817824
MFGE8,0.008451370765338148,-0.0006366933678660357,0.11186044218773802,-0.03267115794549976,-0.019591913962294847,0.08658203938612578,0.01075544812559735,-0.013168709967889812,0.03819360354291283,-0.044959482398801605,0.033224073396744845,-0.02912386085716683,0.05937485080398558,-0.008074765800185705,0.19256540657656787,0.0665575310531354
TGFA,-0.02483895488034347,-0.04360037990433477,0.0014190597027472296,0.037238987235749775,0.07206759866469392,0.08321869457998914,-0.04232065637022336,-0.01569396036882723,0.02575325582424996,0.11312602644164323,0.044619704426758895,0.07325907853983099,0.1680039767220211,-0.003533954456034085,0.09634764378663108,0.024504546098769654
SLIT2,-0.022211600292068676,-0.0317009269394518,0.03399947034876969,-0.008367878082236225,0.10838236663418674,-0.008716626462000783,0.05953275181936942,0.05262418846565055,-0.03515866638634324,0.07897360120085752,-0.035874051198641586,0.05898138665376703,0.019726552352138414,0.05216613761415543,0.04801400971668012,0.015026953694462476
PLTP,0.028868083719440937,-0.03283224407474431,0.04053786357689792,-0.011753121089056183,0.044201851230092265,0.05713357604205908,0.012033506925950142,0.0649430038402476,0.04593862529479953,-0.008805324525591168,-0.003912720879621642,0.015949705457021943,0.0659555351233902,0.08477508406773919,0.09158767150582094,0.12863851613184027
APOD,-0.06397646669814996,-0.04985478007923516,0.057961127829351054,0.018192355233414108,0.04741533812356961,0.004356356388984828,-0.0030917447462795625,0.038387463069561846,0.06039306094800268,-0.020269116939973873,-0.03132684321797526,0.07436312420635982,0.0873795594816507,-0.026975451696783868,-0.01230447567370808,0.1491195465413515
B2M,0.009371804841739155,0.040510804137482155,0.060827361539465295,0.08244469141276754,-0.025030400060667025,0.13095681344325727,0.012470796039835792,0.1064280309207036,0.05215747411704129,0.00012664355253944783,0.0218163214437898,0.08878162476358904,0.12661794973378182,0.06675841850382427,0.1353112925807147,0.11869041148253792
