,UKF243,UKF248,UKF269,UKF275,UKF296,UKF304,ZH8811Abulk,ZH8812bulk,ZH916T1
IGFL3,,,-0.021315148112255673,,,,,-0.016603069796319224,-0.015471715484396452
BMP1,0.005841403046728122,0.021885609027770373,0.05286946459171762,0.023450797489060624,-0.054582291079140824,-0.05986284565134209,-0.10052670098756927,0.04581548227419399,0.04535056382909297
NDP,0.03381418437678838,-0.06248875283368823,0.05864906474871598,0.02616335440201807,0.007095055514745552,0.033322407603241545,-0.005293944245888254,0.08249649657628645,0.029326814807545593
TNFSF18,0.18900079045433035,0.01648381101806245,0.019442247531734205,0.004924307165192724,,,,0.04106581176154313,0.05578090772949022
RTN4,-0.02207313580825789,0.025937945480390936,-0.1165941925569264,-0.016577268271780257,0.04289096244189174,0.017145693779034847,0.07828954173180229,-0.12690287283272222,0.030137984459647327
HEBP1,0.03186149972201244,0.024075992505208862,0.07005401608317606,0.02788973365860347,-0.010950495483900804,-0.017818874340304245,-0.037175251356179315,0.03564387651896449,-0.007794259587392966
WNT7B,0.012698694499954578,0.03579793961076635,-0.036115684539105054,-0.03356764260121814,0.24053479272560457,,-0.004120507724288195,-0.008220422840958525,-0.0202653578546681
PTMA,-0.04980090331456794,-0.01365011191356221,-0.003720393166087293,-0.024558581282823597,-0.007715975682723634,-0.019173921587779613,0.021134211051766993,-0.11224040307707797,-0.03905570868737874
FASLG,,,,,,,,,0.04832191768737603
CEACAM1,,-0.018547729094949086,0.02602950225566948,-0.022552082174129753,,,-0.01848988957308973,0.056643354311252204,-0.018670029935042895
PDAP1,-0.009075429512476724,-0.02618202923434628,0.091005763709439,-0.04090109569646864,-0.054523556209960654,-0.07037827939740075,0.07900790427732846,0.022235105968706776,0.04634557446792295
QDPR,-0.06511888336131476,-0.01191062741547523,-0.10877481529431432,0.004906772802113194,0.03252832564178849,-0.054187062579410326,-0.09678469646412595,-0.12337730340966065,0.036072366139356535
POMC,-0.036414498464699276,-0.010427735253812794,-0.020352092361244307,0.05023475230008638,0.017865731275297805,-0.03220680512457897,0.03393369792561125,0.04263291096736441,0.03612334046015445
CCL18,-0.02586362304067005,-0.023145813446356737,,,,0.05822796815692169,-0.0338362711107829,,
CCL17,,,,-0.017883723927799054,-0.015263944748060794,,-0.013117681716295813,0.0006976589656877374,0.08927652085347074
VEGFD,-0.029140743624140212,-0.023145820796236588,-0.024555335721424067,0.025061630203166204,0.09029901614044492,-0.019515871594832947,,-0.023087392422788656,
TNFSF13,,-0.017466579117872673,,,,,-0.006848243726031615,-0.02347439620515719,-0.019817723219499064
WNT5A,-0.06400626177158361,0.022702837088780316,0.08557343822267337,-0.005070290053415851,-0.008229327474652761,0.008071107744378221,-0.01347660002131335,0.06425034119668992,-0.011271580910933861
CXCL8,-0.003515093427950896,0.005119989943380392,0.046153188643134065,0.014914553129501264,-0.0104264702779254,-0.04447014583738484,-0.06540204548640445,0.03207889320493457,-0.0028639032658489567
GRN,0.021670493283053417,-0.00912138412852243,0.07388660827517742,0.04302543361972622,-0.06665540844374922,-0.018187183356485073,0.08753781886246757,0.11748897232558497,-0.024278741015465344
MIA,-0.011758696213164839,-0.03016808945733491,0.01963758064680284,-0.03515069594435738,-0.012733419758856642,,-0.039248990744932245,0.13866390794883432,0.10836608892241117
COL4A4,0.009522689946598698,0.025125099674813953,-0.02100449634419691,-0.0038765531907749384,-0.021391132539598453,,-0.0346606253079855,-0.03372006581297113,-0.03571733926778885
TAC1,0.06478234883673915,0.03981397022579288,-0.03598523520890732,-0.02214053690619951,0.049460588320521054,0.04021880634743122,,,0.009402485319617923
RARRES2,-0.033315495515664234,0.03918149496401906,0.08218535578493508,-0.04253181857219024,-0.006112952869108405,0.05353981289343927,-0.0543528743410866,0.019402977442581515,0.029631897717972117
FGF7,-0.06535686126210234,,0.06753484540830705,0.0025651315977117052,0.06177420805226233,-0.04530770348313696,-0.03422935475861914,-0.0237251063850583,0.03181253829944344
HBEGF,-0.040859230232792504,0.03930614656588148,0.0015142768166464431,0.00024771159094540645,-0.028753141282989777,-0.006124569261769498,-0.04527525409681345,-0.02534237076829489,-0.03284710821049251
CSF3,-0.029335220903558626,,-0.02222235284580885,,,,-0.02587833341090698,,-0.012805200437027129
PI3,-0.00017087066776275467,0.003277040518481599,-0.02502266260769101,,,,0.020352329017640072,0.0897715389027475,-0.027821446438862932
PCSK1N,0.032857022206970676,0.02111069357305128,-0.017317859310218287,0.03015239851494333,0.03223187173020381,0.0496203973350457,0.05174743929191471,0.06840659275877974,0.0631743401680413
NTS,,,-0.02731394480465188,-0.021329631149647022,-0.01128030135558991,-0.01757055346212845,-0.03060218594377586,,-0.018962755714515434
SFRP1,0.020979497448590564,-0.0222237089372794,0.008992815561572502,-0.009382532398557393,0.003193788281337625,-0.0031179975979557326,-0.07535678379996268,-0.02244386254124755,-0.01852210931274954
CXCL13,,,,,,,-0.02946500263638604,,
MICA,-0.0311667122029809,0.03319974909882109,0.058053170317593,-0.015538490303293434,0.005445466027574404,-0.02253856254433179,-0.0733199798492238,0.15174506910245641,0.01794360899721377
TG,-0.023384853307015337,-0.02596219839148643,0.0021526479063715006,-0.018017175074670207,-0.011046450528642629,,0.033567599110983934,,-0.024972583346604186
ADA,0.037063135335529546,0.02450056924355566,0.05025692519410506,-0.021266501868705816,0.014149207303456814,-0.07547654642152568,-0.03800751897030018,0.09659511166943735,0.061185857819212666
LAMC3,-0.03660774581083419,-0.02960484785819204,0.08208536416750185,0.060863236847811114,0.012777260504357717,-0.035493078809109485,-0.055944273864978945,0.06518795788280769,0.024640228403157813
CCL7,,0.1434322759521011,,,,,0.025759534397105044,,-0.013418608789866221
NGF,-0.016900854660152294,-0.011318448055362671,,,,0.012006989898361096,-0.02270616642154541,,-0.040174910286409495
TNFSF15,-0.020908466498839665,,,,,,-0.01916666405705106,,-0.02344901762910048
HMGB1,0.06979495842722479,-0.01055248980104728,0.12351270648858532,-0.009345326599263678,0.03468196965422974,-0.062127202721235016,0.1116586715658983,-0.04471870691764494,0.0033303437511982797
ITGB3BP,-0.031250811371654835,0.03775332767429518,0.1048095350058912,-0.01258030354016454,0.0028086485850832205,0.024193273414778838,0.04619773616873248,0.02231494110450223,0.02848244763814847
AANAT,-0.030292109621350292,-0.021360387146147367,-0.02004516364646707,-0.01620295083734979,-0.01273342046712196,-0.016518915165472083,-0.017247701834132816,-0.027077460829672263,-0.014197447684893363
RELN,-0.029140728498888213,-0.04611444835998277,-0.0023559188732564973,-0.02801076599505195,0.010829040935786233,-0.058043807792175044,,-0.019375227668112376,
IL15,-0.02972102421839703,-0.046552740907481426,0.019741695215518607,0.07917723710839608,0.03738826299161857,-0.03385094693359741,-0.03159849642751998,0.05914383163326074,-0.01938153132580567
UTS2,,,0.0423174797006999,,,,-0.014687680429465059,,
BSG,-0.07979584173972175,0.015260054745831452,0.06988995990136739,-0.03276692853005047,-0.026951931032983115,0.07922212250719174,-0.04740324618934394,0.11830118805764908,0.08022274928222639
ADAMTS3,-0.044268108085781466,0.027781585484146255,0.08748445060348807,0.012203590732055031,0.004549586940226055,0.05408052597476775,-0.05189764728505113,0.15572895960984529,0.040183958950795746
CD34,0.003097980774507807,-0.0016591395329963246,0.047922733619154195,-0.004331284989632678,0.06643063727842773,-0.04364729576002037,-0.02793918894716321,0.0920577555642798,-0.031024653031055893
CCL23,,,-0.00578934385074295,,,,,,
PLAT,0.07937717809816493,-0.03991936699402864,0.13237320221296883,0.03382657868665177,-0.04725449964809794,-0.00792365941204058,-0.028213443358538134,0.051126365101401734,0.00783406814590843
NTF3,,,,,-0.02055477824897657,,-0.027564737484837867,,
LTA,,,,-0.01560513026793052,,,,,0.024515372864478954
CKLF,0.011163179544621458,-0.025443392346731288,0.1331767611576507,-0.010588966553247845,-0.05496019680286766,-0.038591129261294356,0.035421496874925365,0.004061655686369518,0.04150528475220522
CD24,0.001521851159118128,-0.015577430084139726,0.06228994242117916,0.0242249824130389,0.023154783753861822,-0.01311821690920822,0.05090269854067237,-0.02797394354000846,0.010892179927410692
HSP90AA1,0.0033646043797206297,0.0452858036311631,-0.09468920963608897,0.012515113713459291,-0.034402164489169086,0.07012590846434098,0.0032886645740732054,-0.09307580202364167,-0.015229312867876398
BMP4,0.03214234282950831,-0.04291239659961464,-0.05494920579720563,-0.014805839957539134,0.04760858342958309,-0.0263480281308123,-0.0029557213179824383,0.1360045622909365,0.048827710070738696
SCGB3A1,,0.032656660206345646,,,-0.010740764705648803,-0.011215814450762123,-0.029923931416448828,,0.09779356408424465
IGFBP4,-0.06460560556704087,-0.050447412538722584,0.07392884843262561,-0.00487316521287113,0.02039817054121131,0.017127431763400383,0.0066755679690824014,0.1147771768292071,-0.011529053290542577
RSPO4,0.14600056132291298,,,0.07516677046340711,-0.010740763134568993,,,,-0.025200957217151994
LEFTY2,0.18010882161041963,-0.02916219857295693,0.08296775454088763,-0.011924150776259149,-0.011777378139474288,0.012006989898361096,-0.016689437326473218,0.14358435003510003,0.06651439919643275
PF4,,-0.015272428768084366,,,,,,,-0.01910762055550347
ANGPTL2,0.03163689988270963,-0.036824321395269755,0.0680786110116759,-0.024273465960737376,0.0009561067557969962,-0.015849049336304523,-0.08483882218427767,-0.033934351502353584,0.01437088743786964
LRIG2,-0.009355382218737888,0.022977855398279182,0.07368818069458197,0.06954629739108446,-0.054814441194120496,0.024022877113824177,-0.011835047857574419,-0.0005208904067039967,0.06819691357315405
ICOSLG,0.027403108415025277,-0.015391562436738233,0.07006914600456172,0.007869986714741256,0.0651596624544548,-0.09152806348900198,0.02780779424927442,0.00990764732410266,0.10261493015554113
WIF1,0.00930171447558345,-0.027480256649686518,-0.050986120151643104,0.025947915099447494,0.03498662288434248,-0.013267803809818395,,,
NPPC,0.01180115146363818,-0.04567373155660018,0.05131345768859389,-0.027320682957906992,-0.014927032264194496,0.006226561200719234,-0.029349403791375534,-0.006076781251745528,
LYZ,-0.03237703004886582,-0.01160426796866252,-0.016075418758301565,-0.006594417489121436,0.0061877211227588024,-0.026592753217583236,0.03129867653994995,0.05281947678655325,-0.06124439011182634
EREG,,,,,,-0.018074976623920703,0.003220115034791326,,0.07029547734943023
SPTAN1,0.05553152965597026,0.06009631763908025,-0.016177731332051786,-0.028408927621185246,0.010284720623662941,0.05450499454520093,0.023966846761580212,0.06903149429203662,0.04837032499371603
LIPC,0.012041135149240163,-0.01869746709049584,-0.013582046648779234,0.06353335144938553,,-0.03237195369595089,,-0.03153147723403026,-0.024159264573031056
COL8A1,-0.025026770273076385,-0.045850822855492475,0.07572861688119789,-0.0030562089931763904,-0.009601408417302688,-0.0237183616684621,-0.06553168432257633,0.1606276485628986,-0.03927649693332097
