,UKF243,UKF248,UKF266,UKF269,UKF296,UKF304,UKF334,ZH881inf,ZH916T1
IGFL3,,,,-0.011819350943737253,,,,,-0.018807324051335377
BMP1,0.03242856894369953,0.036918953192117486,-0.022391897435719926,-0.07131321504672614,0.023739457999289018,-0.04648761656202222,-0.034633044185787526,-0.05335395345133733,0.0658325300757959
NDP,0.07961327958183216,0.015479208202963439,0.038031660313099735,-0.007526251832936759,0.0427078220896726,0.003963969916733448,-0.006154084856532294,-0.021760226621887754,-0.015370544969344762
TNFSF18,-0.01987259589439861,-0.02883149101068013,-0.022505102317837828,-0.01755138132481117,,,,0.0367004554296082,0.050584078836604075
IL36G,,,,,,,0.07493065305217002,,
RTN4,-0.09279156885393486,0.029935700489515275,0.08779830893282718,0.08317720360378258,0.032077029633855406,-0.00135068963756366,0.06723053231257746,0.026562658781838028,0.04748744555527566
HEBP1,-0.05923918405532829,0.02553589060216217,-0.014003855464464405,0.004759643156953554,-0.05312349120967608,0.005601067371281118,0.041563110063291206,0.048295010106258675,-0.006082661180316659
WNT7B,-0.04638285972463805,0.02279861793698106,0.05353125090469013,0.0015842961265262994,-0.011083479727255402,,-0.016376618105032912,0.06781617698950433,0.04508482871189946
PTMA,-0.10970802568021902,0.06495606221590827,-0.03348312550240158,-0.05916751862722296,-0.025596624342898562,-0.05313840393442727,-0.04695552859827105,-0.024016659720043347,0.03867724089085744
FASLG,,,,,,,,,-0.016311585733511855
CEACAM1,,0.055161112798704476,,0.01220310647593832,,,,,0.015566422978208976
PDAP1,0.0546003210116339,-0.02066557778372276,0.0060375354924292685,-0.05360009231814679,0.05478433917068399,-0.024268636742098292,0.007072226626345434,-0.05462303661058112,0.006794599167916377
QDPR,0.0775205574585291,-0.02982268381005441,-0.050993747993522416,-0.005459461740341881,0.026766699019021668,0.006480928224716123,-0.023195003010605647,0.039867051568808494,0.004819090180961959
POMC,0.02312170852630254,0.015131886357131804,-0.018605636491964023,-0.0007051023970274607,-0.0003831490045645548,0.00038984517431013896,0.02282778744353983,,0.031933277136436726
CCL18,-0.02665078510321584,-0.022899632618941727,,,,0.007549529275648274,,,
CCL17,,,,,-0.013718240893102624,,0.03494324237379742,,-0.0147846203563349
VEGFD,-0.010416477113005994,0.06754596914600579,,0.020411155155828746,-0.010062495595615596,0.09326433598549941,0.07761674054808526,,
TNFSF13,,0.002553035254151084,-0.021825254419123825,,,,,,-0.024090304848527398
WNT5A,0.009200990916526725,-0.03847997373747938,-0.042408102646706414,-0.04691660454209519,-0.06056195479641529,-0.06172969969392523,-0.0030337802012036855,0.08756872881045104,-0.007424347495853918
CXCL8,-0.06288861438937034,-0.029248672150078515,-0.018802271778921742,-0.03937119003458857,0.0508704223994095,-0.04303568817020329,-0.043859833972644716,-0.0050618522351799965,-0.010614286021037122
GRN,-0.008659021119534581,0.05032753729249319,-0.006993642096726735,-0.07490332414507961,0.004174672101041269,-0.05107683679775046,0.03228939657315095,-0.06733060347495752,0.025756839477718795
MIA,0.015133874366889424,0.02675719242288731,-0.01973826583240133,-0.033763066818244904,-0.011443969598172211,,0.0504505949462799,,0.0313103082363625
COL4A4,0.10085074888735877,-0.027502272721192374,-0.020765765330979916,-0.011647093061753882,-0.01922495881621812,,0.06805542984293993,,0.04339840002754934
TAC1,-0.037858295229819566,0.0565563683318974,0.01971581326269473,0.05178813261135245,0.05013954540604556,0.05103666605289138,0.10320128052613463,-0.05813194135267743,-0.019435886821876754
RARRES2,0.019942351814166804,-0.03807444671606647,-0.08817131058805205,-0.02855206263916011,0.06458174589518106,-0.06940094333369992,0.015700332460525913,-0.04412598469857691,-0.04394881712565147
