,MGH258,UKF243,UKF248,UKF259,UKF266,UKF269,UKF275,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,-0.026066249241690997,,,,,,,,,,,-0.023476719823135574,
BMP1,0.05361992345459732,-0.04480461892598621,0.12267350576062253,0.030107665349528447,-0.017096949223613135,0.17992968341063964,0.04132170448491284,0.06361278270360697,0.031205800636038998,0.12066939266938732,0.0017586373924073349,0.14076999592818693,0.040067990270965685,0.14091373865657206,0.1049027804717395,0.1868264465550837,0.2175180418888563,0.2322038902954322
NDP,0.012945448318061806,0.05571234664125132,-0.06986812200466927,-0.05345083518894967,-0.013676693813395951,0.03438786642970674,-0.011484818256588454,0.10938714183489005,-0.006137047062194824,-0.04384693928813247,0.0642632678471883,0.011796891879482515,-0.06357900041422086,0.05080244577516387,0.028079522027727285,-0.010752162106250036,-0.06938653512401702,0.00042128280890975606
TNFSF18,-0.014284616538679136,0.006172709314839885,0.049214405101285656,,-0.010827030620007063,0.08163209691224976,0.09619916715698328,,,0.13563510143208704,,0.0447989403733529,,,,,0.12738739617687117,0.12290745385881549
IL36G,,,,,,,,,0.03131868506231898,,,,,,,,,
RTN4,-0.10901744330660974,0.05868548097731765,-0.04422567504594111,0.021262543795810687,-0.02420225656714673,-0.17202615192724116,-0.015208778702663956,-0.044286279509835345,-0.06757853841913239,-0.07887057257572977,0.0312467300285967,-0.013689646455686582,0.01997286134226652,-0.09870849628059224,-0.062144004161356924,-0.16834979335725062,-0.05366492869115657,-0.19608925466398308
HEBP1,-0.009817390795423004,0.09241067786026572,0.06173702564609987,0.026534773577904416,-0.02955925799732595,0.10220445612675788,0.044558370854415406,-0.00930706392129084,0.060744842057722286,0.06662862024921669,0.07890406676025508,-0.09360206102890486,0.0017678885708958048,0.004769391818585334,0.06755589675706015,0.03705886003233979,0.02380480192188853,0.024069225806352828
WNT7B,-0.03358645279083232,0.028468758798629687,-0.030738718960475073,0.04774961557372271,-0.013059013243925303,-0.04007894426139679,0.0014615981540356475,0.01085121495294207,-0.04374759174753989,-0.05823681289861774,0.18871177439652323,,-0.030935979150160543,0.0010717704439412471,-0.022758573893598533,-0.0013016761450469689,0.06416485689848825,0.041210218591289274
PTMA,-0.04292115151349086,-0.0552543521084675,-0.041599335444999455,0.00841685901824799,0.029919409472132154,-0.09585061314726911,-0.014584704001645186,0.09116345252991034,0.06534402873717264,-0.019206727726786395,-0.017534394975361082,-0.024434148086392344,0.08352783221974933,-0.09420600419281802,-0.05766304826680757,-0.045130763887872176,0.24250962093009332,0.13675291845118595
FASLG,0.0005922485727311912,,,,,,,,,,,,,,,,0.06625022948105692,
CEACAM1,0.09959832759992863,,-0.03808531492795713,-0.027750788855876188,,-0.0015950592821454511,0.0181622115217643,,,,-0.048220941691557745,-0.030603842339149787,-0.027743881614214868,-0.05297385868704331,-0.04307440246008672,-0.010008303680843694,0.007422999431833098,
PDAP1,0.1026660592150941,-0.038173085294027354,-0.07845475296909386,0.00931892947888946,-0.005131272201596775,0.15075190641253353,0.04713145302287339,0.12743060023617644,0.03719462262119976,0.11535086470475703,-0.08060678986943945,-0.018900915440379428,-0.07121021771674785,-0.009416530947178987,-0.0008592683868547494,-0.029487923782332025,-0.03400553807496823,-0.10583765593559953
QDPR,-0.2056636993983114,-0.05288933555716437,-0.08041424214223299,-0.006750297922985721,-0.06883386702710584,-0.189335913132498,-0.05382558660798453,0.03666737909483172,0.014700572523158581,-0.06275359458469203,0.013286007704568906,-0.02854132097929715,0.06050014798183857,0.05247635541571235,-0.03474012739503743,-0.05937255900294892,-0.015052370488400971,-0.14298826407540277
POMC,0.00044172517015672765,0.08318393837260141,0.058275670623294085,-0.025842660529877427,-0.003009630458134965,-0.03475799616866805,0.03404422871596409,0.0386200525315613,0.09154287504474068,0.05903322244740297,-0.06840344178216523,0.04130105000513298,0.11851747567204206,0.027622152375972306,0.07302786497267137,-0.03166426605167767,0.09071652865302471,0.0675314159725816
CCL18,,0.0010591884039330597,0.05039739331400193,,,,,0.05245463642520385,,,0.013032492069658485,,0.08882358263519312,0.14212817815179163,0.07624992517458842,0.08955360265491148,,
CCL17,,,,0.019333633194823705,,,-0.012891049275587908,,-0.03636076141042313,,,,,0.22608413203778077,0.03609222702731555,,0.0275531747854544,
VEGFD,,0.044127836864582666,0.0026462833115523097,-0.01792013253508484,,0.0778006762440193,0.006484518268093023,-0.019311664602355394,0.09230349133490638,,-0.026509103606031342,-0.01829782045764499,,,0.028574183520062607,,,
TNFSF13,,,0.058968987574758026,-0.011094866387162282,-0.010499961055409271,,,,,,,,,0.049920912642338826,-0.06758819081049987,-0.015918438307223615,0.049644384057756896,0.021144265328573417
WNT5A,0.08625702335914129,0.00028913578649888044,0.033492294109769824,0.04153425022680871,0.011639495204610033,0.1265603125237166,0.029448143223077355,0.020118422092055315,0.023070082196918595,0.011664009987222302,-0.014726356690265688,-0.043098621818043435,0.01449323461299161,0.11447328034999273,0.03715881237674349,0.14019851201169048,0.24684648947747242,0.22244745878682565
CXCL8,,0.03007130166524869,0.06954851102414626,0.03782265545717596,-0.014935513582711868,0.05339472005440606,0.02156906428202881,-0.0334156757264249,0.11624948997504188,,0.1381949995401812,0.004299480148128389,-0.03463366054226377,-0.01925577554969773,-0.005298903185099099,0.06106780177158634,-0.00831498541857006,0.2155162929508626
GRN,-0.1580674434098476,-0.0605386157522795,0.14674567996067459,-0.0076861638047076115,-0.033868348124614645,0.14082974551662505,0.0049186445077638126,0.0493742670445603,0.06897993849351962,0.01156208565342191,-0.0528717278565618,0.12721381359570313,0.06263019622158816,0.14682830912735265,0.08038815051935558,0.2523546007984613,0.2608308892074788,0.07676442485175106
MIA,0.11375792858448866,0.07211488974482663,0.010459503956745225,-0.03386898297445287,0.05896927408436728,0.04935817840010988,-0.025337527872791622,-0.026190086597715885,0.11818518126331821,0.04143917812102366,-0.016676469156715435,-0.04152137058151548,-0.06239948069265927,0.14057189834179437,0.03532988247996871,0.17904526251259184,0.012398442435194704,0.11895148582006834
COL4A4,-0.05287119428454433,0.05308403294566871,-0.0009469445346614046,0.01587190272790364,-0.009990249051576023,0.034782630814252646,-0.01345865427565257,,-0.0038212238556325473,,,-0.032577732492458815,0.0038110797539736814,-0.038803754291790955,-0.018872026913240726,0.03806152190523372,0.1250232973708576,0.1333044489949289
TAC1,0.06691903985586063,0.0052503086825300815,-0.09015887469614732,-0.01899637286442732,-0.004628402598910665,-0.11312501640573942,-0.07152337458892245,,-0.08760925178360718,,,,,,,-0.036325411203938764,0.039829202660803045,-0.10610278946226988
RARRES2,0.2437578563408801,0.01323369275763821,-0.04249635426705579,-0.0061687575756264375,0.010919567925380617,0.11965823643824934,-0.03184682388653629,-0.02814008052028566,0.03310964869492952,-0.026375913193350253,-0.024369407587745105,-0.06551431131741837,-0.09960820355433225,0.04449753490712425,0.09789227606100838,0.11778114275479468,0.04572556870729661,0.06526535389030722
FGF7,0.034317914983876395,0.027510752066949386,,0.033111910992264446,-0.028633733843830583,0.007907319398510831,0.009699444919607569,0.03739729507058333,0.015596073030255751,-0.01091270646228191,0.07459043167641399,0.008460622551134254,0.03377580210626957,-0.022642196053767823,0.035124094513209365,-0.024303501710782344,0.00558467302098322,0.03166417127459458
EFNA2,,,,,,,,,,,,,,,-0.04093933686675222,,,
HBEGF,-0.026267121854365007,0.05214208724951118,0.09708121175091307,-0.007577412523813307,-0.02265077996408834,0.06831232939726244,0.014610872534277806,0.10696175678985385,-0.01032583394954185,0.1323074699560548,0.10865876434689298,0.11192195473018225,0.06630224004080057,0.09005766068683202,0.07995177982436093,0.1493483435555927,0.15308005519031928,0.24310219640615702
CSF3,,-0.016063970374624092,,0.04321812400712693,,-0.027175667978708462,,-0.01550546106191343,,,,,,0.015873441786167557,0.0752211425419948,0.003251328139994657,0.006026503577270393,0.082992522477705
PI3,,0.07859273811481075,-0.03841221580265477,0.07240945731409008,,-0.030600160824019316,,,,,0.052397217670355864,,,-0.09172194422593914,0.03114010062773958,0.09649337273986178,-0.14363198102001426,0.02785666585570995
PCSK1N,0.09316832186876593,-0.024611212064816763,-0.07535847105439374,-0.024808525809632505,0.020352038684628922,0.021121526524998685,0.028702507564813528,-0.04353114913571095,-0.10270250830434656,-0.03637998106772409,-0.08208287584693792,-0.05854305144599017,0.08470938011860042,-0.04503858247214175,0.04082913808754952,-0.07791982351263674,-0.0884967772212322,-0.23044666633262628
NTS,,,,,0.07997397919474718,-0.0334021649440231,-0.015374948041599184,,,,,,,-0.07810397603878726,-0.04987681318340449,-0.03938739137922733,-0.04390996563689066,
SFRP1,-0.030658409077505833,-0.012950059631470303,0.022706199727177533,-0.014034522877816598,0.035079862946621417,-0.03814970004060953,-0.028548052956963152,0.07478809722400069,-0.004958418423479513,-0.0005807610205352707,-0.1335477779738934,0.0027392615985840866,0.03325588421794384,0.038496243746420716,0.04504697496292202,-0.08129842825458332,0.13047734940794642,0.01257340175543288
CXCL13,,,,,,,,-0.006653105434176324,,,,,,0.1647218539940103,0.08288545014152131,0.10453504921759231,,0.18206974230262737
