,UKF304,UKF334,ZH8812bulk,ZH916inf
IGFL3,,,-0.023683398085523655,
BMP1,0.005892630655474056,0.05127747674470548,0.00602035031850059,-0.035522870642824604
NDP,0.07272216852643362,-0.02358738931856132,-0.0385694444828081,0.012950111000636812
TNFSF18,,,-0.024424270409075122,
IL36G,,-0.015082910889627495,,
RTN4,-0.04532822546618986,-0.004087229118120797,0.036881133719047623,0.06589886596619092
HEBP1,-0.011785152621870172,0.014516218854990182,0.0027549653620467843,-0.019949282020241967
WNT7B,,-0.016577857243459847,0.033545166636733396,0.06182795284373109
PTMA,0.019714397614574074,0.11692076288832583,0.11796778407154447,-0.041284666929409776
CEACAM1,,,-0.035095126649497085,
PDAP1,-0.024974105432794755,0.04580767251377645,-0.01804231567814098,0.06823347061298064
QDPR,0.07094309183182862,0.05022306754377242,0.08395243554174864,0.030756076944500225
POMC,-0.007590419282671631,-0.03231529824167818,-0.06919342942820791,-0.033045847824371234
CCL18,-0.03661826354349983,,,
CCL17,,0.010753714872884795,-0.014697826442596791,
VEGFD,-0.015855538009114933,-0.014767024518180327,-0.0017390574472297114,
TNFSF13,,,-0.03348498060685707,
WNT5A,-0.015189334167166987,0.0005358514162861764,0.062402922067633905,0.05946781366999238
CXCL8,-0.0030574812324818154,0.020744031404127027,-0.04433296645982582,0.010758771226414223
GRN,0.06429927751073777,0.029445390498438764,-0.0677297356457857,-0.009382183796029024
MIA,,-0.020224116814353803,-0.04374130140925441,
COL4A4,,-0.01961814360642309,0.050548993963212774,
TAC1,-0.06295616541624827,-0.03476745619990515,,0.09899708111687569
RARRES2,0.00672204390272658,0.038375480510220265,-0.011558043109930154,0.07654171576182826
FGF7,-0.011138957120324545,-0.028099163990864897,0.03818013884958196,-0.039233904453049626
HBEGF,-0.01690130359742995,0.06661561228495698,0.008287689326655,0.07261740210758448
PI3,,,0.04978567590760218,
PCSK1N,0.048676666739385505,-0.056588313060745236,-0.0025657244505503923,-0.03407677540210354
NTS,0.005945038346294757,,,
SFRP1,0.07602731360334256,-0.02924673193769114,0.024856198720088304,0.05375450974729983
MICA,0.06444805775071633,-0.04566574645603142,-0.04893303776360976,0.16848977890322844
TG,,-0.020697502497106113,,
ADA,0.04889939527680944,0.05141534060696123,0.03266846897676972,-0.0664473284542772
LAMC3,-0.02418770787466498,-0.020599923693823463,-0.05226134947444471,0.00812045683433549
NGF,-0.029565916030008035,,,
HMGB1,0.04585538283877066,0.05170065129020668,0.07137891647402095,0.04184773348583444
ITGB3BP,-0.032891463887112914,-0.05583956971202987,0.019664571325061088,0.05163875549485719
AANAT,-0.027796309215025475,-0.018482764241024626,0.014250540336963302,
RELN,0.0282284167581739,-0.02046201532762429,-0.003775214245061403,0.0007764029129394286
IL15,-0.04673317277609654,0.06168576967233947,-0.0255071179327937,
BSG,-0.05368715660009006,0.015248062538155333,-0.03450512629018363,0.02373100231080103
ADAMTS3,0.017026850920214574,-0.01573829979485582,0.028728471480405627,
CD34,-0.05550572645778461,-0.01380235217219116,-0.05897342300310356,0.06197281792448588
PLAT,-0.046772787778410645,0.04126604257056706,-0.07087039434077877,0.03020078126887382
LTA,,0.06432123991360385,,
CKLF,-0.004098020553264823,0.011290447915981008,0.07092317156657459,0.05851859242323768
CD24,0.005642020552893561,-0.0031424165748383894,0.0014931355486203371,0.006048768814519057
HSP90AA1,-0.06511590783718402,-0.06768942531181307,0.025541950148556532,0.047781943312200786
BMP4,-0.019972715068441057,-0.014606679252456012,0.023678329254185063,
SCGB3A1,0.00850661522844918,-0.011961399285042728,,
IGFBP4,0.019645630111569955,0.005438413439187654,-0.09187524264784493,0.039784233205344424
RSPO4,,-0.023778530196663258,,
LEFTY2,0.04588421102717159,-0.021161498546813005,-0.04624232218813067,
ANGPTL2,0.09353269418967497,0.011318543184557626,0.03728257300087342,0.04334706774635139
LRIG2,0.01568657948628179,0.04506017422877079,-0.05528729930189493,0.05615080006401179
ICOSLG,0.018422303772663514,0.07059905720078126,0.06655501443196797,-0.0446738612987945
WIF1,0.006031522712601389,-0.028120602668669947,,0.09876641391358008
NPPC,0.09247578352347796,-0.00646863626786003,0.0627081577476852,0.13290014089651797
LYZ,0.03936302528825485,-0.00944162048579488,-0.018893271396251812,-0.07786624946166218
EREG,0.056594000815680154,,,
SPTAN1,-0.009295262395364696,0.02197121146593733,-0.015293523961135137,0.06290541603012031
LIPC,-0.012404569371795088,-0.013725456213518202,-0.044977979176099046,
COL8A1,0.060005560796041205,0.04161144638517745,-0.03674934451106901,
GSTM2,0.041347714878268604,-0.047635004734792104,-0.06474541112869665,
SPX,0.009966596500534077,0.01887931979381355,-0.02412583316883102,-0.06762831298715337
MFGE8,0.009998351880811586,0.03592769648990821,-0.05958614595989223,0.06664179978470498
TGFA,0.06550066939779899,0.02094863545033483,0.02625363554026873,0.01573625999938204
SLIT2,0.02324470737601511,-0.021287788276054632,0.016222185794394522,0.07642396424791652
PLTP,0.02738687886013312,-0.04842375712841783,-0.08646926258798103,0.09579761014413551
APOD,0.08800355275153568,0.06738794081137674,0.05832231586470102,0.009524562329905903
B2M,0.05412221811711374,-0.03421837183271706,-0.08958436833498747,-0.07149493474656
OMG,-0.0046757159071698605,0.01619198427521519,0.03964407883156239,0.04864573519476675
CXCL3,0.022949334372642446,-0.012345280583756706,-0.02719943453487517,
CXCL10,-0.03511266079959184,-0.019618144845806696,-0.036643440097517535,
RSPO3,-0.05635881695038089,-0.012900580278049552,,0.12216629400971034
CORT,0.03255608016749166,-0.024330690638506743,,-0.03869076423924126
NCAN,-0.06816093303032958,0.06675127595623452,-0.06151123969554947,-0.06519948191464259
PRG4,,-0.015082910889627495,,
TGM2,0.08035592446774528,-0.023928134316563317,-0.060242613224879164,0.00811902398944767
VEGFC,-0.034368464219450987,-0.015392711765631503,-0.03587650234784359,
WNT6,,-0.01343398154441009,,
NRG4,-0.03828850280325147,-0.017957393668274896,-0.01093865139981002,
COL9A1,-0.02999305541803839,-0.020462023176107947,-0.06583206038493744,-0.038881035528808956
GDF11,-0.013782620307439725,0.04247638671386211,-0.0715666862314966,-0.05412228375874629
SORBS1,0.014462888492392403,0.008589777726247232,0.004084966564248852,-0.03081710522893228
DLL1,0.05297497299365737,0.12380711763903907,0.006455435794492039,0.005934787103416235
TLN1,0.02988534730619576,-0.0008423496794957526,-0.003189277701143938,0.06535028753814312
COL2A1,,-0.012532994315854659,,
SHH,,-0.011961398239541968,0.02462689457250636,
PON2,0.015765932383000062,0.05214648705911901,0.0012627024429360644,0.028217235536331677
ICAM5,0.02546931232808318,-0.023359964643295553,,0.032365328989198576
HPX,,0.01771608053297552,-0.03862454529339526,
SFRP2,-0.03809586135357896,-0.023465202262467736,0.04080510667005126,0.04465370160727686
CFC1,-0.031242097591078852,,,
HP,-0.07049763932804562,-0.025266144309057565,-0.02316988533497776,
CXCL2,-0.021096183392096447,-0.0236744819722278,-0.13605053815284296,-0.007875166589482485
NPPB,,-0.01539271288518757,,
CCK,0.005141592853352309,-0.05715173857596886,0.03532128857141294,0.0487398348513222
SEMA6A,0.052107594693013654,0.08947540588867024,-0.07608829455277828,-0.02532068795416561
IRAK4,-0.046375364095385854,0.04033411537716499,-0.051058698489982346,-0.034378954259804397
GSTP1,0.03034919046074877,0.06611155252055967,0.09765777452158086,0.02030224290182739
VCAM1,-0.029939171452728387,-0.006801326158978361,-0.039497101022322796,-0.0056661710341439344
