,UKF243,UKF251,UKF259,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH8811Abulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,-0.015031582745862191,,,,,,,-0.01799641381843709,,0.07218491939139764,,
BMP1,-0.0622998588908709,0.006222650133436452,0.07077928925577513,-0.024982165085364823,-0.014267954613088883,0.05856096359547607,0.006850513933021735,-0.06980701394642065,-0.028919305887775335,-0.09561354560755371,0.0663508902911989,-0.0006971253799992024,-0.06813403603974115,0.11470471741135523,0.02912024752902834,-0.025721477040421263
NDP,-0.07346542970741221,-0.04036997842862216,0.029080622088357946,0.004221009659474756,-0.016155434171869897,0.000887882500678233,-0.025305544098872347,-0.039909281994296414,0.028095916622958475,-0.0015568091910062043,-0.005000450554969236,0.027905536210570504,-0.025995875341393207,-0.02403139772436086,0.007399068730015462,0.08062507556035065
TNFSF18,-0.025285675402841445,-0.012001766910949764,,-0.027339507818953508,-0.022321449117125417,-0.012622089446573373,,,,,,0.008189464457997151,,-0.030676811374449584,0.048471121983023155,
IL36G,,,,,,,,,,-0.013950283091686397,,,,,,
RTN4,0.18957261251513927,-0.040863506047364544,0.0021215251198694962,0.03798222590655426,0.0043430356011962944,0.004523410804849646,0.0031200656070162853,0.03802572781635201,-0.006596358130576783,0.12824418495212636,0.05047188548847951,-0.012371861557904333,0.09797728026996752,0.07195064352996243,0.033674613525410735,0.017266919687608025
HEBP1,-0.07485094960736943,-0.00379220763145697,-0.022663195572216587,-0.030761676995278476,0.042156944005095134,-0.004301165555458038,0.018316285361719607,-0.03188475859761458,-0.019951903928347375,0.01758202403745113,0.05300680604906585,-0.04381364237719785,-0.016934821319566105,0.02863476653941008,0.00805401969724815,0.0967748154192374
WNT7B,0.1864261518407236,0.07711014356873404,-0.02403262237742137,0.029565461677582026,-0.008819445066313191,-0.028351616317376382,0.01171946449848281,,-0.03166315730355943,0.0745191931296804,-0.034443832175080444,-0.038809173182602574,-0.022338912311980718,0.12109960803074624,-0.027027921903161646,-0.04128122924420783
PTMA,-0.0014534703034818264,0.02793905841974948,-0.019978155416848605,-0.06516317506867401,0.0011289765657573124,-0.009415462675731453,-0.08857762946084453,-0.12777805731163702,0.017831396797789455,-0.11729760188841287,-0.0010618548064894962,-0.09915217758748,0.0008604437832205969,0.021646978301773073,-0.057332588339570084,-0.05204268656453228
FASLG,,,,,,,,,,,,,,0.11552965059520237,,
CEACAM1,,-0.02620701269811855,0.013300649119706104,,-0.029373755703456468,-0.01985153968813039,,,,,-0.019300578001802474,-0.007239475574355195,-0.014826660991910582,-0.021945612401536998,,
PDAP1,-0.04000152435781399,0.03960316447959242,0.021320664390401357,-0.018571560038270703,0.013231559231902596,0.022689029569792622,-0.01944259452288818,-0.037615928693073196,0.012191056830812433,-0.020067625916598955,-0.00026541838564459244,0.045431719340968776,-0.028866590455557048,-0.022102379733321326,-0.09410660075965019,-0.008944999453031491
