,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF269,UKF296,UKF334,ZH1007nec,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,-0.013231782459339776,,,,,,,,0.07487870022279619,
BMP1,0.06941086226027418,-0.046121097023927124,0.03756676270861392,-0.026027566801553294,-0.02042582175961855,-0.050473184084900945,0.0313641306399872,0.06293679455938289,0.01569893880628697,-0.10163776957654728,-0.0003983810788344946,0.004445859573396163,-0.05085283576132521,-0.012693318196176227,0.020962259801358078,0.05277682942469303
NDP,0.017838342410647152,-0.08181531986753628,-0.0005667588332427287,0.03633946825461371,0.029024223996658185,-0.0315864804859518,-0.015545595568230021,0.0042127935298960605,0.005714458118234435,-0.06994260362263681,-0.0009109130332497758,-0.02099317369321447,0.0659333692911215,-0.007869616199686352,0.016857501541049313,-0.05685107678672694
TNFSF18,0.060717141469314145,-0.02649737777205011,-0.03725539187366062,,,,-0.01964879972312486,,,,-0.060619900414792816,,,,0.04034408606692027,0.002104487666438175
IL36G,,,,,,,,,-0.015082912256850173,,,,,,,
RTN4,0.04949586394630657,0.045375204594006895,0.027114378946040133,-0.06940021368812566,-0.04211964377022395,-0.02413253368549212,-0.06308190907053718,-0.06559501609402131,-0.0707644024150331,-0.02031171184830317,0.0015330545612787065,0.018772682483868517,0.032158930052654675,0.10709985038080154,-0.0026419344390365834,0.006406738833462199
HEBP1,0.03021019462946819,-0.010082394863803619,-0.0028471348713420106,0.055958968673364896,-0.020580089536212823,-0.07031273551218013,0.04590728987297853,0.006251826054084067,-0.010415243843101059,0.07141714014906432,0.08757174362794024,0.08082790161469178,0.05573537539202268,0.00551708752137478,0.012669137444537244,0.0025687334038855063
WNT7B,0.014646350773229719,-0.024884178492377975,0.018657014660732798,0.03068630584996141,0.03458107321475918,0.016672347436660854,-0.05476593893877041,0.07410894478721934,-0.016577858746195134,0.033650589857023655,,-0.008707711719697182,-0.044958505680164795,-0.015293961524688069,-0.02753508285772053,0.17032954729695218
PTMA,-0.006443186313993837,-0.03440114584828897,0.01651088510034353,-0.0029851380452183603,-0.01954857755214965,-0.03011715370616484,-0.017176267256461833,-0.009906785935003931,0.04140885343557507,-0.06498606232746947,-0.05248800569804993,0.03126702897408494,0.06369292588531798,0.05009303835130793,-0.005940179327532529,0.09733419495093573
FASLG,,,,,,,,,,,,,,,-0.015589442866136685,
CEACAM1,,-0.007875204249015853,-0.017760012184409642,,0.04122029637649509,-0.016011000398063958,0.06620517321379864,,,0.04275855052453822,0.00017820558906934272,-0.017456995389518323,0.012312379752196762,-0.027418439058304832,0.05544811955668467,
PDAP1,0.03764121999735451,0.03483642511314816,0.06448594543347702,-0.022329845539348768,0.0331742430429062,-0.03594129520768501,0.05649412327017425,-0.01909510195521592,0.06971201213546509,-0.1276735665962487,0.034219965963033394,-0.00963437041080724,-0.02112710587220017,0.026228401543191858,-0.015807838624969338,0.004161422277763344
QDPR,0.06548187733173727,0.02961656182906467,-0.013960237701898397,-0.00175308713417357,-0.044227203859111226,0.030961634478951044,-0.03317904143568951,0.010248621047079435,-0.05785667492931552,-0.06105379042740724,-0.04423464047713619,-0.0160139274904197,0.06725134140471425,0.0034472831732981642,0.01321838385887234,-0.13186049258844937
POMC,-0.037274972381911534,-0.06750849034010628,-0.03155670817321907,,-0.013767417953318973,-0.009651482392843636,0.06235463146985038,0.028902327059853235,0.031826120595747374,0.0066154587040428234,-0.08942113581101165,-0.023196625608250976,0.05174534723262057,0.01844620566190343,-0.009254332955517126,-0.014605724253448953
CCL18,0.04435329973026782,0.026937413602330432,,,,,,,,0.018121659043802314,,-0.08350512622015045,-0.01003055439076992,-0.011103515554999267,,
CCL17,,,,,-0.02854021307399067,,,0.02002319591634076,-0.01377866855036642,,,-0.038317324549730684,-0.005652814038464985,,0.07288853061626313,
VEGFD,0.04635441773813735,-0.0017375233354404221,0.0011921149690665464,,-0.0038686839733195213,-0.01531841866750867,0.08287157720496144,0.01586944682413633,0.07772725282297023,0.08535874999062816,0.12623627704914098,,-0.01258255491819482,,,
TNFSF13,,-0.029141570985166097,,,-0.01968640022960893,,,,,,,0.06388577894618282,0.006096527808902303,0.01525125067214256,-0.023023784272081144,-0.03423412064561776
WNT5A,0.05074816907532243,0.026007461009458152,0.0432078210719498,-0.02470262649933803,0.005299302858519055,-0.008708080008330728,0.06531813739219336,0.07089592217755109,-0.009265367791185955,0.08055140785454139,-0.10556123878856462,-0.04685625861770429,0.05823013078514986,0.04897540457648541,0.0064640891284393565,0.1127965986675931
