,MGH258,UKF243,UKF260,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,-0.027299276938804223,,-0.02858423927096001,
BMP1,0.08048165352275566,0.053409268636887185,0.07336289924510363,0.02495168181922292,-0.09922511099680931,0.09011675541286654,-0.0968737272064851,0.0809998175898954,0.020073143326993396
NDP,-0.006615424530913084,0.06955624348197614,0.034220750956566424,0.03349851022801264,0.021425511239414535,0.0455310678994977,0.06503200891126008,0.04899764669659198,0.049252104318146785
TNFSF18,-0.019279987219288242,0.08674160291736836,,,,-0.028153262446453546,,0.10327693902113913,0.041170900719186526
RTN4,-0.04727809821613066,-0.12295947052464716,-0.005440653882554087,0.03198547791058314,-0.031636184246138746,-0.05657450184701131,0.03864249805196429,-0.07492745752363984,-0.033087175575404124
HEBP1,-0.0057754756056388095,0.004784765761665344,-0.015038708276495186,0.022863642257121095,0.036709661366261206,0.006115698457331646,0.0282718826230623,0.057450908934247175,-0.016094791822206172
WNT7B,-0.01698506487420097,0.046750591816617726,0.03382489462410491,-0.002099475664806095,0.05967652409251999,0.0016703380310971933,-0.028986524990188212,0.06121440525404337,0.043573365901844345
PTMA,-0.05955498355936085,-0.1740144742475584,0.0023053283178686725,-0.055414853070973255,-0.05185345176949422,-0.10044106849840427,-0.07731451496149748,-0.014332081474010577,-0.03635248444594843
FASLG,-0.0169850696758353,,,,,,,0.044543846650473895,
CEACAM1,-0.02358391789291431,,-0.01926856023298276,0.07954284926954963,0.031621709583588065,0.02191752029290415,0.05892816318096313,-0.022267973660929335,
PDAP1,0.03522615112174406,0.058128360600110285,0.006972478429868863,0.025324400547785814,-0.03659803612274344,0.06769007630825809,0.026277466722001434,0.016026869134821934,-0.032764028464384594
QDPR,-0.12311140377756508,0.013537666938048823,0.003176502462843774,0.02284835458094702,0.0629706828706413,-0.0441031158182279,0.007781217768843674,-0.0175162617518134,0.0035636622834363234
POMC,0.009401688049508776,0.01323990031898622,0.04149539083096139,0.030368298417734516,0.05406146013800099,0.01587268989729667,0.05313379256146936,0.001929808273879141,-0.003929097208970107
CCL18,,0.04810893887287328,,-0.032812164721056775,-0.04125173290064556,,-0.06625345991323511,,
CCL17,,,,-0.012720655057534619,-0.0243861920749677,0.13643780896320237,,0.18876819300473105,
VEGFD,,0.01956361217172056,0.04108267757116195,,-0.016893059603913442,-0.03796099921740278,,,
