,UKF259,ZH1007inf,ZH881T1,ZH916bulk
BMP1,0.03016732864989359,0.14162367457507558,0.015982138795846375,-0.0033330025888229607
NDP,-0.027989964481151507,-0.010234737459243401,0.033565976458364996,-0.049563826491584
TNFSF18,,-0.024885306399845823,,-0.022855177852230735
RTN4,0.0033707332972293578,0.02611296028504744,-0.060154486285470765,0.03840484942175129
HEBP1,-0.02677185983772961,-0.030705137776096948,-0.017603346182447473,0.006631951672749175
WNT7B,-0.022753991590251217,0.08336300707734282,0.05521399617014373,0.12574834246036334
PTMA,-0.027651976519923845,-0.07612344052923936,0.0918645037978414,-0.009201197256753297
CEACAM1,-0.026274336817553128,,-0.013320730149735917,
PDAP1,0.029194717983678908,0.07698422154913984,0.02461791286611885,0.0520926060416914
QDPR,-0.02721468860078595,0.02135277585029478,-0.05531874649282613,0.032617275866013214
POMC,0.060735457569560065,-0.04409095288995799,0.014440292075680114,-0.03264925495571876
CCL18,,,-0.025324117367163054,
CCL17,-0.015228930591524508,,,
VEGFD,-0.016966710405506607,,,
TNFSF13,0.016860705360728596,,-0.014958287169047398,-0.024863173447830306
WNT5A,0.012486260354456566,0.015603038187121483,-0.0045050223685338285,0.0033944630649787853
CXCL8,0.023120460951663476,,0.046222042055801195,-0.010601954629435929
GRN,0.019033461384144537,0.014735111473839978,0.039011808936611436,0.028516630318408877
MIA,0.027554311455689172,0.015456074655209758,0.058246832148810365,-0.033611577816953814
COL4A4,-0.02868113570092886,,-0.026845875322189124,-0.027788361056150644
TAC1,0.020357381414122463,,-0.02298205435109976,0.04809721550654705
RARRES2,-0.020363345617866267,0.03395516744705428,-0.007771770673756398,0.042999240887971045
FGF7,0.018960524307057074,0.11417916184048328,-0.0388919653574254,0.017045917184675023
HBEGF,-0.05270026329448031,0.09121143470726165,0.03464371206864857,0.0663841501994854
CSF3,-0.018151557408383295,,0.062056184868158185,0.03868482206732199
PI3,-0.021323582262397774,,0.05652988227740163,0.029207112575640393
PCSK1N,-0.022848176229387663,-0.08280777051884651,0.018030057538162666,0.038003124191852984
NTS,,,0.005986728057367147,
SFRP1,-0.013287830593951803,0.05153515368794674,0.04912018629852587,0.08697293604173748
CXCL13,,,-0.006331617900006141,0.05954149881325363
MICA,0.017937379808199237,0.03760398565176431,-0.00026179174250117875,-0.025812952763301783
TG,0.12535895299167407,0.05948195844394,-0.015717195451873413,0.07103712482882205
ADA,-0.03814693606302993,0.005388366808953168,-0.022429474277991225,0.07030022024277159
LAMC3,0.04399741511656476,0.03633808598968929,-0.016453143962131385,-0.018084131543628024
CCL7,-0.01036756172240576,,,0.06196197315717155
NGF,-0.023754731905622915,,-0.009843958372301852,-0.03312676130801288
TNFSF15,-0.011544787048847161,-0.02939605779547725,-0.011858962713185603,-0.0014574106704339494
HMGB1,0.013980613657972676,-0.004226570293984168,0.0255550809956087,0.06516562259525273
ITGB3BP,-0.03552900823669926,0.13231357684414974,0.002372868163832063,0.036190797821864434
AANAT,-0.01050457660963604,,,-0.017847909709223404
RELN,0.04371794447805174,,-0.014324341774131734,-0.007048704164925023
IL15,0.017371319689823767,-0.05017872070426222,-0.028927659901145236,0.021998231658173103
UTS2,,-0.03860364916586518,,
BSG,0.025437843810284636,0.12063013100422326,0.061991450241883,0.0022717284552020716
ADAMTS3,-0.020676082372027477,0.024073849803592774,-0.021241008458797565,0.02783281554739441
CD34,0.025137520111874184,0.025470381752568626,-0.04317789493069265,-0.006318418066943768
CCL23,,0.07734157383130606,,
PLAT,-0.008338223178550088,-0.0004946105429055523,-0.03804544403691875,-0.02414715480874352
NTF3,,,0.023913403426815215,
LTA,-0.0132878299723262,,,
CKLF,-0.030038989350252152,-0.046488148629707196,-0.02360904445866411,-0.02970785308624878
CD24,-0.0032186104220847354,0.018642884407219385,0.052218120311302275,0.024959522159647026
HSP90AA1,-0.03503182106253353,-0.026643607257188354,0.07630498685133526,0.05903681775354585
BMP4,-0.011783263644898234,-0.011706623460020575,-0.04109411610895982,-0.01575201201180996
SCGB3A1,,0.00875633810730536,-0.024627323530447665,0.021563108162823707
IGFBP4,0.053579750925019196,0.027950229168731383,0.06188716894020205,0.01903493485114569
RSPO4,0.009654092545069413,,-0.016585454316478294,0.0208518339572339
LEFTY2,-0.009644114161825267,0.02634705142255008,-0.022555122138295976,0.024087860970435897
PF4,-0.009045493349653943,,,-0.017629837234569245
ANGPTL2,0.0030111830763657668,0.057501988810884384,-0.0014126439675532906,0.006576050895491923
LRIG2,0.03715536635369627,0.0017833689289985834,0.007371963894905726,0.06747198437159688
ICOSLG,-0.042210920843297514,0.0228507481356644,-0.00036084402809287327,0.015721007027307905
WIF1,,,-0.015417786285884813,0.12412185997809339
NPPC,-0.014031790862095014,-0.024507828223988243,0.07196807193992726,0.006312100789483262
LYZ,0.020011657215000134,0.0157092935522925,0.026252010029609543,0.004720812483838109
EREG,,,-0.02065746298310243,-0.020297165192860473
SPTAN1,0.035131016873317704,-0.03777625818268635,-0.033652946941448256,-0.01694628318597457
PTH2,,,-0.02637639767365355,
LIPC,0.053683590555715206,-0.025988043109248696,,-0.00967432579556075
COL8A1,-0.00965857602822168,0.02675914227237755,0.048157848543860945,0.013518168756396998
GSTM2,0.07292322715104589,-0.05102584368770429,0.03621177752243395,0.04757223498595517
SPX,-0.015610744878090357,-0.032489827582267476,-0.02225058143661085,-0.005844060178234134
MFGE8,0.0409207142068982,0.09229721773431744,0.03438517591616202,0.02558412713269109
TGFA,-0.01756654358761451,0.08888010484006713,0.03904302831098593,0.0409248986249221
SLIT2,-0.030786170104523714,0.0006690282583939343,-0.05758884847498736,0.047329207847923785
PLTP,0.06506248417410111,0.07856234541720082,0.057597920649120796,0.0673579629903492
APOD,-0.01714653183969855,-0.09714063524327005,0.006437267059459702,-0.027392140897505413
B2M,0.04252772842896791,0.011686528077814149,0.008099619696160588,-0.07652392913633198
OMG,-0.01620013532302388,-0.017025211916934062,0.0046156052732575555,0.03189224281272427
CXCL3,-0.0414793392284812,-0.025257774695461994,0.04937259881884758,0.02194406741126901
CXCL10,0.06379854378602794,0.032403487046037044,0.044525150086230356,0.04824719376754307
RSPO3,-0.010504575833466761,,-0.008441896871860638,0.02027334957911512
CORT,-0.02355731790185944,,-0.027583834915733952,
NCAN,0.034223333339010495,-0.0981533848479983,-0.04935079656321143,0.008262592874738869
PRG4,0.045179337188301597,,-0.007674823274651462,0.10403087593282075
ZG16B,0.08305673771737411,,,-0.015040059273874426
TGM2,0.04890377539710287,0.03227034391360078,0.06399505372697929,0.0012494652070979182
VEGFC,-0.01847777388440141,-0.04180507170757024,0.06831465878211157,0.05042790976845386
WNT6,-0.014339675053653517,,-0.022011604607741708,-0.015540893573299368
NRG4,-0.01261779885562715,,0.044339282326574914,-0.023371120288631548
PMCH,-0.017483189584906262,,-0.012609992534973509,-0.029930083039431038
COL9A1,0.07631263393581159,-0.0784308301675793,0.0190481548312193,-0.014929936063282722
