,ZH1007inf,ZH1007nec,ZH1019T1,ZH8811Bbulk
BMP1,-0.013670118409533253,-0.086068369071358,-0.023658083635786413,0.01319431226341574
NDP,-0.04399111795977633,-0.03944963687538555,0.03259898521348249,0.0007705661244901258
TNFSF18,-0.03219187979919317,,-0.058646316266260365,
RTN4,0.06360610026263126,0.022673719914078395,0.0928206297476157,0.04236942247097512
HEBP1,-0.06341615179344978,-0.013941220779874695,-0.04871481705288804,0.036151374468795114
WNT7B,0.10844892070808407,-0.004593828703648374,,-0.029892557705507798
PTMA,-0.04149385807912145,0.00903514296485888,-0.015240183475648917,-0.03249555280031581
CEACAM1,,-0.056373259760371955,-0.041238313457926425,-0.014481552523017688
PDAP1,-0.08307404140349282,0.002953068126009132,0.018482589250882933,-0.036200263807824457
QDPR,0.07108792947633019,0.05720991456141124,-0.08116249392322723,0.047733309874090614
POMC,-0.07573606891284601,-0.004444719772630025,-0.08598116680850457,0.017746995376043455
CCL18,,-0.04833712305775417,,0.012809696524758888
CCL17,,,,-0.02090503021064532
VEGFD,,-0.05445717231420674,-0.05606258345675052,0.0423108972190586
TNFSF13,,,,-0.022723053118727462
WNT5A,0.12179879063216749,-0.06892085274812579,0.0961390362632851,-0.04938799767782556
CXCL8,,0.15913948842506895,0.01881548299015113,-0.058072913696026136
GRN,0.05098263753139456,-0.11154545961201026,0.04044585257622379,-0.020700926974690288
MIA,0.019585727248952394,0.05241007802079156,0.042625444770403094,-0.03466066272523915
COL4A4,,,0.06601415904596296,-0.02318722990915765
RARRES2,-0.05313047769007761,0.09797492219499111,0.060010440291403504,-0.028122738180312527
FGF7,0.003486527171767714,0.011348542357393512,-0.04901146494030077,-0.04708283854329431
EFNA2,,,,0.10609700045231428
HBEGF,0.0018678246565145284,0.016334919057456616,-0.06797521512513087,0.008591222856655327
CSF3,,,,-0.03517144224644421
PI3,,-0.06285175037004054,,-0.01997455538338042
PCSK1N,0.03184827344996046,-0.10655438520842626,0.01632854297236581,0.035985462862987344
NTS,,,,-0.016768513282697295
SFRP1,0.07648130091853812,0.07102407064606937,-0.08374846755712256,-0.028714244159749682
CXCL13,,,,0.010206160863049438
MICA,0.0698182996600138,0.0162680231209123,-0.04951368022491017,0.004769657118929542
TG,0.12849661255066944,-0.04534370758711494,-0.03342703379605324,-0.020652257181584595
ADA,-0.009734084033875103,-0.036739348117920456,-0.06724017845712174,-0.052220133307423026
LAMC3,0.042257117781595514,-0.07519458996856537,0.026277297712916484,-0.01554312557772908
NGF,,,-0.03956829801623498,-0.013578738613873757
TNFSF15,-0.03802703265602556,,-0.030809868173144128,
HMGB1,-0.06151510956058066,0.03104729595619567,-0.002207350095030392,-0.009511261209232534
ITGB3BP,-0.04294516239562742,-0.0635445690512437,-0.09772686907441057,0.045782902167163096
AANAT,,-0.06582851786164597,,0.025648876727556936
RELN,,,-0.04490865779584364,
IL15,-0.05244269872832827,-0.0758742085247725,-0.031121970486664784,0.017331058525564835
UTS2,0.10087654016986747,0.013593085014183198,,
BSG,0.013113527521147531,0.02238754023813745,0.049965969498013706,-0.0084752911548315
ADAMTS3,-0.0031018222508533842,-0.04207644499604315,,-0.04580052311510731
CD34,-0.0375792980996352,-0.03883154239723899,-0.04424053767790441,0.044102702185689575
CCL23,0.0059580182975289405,,,
PLAT,0.029230740071176455,-0.05965765469499535,-0.07206923975882312,-0.0174075579826338
NTF3,,,,-0.0002639661902432787
CKLF,-0.032924506495357476,-0.0023474644644160716,-0.14269690994420076,0.024614381172936912
