,MGH258,UKF248,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF313,ZH1007inf,ZH1007nec,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,-0.02521952795182779,,,,,,,,-0.016603069796319224,,0.05872780692994931,
BMP1,0.029390064622355713,0.01721702758138585,0.041495615271018325,0.056503367613763004,0.06283140737366234,0.06216445922270816,-0.010234980271196731,-0.024832599506968363,0.06558623555737478,0.05981406009453029,0.030116660069559636,0.08972497917957555,0.01641475989668616,0.04788999422904687,0.006353355397456336,0.023300036260301568,0.008706124825252631
NDP,0.051832133606061065,-0.029902425599087932,0.036628090167569266,0.014671768094080408,-0.022129902904162717,0.0066786857190685445,-0.020370166986021045,-0.04476599611023771,0.002104759775291911,0.11273672867654581,0.05874622443164036,0.0464557233995985,0.0640506604197796,-0.02337396777043768,-0.013923280958399318,0.06828386383062483,-0.029592134905082043
TNFSF18,0.08233754409912172,-0.030150880003869177,,,-0.018168049049685102,-0.017185975059789426,0.06003679549917539,,,0.12164309377361521,,,,0.041524955371319415,,-0.014205101759581605,-0.03062211470453876
RTN4,0.0027738830055164714,0.0832927825653174,-0.01449260417966402,0.047133785808853655,-0.03344451954229894,-0.09040103683079272,-0.007529972148970912,-0.029456484649844253,0.054491080994140025,0.001725388239182371,-0.0363238943780825,-0.03109976887886044,-0.03950732366121159,-0.0705452941171578,0.02422668626786942,-0.032044922664033894,0.023538895869032666
HEBP1,0.061083153302794534,0.011938624040107341,-0.009786073782160273,-0.04736710182575204,0.04101569992526968,0.027492658240974105,-0.004955760641230144,-0.002393233227773619,0.01829230368982187,0.07471980917637439,0.18944978287142558,0.05376727651086218,0.05465713323987687,0.014074598617997204,0.03889390358392386,0.09623964214075714,0.032151428111515744
WNT7B,-0.01622975509276179,0.02864913421973457,-0.022753995280856167,-0.015381796604106728,0.0409712635152741,0.025670845846687478,-0.02792331759080556,0.08528144720993702,0.10299387340964845,0.08636350958345072,-0.02502364935397664,0.0630557007217468,0.09705355853504885,0.062352870094679734,0.023885201560561526,0.058772398136623924,-0.02264295476790397
PTMA,0.03393956088901534,-0.02200897496287855,-0.011916821983790134,-0.0435582180800165,0.09344955268957775,0.00043685591998206404,-0.015744064983465225,0.04741876900733733,0.08341059128793639,0.03484184464117195,-0.02805450359826448,-0.0930762708784312,0.03020282973368004,0.01080471372158198,-0.011374789243350397,-0.007631056179196378,0.024274428610382502
FASLG,-0.016229759680871977,,,,,,,,,,,,,,,-0.024791102069621245,
CEACAM1,0.01885997252553746,0.001454664308662768,-0.026274341079143768,0.14988376540338358,,0.01682732379305055,0.06108014252199479,,,,-0.07167816484483566,0.004834781422122352,-0.02453361313024151,0.03712251735711065,-0.027867140898194878,0.014562399729593827,
PDAP1,0.022165914950391503,-0.0006448140990674044,0.04510026648358062,-0.006653762160745863,0.0756572296735991,0.04617707617173317,0.03612778786422314,0.0748738657060337,0.05951372174372616,-0.007615519980942135,-0.009068061914658579,-0.002296818329439928,-0.03417310287459127,-0.028100276683630413,0.027658617279396662,-0.012283370115680618,0.04257315577246976
QDPR,0.0045809447713677015,0.02509266227654084,0.02674395128871194,-0.031387937129097425,-0.08123407605897037,-0.08134202935754761,0.03182459723978556,0.04007408933192503,0.06502981820384592,-0.03219039275539615,0.07059224142201424,0.050727330517106574,0.057728398816610405,0.0004973464285823896,0.03219669933272065,0.007114007364556867,-0.04246168344196504
