,MGH258,UKF248,UKF260,UKF266,UKF275,UKF296,UKF304,UKF334,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,,,,,,-0.02091561506201232,,-0.04541564177003344,
BMP1,0.03668998614084261,-0.0647284157003684,0.08684939344642566,-0.0005566115959065656,-0.030115049158692325,0.016268597706912913,-0.03431098003116588,-0.010160740733364551,-0.02093120124844383,0.08465075207582226,-0.012927903451167084,-0.017299750908829136,-0.005353253498714315,-0.013943501822535518,0.02661036920402504
NDP,0.027001053373673815,0.05945817082478484,-0.0028150605552439254,0.05497525855690361,0.02590421647321939,0.060519082252447357,-0.06806227837143003,0.04327342052529764,-0.027427683186409788,0.015578729792259612,0.023792573167499578,-0.013609591199485004,0.05071305882663603,0.1467792152435382,0.11824268840831824
TNFSF18,-0.018422630021064774,-0.008059850364761598,,-0.015383942508401641,-0.010950445490206427,,,,0.06926904190383189,,,0.0754296856631668,,-0.04203152045108865,-0.00331064209232516
IL36G,,,,,,,,-0.019418564710281798,,,,,,,
RTN4,-0.028269167183735306,-0.010183957278097946,0.0191747506956046,-0.04568084751581278,-0.007045330287728316,-0.07951967022012907,0.02023822773666983,-0.04270607237793788,0.04346556353753881,-0.0333378378809427,0.06076872262099314,0.030380981351531777,0.007231020600717599,-0.04099141019034858,-0.07920787900393524
HEBP1,-0.03835648589675653,-0.0688438853613485,0.02392450854989285,0.025809705672105013,0.027756804549387584,0.06800243570833948,0.010243241558039436,-0.007329485029993627,0.05306908863035288,-0.053195547490895764,-0.004027049868335014,-0.09657605082006904,-0.0009199453488246362,0.11275789486114642,0.024574305204722913
WNT7B,-0.01622976003574027,0.05044828184852377,0.013299330286923159,0.018686717023497203,-0.013859143771273723,-0.031111349018575363,,0.011116624707365854,,-0.03810888643257272,-0.002875730999809921,-0.04510441554365086,0.017307870534698525,-0.016141007146137473,0.15980130752550262
PTMA,0.027913394678929095,-0.09705764290683667,-0.05317221566468188,0.030963454147033977,0.043391793271066584,0.03802810379589056,-0.009110918791354922,-0.015966845683455813,-0.04636976617128536,-0.08711629105054002,0.00613688292896991,0.05475979912380038,-0.06992254296360112,-0.1295870261378594,-0.10967492659430314
FASLG,-0.016229764623851856,,,,,,,,,,,,,-0.03938897061337993,
CEACAM1,-0.022535170218041748,-0.014863573445115914,0.1283408991884244,,0.06503900356663796,,,,0.12579892216491864,-0.03417665975603588,0.004942310737022593,0.0023119657086358323,-0.013120997787777878,-0.006006579612215282,
PDAP1,0.016921752378102436,-0.046671421961572014,-0.0017790351604488712,-0.01143983500191062,0.07447642049603706,-0.008991266518744531,-0.02915801332975596,0.013097566212322255,0.04966844399261852,-0.007566851254117469,-0.020585066601277412,0.02889837886791619,-0.03386838610838506,-0.030345468747861103,0.04248249924970894
QDPR,-0.06654455458178275,0.06297423683660994,-0.0008300914518019117,-0.013835962159569103,-0.02594717035799816,-0.024597416587448812,0.007700979884298077,-0.00612192283649357,0.08735025664805965,-0.1561415151918095,0.022845403659749564,-0.013568621324887844,0.1243064551830588,0.06485308360250876,-0.026234121573924657
POMC,-0.0158659148592352,-0.014092804384533798,0.020412663346988786,0.0016287776193328971,-0.012706031006004002,0.040537594517215614,-0.023562731341317044,0.028095458096404808,0.018453971750739272,0.03523154825208094,-0.022130102470187835,0.07865163977282146,-0.021464228732643927,-0.024289913575672232,0.047008069091512124
CCL18,,-0.01854833528922746,,,,,-0.04451585060149161,,,-0.024231813685218494,-0.03332794012853319,,-0.04518537983993358,,
CCL17,,,,,-0.01365733751253819,0.022176983905871448,,-0.01773941015570763,,,-0.01292061141827593,-0.027576030268359704,,-0.035701677706859884,
VEGFD,,-0.018548341179192664,0.017612895177860532,,-0.014550737966109643,-0.034118230199639554,-0.024256550496216143,-0.01901187531259655,-0.009688991144172135,,,0.08963241497631358,,,
TNFSF13,,-0.013997173466595812,,-0.0149192149617073,,,,,,,0.061772642362389996,0.036837552803394055,-0.014734001113137787,-0.028688875735076416,-0.06272156010713983
WNT5A,0.04994531831476291,-0.04377677806376775,-0.02879508129246725,0.12183417910470018,-0.07317243109019196,0.06763030720756538,0.006591711040390653,-0.03831676071653728,-0.0009422370864791615,0.10303537698478078,-0.035633535179708214,-0.01963346146411835,0.02466107471581421,0.014266803575053479,-0.04536092218305856
CXCL8,,0.06959695539979976,0.047555710879128334,-0.021221615635344096,-0.016150536520831548,-0.031559087299695705,-0.03265829921952833,0.006378840439835375,-0.04030062779676562,-0.04266392312792064,-0.032541978853906306,0.0706897341990615,0.007331840216480971,-0.032027844366725074,-0.021172781488539023
GRN,-0.01928674710401496,-0.04533237922143011,0.06976341043867682,-0.000244719057560451,-0.005056149741651071,0.0012900034649758448,-0.03685260162563254,0.016516492822724008,0.023792701176133753,0.10875073406803926,-0.021678295739579533,-0.002934487350540769,-0.014141803935701422,-0.10200805610597531,-0.030613229823177015
MIA,-0.021243362040474525,-0.01757625433817752,0.021861269717691558,-0.026976817988655574,-0.02684367753890828,-0.041908597616057204,,-0.026037634508462363,-0.05418611281216033,-0.04107446637017338,0.03924960097264157,0.03804738784167174,0.02340947953634696,0.16127935469836588,0.06750403282686492
COL4A4,-0.01879604502070601,0.08616961525234315,0.030151434982521954,-0.014194973898943244,-0.0142586829029687,-0.013751652860518895,,0.0014056615012731741,-0.05421921356529759,-0.00743588101668401,0.053418306223094986,-0.01829559809962486,0.09348740823610226,-0.03309597504171598,0.040866542838163475
TAC1,-0.016229755793904715,0.028499159760394334,0.0004600206366370159,-0.03332715551706192,-0.0187595631071784,-0.061051435413830776,0.004979230981910662,0.00372470438139476,,,,,0.01113170090195128,0.07296458180024218,-0.021622996761341304
