,MGH258,UKF248,UKF251,UKF296,UKF304,UKF313,ZH1007inf,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk
IGFL3,,,,,,,,,,,,0.0005273690347435019,,,-0.04471546893646958,
BMP1,0.04192968592500448,0.003615126012365374,0.06875723744090687,-0.0008308450078962749,0.07305716194696538,0.15626871220163807,0.005812321095692136,-0.028873591432961,-0.020824351439414406,0.05084361889175423,-0.01813224571477641,0.021989205270698635,0.08206576808966157,0.03850498988588337,0.08759423563636157,-0.012848114214744926
NDP,0.035053808683352776,-0.030404378840514668,0.06685175387033213,0.02056343289078012,0.009140226586467157,0.017298836096752628,-0.05306634090398014,0.07417914236234996,0.040492774845531994,0.04038738644056357,0.1400295976062459,-0.05460574578946809,-0.042505687102966094,-0.057224877487758806,0.03484697657568559,-0.04696851055399213
TNFSF18,0.03226675738129844,-0.012581755093791855,-0.015592632003246332,,,,-0.025988022840100124,0.12982794032648295,,,,-0.022940952501382287,,-0.03642678441940856,-0.0034923781715830403,-0.021868066899310208
RTN4,-0.04898591147292111,0.019575370155339337,0.03127982435230455,0.05636915763231002,-0.09911531124854663,0.03594172243103243,0.13324611577197668,0.07276400288549781,-0.001819654912417868,0.10359364667384541,-0.005596689378332144,-0.024430225476340273,-0.04877988339396195,0.041875813456878914,0.029875102119707227,-0.12967412076716073
HEBP1,-0.02192731685749481,0.05222390135500227,-0.045070488248724526,-0.02630559425765104,-0.04370817712960088,-0.02405655785370325,0.04702115137574034,1.0208496294281563e-05,-0.004338121176752161,0.044028789092324605,0.05950778975588089,-0.025910498341217114,-0.023486706883654535,0.08202567846288379,0.03994084847826881,0.08105128365645635
WNT7B,0.06455169893442658,-0.008430653834781582,-0.017018620989905354,0.051699812159923454,,0.12751073029331514,0.02374542491364017,,0.05666253799183082,0.00638104996336271,-0.01962320994541605,-0.04797138755515723,-0.0050689589735327095,0.08122675552788566,0.02495032578548572,0.12239713692227056
PTMA,-0.03885019657920879,-0.06376638780434442,0.05378879613808874,-0.03225226929186539,0.051913334830364956,-0.06329550521632757,-0.031236690242048972,0.04565697083442823,-0.0638480497577803,-0.05419877350063092,0.007832962226120907,-0.033582234461832464,0.07775960188895652,0.023761694332544256,0.03981505917231468,0.08619263976005627
FASLG,-0.026111446315706433,,,,,,,,,,,,,,0.061632585312478956,
CEACAM1,0.04152510968776398,-0.01669368377708146,-0.013060768008625765,,,,,0.1770009263511718,-0.04073915754922877,-0.01579981150207101,0.07972483747909773,-0.0006310766491516134,-0.013173667875816858,,0.006122616577462498,
PDAP1,0.017613261686258472,-0.035982985258436136,0.0012494830509120047,-0.04364836959206179,0.020865453581762967,-0.0353107916472101,-0.03975848785889894,0.004409055759018001,0.00846002994895518,-0.034319004132270126,-0.004548253024412962,0.004058462147419756,0.05583297053074532,0.03965782507796708,0.016864290356748846,0.11578568160841012
QDPR,-0.0829006783082479,-0.008297520500445792,-0.014575729287639018,0.010310250793908444,-0.018279614732025072,-0.027062813625605045,-0.01833406181550454,0.07560002791577435,-0.06220205204574474,-0.028069943311913148,-0.004449783837973967,0.021055517247413395,-0.008289114476667388,0.11145101819307283,0.010198476011445301,-0.12513537519377319
POMC,-0.008770644873731356,0.00029416314842038173,0.03373687616350945,0.03716400574753003,0.041504053240150086,-0.013912541050420672,-0.019613542561889248,-0.0338813721063978,0.10167046141340336,-0.022785868397094032,0.09957570504985463,0.07257240031104219,0.051115172587864806,,0.040809258419434453,-0.046393107223190296
CCL18,,0.012182472919201917,,,0.05525101202300785,-0.09941651986993855,,,-0.04995495981355642,-0.01660915542108098,0.01116951665494306,,-0.0168204469926181,,,
CCL17,,,,-0.025279492398502013,,,,,,0.02496727915933529,-0.06587686304842626,-0.02932884550861768,,,-0.009833994802660154,
VEGFD,,-0.020832146682506315,-0.01870692979874985,-0.029019084147819608,-0.024256559283754524,-0.07323257868970455,,-0.09324772800858697,,,0.04869419582099729,0.10297883914457041,,,,
TNFSF13,,-0.015720606386285012,,,,,,,,-0.019502612022391768,0.04314215265022924,0.000994118497767194,0.10613415459419664,,0.02433282496716581,-0.11343840827233755
WNT5A,0.056238946619765376,0.0026317970573188306,0.022717108418215445,-0.020710391712749732,0.016585549072494748,-0.07035184101242478,0.10967089030887103,0.07230872546041245,0.015236944310664262,0.06015382763158547,0.04337958799804405,-0.08778558090181003,0.06209985408801103,-0.014738280251463952,0.08421875491111942,0.09553722364035115
