,MGH258,UKF243,UKF248,UKF251,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH916T1,ZH916bulk
IGFL3,,,,,,,,0.032575445407457895,,,,,,,,,,,,0.027925169342532162,0.022131239273278386,
BMP1,0.05181414186424293,0.01667402565412546,0.035477444631780285,-0.003454183643445415,0.019438341865194834,-0.08080380985769939,0.08779779959403385,0.10087985235062435,0.03038986951908785,0.013530373602636548,0.056820252692692884,0.13258565417941953,0.03780300391605154,-0.014155047298534645,0.027893053019702158,-0.07763052728465121,0.10547826136509027,-0.032921348774880656,-0.03214920799273896,-0.009844053870359228,-0.01967023932911563,0.07141805215376909
NDP,-0.004890978184652088,0.039062280023322765,-0.08121786840485702,-0.01420401748768494,-0.0495492809643639,-0.03834915822606864,-0.03922512675534515,0.05582224358591787,-0.03740122684194297,-0.02850135658682548,0.027103652265064147,0.09578222816494997,-0.017161995882725586,0.014842397331185166,-0.026939709245475094,0.09823473466289487,0.00984522956233321,0.060212856562259026,0.06538188518705948,0.07883332644819656,0.12446519864671177,0.06352570468719781
TNFSF18,0.08291183815910637,-0.022852801629041207,-0.024507575706426674,0.03282001180085619,,,0.05776627669313914,-0.03745322488849279,0.058585390603027775,,,,,-0.033946244371647595,,0.10558579081229069,,,,-0.021163670665612033,-0.03529377405400774,0.015630729758490978
IL36G,,,,,,,,,,,,,-0.015968598511231034,,,,,,,,,
RTN4,-0.062061901651951266,-0.08109543616883164,0.02262530262648014,0.006740334008984389,-0.04783855683452481,-0.06209030370510159,-0.09925393271562337,-0.15488331420867296,-0.027723666635851563,-0.04259968592457336,-0.009535036281400547,-0.052173901506589224,-0.03589333545700939,-0.010407310172662294,-0.006701073806689019,-0.09062266201104398,-0.050260160915354464,-0.018435951917068313,-0.018005548873076718,-0.07276412749099251,-0.017158890149647048,-0.07368638527836134
HEBP1,0.04496621190790693,-0.0449569713360068,-0.0057323347563984755,0.08860259036371829,0.07449303765525735,0.032947814347869565,-0.010541615405780021,0.08423919115175575,-0.013562407463691655,0.06035705692347753,0.03140676840039475,0.00560761463727118,-0.013659389193735189,0.004730555635483271,0.037626416285132344,-0.11942392316053334,-0.01716756425977118,-0.038617129681515816,-0.00646891917278874,0.022478460366699236,0.09024431352450606,0.0036719240720989414
WNT7B,0.07857076778754185,0.018843617595416095,0.03044668404499832,-0.023919789822733472,0.003436331280453785,0.026046731269776604,0.00858244380411868,-0.06035597119615877,0.02137383095835136,-0.01721959378532674,,0.0425515972655846,-0.017551330007483157,-0.03737150171608878,0.017112876939836857,,0.0717469379190692,0.0038546810511519546,-0.008145221260609365,0.024615238056889782,-0.012882028465084704,0.0585340646816103
PTMA,0.022113661369008906,-0.047171470574828935,-0.0626497416472326,0.035746620889202094,0.03812070619982223,-0.03130071664932741,0.1231817464547555,-0.0654014697701322,0.02500481513487227,-0.005810110284653098,0.04491001396679699,0.1482793801779603,0.012218266162274855,-0.05850234614686029,0.009236882137145639,-0.11443330940201177,0.004273149192101477,-0.023150599398975995,0.05214828789048382,0.026225293084344327,-0.08327107875919706,-0.08580624826587985
FASLG,-0.019736375525201407,,,,,,,,,,,,,,,,,,,,-0.023030340991468917,
CEACAM1,-0.027404130143327363,,-0.03617705668788368,-0.018357000010465998,-0.025436809811140867,-0.023654896458534014,,0.00445635036439464,-0.028992393667895945,,,,,,0.0035808738306489125,-0.03614396790173332,0.0875782735062368,-0.01623686992699328,-0.028748938100465648,0.002570931025387781,0.008402295571520016,
PDAP1,-0.028565674127353207,0.03161804681519127,0.011491076536005052,-0.006602013948817969,-0.011295157540566673,-0.014825580929606265,0.05030191423654817,0.1149262238327777,0.06085624366344717,0.02591808487400144,0.0021858459916174336,0.1062385226816327,0.009109635954599102,-0.02218362545537267,-0.011116380045557185,0.05239703914543778,-0.004975191036432651,0.047695295941297955,-0.014137714655446665,-0.022174580521930352,0.012664951289831401,-0.004993423638903065
QDPR,-0.0026059824447607345,-0.005103947272917148,-0.051887529010698145,0.04042388924020196,-0.009694737875306959,-0.04403028985696102,-0.0643060445365934,-0.14960732089248097,-0.028029957031993652,-0.06683662504094902,0.0419856644196152,0.1044816702227778,-0.04246289269771733,-0.011473894713793174,-0.033415257172790286,0.045672687399584085,-0.04301510872606973,0.0823922448943886,0.04473708839742543,-0.008665093732569861,0.04574433843020516,-0.019066851238780675
POMC,-0.04787295552610414,0.1440143599442913,-0.002661722046330259,-0.03261746029513273,-0.0017810022137344915,0.018310734290190048,0.032778554748804395,0.06242129070355677,0.030185359508920522,-0.03301159985014498,0.042809524075981695,0.056757031515095695,-0.034212893463881865,-0.04231497166932142,0.06754329499813301,0.03850054601553902,0.02069368374794605,0.13086421869204884,0.015526588913943032,-0.0012283576167990166,0.009918753692721717,-0.003099381421887044
CCL18,,-0.030647486038483097,0.017310341543536844,,,,,,,,0.081869856236666,0.06876744602644964,,,0.02819460713366972,,-0.022189615726825106,-0.05634671449016955,-0.019010557556087035,,,
CCL17,,,,,-0.03346743889337499,,,,-0.022990868885601166,-0.02131302997267094,,,-0.014587768088367571,,,,,-0.02184455444339698,-0.041500896990081124,0.04585769300858054,0.13831268631761,
VEGFD,,-0.034530758972456596,0.04643880019914753,0.05945924847907167,0.08724589037764739,-0.022631665634847406,,-0.0021152851821327344,-0.024494826203163327,-0.015633365232495203,-0.022687552225404643,-0.026507932926059265,-0.015634162892157112,,0.03797781153103325,-0.07285527177643665,,,-0.028748938100465648,-0.028536447138327006,,
TNFSF13,,,0.041158320064860636,,-0.023085090325250152,,0.0430999983796217,,,,,,,,,,,-0.0003266496529705095,0.05826473532401415,-0.01177131521054959,0.10305603796811695,0.023850083356844222
WNT5A,0.033627084524432097,0.04055411126559786,-0.03456700483418937,0.02019778659642314,-0.039975824509236514,0.030151949663310907,0.10227559324372575,0.08441858502956393,0.04041736846046812,0.06281465543037477,0.040239176299255504,0.021900115102202324,0.014413058434289333,-0.06221129026647108,0.09483832432483273,-0.026268192921958398,0.008903534039994873,0.014073016570883596,0.023779089693124127,0.011561832674543372,-0.01769070247974586,0.04972568005116165
CXCL8,,0.023728730320338374,0.02517715744660275,0.027945852890164817,0.12332819891280324,0.029105403308978504,-0.011717236661041196,0.10240330942558633,0.030653094640703288,-0.014558469465818695,0.14754676784854548,0.002894702793022205,0.029652505105448625,,0.17773246290685174,0.015389453914570264,-0.039068312091919626,-0.04793723286269202,-0.06853541677745881,-0.03841458868866604,-0.040952250673614445,0.06375588902172859
