,MGH258,UKF259,UKF260,UKF266,UKF269,UKF296,UKF304,UKF334,ZH1007inf,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,-0.010278967158289114,,,,,,0.06241968059064728,,0.07182019929107147,
BMP1,0.021616754090137143,-0.034317991930619754,0.011891377426189911,0.06598299849493083,0.11321525475942334,-0.05225323229940247,0.06147118891407361,0.052407506199454,0.005470616961929857,-0.014366554657922295,0.008776391085292387,-0.025746341225007022,-0.05996799772302455,0.06225172202536873
NDP,0.03772678123783485,-0.0015142395071322434,-0.01806501234308769,0.010850865973811017,0.027155472879256723,0.05826438416864623,0.08561300801058114,0.05882442861398661,0.014275581779630566,0.07595529591929738,0.02576739205460975,0.0737818384325521,0.15355783582655244,-0.023364627981127126
TNFSF18,-0.02450429058426009,,,0.014896060608021868,0.04250003153470974,,,,0.0383723201355288,,0.052742065778564336,,-0.02333206959124161,-0.028558117690064746
IL36G,,,,,,,,-0.013752911436744552,,,,,,
RTN4,-0.00035336149065049626,0.01327752927294661,-0.03029655622547643,-0.07366821288441763,-0.13602877407888114,-0.03345597018957512,-0.13628395132495152,-0.04051712014268514,0.00975068595415989,-0.052332183505954324,-0.09065156246102185,0.08423254989536658,0.018699972083203266,-0.03791883068952747
HEBP1,0.03264183137988119,-0.07311010103396805,0.033651454707065216,0.006611346683455724,0.033882946798316424,0.0330621081090965,0.028200379420915224,0.006311943282275275,-0.04112293190707528,0.06406168119658186,0.04834437500346724,0.060243354323254464,0.11728229677102565,0.051523112703158944
WNT7B,-0.02158751250900957,0.0021041828516632994,0.024720649674664207,-0.03596640951837281,-0.09581256987841087,-0.007766666454215392,,-0.015116034573743229,-0.02613148627103949,0.054899769319000355,0.05794113181192391,-0.008793433425443094,0.03895946904812899,0.1187728588126019
PTMA,-0.009622635020120576,-0.0846238292053385,-0.010496647395435885,0.10293633274049335,-0.011672170905474774,0.05046386808807339,0.15251868279311914,0.006678548844845124,-0.0008311906259661553,0.021010312718499558,-0.08008072609055775,-0.07652250887003662,-0.09241931100384994,0.07712274036345844
FASLG,-0.021587518611744055,,,,,,,,,,,,-0.022505814466942976,
CEACAM1,-0.029974458519617102,0.02767426265630407,-0.024474365169545056,,-0.027554186576168798,,,,,-0.02060674923274248,-0.021883043040950984,0.028887830619751597,-0.004576813391835008,
PDAP1,0.005714975387451239,0.019485281050932484,0.010169209486045041,-0.016994875558578322,0.07261332963551473,-0.0009746440403355141,0.06090438353106678,0.057013347791072595,0.13083476482153492,0.017333825765671745,-0.060828498367230546,0.017525249174297174,0.06647796366192855,-0.04005562672700344
QDPR,0.07198907245223518,-0.04566690248162655,-0.025122450951769393,0.06037033283563538,-0.05815024960250351,-0.006476794799764565,0.09461205371396869,-0.011121155074823849,0.008076778592646217,0.045371950084942284,-0.06547746787441956,0.01299507175914834,0.05777460691456044,-0.07711134939891859
POMC,0.024869452527574845,-0.02168197914598621,0.010047997659274145,0.007579516188412663,0.02979137158767607,-0.04735784715055122,0.02463332846656422,0.07805254260584465,-0.03838204402203115,0.05104146098564407,0.04807422619093838,-0.026770814962229578,0.07326937283613515,0.0036754771743076654
CCL18,,,,,,,0.10702385075035632,,,-0.04163124413201427,,-0.0353581267920222,,
CCL17,,-0.023170995003776024,,,,0.04933311823238597,,-0.012563675042489455,,-0.02974713619751497,0.048003352285214386,,-0.020398992969779352,
VEGFD,,0.06408116235147698,0.008119142521948378,,0.012914952277911217,0.04082933720076211,0.046661691811363815,0.011312586421734086,,-0.001198359684593643,0.01060378801904352,,,
TNFSF13,,-0.015982833771423604,,-0.02010115191204655,,,,,,0.020230900805044083,0.05520575526061596,-0.018376677884223692,-0.03323845640949378,0.00239483089793455
WNT5A,-0.03805997292249675,0.012931788469435266,-0.0006392318407434704,0.13167263608501995,0.10598097703135029,0.03327646610190072,-0.011007100257547567,0.02326397487113673,-0.04274970939209664,-0.046548954075507784,0.06327562813828859,-0.06214860106556722,0.0014788513927321194,0.05079374627587969
CXCL8,,-0.009257905772768856,0.00273532529467718,-0.0013009362794736972,0.01720398716363034,-0.002263171771733564,0.038210756000347915,0.027301409877151375,,-0.11955009762493951,-0.05585786732425232,-0.07146731906508896,0.014908415629995439,0.12255723940199273
GRN,-0.02504232074469684,-0.009039002887562124,0.012780415277626975,0.10289268804067164,0.10961412422533075,0.0030820025239090194,0.12346140448530998,-0.03953973857898015,0.10043839182552987,-0.05988507683990819,0.0281792909148373,-0.001916022455015948,-0.0883681012032845,-0.06203020514704104
MIA,-0.02825619989280671,-0.03522258117118664,-0.0038922055822377555,-0.03634675938951287,0.046627092254118124,0.0038992966032713257,,-0.01844076978704828,-0.0009777288234933295,0.08922626576562062,0.02685140801842511,-0.1072826281601651,0.15085793098508,0.04569906055033601
COL4A4,-0.025000976977531175,-0.01834360232736652,-0.05670635161618364,-0.019125357967061635,0.0049305525389918645,0.09081466183847442,,0.018844653241202547,,0.0036723917382479074,-0.0420115929777296,-0.03298091537758043,-0.059905429658407984,0.025526413865502043
TAC1,-0.02158750686686342,0.04177083904487503,0.010654498379895082,-0.05010134468373031,-0.1211131068128075,-0.020662870332011807,-0.08662569069990375,-0.03170168871892075,,,,0.06863951014216692,-0.026816550515685777,-0.023419009655890523
RARRES2,-0.024747417965706987,0.009404857196388644,-0.034205161215695556,0.07797997821162267,0.12025082879689683,-0.006585317675878453,0.04050547884397219,0.05880151470482132,0.05917544565540354,-0.047530056256323394,0.004610977576850065,-0.04855323317437385,-0.041373688901065936,0.08625213071547798
FGF7,-0.004995207285743945,-0.026738011682443014,-0.036510555773931426,-0.017238949364571602,0.008649152458639802,0.05852403452715725,0.0021298037714515172,0.01399880403906242,-0.03664665872846704,0.025414569398999675,-0.059045013382123424,0.011580054406607598,0.11729241374990015,0.014757993002970711
EFNA2,,,,,,,,,,-0.019585336078652447,,,,
HBEGF,0.071607773277922,0.022880690824486086,-0.0313846919842368,0.055143487422304585,0.05049563798364688,0.058565913040993636,0.039272820192304395,0.027866268724775385,0.003041758567107953,-0.025949218514096786,-0.08543435237810669,0.004864588951495088,-0.07426603027714107,0.11766157467892087
CSF3,,-0.027617805695068144,0.09589478646631983,,-0.012802860722909485,,,,,-0.058484816184323454,,-0.02346130936166591,0.01754863719401248,0.06656797672101333
PI3,,-0.04045675461572191,0.0890089720796827,,-0.03035416428253804,,,,,-0.14991968973573971,0.045692578078002685,-0.05668180895275909,-0.009189215364748534,0.06193566520641602
PCSK1N,0.007343113819302371,0.033426188430046605,-0.03988878034636686,-0.04297753607764663,-0.07298146066003855,-0.06774362325660115,-0.14984527365054168,-0.015607218821153082,-0.04646823460650728,-0.04155211148251109,0.04720477549536457,0.02784815688017124,0.12171882498722073,-0.11155918052781709
NTS,,,0.029390827528021933,-0.02334771664004957,0.03944647518190321,0.03231053005189133,-0.030262089007728133,,,0.045910119909256246,,0.06836290629660914,0.02200504456587499,
SFRP1,0.07832790855973493,-0.006111730028974016,-0.026713243699355623,0.09339642930857285,0.03070471309725365,-0.015797702092373953,0.11903653817516235,0.05313706778120083,0.04822326605520428,-0.006155099132544499,-0.07661351373375205,0.023830267574798076,-0.03106544158402401,-0.0455664288889359
CXCL13,,,0.03067043734829366,,,,,,,-0.042160240968131646,,0.022335011794066977,,0.05721395300312794
MICA,0.000244177569416555,-0.0523467318940694,0.02661685117539905,0.06321517904940188,-0.008457587237570998,0.0639786173051599,0.004262596879825951,0.06392899832309071,-0.04353203886163282,-0.009461286000737857,0.0796746230881082,-0.024633739021779233,0.019945088904498885,0.04756690117186582
TG,-0.025000971343464753,-0.02181798145518479,-0.012447400375772128,0.016097259196029928,0.11161880899127428,0.011787997874550177,,-0.018872412685289667,-0.030419336000552053,-0.02938744890470739,,0.00022176599354016416,0.07285949755707236,0.048852208164204915
ADA,0.034056357734806454,0.005383020063977202,0.029142108738293145,0.01334350960174116,0.06399785366672386,-0.021615478178220425,0.15037616528173883,0.03621390184707878,0.015343944354787113,0.0071706259781846,0.016204082824606763,0.0010145963916177105,0.0257856640752053,0.09989575096367412
LAMC3,-0.002991931733840406,-0.0005771092868845811,0.06981729070252327,-0.017160466460567302,0.12233092057375985,-0.04232710243110609,0.0023473823861057063,-0.01620415954531123,0.05032752610069852,0.006921471961806323,0.05268071867135018,0.018981878800981084,-0.045884686887709226,0.06426650790012343
CCL7,,-0.015774365732870235,-0.03509852998760064,,,,,,,,,,-0.022505806464143983,0.061446024994055416
NGF,,-0.027876756349460283,-0.016189708524708957,-0.025716974754373834,,,-0.030262108933305887,,,0.06347433602980107,,0.024129478106837278,-0.05413643721209967,-0.014572135999289741
TNFSF15,,-0.000967182956716945,-0.025986832498675002,0.042907223040423575,,,,,0.08249146451076854,,,-0.01456907033261013,-0.04395870912413525,0.01413023694127995
HMGB1,0.052067433746959935,0.08505335505578301,-0.012931678020068194,0.04151847304796173,0.12345415182120109,0.010477522542523394,0.08257535772709279,-0.0019678460651462353,0.03160346476585079,-0.0002346599570719606,-0.05623000014837741,-0.061329669903552604,0.03315062692781814,-0.09928343768867225
ITGB3BP,-0.012519223563281626,0.021643906296207875,0.056253447123171735,0.04886236133482943,0.14653454715828976,0.024842489261093406,-0.017009409135836,0.05140642390831359,0.04810324563234444,-0.014760166582320483,0.04257684587597294,0.012277351985860758,0.041403469569759425,0.04834351297851429
AANAT,,0.001688736599678815,-0.023415690243454634,,0.04349795936387002,-0.022223341043337258,-0.028450832930567806,-0.01685296834100163,,-0.026356557759093745,0.0030927717891492774,,-0.023812081780215957,-0.022301410616583882
RELN,-0.020726468073292658,-0.006638863809805115,-0.02254847792184647,-0.05107180595040649,-0.0713511400136012,-0.0357135682719955,-0.04282929936720194,-0.018657690592845277,,,-0.051808322714609396,-0.017597858077724807,,0.04372113594538931
IL15,0.0015482263488820732,-0.01707759578075049,0.028953017242993668,0.012790696136454376,-0.005393109162474859,0.06285558722825764,0.044934370487976494,-0.015630349204753258,-0.011400939473208999,-0.004780257877926204,0.033377249920211516,0.009156248271743427,-0.03544364597393282,0.015871892655757596
UTS2,,,,,-0.032929055041787884,,,,0.06910562862204364,,,,,
BSG,-0.023260115906362663,-0.004797088512171145,0.039832081795050114,-0.01522089862468308,-0.052269779493753006,0.06568616436691063,-0.02971655724727345,-0.004578406924394473,0.009997767498963602,-0.015772430606417004,0.11768791412846491,-0.03175368498829517,0.09215141932475915,0.03044880008970302
ADAMTS3,0.037660590089867094,0.03574607402646699,0.07828239348027444,0.04810658114994014,0.07462253624464464,0.006182150717329819,0.00021514389671606343,-0.025972595802781096,-0.049550677411343974,0.02195070565006457,0.022182866904392272,0.07177570321809768,0.1336891961996707,-0.03681117696229709
CD34,-0.043870289074647316,0.0029621857287149772,0.10958929890597117,0.00663381817431376,0.014699360467024405,-0.020324878641225414,0.08361209383755236,0.0005368048685313263,0.029276806270761194,0.04450649879229215,0.026189033714644996,0.025772338185518537,-0.048323897100667035,0.05257716595337353
CCL23,,,,,0.02884015824575345,,,,-0.026457798613407368,,,,,
PLAT,0.06148617673804047,-0.0004954227597341778,0.05370720344336795,0.12489466611397744,0.1478944540282704,0.004708031754785634,0.07873439032700331,0.037242422668527196,0.06611909206475909,0.032890991375207033,0.04687353260899351,-0.023898279122046,0.004457433084208527,-0.041893073236229476
NTF3,,,,,,-0.0030524429477197077,,,,0.07028593241603537,,0.03324408155778935,,
LTA,,-0.020217587837136095,,,,,,-0.01563035113417086,,,,,-0.032047473509320495,
