,UKF248,UKF251,UKF259,UKF260,UKF266,UKF296,UKF304,ZH1019T1,ZH8811Bbulk,ZH8812bulk,ZH916bulk
IGFL3,,,,,,,,,,-0.015610210889708587,
BMP1,0.0005262040686856408,0.04531753130185998,-0.04057937820271458,-0.056324450525307615,-0.029787968274012932,0.028906959234949844,-0.07217807266371523,0.024672718883683737,0.06315730266431506,-0.05442799201373348,0.04220196495008438
NDP,-0.002829232258406287,-0.004204559534417886,-0.008032154538993802,-0.031261979753231944,0.05055970204176683,0.030731408772913815,0.010034894861588681,0.04446029429972775,0.08117953142163599,0.01028131121256554,-0.005348489664657146
TNFSF18,-0.014915546567739928,-0.008610474955463417,,,0.04349333200769654,,,-0.04491057159363143,,0.10788856847497312,0.004389684317410933
RTN4,-0.07165988020116844,0.0038809421534176662,-0.033858501525230886,0.028927698285489405,-0.009950879853074307,-0.09216351229513668,-0.00379681614767431,0.06267510356901944,0.07028111166008544,0.006143009593426025,-0.09775551398135476
HEBP1,6.65734128032261e-05,0.0020494471916118607,0.018319645189044716,0.011227997598356227,0.014590219749270276,0.035062549191860984,0.020505809165348308,0.02095207907473898,0.028651993855762017,0.014417179589793066,0.018810335834354642
WNT7B,0.02783217597523101,-0.018628563433930274,0.024450716988000675,0.052225197525535096,-0.06388748653664991,-0.014006904362415862,,,0.008170963317915324,-0.03366333892672523,0.034872506092611145
PTMA,-0.006240657477561626,0.020448730350245234,0.04884327296359786,0.051071951962124454,0.01356800465914141,-0.003606408559688842,-0.020934475816507182,-0.09853863555101175,-0.0058767483949004485,-0.030015561797767983,0.05518996017018617
CEACAM1,0.00267658499919988,-0.014296302002897202,-0.008428911096774568,0.09203291241414102,,,,-0.050027258792690536,-0.015175139671138246,-0.023131914019320864,
PDAP1,0.009802939505880922,0.002741603811997396,0.018874648098481325,0.00515411455032169,-0.005641999467546725,-0.007754075596788209,-0.040554276215833227,-0.002158158429270071,-0.031938918675842726,0.02858312759030687,-0.00784105485597474
QDPR,0.008597897908820836,-0.025133859261337477,0.061726457614532396,-0.011525760474113324,-0.04878809247078081,0.014188452276102537,0.06934163455395871,0.0002837984278199428,-0.019181286744048447,-0.04683484550131356,-0.07335208536761582
POMC,0.11379172996389454,-0.02540224778999107,0.013182994476206956,0.00593657624680241,-0.034607064400561695,-0.015482301867088932,0.038283221392352594,0.11069480426520449,0.013675936775971584,0.05323956152997905,-0.014578187077560027
CCL18,-0.021629324652998157,,,,,,-0.045577105555462925,,-0.02537940565255038,,
CCL17,,,-0.020677855419976708,,,-0.017336621073772904,,,-0.003050352296620968,-0.020581161333950576,
VEGFD,-0.02162933152132179,0.04140875279880877,-0.02303741438764803,-8.555764357679503e-06,,-0.012716621216748549,-0.020426090459502378,0.006122708742698673,0.09441774983843829,-0.021706772845891956,
TNFSF13,-0.016322187647166586,,-0.014263121884630353,,-0.012721405323040124,,,,0.14822909454294586,0.02266029316875151,-0.033000174039481515
WNT5A,-0.03024139576451312,-0.009857262702186436,-0.014467483192529431,0.023536848567767055,0.009972465265541082,0.009695673370682962,-0.013561607863838821,0.001144848575337477,0.08537122730273022,-0.03605943945090002,0.09448848484580476
CXCL8,-0.010440965440390878,-0.01917305990991126,0.1101388270200373,0.05854811823491506,0.022135290728098663,0.058574210791194604,-0.04654423027983963,-0.07722452222030762,0.023583488298668742,0.008111980045444098,0.04481657566198039
GRN,0.047561255848376734,-0.021274896727143125,-0.04672092241437781,-0.028653975156608003,-0.012605704313111294,0.02898466624595627,-0.00044234210494806654,-0.03309240435091879,0.07125573045641005,-0.014954378943323857,-0.03495954037906543
MIA,0.002900134025607042,0.016783110037365358,-0.022846542392041362,-0.010099952036377341,-0.02300275428971331,-0.014462478538559703,,0.03198062074690324,0.005163494031468898,0.04236029501457307,0.11546452969683117
COL4A4,-0.025976643175049125,0.03509606149692648,0.022456624446440535,-0.012202750716518437,-0.012103855127895233,-0.02429581378201637,,0.026686797218647803,-0.024297771381830986,0.0345135511110199,0.0899598279436703
TAC1,-0.008962469104664758,0.0790057061930974,0.03081132488167361,-0.017413429152138536,0.00420245838917318,0.028453266208600878,-0.028342339116170824,,,,-0.018353743632665207
RARRES2,-0.044853923146003026,-0.024154387094901572,0.029460443183430208,0.0025796032990592294,-0.021219520839092555,0.010501858296961637,0.03495957920542435,0.012922998277435187,0.009500982214865441,0.05132859823364227,0.03374017638129377
FGF7,,-0.008387911340235484,0.003381634990359602,0.0556853649139946,-0.012115263610925967,0.007609094074823325,-0.021369174657508337,-0.030405853347828332,0.01673855173374082,-0.0294625756650646,0.07158391877889743
EFNA2,,,,,,,,,-0.014422954690373514,,
HBEGF,0.03769575247189266,0.0012125809534750394,-0.0011136546525702174,0.008468295399405095,0.0037569887167633845,0.0564680603854762,0.05341777144860316,-0.043769961281741585,0.041984275308795435,0.019718260008781036,0.06352131676203562
CSF3,,,0.15363327419509412,0.00409239507753049,,,,,0.07654576307036964,,-0.03879637128647658
PI3,0.006891306785311789,,0.10806631714949176,-0.02470610863350956,,,,,0.012019284930981705,-0.01748705326476989,-0.015210191929722587
PCSK1N,-0.01640897876280362,0.0013111937235977776,-0.059344123815047806,0.028777402189693695,0.025956621256371874,-0.015237316989442787,0.01155992570860722,-0.007461376497531425,-0.0014471287923947048,-0.031232176263570603,-0.06510489169626245
NTS,,,,-0.04754403919432475,-0.014776057016292612,-0.04806412691885531,-0.018390042827294516,,-0.017571633340956367,,
SFRP1,0.01872416733944964,-0.009093768037040841,-0.01804222812728527,0.07975243584898171,-0.04497027766306103,-0.01733662124836692,0.031143058394261756,0.01195672785396978,0.0033407546082932036,-0.06592629669374857,0.016097154202533572
CXCL13,,0.050405117816527914,,-0.02189981618178527,,,,,0.08688677324159547,,0.0660242911735334
MICA,0.05756237611560523,-0.03592215119730423,0.01428312095290569,0.023516690961867315,-0.00801634770448409,0.023947907951672804,0.00535812077332831,-0.001189840104936378,0.06626085985991131,-0.006666331035202343,0.048439978443144224
TG,-0.0229871303585673,-0.019440090243464363,-0.01947042265610619,-0.004140513927872029,-0.01705546496158149,-0.01254643738471248,,0.0009580790970389147,-0.021641387327545124,,-0.03467914099282856
ADA,0.05046681252861693,0.02514879897448974,0.0007345406137543816,0.023381686877832864,-0.03331952613562079,0.007846582465562885,-0.006686351653085026,-0.08731052367185699,-0.047769549097733045,-0.02481411901773881,-0.03788443334812183
LAMC3,0.024251297279272423,0.031666222934220355,-0.05295595860164575,-0.04578433892922812,0.06227799380812472,0.024162478565777735,0.03434962410591422,-0.08269894735586183,0.05247805738007851,0.004147151902333144,0.058191133733101356
CCL7,-0.013758077676316819,,0.06848628514173473,0.021173942306046627,,,,,,,-0.025762304898358998
NGF,-0.023621936156670235,,0.05115371803443109,0.00474915608431783,0.029141470015455355,,-0.018390054935917558,0.0023142348108169293,-0.014229085914365312,,-0.020710408776044017
TNFSF15,,,-0.01567552206084247,-0.02149749910520551,-0.019762010726259455,,,-0.039724715314754674,,,0.01882838688050242
HMGB1,0.011778730764860945,0.053141587314819425,-0.022309251961196153,0.02497705652498682,-0.012433990459942586,0.006318693200966451,-0.06500368633684597,0.021356168416421663,-0.0343924286138566,0.05166968704881653,0.02583464789102888
ITGB3BP,0.022339677187865344,0.002265494845631819,-0.03686269620015673,0.02921675021370681,0.04744154888041459,0.03553177686852622,0.05057437956611495,-0.03296662735010098,0.028805818156106982,0.07001659294764626,0.019102636263228733
AANAT,-0.01996087756295611,,-0.014263123406906202,-0.019370532367963714,,-0.014462479342999685,-0.01728935619519619,,-0.019409390618931707,-0.0254582362836729,0.08378796959161994
RELN,-0.03407938302442511,0.027397281113202974,0.02160682082658757,-0.022951530219386698,-0.030123109425119504,0.008389577785671785,-0.01811352184996576,0.05814041747613811,,-0.03183709424516009,0.0036278833022965343
IL15,-0.006517063788858164,0.0009592481184359401,-0.042531355787550955,-0.0023763259876166706,-0.014061845469695938,0.00664696634610707,-0.03542975269362516,0.09172211399100866,0.03604928860906158,-0.000808760785256744,0.013161004089461581
BSG,0.036653740896527044,-0.0011149818901611778,0.0909233991311654,0.04164321434077785,-0.016280799607192684,0.013362784295059776,-0.04026825259534483,-0.03445536791421194,0.05556111829865876,-0.04772712398388293,0.08156566123217802
ADAMTS3,-0.040680163828819296,0.0029351702784084195,-0.001748634046441827,-0.016679135146128784,0.00993944616083281,-0.0036471296246070577,0.012471292162066707,,0.02079250756648885,0.01409621436505475,0.007849650183015266
CD34,0.0018287313424910267,0.04612541326203166,0.006455464457236241,-0.04779709896992267,0.033234867550271906,0.058583046817929134,-0.04247679063699375,-0.05184877766774109,0.015258179323721026,0.0067105396589007115,-0.011401165251616864
PLAT,0.019632721227850307,0.055178447162486946,-0.07042827988223802,0.0014220604716875622,0.019066594850190174,-0.03630023101954154,-0.024870817715422856,-0.05767412134210908,0.02555906988314205,-0.06580781212824248,0.05086656778988241
NTF3,,,,,,0.001006842148164533,,,0.040578100683014005,,
LTA,,0.03067550241877348,-0.01804222728324148,,,,,,,,
CKLF,-0.014127340308625627,0.07226237590599119,-0.058680032336733384,0.07206216804218099,-0.05567114690044084,-0.014500825260939928,0.04509454081366295,-0.06625300478747412,0.04410384323773329,-0.07031427412328255,0.029785962098329427
CD24,-0.0344346320890301,0.07468631567049618,0.002134761838201427,-0.015387370927918437,0.02256385076708324,0.014346306403755192,-0.018517831227012334,0.06985123556396074,-0.052087269108890576,0.005162125926699333,-0.022537888077573016
HSP90AA1,-0.10402146851007917,0.09164125390496371,-0.05365026019648645,-0.012440275675655706,-0.017335130965798695,0.004734877003531767,-0.054282001643003217,-0.026516918615547655,-0.013574870307348209,-0.06061842925657186,-0.04267135828698699
BMP4,0.04052766576345756,-0.015154919727541889,0.04586063558415926,0.012012097973349007,-0.013190900161994147,0.03989107059972261,-0.027576898290926282,0.06699720167165796,0.03212447360542188,-0.04502657858460334,-0.04163768175479687
SCGB3A1,-0.013758076300527436,,,0.041533800878087716,-0.01795019444427566,-0.0121992427788396,0.005314721221381033,-0.011564856118594298,0.00353009308194829,,0.017246027343634413
