,MGH258,UKF243,UKF248,UKF251,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,,0.01438808418653392,,,,,,,,,0.07229270342513629,-0.015224980672418334,,
BMP1,0.05452378377923331,0.06031514542362433,-0.00013068708895234627,-0.03939352533892666,0.03823058513807348,-0.00526463409671033,0.0071509955325069685,0.16986719814900614,0.008443549714500165,0.02936678489122346,0.0042208781208439025,0.09239080114215822,-0.06922455809152973,0.1098519217753312,0.007266536574692625,0.03395553604399179,-0.009589219478848065,0.04518254511543785,0.009548839269229302,-0.0193347338681206
NDP,-0.014956558337402314,-0.002540435232893939,0.018122035923776737,-0.05119347548467398,-0.011126410587098852,0.006996346793672847,-0.051963779025545595,0.05506071744155208,-0.007612134656694866,0.0242965272206603,-0.02312289578912267,0.034412910280076564,-0.02490142836829358,0.04051363709972656,0.016838536802437156,0.021035452769709688,-0.036520802395953955,0.03637772799728583,0.02794418175547436,-0.02008456492625728
TNFSF18,-0.024051774042609785,0.07590409968953873,-0.002271200545086672,-0.021623396321776303,,,0.08094861578228059,0.05379371607745543,0.005992634085741819,,,,-0.024247589855209473,,,,-0.022362514307478213,-0.008724005141964381,-0.006708718596250777,
IL36G,,,,,,,,,,,,0.0044977912567548016,,,,,,,,
RTN4,-0.05053378365957788,-0.01742729454912076,-0.0800222145452251,0.00878857865560552,-0.07584904256194007,-0.04076808508178082,-0.08233290921670618,-0.23326534874967067,-0.05711033617141372,-0.002302607757022368,0.009843862666544396,-0.016885543820868716,-0.0720848355835901,-0.028404536026913903,-0.00819685068452345,-0.02521693280589495,0.032561891575335206,-0.024097111610977055,-0.04621253906253592,0.08621363823533403
HEBP1,0.04349964316615639,0.0009456716508756702,0.06671553756155368,-0.03144671888871868,0.016027996951467,0.038245073344351135,0.028863390464041683,0.02875800887126403,0.013790503644956466,3.6528519080344436e-05,0.0069822395539055615,-0.014076466976185609,-0.014035121953744383,0.09946175045876104,-0.010663360692786124,0.006574914977421097,0.007594098512285449,0.059347529955380264,0.06109805623443533,0.05684672291678099
WNT7B,-0.021188859609027864,0.024840953483589688,0.01953247661569527,-0.019936823218783758,-0.042873410125543694,0.02889338987518531,0.03026481008441817,-0.03427343309793611,-0.02501003592110279,0.027882257902386545,,-0.025959339539184785,,0.02937010799970974,-0.027353279871794707,0.00337334407001306,-0.012587170270038582,0.03783240132238185,0.07788996369386633,-0.014113584806388914
PTMA,0.0014098192518032279,0.049083197665894196,0.018723293416843187,0.07106402280901537,-0.0035854210828488737,-5.621747805092463e-06,0.09208460702874674,-0.13798547983188447,-0.019448106952727806,0.038205796309715434,0.008733745016467976,0.0876504348005553,0.08564355941925694,-0.07360583094547637,-0.09429979216267659,-0.050954268602289764,0.0242929471757165,-0.03290620800976651,0.028415336786706127,0.003252653948563194
FASLG,-0.021188865599064195,,,,,,,,,,,,,,,,,-0.01320462054311121,,
CEACAM1,-0.029420925322624646,,-0.032882778329016045,-0.015300312701244684,0.02438582071177794,-0.023376159416152557,,0.017232401100232764,-0.008845408557083594,,,,-0.06268574187937657,-0.03782458012492792,0.06827198818066398,-0.02963103321230912,-0.01646893901613459,-0.018372290079996155,,
PDAP1,0.07112097706726175,-0.07597800905597596,-0.03963998515033637,0.01489535805467115,0.009899464759886309,0.026533886804452993,0.06975678748498237,0.138328581770494,0.03812079545860325,-0.0028098622090428254,-0.08137913895895325,0.04107622427094672,-0.029818347577763343,0.014086274312128567,-0.03286088175847723,-0.018936776373702863,-0.040023829385587954,0.02161234527909788,0.02547301262664047,-0.056622208540095816
QDPR,-0.06735788237384359,0.11062601057166362,-0.020783300869664397,-0.07930957028120891,0.026900750883962887,0.03274428767342139,0.006117809150409937,-0.18695069992689325,0.018976591573729037,0.0057413323254684595,0.051028936930073134,-0.006738521573556148,0.10171639788558483,-0.08115717256658898,0.02731314558135968,0.0674233988365916,-0.009241046867105298,0.05500703068967023,-0.0627544817373614,0.05126320598268972
POMC,-0.04735855536473802,0.023896749870348732,0.018750162768727242,0.022347861100481498,-0.02144670912354548,-0.005912022537549411,-0.0324727646887094,0.03823916182642565,0.13730484722732866,0.01782331656206847,-0.029698415608438843,-0.00786408755945912,0.031042948563393697,-0.012143236642357544,0.04281094435374203,0.052979692870924175,0.02041014419247776,0.01817202903278845,0.046616235076259865,0.08433949635152052
CCL18,,0.05046695454377956,0.022800727792397668,,,,,,,,-0.0628448659207922,,,-0.026818249204327235,0.006501535913163644,-0.029119349364417076,,,,
CCL17,,,,,0.004454616359386223,,,,-0.017297335275254226,-0.0167208345395395,,-0.021576075702716618,,,-0.024876778661483422,-0.04277425666145893,-0.02858934158330009,-0.011968505384382901,,
VEGFD,,-0.0013343318000350408,0.016601305048832476,0.008062270962735086,-0.020014912763473974,-0.005882651639202464,,-0.0037736727840455564,-0.018428847707036962,0.03721982145930355,-0.02871678113058924,0.006614378115975215,0.09465022904712493,,,-0.02963103321230912,0.0867528462525063,,,
TNFSF13,,,-0.030966036130840112,,-0.022485760403495477,,0.03334043924625385,,,,,,,,0.05223280952164185,0.13581949762731324,-0.030658371585512878,0.22076321830358367,0.04147924891873289,
WNT5A,0.03353835361653994,0.0562546692320951,-0.023766235204863127,-0.018759168962540353,0.0018391755442152672,0.06308859393139803,0.02781261571196431,0.16489224085055956,0.011424471561360656,-0.05132806601309813,-0.0048564656436389944,0.0010649574561997746,0.011676205809090104,0.05566520513280858,-0.007272792537661966,0.002343522675350631,0.011691580515795759,0.02118932985393186,0.06270264640779444,-0.005940581679839427
CXCL8,,-0.09929546275407498,0.0039482333195431174,0.010793698669208216,-0.01485331877057651,-0.07479517888527172,0.047779700259112365,0.0412958229001011,-0.018817845173407108,-0.003010284868499113,-0.029438057369626673,-0.050317789895460215,0.09670026286831583,-0.014197113090141903,-0.07010749084066571,-0.11017343736284965,0.07716472887513684,-0.02007473197040681,0.05065480364814886,-0.08535123402654925
GRN,-0.08601060958975051,0.0023028332848639035,0.026623315821769387,-0.014151443872698441,0.0017450803960061773,-0.0004802467158641735,0.08946052777797961,0.18306328270842326,0.04964092762565675,0.008590903134807306,-0.018106727596351162,-0.05308910997512705,-0.05619952978971004,0.09887578506016029,0.0008994567677142186,0.031970795003599936,-0.04192026806430073,-0.019016789955600123,-0.021751701509622842,0.005317147074954851
