,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF334,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,,,0.038504888987412764,,,,,,,-0.021872567284374034,,-0.0345521189598236,,
BMP1,0.03617459056681661,-0.023881875323145514,0.04820037752309884,0.009498432093650814,0.05267508436549993,0.016159766684513247,0.010124567071927939,0.12144726127782124,0.13494476263096794,0.01420173516679153,0.043204122203820826,0.042007629631262824,0.00940271543199724,0.08481577344128201,0.06816666491583832,0.07173552696856456,-0.03683694599685548,0.08603653297008827,0.08033096229060363,-0.03459423969250275
NDP,0.020380375186577798,-0.007846590920447049,0.06082989659108791,-0.026956999386425626,-0.0309950418809741,-0.03872402095342478,0.027374792179850928,-0.005780600251949177,-0.06298822118104586,-0.048804487817407975,0.0057445589524493315,0.042333616081016615,0.12226447912146321,0.04568007516338533,0.02756278432721358,0.002108099473944695,0.024846945511189027,0.05762111354218025,0.014293442296575429,-0.03146968428201199
TNFSF18,0.12867735547658046,0.042637453664411656,-0.011925802522492923,-0.012570106955181862,,,,0.10721345260165238,0.24970970759917216,-0.015018611761194327,,,0.03511911899340415,,,-3.3414592382267794e-05,,-0.01260713491150917,0.03320151583557584,
IL36G,,,,,,,,,,,,-0.02108121211205826,,,,,,,,
RTN4,0.03362281666512038,0.03739044063253459,-0.003669975031717956,-0.04457045800030187,0.09242303348608907,0.007301736850378246,0.01720168084235925,-0.12466950875564209,-0.13029701154236756,-0.03465211794737614,-0.04960586846935124,-0.010593295493224287,-0.043318574028910324,-0.03563036271059498,0.02755022206674109,-0.08734954741510556,0.004823732185243489,0.042207217157974625,-0.00787756827723841,0.080958447247963
HEBP1,-0.0413993564619288,0.022128239268605923,0.07528093720993323,-0.015897573211421993,0.03268669603152605,0.05147966591715545,0.02590945135151294,0.011241630604005572,0.11019484496174307,0.05912103066470498,-0.039440803409739336,0.04930683844204197,0.004820275074042062,0.007414704748401944,0.08855599122197176,-0.03172555201588131,0.059560248555143316,0.020661215554372277,0.030727939559425245,-0.006112349847665179
WNT7B,-0.01648513713970963,0.012031846359946089,-0.008650806199213448,0.05768140830842413,-0.05169168288450714,0.012934767315613134,-0.006100737460062374,-0.012683614975857916,-0.044274833246478,-0.03569222851697927,-0.01598316566201685,-0.023170681539538666,,0.018754971220888466,0.057682058023246725,-0.004399952900890133,0.03869672726201835,-0.002268733535202673,0.15854858798249724,0.09695540020037265
PTMA,0.11397250976127492,0.005816970535134729,-0.03542182197678072,-0.02127141659101181,0.06163780889786922,0.018487674071246022,-0.02057729163516828,0.1366742490616649,-0.06313154302407212,-0.03245650466195864,0.01777985311325281,0.0037320600969342945,0.054785077048633314,-0.06147012479043029,-0.07038884796797039,-0.024053160130309417,0.003987706837893453,-0.027272407286243156,-0.011934202738414022,-0.04940528254922596
FASLG,0.09538191063144341,,,,,,,,,,,,,,,,,0.0825856152145847,,
CEACAM1,-0.0022215643946861385,,-0.00796224962408443,-0.01598139622808277,,0.025558828665970437,-0.02566070270599305,,-0.00787782822474794,0.02487128404887396,,,-0.03908444601290835,-0.04349149059431533,0.027745121854881184,-0.03241175595760294,-0.023359474091794626,-0.0001332377214340754,,
PDAP1,0.023355168331893054,-0.02645332455088802,-0.014353922520674502,0.09003315263720994,-0.02032712109093622,0.023909608206583315,-0.030576318697670295,0.014709575960192582,0.10679792280725876,-0.03279844789355416,-0.06296364921630311,0.05831728528136276,0.11014126893044163,-0.011598159851150282,-0.004213801197282291,0.046835588497592964,0.05556413518335154,-0.04863465514893194,0.00800013338810728,0.03785000821888089
QDPR,0.050179954265633035,0.018337658470531794,0.001337577841212163,0.009849351385488581,0.02838991979303088,-0.031403475084347175,0.049540111148566185,-0.07077773527855905,-0.1450469305871264,0.001663460255136767,0.020859529475175907,0.011603121915217724,0.035682618690204254,0.04095804196268733,0.06559110245157354,-0.023868157635591684,0.006218907358234314,0.012142752307327984,-0.009139613436469768,0.0536666313462366
POMC,0.01650805459185402,-0.03307159611303386,-0.02614796007874644,-0.028396391383835984,,0.020507222700913208,0.01505420228912743,0.06785318927610304,-0.00851611805683164,-0.017426409443847587,0.026457402304907066,-0.037451755510717624,0.014556201199367869,0.09857315062416383,0.07148677392767783,-0.037921350610214524,0.04230859624720252,0.02958391132294202,-0.0005921900796321826,0.18332272743628775
CCL18,,0.007844028913547341,0.024298376395106215,,,,,,,,,,,0.00514123527363497,-0.07176021948673672,,0.02790398106935633,,,
CCL17,,,,,,-0.011520118862685615,,,,-0.018731132900104492,-0.019782678561384322,-0.0017393178543622814,,0.05880930697729018,0.12474078693662846,-0.010582243954032323,,-0.027161756767393068,,
VEGFD,,0.16319221279140592,0.07635236069507502,-0.022890143759333677,,0.0012508151252761796,0.03729250923959907,,0.027028338265177414,-0.01995643780404331,-0.014510833965125626,-0.02063970134212023,-0.033970611282759,,0.052571564431312244,0.03752546282800864,,,,
TNFSF13,,,-0.0045309194280737305,,,0.040026579646081153,,0.07874556180190641,,,,,,0.0005816997363449481,-0.01661792989950741,0.03350093921761468,-0.01134377694695288,0.03302528366954725,0.1374363715174585,
WNT5A,-0.04329633471621032,0.0071189183070209,0.006738717491208236,0.014064101750588658,0.10477203089477279,0.00522033770422832,-0.005112761332431734,0.15067745979731761,0.07877054729485328,-0.0016875222945342105,0.001596859293792992,0.0006649376808068687,0.04651584819079476,0.0553398438367418,0.08267329246609365,-0.024456839290759022,0.004862389191746093,0.0005951511166433449,0.035386461385117286,0.14062727830695843
CXCL8,,0.004250176151097139,0.00040543465059930764,0.041574297059505,-0.08280816352890287,0.08070175737345138,-0.060430055362159986,0.00351769034788469,0.004336251264852798,-0.002747477592337192,-0.01351311954036196,0.01586633320300998,0.031054326730360206,0.0010121203067502422,-0.08523509084849279,0.01005320384986487,-0.005894959146822545,0.006953605555532084,0.03016878964015305,0.09850324471802718
GRN,0.0034768293833310395,-0.06333238720712817,0.00533316322586443,-0.020710323048574026,0.08494148804808732,-0.041848509722990236,-0.0026136032856523606,0.1366947929424807,0.0867273154406823,0.037785901484990454,-0.04533988639879593,-0.05686794082513446,0.037022151786350134,0.12088210388089872,0.07159651739797512,0.018607297792420163,-0.05094795451276054,0.03450061925460963,-0.04006440507280521,-0.07935146926359633
MIA,0.0630635201803885,-0.014949082948892157,0.038373677892917964,-0.020356893087168478,-0.03660142236101339,0.03099067394848112,0.004277156905659933,0.08115630538637093,0.05260124471763659,-0.028334996689149447,-0.016503017682152153,-0.028267016855190487,0.004018686298154912,0.016342846676280026,0.019213168972642403,0.062197509166026836,-0.012442455076153677,0.04889025561455463,0.09741751392582972,
COL4A4,0.07992789721566149,-0.04980153487638982,-0.03355228564992376,-0.034234230942557925,0.001611388817481223,0.0416527703335646,0.02450241054155216,-0.003979010405301029,0.042582977778037746,0.03849165618302076,-0.027723757264556857,0.035317443994080364,0.028431590216093244,0.003963051468586202,0.08580108696447838,-0.04442217116326523,0.026884752181914995,-0.05228236841581194,0.04399471091901124,
TAC1,-0.016485132831128315,-0.030315571999518162,0.04277033634690706,-0.015834608655609907,0.04463693430960716,0.030110959023936654,0.018262979874197678,-0.08064500564684718,-0.0761692563689036,-0.01533969178398923,0.03458978266928721,-0.017135320674508906,,,,,0.07175328882428389,0.07189767313784388,0.026233826510401032,0.08902947139727209
RARRES2,0.0033753870445832725,-0.038728980933654206,0.0058049756637475166,0.02930207323570148,0.026569481001222233,-0.006633868432565047,-0.019999731496088663,0.11150795249946498,0.1505373724395762,0.038039118019707996,0.027402013653073272,0.06751337737074474,-0.09216043538983604,0.054733658919958544,-0.006638484405193076,0.0804508193112618,-0.019701315651794633,0.0031799651363022454,0.048750272186484735,-0.03337116908987094
FGF7,0.0827239878973623,0.06125912842868097,,-0.02583575980155682,0.00734542122513862,-0.009741198173624423,0.00797361329353513,0.00418405803582438,0.05672902801199978,-0.016104086110531553,0.018544362204173902,0.06233995030553724,0.006964607483998174,0.027776855206475538,0.025388060370854764,0.053718707103411374,-0.01484249809239931,0.09676749588513886,0.057232842093601806,0.07462445401240202
EFNA2,,,,,,,,,,,,,,,-0.035970770952296754,,,,,
HBEGF,0.005613703416547675,0.017616834982559275,0.020604934065027367,0.10236627305960312,0.051853447720479826,0.024074410937985097,-0.011747590871513796,0.06176454747321997,0.08779290772401493,0.0004255334747865537,-0.005193014550833979,0.030562604107050386,0.06782749190140844,0.03150508296065588,0.0630402621863875,0.022645144669877982,0.018792839999561103,-0.008715479336068657,0.11282343808918273,-0.0894089313505922
CSF3,,-0.0498014954483659,,,-0.036691667506041484,0.0438884044560619,-0.04495327269695714,,0.03292602265290031,,,,,0.09250375714583067,-0.018790707783988843,,0.04567252497941728,-0.028597139680519808,0.15483659655561108,
PI3,,0.023948661042101606,-3.590605447451186e-05,,-0.02876010570327854,0.05134687885713619,-0.01635597294823226,,-0.0008854015430815762,,,,,0.026927035380498635,-0.0777242974494793,-0.003471294874583525,0.0028979811332300255,-0.06213208405748112,0.00766400768496034,
PCSK1N,-0.04640844347424806,-0.009657779595903302,0.023373069872436245,-0.047060746044003045,0.07605869832972574,-0.06414003137049355,0.032165039815073786,-0.07432615124246038,-0.01067307046888364,-0.00015754511001056444,-0.03104107590476266,-0.0456146880107097,0.1019675272230627,-0.04941533403697589,-0.03731216398897178,0.0784659148825743,-0.017526666813828622,-0.002115774858577184,-0.04434332412530385,0.07591452561918739
