,MGH258,UKF248,UKF269,UKF334,ZH1007nec,ZH916T1,ZH916bulk
IGFL3,,,0.05941053448411875,,,-0.015714771204231492,
BMP1,-0.0192102017355705,0.015523084638316207,0.06531575603357677,-0.006808632617391324,0.0585582848972986,0.015125290978423741,0.021116395576116744
NDP,0.04166908342664381,-0.0003282494454343499,0.0004626744822878099,0.019793239070936264,-0.0034017869658992898,0.05567468937673801,0.033255746806137895
TNFSF18,-0.02288515047037497,0.02985582501952358,0.02493340541586374,,,0.006193579159707394,-0.024308728173287022
IL36G,,,,-0.015263924721624474,,,
RTN4,-0.08493930638764163,0.008989939029497396,-0.07726389394512706,-0.02237804684735426,-0.03607059237470082,0.00449888457231034,-0.04614862713058995
HEBP1,0.03586171249887496,0.0037769233563680143,0.024104407473465178,0.002965117059448236,-0.03567647479803189,0.051643955974806595,0.01601314259397423
WNT7B,0.02674019655724826,-0.027537957993299965,-0.019818013423610097,-0.016776812305111855,-0.06250365138067066,-0.0071718631413766505,-0.0073058341158110255
PTMA,-0.005592128221963787,0.07438931314890324,-0.0713284844384589,0.017418743515702398,-0.09945840683973117,-0.025089581901505828,0.03495662096546388
FASLG,-0.020161106481046916,,,,,0.04628322721020669,
CEACAM1,0.022306539346728087,-0.018743062859971224,0.0025089230349218425,,-0.04706681688389601,0.0032359282294664705,
PDAP1,0.07979690111202926,-0.0029741646898906746,0.0076716095518411034,-0.05032345695306843,-0.0772910253729296,0.07257075963162068,0.035153252475763515
QDPR,-0.11271138124315268,0.0020588852336207945,-0.11153363135270274,-0.03460986792367631,-0.016327197888639945,0.039054992749628814,-0.009203457364794582
POMC,0.03801524383885268,-0.004616538854304599,-0.025961510983694744,-0.03270312231686211,0.005064195146075381,0.1266460865436834,0.08425246845521901
CCL18,,-0.023389571529183608,,,-0.04035733483081185,,
CCL17,,,,-0.013944028575879877,,-0.012353534485132125,
VEGFD,,-0.02338957895646807,0.029119992613059087,-0.01494424731786334,-0.04546704888492735,,
TNFSF13,,-0.017650526847736825,,,,-0.020129053335895326,-0.026444428863177882
WNT5A,-0.016360557551281553,-0.0622074702499279,0.030915839446662072,-0.007976429474207902,-0.08675144810054072,-0.042999347509559374,0.014721699758961862
CXCL8,,-0.024352564481284252,0.01665545101788924,0.054825397587080105,-0.08955129046684533,0.05715474891099477,-0.0013886096266480976
GRN,-0.0878249219629604,0.034910662618335475,0.017612503792864557,-0.022095344765255244,-0.03307729674511038,-0.04464868910924047,-0.02019582148354335
MIA,0.008480522322238044,-0.030243366736336184,0.009305084376431474,-0.020466831560208218,-0.021067188093926072,0.07778680636442885,0.06419983134805404
COL4A4,0.01731851451089238,-0.028090685371753875,-0.019231002607699728,-0.0026489834254559766,,-0.036278447285518364,-0.012727983688812847
TAC1,0.003165007144775263,-0.019940647603109967,-0.00390775519152809,-0.0020641617823374775,,-0.01623997724096452,0.02097472627112349
RARRES2,0.08407164927428176,0.030115054016763343,0.0500160318189917,0.02715596232919981,-0.06964494802833193,0.04337412621965363,-0.05441840405095727
FGF7,-0.0376170530791392,,0.03774481071848248,-0.019342527638060544,-0.06368483850375746,0.04992276822868265,0.08512083839205513
HBEGF,-0.0007612550988874119,0.01860099932839683,0.06828542632746151,0.027269716726870563,-0.07755639952698425,-0.061911019181753374,-0.021835717091654498
CSF3,,,-0.02034603060811041,,,-0.013006366055215525,-0.031089165754314498
PI3,,-0.024606815394066863,-0.02290989900326958,,0.082463688723533,-0.013228646025765125,-0.008979326342455157
PCSK1N,0.09202968266557843,0.0011580963444056788,0.021753789517429702,-0.038562632883815305,-0.028002680551526413,0.01909887940975191,0.04125776341720879
NTS,,,-0.02500771906915772,,,-0.019260654563863836,
SFRP1,-0.029334903235255033,0.04128019510315846,0.03751475528913531,-0.03981637721927907,-0.005907932628771876,-0.01881308574754851,-0.03878623744428039
CXCL13,,,,,,,0.05500804910602627
MICA,-0.004159717788168146,0.0027936670129390974,0.048317597809040984,0.0750082032373779,0.014428137389839684,0.04975805173645086,0.00867420438263259
TG,-0.02334901266100048,-0.03683290084641139,0.05327645854472523,-0.02094589846438221,0.03763922733782364,-0.009274516552691675,-0.008994937237680578
ADA,0.03664064853142645,0.08742940970088942,0.04434140631268269,0.03466552503980609,0.06467255012330798,-0.0451201054381167,0.04795892495543119
LAMC3,0.08309376808357136,0.07800604939203709,0.041900191292446105,0.016209318101097298,-0.04046866155802123,-0.0032744699567026953,0.0581949386915592
CCL7,,-0.014877743391293111,,,,-0.013629410857800766,-0.03176619352667511
NGF,,-0.011544314852499614,,,,-0.020248241177917087,-0.035233566813799716
TNFSF15,,,,,,0.013454307781580476,-0.034407806114705446
HMGB1,-0.0022974175336759263,0.038457143234867965,0.023682000331124584,0.04052575717668798,0.01621932597538158,0.0006374060274285256,0.01034597599238921
ITGB3BP,-0.006723303589613948,-0.03166256406685447,0.09368924017702711,0.09236412476384921,0.08397416687916416,0.049592241283334934,0.09776101296341076
AANAT,,0.043264351798355284,-0.01835267021117972,-0.018704580573803295,0.05774319579690528,-0.014420485063673515,-0.01898300631865509
RELN,-0.01935695052854956,0.005501611085701027,0.03993223980282692,-0.0038673640623446814,,,0.0062612674678824655
