,MGH258,UKF251,UKF269,UKF275,UKF296,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH916bulk
IGFL3,,,-0.018557934815494476,,,,,,,
BMP1,-0.03850697872361897,0.0648264867429562,0.07786783797273275,0.0548801986953528,0.01907155858072423,-0.0015723150830309002,0.022246960449172595,-0.008906562633674462,-0.007026353629793843,-0.020746722382472826
NDP,0.0018750697231302528,0.029469840147029393,-0.012649156355576304,0.003764166387623118,0.0073729714062769,-0.07105485550754778,0.04997005680661002,0.05757123435047839,0.04573759687157101,0.06682357440454165
TNFSF18,0.022248962289461997,-0.029361832175450686,0.014814710257444567,0.023815833831734277,,-0.027050296560407316,,-0.04878051239575681,,-0.023953089948428947
RTN4,-0.0034189362956040656,-0.02403932453060857,-0.08550363065649415,-0.0048916482890596245,0.00826442845649746,0.012995176356207604,-0.07397838088898687,-0.00612765583066485,0.002693975561267253,-0.01279221141216946
HEBP1,0.013262428931693908,0.006162782052572553,-0.015183256824440838,-0.02380821175484534,0.0499497129151457,-0.022539332065929753,-0.10392939007288686,0.0880181313684223,0.043614112426778054,-0.04784724680750139
WNT7B,0.07845552944499472,-0.018238659967104134,0.02002137780961634,-0.04110186655760528,-0.015511129868868509,-0.02977973625772574,-0.06813540123011042,,-0.05426846655944789,0.021613487043796967
PTMA,0.0321987818232528,0.09388060615423931,-0.12172806130684895,-0.010812951801102682,-0.02257500452894344,-0.007153581569897599,0.10176289105880078,0.039546150378508144,-0.07786320958457857,-0.006167334287140945
FASLG,-0.019303089107299082,,,,,,,,,
CEACAM1,-0.026802508160082786,-0.013997074543222547,0.037372878542304276,-0.010333449288593284,,,-0.05130766574703079,-0.04464455764434231,0.04761836026331922,
PDAP1,0.049470092181440314,-0.01638256128952971,0.04390540896269731,-0.04665230754689068,-0.025645812809544727,-0.0625860003874049,-0.014458461853575015,0.06429755329609947,0.08151958716736114,0.07764187716724845
QDPR,0.03590555115827581,-0.055727980603034716,-0.09842008282011507,-0.0038995172532986667,-0.04408592835818303,-0.026042008728221232,-0.08006895724477352,0.07066246379288145,-0.02674342600386299,0.017027847916901977
POMC,-0.027835019208762822,0.0006326477464142797,-0.030201104014378605,-0.016638027032781447,-0.04171878484209008,-0.006195380991018462,-0.04093151498396008,-0.033260406625279355,0.10230711684526501,-0.01104354775859274
CCL18,,,,,,,-0.018389142173541373,,-0.0345070006959601,
CCL17,,,,-0.017883723927799054,0.06957971934459735,,,,,
VEGFD,,0.05997886208358514,-0.031089518866252417,0.009551707029997225,-0.014082281001037308,,0.04584805722635931,-0.028223769042446015,,
TNFSF13,,,,,,,,,,-0.006628317305000833
WNT5A,-0.07604870829349236,0.005544001347084537,0.11699264119395014,0.05339101458117016,0.017739637777542366,-0.05177365921752085,-0.011481622759965166,-0.01249879778059751,0.037229397098605274,-0.056941451167211325
CXCL8,,-0.01877175990870325,0.0069653813743448065,0.020017883625806355,-0.013114032386100543,,-0.024949843556741853,-0.07511485126625228,-0.03434001432498621,-0.08868115715390806
GRN,-0.030021256942450763,-0.010405142196971914,0.058192093771036305,0.08170822069094279,-0.04230128227221885,0.051946445389849695,-0.10975461601324425,-0.08540704165972027,-0.017287605773587032,-0.05213060987731858
MIA,-0.02526607870845223,-0.01782929012853164,-0.0074688136412641585,-0.0029736181149556604,-0.016015628937915565,-0.00108180508709601,-0.08767633808764237,0.031970784762220324,0.09853018927582051,0.011456771715777005
COL4A4,0.06144994594667592,0.02570047264897638,-0.018287467294856516,0.012012794707052502,-0.026904982934980403,,,0.1242479003635639,-0.043627630704950016,-0.029123252341369556
TAC1,-0.019303078605282544,-0.02779718212291772,-0.050466722462502986,-0.032961455110573454,-0.017010235496922606,,,,,0.026578650187271936
RARRES2,-0.04942743623276147,0.05652827973070277,0.07294770322670804,-0.0017068358397275098,0.036472805544278876,-0.037964898636847294,-0.06406290056406672,-0.023492657661269033,-0.004520973133657953,0.04913036594081558
FGF7,0.035747811925365025,0.033782789252647646,0.13518483014869492,-0.0006776142107093364,-0.007819689085935425,0.003834472375197743,-0.10239404816478345,-0.004353393675783009,0.07428750133216783,-0.04892467061670409
HBEGF,0.015576885685266231,-0.03567832247804704,0.03140082064627398,0.06597277380220853,-0.03616464785648242,0.04782478403841834,-0.032222306498222504,-0.0619672921572305,0.03315979734004922,-0.09088596269170732
CSF3,,,0.06364123299020248,,,,,,,-0.03063432930041343
PI3,,,0.052343480238514255,,,,-0.038617853367700586,,,-0.02802237591234971
PCSK1N,0.029465117866470523,-0.024397138481736972,0.011222331066838336,-0.02050923331241073,-0.003713776978331179,-0.06612316197165609,-0.07073334996191558,0.018338651271759855,0.028452000556602818,0.04126076631437283
NTS,,,0.04132897294075859,0.030260332033464232,-0.00368236264059803,,,,,
SFRP1,0.05688152786137263,0.019661883724415456,-0.033593534679846486,0.038095635529790534,0.009798548300388335,-0.006487797808468348,0.04559496561335117,0.0316160867655451,0.009668398463160938,-0.03821879234656582
CXCL13,,0.04761421643807448,,,,,,,,-0.024848602396924296
MICA,0.0026296570996364806,-0.03727698199790159,0.061778034620019955,0.02769992842653524,-0.01354221171090682,0.03737046164115646,-0.07719643094323794,-0.04409806668277595,-0.0035622030694615415,0.015780651262379642
TG,0.019016299774133043,-0.01903320118794364,0.026005388700263674,0.012462229503994558,-0.013893820835108258,0.11384737199419051,0.04579751241990116,0.012336337998031383,-0.0030797922220195217,-0.027383288431412967
ADA,-0.05898340507734513,-0.03932005952264356,0.017975554239813337,0.01999345455325291,0.0034137091569736108,-0.025742084983495832,0.07575154266043437,-0.06790088828697467,-0.018442445094566322,0.002776184396290586
LAMC3,0.0011590873316051763,0.04326706130166741,0.034938859623169845,0.03108073690244559,-0.019579190620180043,0.008053459763198071,0.010002509683803312,-0.06959638282977143,-0.03861197038094767,-0.01351910202401623
CCL7,,,,,,,,,,-0.05187390077542092
NGF,,,,,,,,0.01108160998115938,-0.051279581639173615,-0.018639526633071845
