,MGH258,UKF275,UKF313,ZH1007nec,ZH8811Abulk,ZH8811Bbulk,ZH916bulk
BMP1,-0.004320853382143604,0.018383526740147628,-0.0005970211526759369,-0.017245974359346248,0.05071108916003982,0.0424138834828328,0.034390263796875244
NDP,0.043262989911335085,-0.01860571722948979,0.01958212143466417,-0.08765458372138743,-0.062440731172844606,0.01884645495952663,-0.07512023854690032
TNFSF18,0.0730812882020848,-0.011674763952453069,,,,,-0.022478029558282774
RTN4,0.044545337547925244,-0.015194849803348079,-0.06667627870362977,0.03695053302770655,-0.05453032968561674,0.0038070902764701913,-0.04849159349507286
HEBP1,-0.03731030475708191,-0.04088963676670628,-0.019958900762874886,-0.014784593400108752,-0.010158437001586184,-0.00896098985593929,0.035247714077277156
WNT7B,0.02054412458720341,0.014956506920807333,0.0031960315709711603,0.05183408787574753,-0.010143603740058658,0.0030487992620303883,0.16139808800460115
PTMA,-0.01677787787614849,0.06669517405013232,0.06231516238717366,-0.1062993994107255,-0.06477874785994227,0.02570773163629729,0.0664714872980455
FASLG,-0.021587528875129214,,,,,,
CEACAM1,0.03356297501643086,0.0865494758845518,,-0.04643480896593643,-0.019563787691070027,-0.021606673212621778,
PDAP1,-0.028214827125673206,-0.017378806973994552,-0.03704292422984176,-0.08498029215421862,-0.0004735734740207966,-0.0010392648725776072,-0.0022285941955770606
QDPR,0.01448515902668587,-0.09965900230801417,-0.020363563572978385,-0.05062632398540154,0.00940617396357366,0.05744997202752439,-0.1287774414143321
POMC,0.007231734177636138,-0.013546472871840229,-0.023259245710937515,-0.06535780880980832,-0.04697399352210046,-0.02475020837824276,0.016521651848080247
CCL18,,,-0.007619953036761702,-0.03981542108245412,0.015146159410768195,-0.029920466304247564,
CCL17,,0.00451203612839411,,,-0.013879560452872856,-0.031190589237132135,
VEGFD,,-0.0155131981836042,-0.01571488662133525,-0.04485652247154331,,-0.021606673212621778,
TNFSF13,,,,,-0.010405970610833612,0.017642497803751697,-0.024452889900329223
WNT5A,0.075819821189323,-0.03550865360745348,-0.0441892951234129,-0.10749776577012708,0.016501652745034817,-0.07505294247297967,0.08079650017678418
CXCL8,,0.06556898989338059,-0.02745866452078631,0.06165245196462293,0.030057019447551576,0.006501571191763159,0.16190991263924315
GRN,0.017688293374555332,-0.033112492843384515,0.004552967605867799,-0.08780941114419212,0.035401746002692254,-0.01394510638941096,-0.10496875533548632
MIA,-0.028256213326692644,0.02125035982143341,-0.02131220948378828,0.01796991508643201,0.036429655537558406,0.060973386726564355,0.07069389423929606
COL4A4,-0.025000988863781774,-0.015201825105098968,,,-0.023547949739943872,0.025031331794417733,0.008954942211786065
TAC1,-0.021587517130242994,-0.007078664471568587,,,,,-0.033423297416149
RARRES2,0.015333876209623815,-0.037231016047539166,-0.06482165946884026,0.029312261237234703,0.060892910942115214,-0.024177742305458664,0.1308277792758323
FGF7,0.05695731764272944,-0.0015705173650767995,-0.03423974472836673,-0.05135435952922553,-0.012402118276414454,-0.03970072485380052,0.002774655286457789
EFNA2,,,,,,-0.020535696903538046,
HBEGF,-0.04519154344626591,0.014440911450576995,-0.0008007524813117131,-0.020037739710804255,0.045610918461085226,0.006933489032674615,0.1244816048926907
CSF3,,,-0.02360888651801379,,0.0983261953701702,-0.010358315843762872,0.19513096190584253
PI3,,,,0.013813500121321933,0.03866394489287443,-0.02182130144587455,0.12566876024994156
PCSK1N,-0.03904824191132321,-0.04053446707838324,0.0007256493889165014,-0.046214917993834995,-0.026189906679006707,-0.06063984001179215,-0.16667228117648245
NTS,,-0.017366318083614038,,,-0.03237956972755646,-0.025018849752806004,
SFRP1,-0.016933359203174906,-0.014553376191352586,-0.02036789062017543,0.08846513074667994,0.07028655092351987,0.0016650046910646596,-0.02213222591569288
CXCL13,,,-0.027214895935222066,,-0.016865752911546652,-0.03728535565881697,0.01930061271415147
MICA,0.012252398724890912,0.04172674911524646,-0.031113527718545805,0.04579525775958688,0.04577710189935597,-0.031241561777513287,0.0710576820213391
TG,-0.025000983229712677,-0.014669357904956706,-0.03354238104154485,0.05669945621412537,-0.01844246575287768,-0.030813448441820396,0.07590736622597934
ADA,-0.027855999240164863,-0.022260622980418292,0.004826354090617229,-0.04244119573790622,0.04183356706521307,0.09442563211964883,0.06631101196853922
LAMC3,-0.07680725912465927,-0.043369664630065426,0.05254878509905538,-0.027563298019781846,-0.035289963257941884,0.022267473197350042,0.008775084925112305
CCL7,,,,,-0.02080226187154086,,0.19505074112147083
NGF,,,0.009674170468743068,,0.08801485188002282,0.020339268535356513,-0.03258011487226357
TNFSF15,,,-0.015034602982574185,,-0.02027986943220832,,0.0843935850957621
HMGB1,-0.011186628565204679,-0.05300018411760825,-0.03330359934816467,-0.031156170095053125,-0.06988066716993513,-0.03534032452223462,-0.11836523924494585
ITGB3BP,0.0010299835405298183,0.01765161806622024,0.025617766112613072,-0.04585947243956464,0.04472644515313562,-0.013375733708555066,0.046725912536885045
AANAT,,-0.013192239291922002,,0.09495557312339113,-0.01824945333004861,0.00376393407971714,-0.017553389634127434
RELN,0.16542668596766516,-0.02904505245184678,,,,,-0.017794610800661817
IL15,-0.009133115266135697,-0.037418921805325335,0.007920410630048502,-0.062497794047490965,0.05014433789519969,0.0315851541724622,0.05431666468322324
UTS2,,,,-0.08577376393536743,-0.01554074514401342,,
BSG,-0.044940073848917926,0.09326129261296064,-0.01692930623409183,0.04161035732380248,0.0535559149725692,0.0431503340427212,0.05412781747344692
ADAMTS3,0.09306139607770704,-0.020050291472225472,-0.02949720876133501,-0.07129866438513154,0.04045677679364589,0.06364675746185622,0.02176289856770235
CD34,-0.023596153029606697,0.028666662869377794,0.0012295604029208893,0.0349407144780166,0.008486116870813527,0.02093447393059634,0.0057635360219567425
PLAT,0.004304487186931653,-0.0018966502732484937,-0.0644830341046295,-0.02295122637572754,-0.02845534652822955,0.03455743278973659,-0.08684951794588293
NTF3,,,-0.008568008644635116,,0.015321221675014455,0.026100429454404706,
LTA,,-0.012705501284470143,,,,,
CKLF,0.010938080427003569,-0.07555664582350442,-0.0266472024534187,-0.008619032590688774,-0.014171666973315959,0.008982181892564197,-0.018903783949476227
APELA,,,-0.027715484829406736,,,,
CD24,-0.033272599714880446,-0.03989699105731826,0.0017697109465734135,-0.056160688767307385,-0.027435148613520303,0.01879850645591615,0.06094783387231369
HSP90AA1,-0.007449970492965465,-0.06003902672624325,0.02174392510365699,0.04960439205210271,0.0008716952493580939,-0.016828036156957833,0.02833959890483216
BMP4,-0.02572964127074528,0.05082590973728942,-0.010105812308618616,-0.04098075821890016,0.009197872685341765,0.01112304476842887,0.04007547763485966
SCGB3A1,,,0.019513196508715,-0.04485647886695511,0.023166021406011452,0.003364339577391474,0.12341832307462634
IGFBP4,0.008012458217416082,-0.053208613130909334,-0.023722973869289475,-0.06483557623548446,-0.006565828612699608,-0.045911474673374426,-0.05500499602015513
RSPO4,,0.02196816179217108,,,,,-0.0221341290230233
LEFTY2,-0.02475379154929214,-0.020732777057024407,-0.016999473148357758,-0.04068521973757334,-0.017658764658808102,0.046225165213473855,-0.012975540808459942
PF4,,,,,,-0.01882238796462227,0.09584506336548844
ANGPTL2,-0.013365683124521128,-0.05725480588023442,0.046162748153766336,0.007296271981624818,-0.012249093027337468,0.018411478864072787,-0.07050325252061515
LRIG2,-0.003882973098175077,-0.011784194404542975,0.04677853061523576,0.018193313334062076,0.004754833562930139,0.045911250076022016,0.03201069881560442
ICOSLG,-0.03785136641903515,-0.05121435556350258,-0.05311915018101084,-0.010882130939402615,0.04288966572149154,0.04836123826490272,0.07585437662497335
WIF1,,-0.011403270395265997,,,,,-0.015768099891739804
NPPC,0.006930453879873873,-0.02224415730304074,,0.08335763759811693,0.04060094380723019,0.0010807608295833198,0.03112608519467819
LYZ,-0.027218579628371674,0.07039407319399055,-0.03767306711931396,0.05323002910504527,-0.018028011123123997,0.03308059183953363,-0.0014047555042582965
EREG,,,-0.019878230574968857,,0.08077528443338439,-0.030227859495851134,0.08151674344007209
SPTAN1,0.04743540817808742,-0.08637476413990004,-0.047014323854655427,-0.022335564391778143,0.0068800889877778226,-0.05324756190542415,-0.07270941195797354
LIPC,-0.00047450253277965326,-0.027627613924700055,-0.024855173788757273,0.04504647121318758,,,0.00996843459737413
COL8A1,-0.04264856055410621,0.008955833730655083,-0.014748450955265056,-0.04180575786837462,-0.029828558431954418,-0.02567393996692126,-0.050442995126594406
GSTM2,-0.019541295246174616,0.03619582527240191,-0.03644092447607667,-0.08481162101546633,0.06909628680310585,-0.050080599423290684,-0.041562844009096926
