,UKF243,UKF248,UKF259,UKF266,UKF296,UKF304,ZH1007inf,ZH1007nec,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,,,,,,-0.03302634988934531,,-0.02729382833829718,
BMP1,0.02863403672868262,0.001984344676863898,-0.008554073262410002,0.02222229872114192,-0.028289023791347536,0.02053552981693996,-0.0075683386753474455,0.05388589939039645,0.11098281263517402,0.05901933098363145,0.011057581944675635,0.046694701152276044,-0.04262421658569825,0.008501828384264725,0.06622633087671993
NDP,-0.025842915743686933,-0.0014008639442954498,0.01822101220242596,-0.01733995711543176,0.008028831776612937,0.012335841451984516,0.1383690253399048,0.16358975707935045,0.04826631450481097,-0.07296716480675836,0.0007582358803547723,0.03320888600314954,0.05851027768781309,0.03490274599787128,0.06021589820629837
TNFSF18,-0.02859202338118668,-0.024830504610871256,,0.050116791597589784,,,0.03669597370175214,,,,,-0.034059491691572547,,0.011186429232151908,0.00048528372661257115
RTN4,0.02686858057071688,0.02677021335126712,-0.0471087624105041,0.0027618352061980563,-0.05302849487065186,0.0334739270088773,-0.01988133914935447,-0.0043823869605967795,-0.05332559947127161,0.011415577502184646,-0.029387668240189676,0.010507102144013982,0.04318306119742672,0.019470494079290683,-0.023895074936324746
HEBP1,-0.0799751722632077,0.011070900826691158,0.029540760825838872,0.05147309219224258,-0.004299758336846454,0.0011790533701162111,0.00445177687514032,0.12300527085574567,-0.007053474551205934,0.031332322617371296,-0.010530364449922978,-0.03936746662671443,0.04500866505467913,-0.008805819658359342,-0.024802760917933906
WNT7B,0.06877227995999619,0.0013048250677102696,0.0028906842688980645,0.03171311751652555,-0.012182919158375032,,-0.026980688209622995,-0.06415473016437362,-0.02950954391019268,0.0408891788280694,0.15836477285894524,0.0029976315703693244,-0.006208619789756698,0.01874044983486119,0.11531514624401547
PTMA,-0.02106646433554398,0.032027083016794154,-0.03137201652130408,0.050928647669867044,0.019918228791996825,0.012254552816735289,-0.04041752476571662,-0.09643756302678952,-0.07506867784062678,-0.11120477244028049,-0.024373502397112036,-0.02994417965999467,-0.06806069066434979,-0.09231638628003065,0.0469245088181548
FASLG,,,,,,,,,,,,,,-0.023671928006381054,
CEACAM1,,0.02668764537497604,-0.02236759362004594,,,,,-0.02454522721044072,0.20988907260501133,-0.02033423589039823,-0.014716203317539792,0.0052460312512613546,-0.024293745306112557,-0.019927069361346278,
PDAP1,-0.022918824983155263,0.010687176317148005,-0.012096427151616572,0.01676469800263473,0.02762296616890999,-0.061238342809291246,0.02648750954862635,0.0400689755617031,0.04824940546058022,0.0352932816732226,-0.005915995311530757,0.0372112641026019,0.003431505572929468,0.010173537723070222,0.055900618251529165
QDPR,-0.05123848013505591,0.06301834344622709,-0.07139231231648839,0.08239215726272438,-0.0033549219326006914,0.02156759360470023,0.049543478415394145,0.06677226152314066,-0.11408377848312773,-0.044542598154000926,0.03979449028065128,-0.0050172250364542564,0.036481462456532145,0.009342758129348943,-0.07657758672640429
POMC,0.02773890382496104,-0.02734590686409189,0.05111864900998344,0.05484323893869974,-0.023543767850366284,0.036008599076981666,-0.008816632612837424,-0.06799734287365033,-0.03819905689421373,-0.014241870238909724,0.016888225704752142,0.013632417059861032,-0.010775628183197123,0.08823743816460732,0.014211799997370125
CCL18,0.021230642422783632,-0.019721818518551773,,,,-0.00972437400830823,,-0.041423402777788734,-0.018763858955384568,0.17116043902606035,0.009134062168456863,,0.019517407975966156,,
CCL17,,,-0.022112119769524947,,-0.015079038705218047,,,,,-0.014426156159555151,-0.021243763363782014,0.07484278131502428,,0.03716270020547715,
VEGFD,0.051648198035944934,-0.019721824781152864,-0.024635343258455976,,-0.011060657247509278,-0.025007592314372117,,-0.04666809359372824,,,-0.014716203317539792,-0.023669971356531472,,,
TNFSF13,,0.07578236104696699,-0.015252445333164728,0.11489141355219079,,,,,,-0.027681626828287682,0.030838969123430256,-0.0028210308764213218,-0.02728024775036323,-0.034960669756007604,0.012854395560409251
WNT5A,0.03144136001162034,-0.07462538729393794,-0.025381635937980634,-0.009125715883652456,0.028829734515887682,0.07133058513024393,-0.03940856770055825,0.0646158432624066,0.06675631597859658,-0.04431811734723013,0.026358025143303435,0.08989518539409838,-0.0035859555408703143,-0.006007483162650193,-0.06496941265136612
CXCL8,0.030683247258023735,-0.00766765148011026,-0.009641169419781104,-0.016323257685054004,0.0983217651657795,-0.014495936904850218,,-0.15891291829075438,0.07833181460394514,0.05269952522522552,-0.11775612714670684,0.037221980209900904,0.0006557633447441958,0.02248225488329665,-0.007884447691953466
GRN,-0.05546322903537342,-0.009707320072998588,0.04375518240612485,0.06588315288577283,-0.025371869191731188,-0.025972241558228755,0.0635105425269009,0.0034589019700820888,0.0664718977423189,0.02897540484574505,-0.01902081882130367,-0.05092996728490865,-0.011687665565639231,-0.009774784750618175,-0.03287538648378051
