,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk
IGFL3,,,,,,,,,-0.01271104751863827,,,,,,,,,,-0.03819874961551121,,,-0.04398633388179203,
BMP1,-0.0011857927161072629,0.013114861379380605,0.02723349704875953,-0.022693031459687273,0.0015803850339347215,0.0012720930264479573,0.03091652780565059,0.0785288715549489,0.08837016126940331,0.06611591798825117,0.1183214294492555,-0.013284167504120944,0.02552557825918203,0.011192916406761943,0.010028180696853713,0.03943367262605908,0.011684513384378734,-0.02251035869010501,0.04855393003031909,0.025803051963909685,-0.07289442436102495,0.05790475811883054,0.09994602997121547
NDP,0.06186306104144947,0.025259794766610784,0.02327249448898861,0.03369031017229225,0.055307290541262336,0.02397212929662729,0.019027772936577522,0.059186157075218064,0.014739831857270033,-0.056665150374251474,-0.010683491737406282,0.0025035602151689154,0.007921289233263278,0.08733286204216055,0.0493460530008057,0.0009348768931629157,0.08816324247777074,0.10654150668134432,0.07532493607323322,0.04763952154716704,-0.06495729587349897,0.07061316760568051,0.017809404749268804
TNFSF18,0.022430527352453294,0.04398632394552569,-0.02279344631140826,-0.01659650961869313,,,,-0.019423996627744775,0.07588672929434204,0.001181388707183571,,,,,0.05012410198472982,,,,0.002587333259961867,,-0.03264736228507756,0.03211519770993191,0.017239677169199715
IL36G,,,,,,,,,,,,,-0.01823410459524919,,,,,,,,,,
RTN4,0.014000586669132042,-0.0657917665834706,0.08614043489328412,0.0427645686600986,-0.026229238366509627,-0.04086248765373489,0.03291255879458384,-0.12579542077100583,-0.12527961225499734,-0.009712354909146358,-0.022474268987473914,0.07648951501604578,-0.07692807298733909,0.0645461335097248,-0.03239455704510379,-0.04879033324228609,-0.031068292164707915,-0.06041408043193236,-0.08953816463599892,0.0005968292254557872,0.08941789121755929,0.004658244840273256,-0.07813883045134921
HEBP1,-0.03437688658363743,0.007685426932686076,0.06373990395447586,1.979536434427257e-06,0.008398709516914436,-0.006125052615949081,0.00013263829258181883,0.08380998663663629,0.07347498750947246,0.02058028713835136,-0.021838961349556884,-0.036983887069312174,0.02927456051004676,-0.04266514514938231,-0.03239147804524379,0.00664355677608083,0.033678308851251296,-0.020103257010644245,0.09368632174325185,-0.016387986323789766,0.01199517987416832,0.015440632219052387,0.03676652277805576
WNT7B,0.01636577162179207,0.02395597232127203,-0.016677618904904455,-0.017638616045860457,-0.004989800175939957,0.006238787461990889,0.020286576497694213,-0.010843601253135214,-0.038364487066734655,-0.029491282559496866,-0.015748784286622713,,-0.0031415061109113167,0.059651239773630974,,-0.02399619854202114,-0.024802671669044075,0.018572770088929064,0.014185541842606982,0.04555548887868259,-0.032647328432215336,0.08467401768101934,0.19849210389352812
PTMA,-0.045258110259507024,-0.0036347358281900556,-0.02913698566117736,0.023642235572678274,-0.017216995904425943,0.03929002497419178,0.0013912663588122782,0.15538657291777486,-0.05091628007074298,0.003305503805775012,-0.006659150066618112,-0.04532334955045807,0.07554128104506945,-0.06208045726861975,-0.023077008661297926,0.012704131243762809,-0.007969951245299882,-0.01827087282131457,-0.1477205535281566,0.04137537401485958,-0.13171370873617733,-0.027990631458470704,-0.05986941517464986
FASLG,-0.030485240049927302,,,,,,,,,,,,,,,,,,,,,0.06404624687554879,
