,UKF255,UKF259,UKF266,UKF275,UKF313,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,,,,,0.013907426740210399,
BMP1,-0.0190893845743484,-0.02592449845263689,0.009249787671600493,0.01764709584756504,-0.049054588913780305,0.1293366175836101,0.06278334893112254,0.11670939837516106,0.019508687694163647,0.0450183696902234,0.04745001998022953,0.10788087092904132
NDP,0.14527366986902376,0.004463881954710768,-0.051183608555180296,0.02116717618383871,-0.017222300626956826,0.11641897404973213,0.10599744027700271,0.03960338584463344,0.037723699764726885,-0.04501199840887366,0.04044728479055534,-0.005938468311494491
TNFSF18,,,-0.011833032041088721,-0.0008524469815304324,,0.07996204365588255,,0.05168116684683162,,,-0.020087620092500934,-0.007591841886114624
RTN4,0.09077053256267123,-0.0024878446543367435,-0.055041218132757565,-0.025384382227371695,0.03750061069085944,-0.09125638041524245,-0.10557911764354316,0.031877595384495125,-0.012596897589625476,-0.032671761794772436,0.0016703083596702768,-0.0033760378051965736
HEBP1,0.03803353485458829,0.013724228082570337,0.07722337338681502,0.0365875016274141,0.010443809948079346,0.05718370930898127,0.09753063952855644,0.06916115091069176,-0.02389199137838969,0.007809133257318346,0.029881117409218814,-0.023943041596388017
WNT7B,0.06109273982709163,0.0076660671252584385,0.005078302609260497,-0.021910092686379563,0.0852867701559158,-0.04950010512330681,0.05313312672709768,,0.010652904200875205,-0.020366671197185545,0.06912079474136507,0.07617909858797026
PTMA,0.04001661849374529,-0.01979987455054539,0.08976361299292265,-0.05420000356133286,-0.03106965383927613,-0.025668530670111864,-0.09380767807236111,0.0319671112560297,0.02250903571661041,-0.005681652123481291,-0.07483848637366036,0.0037205869935804103
FASLG,,,,,,,,,,,0.12516465385747705,
CEACAM1,,-0.021108998105036487,,-0.024523525222484716,,,0.07852693729780987,0.03222012264976161,0.023154830600723045,0.0407114163546268,-0.052860042011435536,
PDAP1,0.03688887628579892,-0.007281109184483307,0.032843998134377876,-0.01162557359991864,-0.06795379760617357,0.13081257789896986,-0.11907077863838021,-0.044030422413136205,0.015680064940828273,0.01335660236253045,-0.0009743781908643515,0.05970507700713115
QDPR,0.059087108509124596,0.024599515177903968,-0.019602456387643352,0.00846452536966332,-0.04729477754785735,-0.008523629962745999,0.07432997925751307,0.030354428220131874,-0.026784172750924897,-0.0005123905086827136,0.0035874315761982396,-0.04073047519659768
POMC,,0.03470169172461036,0.039282752002310246,0.0017217405003825447,-0.03628815895048819,0.16698078267430388,-0.04084138112580245,-0.05965733642837268,-0.008279894404825891,-0.02211310926482989,0.02357251965683341,-0.027075768672938
CCL18,,,,,-0.025022527754252576,,0.0572467659032765,,-0.030245774378503797,-0.021064416826125174,,
CCL17,,-0.018818266919183216,,-0.021375960034212126,,,,,,,0.20084231956415782,
VEGFD,,0.05024832160514356,,-0.006760133942423421,-0.024517747079637695,,-0.0412757316976725,-0.015162047572699767,,,,
TNFSF13,,-0.03240171394912853,-0.011475572570123625,,,,,,,0.08538268141197887,0.0984871039082664,-0.013037206258370237
WNT5A,0.15652887153104186,-0.06282079177222175,0.1377485710664539,0.053455337648033445,-0.008500480216169283,0.04187077473717143,0.0917187234763808,0.011087491741758802,0.01136392642126054,0.022899642796364396,0.10262248108708974,-0.006156433097505497
CXCL8,-0.16174609252098898,0.05824162683697436,-0.016323257685054004,-0.02429029096770203,-0.02380563134934884,,-0.12370975375558217,0.03519713702023956,0.08978141770609599,-0.04169153540578009,-0.031078054812094445,-0.04092820688419992
GRN,0.13876898326642706,0.0012803219449815859,0.04062909479444377,-0.009208343925272039,-0.04939149880586939,0.06931107363382147,0.22036637417335364,0.020009607408004303,-0.03651430305026975,0.003150256561074036,0.14371690723172462,0.019957241578936954
MIA,-0.03558791233644535,-0.007099270726373808,0.12326531706017177,-0.04119660973267757,0.10496120570814961,0.1536647086604908,0.061193049985924175,0.008696217536246772,0.00696354066196245,0.06365783881612379,-0.045831116984898244,0.03966193131474561
COL4A4,0.03866392177197627,-0.002732932521680856,-0.010918500304904296,-0.032065043846361864,,,,-0.030430694661311538,0.17100268735736499,-0.02724274873318256,0.050806705688287386,-0.04169677795777688
TAC1,0.023413272740794015,0.0087037360606454,-0.06691354943743809,-0.04293863175468472,,,,,,-0.023321807337079642,0.03247795025877984,0.01336937808259798
RARRES2,0.02879918566003738,0.07633297451315754,0.06160636374286885,-0.013537864110795316,0.05484113869791198,0.08497527412875315,0.05706412395257757,-0.021102435214444482,0.11390313762890242,0.02625680272917539,0.10780558220990419,0.042191524758328866
FGF7,0.034564259107768495,0.03237062218804633,-0.01808950675969682,-0.004618304528904763,-0.05341950098333736,0.029471996818209292,0.11884747849985636,0.10374220575086265,0.040136989239015514,-0.0228291730168747,0.08386680564674465,0.08991396788905791
HBEGF,-0.029143630291292546,0.018439386092285223,0.06852137366779597,0.09601615851515057,0.029240096758251073,0.13892548157437717,-0.05764883455466149,-0.01210813792145218,0.06544442361576987,-0.03386485954742181,0.041601726598606635,0.14193224814322547
CSF3,-0.024972179082860892,0.0019306091393162341,,,0.08223459152703429,,,,,-0.01937940619822232,0.10054218578307554,0.013391656582921218
PI3,-0.09303657942541811,-0.018643951576461024,,,,,0.0063546675614361,,,0.030791931390918095,-0.07278809402329792,-0.010130789856560367
PCSK1N,0.1602857968543455,-0.009191242995225956,0.006284038599710247,0.033686510292815795,-0.022139283433809123,0.04681324239307094,0.024387885567684706,-0.02231866834693543,-0.052642457481079305,0.040943852293605684,0.083950271748982,-0.03330421833518275
NTS,,,-0.013329008099730009,0.01670106113957537,,,,,,-0.012356627360109115,0.001230514042420156,
SFRP1,,0.02183949105477596,0.05731263742227442,0.04495957195622764,-0.023230356851394653,0.0460301823134193,0.03880462363126427,-0.0959236678553598,-0.01721187215130745,-0.01781130383557236,-0.026944338443218946,-0.0012693882035115713
CXCL13,-0.008494402058155243,,,,-0.06933037999326935,,,,,0.006730334161476914,,0.07190074684902673
MICA,0.0006310148710518599,0.01453051796881838,-0.01448791499288041,0.03709288628616624,0.06948537162334792,0.11080507720502414,0.022461003184454712,0.11781351915446633,0.08522273467088473,-0.02953536389571427,0.12886115707309523,0.034707913322227085
TG,,0.0841093091779452,-0.015385189050564442,0.007474237999420168,-0.03588902809925132,-0.01906640702984087,0.13796359424468618,-0.019923151084026442,0.08235716170820548,-0.015949549096348537,0.0983476229172439,-0.028852327660865523
ADA,0.06864685225735499,0.043560719199055555,-0.03005647807470942,-0.030014363136116218,-0.08830827702897177,0.06594996629068962,0.14230290636546578,0.034174994148528155,0.09384352235564447,0.05871725924969338,0.04076754385251699,0.10727659915308373
LAMC3,0.04754701348003547,0.033242157112561885,-0.0002459507006047462,0.01666349579889294,-0.012911032401970906,0.04140769551611557,0.17976017532943744,0.1583924491303991,0.08561690280133519,0.04683774005596952,0.08704041827963765,0.03841964023125072
CCL7,,-0.0319790904113164,,,,,,,,,0.05543423417856539,-0.010129091621913928
NGF,,-0.0445739148617905,-0.014681596923855471,,-0.028009687431102697,,,0.013296491526964178,0.022712258129449815,-0.022109228914666375,0.04344433744581713,0.06917520647227987
TNFSF15,,0.040555295054373226,-0.017826677356944442,,-0.023456395343576467,0.009283704254998242,,0.008512881058505702,0.0796771723830055,0.04857244558541957,0.04728286664441089,0.08729126144119793
HMGB1,0.0861602327412728,-0.05059009998885398,0.03296414779231658,-0.05872915543280307,-0.03136680378504502,-0.08439611541107928,-0.07203264798237928,-0.028883820638044677,-0.0685726165853207,-0.021808122564552182,-0.16767552167911406,0.0034167188172660756
ITGB3BP,0.053411623015609845,0.001128967864033185,0.029755319370115017,0.004267468269585345,-0.018407041855417618,0.14891937219791138,-0.01519977820477692,0.11152166726981819,0.045157850504685244,-0.00928072948643644,0.011480165491156663,-0.0368369261541718
AANAT,,-0.032401717407301786,,-0.007919669285315447,,,-0.012006642093472266,,0.016414232618798204,,0.14741524269929748,-0.03806028900011891
RELN,0.04899401764936917,0.0019241326911003881,0.044548176277666274,-0.02175534393387654,,,,0.18160188121273924,,0.08610548135882876,,-0.005172995494254898
IL15,,0.03763443265270152,-0.012684740723188962,-0.017959001415956456,-0.0018976415029358542,0.04175926468979581,0.015103246836960408,-0.018503193383748628,0.02701582962436589,-0.01669499347765436,0.10357668424729216,0.01683725251884274
UTS2,,,,,,0.08805033941515465,0.06567407805686866,,,,,
BSG,-0.019416364776453927,0.010909839191538281,0.0042730568922064935,-0.007698726812782998,-0.008600760243531595,0.16614150676997372,0.07424507873577114,0.07171876868055113,0.06113948935730924,0.09559305188676281,0.09092274303016033,0.04249008158794387
ADAMTS3,,0.038465438164130575,-0.020431447769286053,-0.028758366476488027,-0.04602038318137329,0.16938434208281503,-0.039831999298714886,,-0.03772072756837707,0.01611312781938305,0.04921243004280991,0.015450650537735165
CD34,0.015293197371381989,0.03160199307171141,0.003978243781667889,-0.017309030302408924,-0.056888802033720834,0.008320782276921884,0.1451782451099751,0.13289530539383015,0.04813619558425928,0.031164350561629015,0.05550777222939308,0.07322238609917471
CCL23,,,,,,0.16667188157868912,,,,,,
