,MGH258,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007inf,ZH1019T1,ZH1019inf,ZH8812bulk,ZH881inf,ZH916bulk,ZH916inf
IGFL3,,,,,,,,0.0006830370448283291,,,,,,,,,-0.007007398815356028,,,
BMP1,-0.02371763868577692,0.011296523474243843,-0.005523820535731977,0.06862974646849515,0.015493409057456853,0.047559834752521374,-0.04294089156371816,0.12976930533731013,-0.0598138853157315,-0.009483937915375463,-0.07709295898678327,-0.081593162500084,-0.09298079273357607,-0.011971009599674594,-0.03578347470001883,0.06847556183532393,-0.024005910173748295,0.050994013629596456,-0.02802576863708469,0.10384844212048008
NDP,0.00651708510553745,0.005409109474109374,0.020213345219839078,0.06986596474709622,-0.028794770388550037,0.007267235901395369,0.10982021432930156,0.01521743560018925,0.058143960912417254,-0.020806440658405617,0.006044837200593319,-0.05718208855863968,-0.021045594988587536,-0.08961196786069299,0.14188527796814224,0.04107353991551526,-0.0685711012590002,-0.017186950226774102,0.06472999369717783,-0.01778660951423298
TNFSF18,0.09858003865650117,0.03014515647110763,0.020307898950087864,,,,0.008773581735301655,0.0597581314573776,-0.031672629617658994,,,,,-0.02525766494207288,0.07286734074960753,,-0.03801576675414283,-0.032647419746934685,0.005388241080488395,
IL36G,,,,,,,,,,,,,-0.01614023453322666,,,,,,,
RTN4,-0.024737943932628067,-0.0635180965798534,0.023909406098760824,0.021932820513816526,0.01474570036570547,-0.04316938328668626,0.1540772022820073,-0.16986105685071243,0.1503211923640461,-0.07435601266213825,0.10268034731992744,-0.011756041855897252,0.13119904841591135,-0.0064901458943342465,0.07800389173515233,0.023149883308832896,0.04019444374159524,-0.09332022592935972,0.10975525219239832,0.07249370972063571
HEBP1,0.020606303879594775,-0.015066841837175254,0.00539372946823778,0.07119077608278172,-0.026702985478899797,0.09684125027498064,-0.03193930925563619,0.05550454107399584,-0.04637835429889597,0.020984388554428066,-0.0063362945385799065,0.011958622155323216,-0.010091338376565583,-0.07867389204439085,-0.04387009629439463,-0.015226301658487961,0.014986325428377426,-0.06717429195663477,0.03687660330453173,0.05741641594621891
WNT7B,0.037643341153314254,-0.03830798848155597,-0.039466416329942085,-0.028180083613595797,0.03528059748840243,0.024930065733593895,0.11907791594172128,-0.1054716323274859,0.07650727703215304,-0.05483804225685142,,0.05839265665099444,0.058309851095122316,-0.027806223816483372,,-0.040737455215619306,0.05240119180050602,-0.03264738589401287,0.04356501086071599,0.018420271162814587
PTMA,0.07353931656452027,0.0432520942260536,-0.03588752679170543,0.11280035044001598,-0.003957567004285943,0.020084126585583815,-0.12166317915608249,-0.06446218701245499,0.03552626072412444,0.11566349002946817,-0.12886680466720365,0.01693852138445598,-0.08033364482392648,0.03685742581123753,-0.025840463271810988,-0.00513664953336342,0.0007278920212608975,0.06812731703764302,-0.03454310683451842,0.006586010322875847
FASLG,-0.02274567857782275,,,,,,,,,,,,,,,,,,,
CEACAM1,0.08530812343952829,0.06428004592189264,0.023074660992006144,,-0.03643741537844443,-0.06270408976616834,,0.01613647766064737,-0.019046448634997538,,,,,,-0.03363199907213383,0.0019075441010364834,-0.035547566377628126,,,
PDAP1,0.03099783205588043,0.023217062619490757,-0.013466269683467398,0.018193178489375933,-0.004550328870257794,0.001312521591778821,-0.03672431394179359,0.13197241959650555,-0.01635654062905702,0.00818354604044942,0.039727520160019,-0.030639630763249902,-0.0672687235695609,-0.04704142917043777,-0.021521397582836912,-0.045342329705071606,-0.02892331873543515,-0.01131260316834402,-0.0722770699246053,-0.129139430463368
QDPR,0.02763992824695587,0.046197334838198024,0.00772145060817637,0.11120608165576668,0.02876028217456886,-0.003197032229131141,-0.08800562197283375,-0.05974837786732916,0.061997888937731276,0.0325553708693503,-0.060285814200012514,0.051233677436346034,0.060529809420717756,-0.008652706500255576,-0.024764259361958262,-0.05133118402116983,-0.027535847551119604,-0.051429707602712676,0.09861457052813415,0.08512631158453837
POMC,-0.010448025301616945,0.00897890162426512,-0.01472716933104549,,0.04362436270508302,-0.030373395675518684,0.06373131724217551,-0.01456414872234944,0.0038586000807585147,-0.009993483485143794,0.0009655921739804658,-0.029118154210761776,-0.0028064883939677193,-0.06806858478420334,-0.007739599001846618,0.0195064271571801,0.06238732341651091,,0.116459292530863,0.14439128454459407
CCL18,,-0.020559911177114004,,,,,,,,,-0.03728413719793195,-0.02839127140660364,,,,0.002063006885400517,,,,
CCL17,,,,,0.014455536587807006,,,,-0.03164835051541415,-0.023749058711198274,,,-0.01474456246720559,,,,0.03521900522520753,,,
VEGFD,,-0.02055991770584877,0.029362066791785983,,-0.0077656235900530205,0.06476140414458502,,0.01037184520770053,-0.007781838054131992,0.030375151662682925,0.011036563642992393,-0.019673402041128912,0.005046629319681661,,-0.001756681771081072,,-0.05125929880232304,,,
TNFSF13,,0.00632762820169676,,,-0.024811273398932257,,0.007767372429595843,,,,,,,,,,-0.040844249611149006,,-0.04178128074198341,
WNT5A,-0.12615992508046936,-0.014577466081505846,0.0421914630594721,0.1122068018946762,0.06419417546067707,0.16220288367418506,-0.07918118399454331,0.13073577912323642,0.0248838548472764,0.06355672593880725,-0.007296505542312989,-0.08672345338836383,0.003542618747644131,-0.09400058911683888,0.022074716804262005,-0.06605698143021288,-0.05527220933411523,-0.010933004011437568,0.00039641679842656506,0.049984903068459534
