,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1019T1,ZH1019inf,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,,,0.08338203722029737,,,,,,,,-0.0019412761071034275,,,0.005368660516320108,,
BMP1,-0.05879237978263941,0.07780373599434211,0.00249841375386656,-0.06468496487358727,-0.030463354372132274,0.08472743452235829,0.07218622789819201,-0.026930629402598667,0.056373539073339446,-0.17624708468501557,0.026284449655715084,-0.059755149036985596,-0.05243863580873169,-0.1702160668100935,-0.014526016335796659,0.12062015327331102,-0.2301136025853759,-0.10709457995926756,0.030931880265643266,-0.04042223389174003,-0.06211583078159123,0.06788827899113203
NDP,0.06754721253102994,0.24156281536512275,0.03607650328163137,-0.004000819402897494,0.013671663771739418,0.1580606507811844,0.08875634344475151,0.02460413712949534,0.02755452597822858,0.08101022309059196,0.009481424520673205,0.18843216839693708,-0.000985121130545145,0.003821197692381284,0.23051940393991915,0.16786811005405514,-0.10248079258733789,0.15530199179826004,0.020205829178245694,0.2207569894001268,0.25616277952598465,0.08041067541976457
TNFSF18,0.05065816578800904,0.0307438192203561,0.0510683656151152,0.03858909908080366,,,,-0.04907056954999594,0.02204271951609621,-0.030013342121149048,,,,,0.0592966834925909,,-0.08699472054351556,,-0.018235795454869783,0.03821978728122224,-0.06311103690233792,
IL36G,,,,,,,,,,,,,,-0.03846370480521097,,,,,,,,
RTN4,0.07640092445973426,0.04958934151305173,-0.015069431492290364,0.06183210324219035,-0.06825195403758913,0.06796575683080529,-0.021787168378567787,0.04864538369071347,-0.14202080922619734,0.14168826593172554,-0.05338913747598277,0.05258782604981933,-0.019288767151432507,0.32062896473901725,0.08570181720612662,-0.07762713760202636,0.356645410615769,-0.02396247010367418,-0.028356005551300446,-0.12098951931380468,0.1604104946319081,0.006281954823271718
HEBP1,0.06416478388053276,0.0008139076818605284,0.046459328541737885,0.025647442608233817,-0.029313225668121678,-0.008032382374869883,0.042606810596875884,-0.052792474659133636,-0.009155186120531681,0.04824519839310053,0.011548598090320486,0.071225081508627,-0.07427869185332062,-0.03187563312324018,0.03989797748391008,0.0826045068457847,0.01624418459381005,-0.026922930075762963,0.11801656337274356,0.17160598349289904,0.04453470142036959,-0.07624594352563241
WNT7B,0.019883142979786876,0.17539994760452043,0.04990459875253476,0.02583662709058021,0.021033049994690772,-0.0826936877860426,0.053958044806178274,0.039058560729680426,-0.0767810953724551,-0.06492820750638693,-0.09269937989730456,,0.03217843078415676,0.08162489924399635,,-0.07770615225921716,-0.08200503041605152,0.0036655408047136058,0.047427313887135815,-0.0049473625976289935,0.1320018691090557,-0.04740601453160248
PTMA,0.02296746464830448,-0.2642272901274962,-0.02790210674338615,-0.019330606842608372,0.06775137508770994,-0.06618676569166808,-0.00010087383356562442,-0.13363778050333347,0.08816448431775713,0.12582376713599122,0.039759405618145185,0.01736048891729995,0.013894023354779928,-0.3085716144208734,-0.07923838759586568,-0.12943441638293582,0.335953599391867,-0.11483805460234427,0.10754774196616208,-0.1753717986264786,-0.12556358778641918,0.08459574237515381
FASLG,0.015830744719640154,,,,,,,,,,,,,,,,,,,-0.03395779990644678,,
