,MGH258,UKF243,UKF248,UKF259,UKF260,UKF266,UKF275,UKF296,UKF304,UKF334,ZH8811Abulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,,,,,,-0.01754336993383012,,0.08845949193564298,
BMP1,-0.015194400738453618,0.046708126534375144,0.0016436637413042132,0.02993738488121306,0.026833439702241866,-0.0038665345602503,0.004573938338708079,0.03611912061218714,0.01645793216360964,0.047236882118306615,-0.01605429429662796,-0.00791916220416431,-0.03357835612668535,-0.018872588812179163,0.06323470809924431
NDP,0.0343573499540805,0.016917712507817824,0.03527725125249137,-0.056882495784993575,0.11476490359033614,0.014261588623860547,-0.007724661121817279,-0.008937537537319596,0.014401198334693017,0.127911278363442,0.05453133649475076,0.03597618958402567,-0.04164962999720631,0.019789431005143684,0.0503455565682149
TNFSF18,-0.021153802866917593,-0.007983491565785142,-0.029141448206130814,,,-0.01538394168690505,-0.012622089446573373,,,,,-0.018092167754094952,,-0.010117890671374379,0.04142523546235773
IL36G,,,,,,,,,,-0.01729702517928647,,,,,
RTN4,0.012232982399194134,0.04196686262791546,0.04063289640077891,-0.036387406645307485,0.06056713678474913,-0.0353091823699051,0.015560059251512567,-0.008242406302270727,-0.003104227449279401,-0.05080762775590946,-0.04723811487861971,0.06520329139991173,0.023920899830583674,0.050135834666666775,0.06485564413945985
HEBP1,-0.009481380894245887,0.03322962556227834,-0.06548881945896474,0.03838773722356411,-0.029053613711137315,-0.08054741067050994,0.020659397921620193,-0.00043450724717126576,0.11295959759894517,0.021032952911835073,-0.01754209016844199,0.11177902684677553,0.05243312201063662,-0.0011155556676239796,0.03381530880563773
WNT7B,-0.018635837770224307,0.02540831037559123,0.006286735657672865,-0.005956102989218774,0.01516099557045013,0.06701526093465021,-0.020970542682195177,-0.026704980576937775,,0.07111385228724439,-0.0055307286063969,-0.024430871423689764,0.010540836323621308,0.07388748760238113,0.06605878572229865
PTMA,0.050404899953904465,0.005668631721275782,-0.008984741750862883,0.0036734305933299543,-0.026092601178447583,-0.01871036493807901,0.037432907793118704,0.04839194905983426,0.015544091940317516,0.010646769042167563,-0.01676306790026047,0.045739180245665756,0.03935868249800173,-0.08947888612359471,-0.04060897018091624
FASLG,-0.018635843038527902,,,,,,,,,,,,,-0.013629410375700333,
CEACAM1,0.011250074889142248,,0.057197373899476385,-0.017074615303725164,0.13404488133828363,,-0.01985153968813039,,,,-0.017930268244172303,0.011758103640637212,0.03360030385723347,0.11336249594531153,
PDAP1,-0.027817033881386028,-0.06004594012463672,-0.01866378836699176,-0.022920278911761807,-0.026063351732760594,0.04858860312630499,0.04555434098303908,0.0015399601639926445,0.029332407313758756,0.03964201122276297,-0.03452953926859599,-0.07504745481357492,-0.007254663651583755,-0.01031584517521228,-0.04332613196371595
QDPR,0.08022983506226952,0.0012322384954254967,0.01737585462198556,-0.019925059967709203,0.07679459003845633,0.035245957447763605,0.01771991786690232,0.018930835398720435,0.056080885018774784,-0.029710077398539633,0.03292601117148027,0.04721586272804995,-0.02216452576297095,0.03711962968600628,-0.0011220880718575822
POMC,0.01628848260936525,0.07297252714702399,0.07864325176411051,-0.041954505493533835,0.102699258490164,-0.00037410883958166076,0.003907050429522084,0.03598366117127931,0.022728901979695907,0.010342476159124809,0.015950272716798827,0.03526218154088294,-0.024834246138725837,0.016387055013622566,0.012196208594343078
CCL18,,0.023422267335471796,-0.023145818496071315,,,,,,-0.006191859330964687,,-0.019637074235368913,,-0.052279765501665285,,
CCL17,,,,0.05253532385819816,,,-0.01574220298520926,0.04774555554471961,,-0.015801323563656537,-0.012720657469862598,0.022494380635778296,,-0.012353529655392824,
VEGFD,,-0.014637251553054604,0.03535605095324491,0.010496812400205663,-0.016059728708099023,,-0.0006466697412423038,-0.024244980461833637,-0.02186476908546217,-0.016934767882886705,,0.01705478539645076,,,
TNFSF13,,,-0.017466582928550547,-0.018012063125314434,,0.03355805159950807,,,,,0.011276245075953473,-0.004849226982507506,-0.017047330924843923,0.0002612091615330239,-0.05571220937336014
