,MGH258,UKF243,UKF248,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk
IGFL3,,,,,,,,0.04524875851693164,,,,,,,,,,,,-0.0177712249075508
BMP1,-0.04300288858106559,0.06271740405776874,0.07782569437792491,-0.017864993173158972,-0.0192804543570579,0.034822151068451754,0.065797767407253,0.05629309180612777,-0.02436129469386117,0.0017361634344943361,0.05585497317628284,0.11819365746077529,0.06930696284880847,-0.043302728412473394,0.06937699151871021,-0.03728648058377778,0.1384087858902199,0.021721189700234726,-0.07787086358733764,0.05892606854319314
NDP,-0.0015707356531599148,-0.04611212863574379,0.04305684719190379,0.001971271304460357,0.035586494043147274,-0.05157494457873476,0.02637728281446993,-0.01951199606977788,0.005111274032233248,0.01395486257603163,0.06794925595276591,-0.044372887400996985,0.03079484064230158,0.007892712351024123,0.15057712089685962,-0.04075931233653315,0.06451742146502701,0.002942974971721113,0.05699056447099377,0.12500495132189524
TNFSF18,-0.018422630021064774,-0.02310634497705996,0.00803614953526472,,,,0.039470140937861505,0.019691420803491892,-0.012490943908080629,,,,,0.025413591379241634,,0.004362703685506402,,,,-0.01832715056661662
IL36G,,,,,,,,,,,,,0.06651976871893484,,,,,,,
RTN4,-0.06492094397749097,0.046022351210588765,-0.018759936677087922,0.0638449705978994,-0.007132077067678061,-0.060738551410732367,-0.06349099279008884,-0.08166748709932098,-0.057611012645897616,-0.0184330943026359,0.02014666215560909,-0.017452653717932805,-0.06875943441279057,0.03309481556630243,-0.013734788282857026,-0.06191445067403915,-0.006452071519030167,-0.03881707450314096,-0.01039950540078348,-0.09754506114395195
HEBP1,-0.007636124556074575,0.05717535010658627,0.012857684108270592,0.03274184156790852,0.024834143886327615,-0.04330195030760987,0.008385452789416511,-0.012919340510609776,0.030793394169302404,0.04962341544107304,0.061628738533436624,-0.005483000657784951,-0.019584686512875454,-0.06734472369882591,-0.04560022576719049,0.0015776158663415188,-0.015599580892147231,0.027160376032470426,0.018706775118764195,-0.014221121012811025
WNT7B,-0.01622976003574027,0.020491084817431518,-0.008473702103290223,-0.0348453325502421,-0.02697617800253322,-0.07072238535711137,-0.015465038389840816,-0.054765934303476815,0.029989493260971334,0.00958689083334079,,0.050220624802483994,0.014547944612875383,-0.030160585187633468,-0.042429352395399744,,-0.028190394697993552,-0.020010872851875278,0.10241533924016333,-0.03832355446269771
PTMA,0.00021392144997381385,-0.0040910693296611605,-0.05532118940083625,-0.01821156628291751,0.04204387300496152,-0.0314900290675861,0.09897368378374032,-0.0756211306375718,-0.03722992283705603,-0.016270036847266908,0.016887818223600144,0.015707591773789362,0.06758799148887498,0.028542696963580506,-0.010865362609984492,-0.035132250753025715,-0.13398725556802546,-0.022768212793547443,-0.023617631320382398,-0.0929091099598122
FASLG,-0.016229764623851856,,,,,,,,,,,,,,,,,,,
CEACAM1,-0.022535170218041748,,-0.03473118505484407,,-0.011823037369966228,0.08220808745973847,,-0.010952460291200646,0.05275044313167093,,,,,,0.018209593585872125,-0.03381211949561691,-0.003834916386725261,0.011594141234273702,-0.018461209559666597,0.04824176358577469
PDAP1,0.01023169431691096,-0.06880192491597782,-0.054565228503192294,0.026249246334275726,-0.0384619599048267,-0.003054134507933049,0.06664465271607614,0.046204495924708294,-0.025444527264239725,0.022860672178084764,-0.004862117343574788,-0.005152455893908907,0.02683816600226341,0.0677741219698558,0.16671047222163993,0.03168490103163263,-0.0341659243694099,-0.08757482956026846,-0.01387521372573901,0.023151322672525752
QDPR,-0.08111432227016437,0.07506704614637778,0.009615414091844993,-0.05998844728797289,0.0139054704794853,-0.04213363967971235,-0.015500291339122204,-0.05665526812295786,-0.041200216506352735,0.004563043439947059,0.05240354012043396,-0.007951734184735973,0.03964974962002002,0.040812683322827475,0.07499317034668804,0.041958206048571305,-0.161704885665316,-0.010362388700761177,0.056278889099611616,-0.10468545140356184
POMC,-0.011815460571657239,0.022134762539671622,0.006212724025986329,,0.023800499001381197,-0.008323638428308414,0.04397144072745302,-0.021125316111457196,-0.014493503550359891,0.010797866930999253,0.0540701581490786,0.044196831332889014,0.0188005384707311,-0.07383197242225377,-0.08355773122848396,0.024041553183310943,-0.012435383333230219,0.008016614020634118,0.004421225503302212,0.08536169921203478
CCL18,,-0.030987508515581942,-0.043341237406213096,,,,,,,,-0.05573838182323524,-0.011185022840300039,,,0.00767949862768468,,-0.028359633316261488,-0.02332060395516995,0.03684430806911981,
CCL17,,,,,-0.018054781324662213,,,,-0.015578638965456745,-0.015806278552923856,,,-0.02135431044657066,,,,,-0.016913324213211917,-0.026649914983663862,0.018505129563335665
VEGFD,,-0.03491386492076096,-0.010831537259668995,,-0.020115020180128562,-0.028814067551851535,,0.03107767824865779,-0.01659772215828167,-0.01159409647062244,-0.027377727335106163,-0.015266417781685951,-0.02288607591983852,,0.02324833020823847,0.02787410560129247,,,0.0035607656063592016,-0.024711770070690177
TNFSF13,,,-0.0015845476805015806,,-0.012453784079814163,,-0.013383894438469646,,,,,,,,,,,0.0485281542247462,0.0005958514302583578,-0.025126002579552408
WNT5A,0.01344005519342211,-0.04350673596220114,0.024833559449329985,0.06734994721904429,0.03493440876184668,0.07044956363206727,0.05864794318242043,0.060210006429770375,-0.02864901412543546,-0.01441847693182737,-0.001724085253034182,0.07342421483455466,0.00412120788377504,-0.006056550761520375,-0.0019097082149015152,-0.05251816610513827,0.06364484221355116,0.026385690506808935,0.005208617750035589,-0.017618131882147423
CXCL8,,0.023234512900641463,0.012043298236842534,-0.07963360502645099,0.05069601504731211,0.024761089327085754,-5.1212801519117e-05,0.10064386038932072,0.060993872637016874,-0.010796926761518036,-0.04539744298171285,0.02322499975549709,-0.0099989903994839,,-0.20034091163650664,0.14109283961014896,-0.008139759386673646,0.0011893404824379905,-0.054097807796824895,0.07411717737655152
GRN,-0.07804799486370288,0.04922916534001222,0.0434455698807025,0.011280076848631037,-0.04309426717053745,0.02475324954263113,0.06253610572406,0.036993537772526355,-0.013568043499254395,0.03533683118811859,-0.046311351661362375,0.02168788425661452,0.047907781551070616,0.05968718272659656,-0.05159765535520956,-0.013459049251987577,0.03278727498974768,-0.049622571747150394,-0.05457733067953302,0.06156072499169761
MIA,-0.021243362040474525,0.008823991852570346,-0.03623300864422245,-0.046436963771658964,-0.03801731235400848,0.040848305011830156,0.0072081417009991575,-0.016019422801491302,-0.0017327123198232304,-0.01318584304135159,,-0.020704005168487572,-0.031343529785242,-0.012166998550738547,-0.029251526161832624,-0.03676258534652034,0.05234057233744695,0.13157273682219783,0.12616505547374288,0.12075662484121284
COL4A4,0.005539003841938558,0.03544681347267523,-0.037783063187834295,-0.01961253726535891,0.06246878634346099,0.0374015209796356,-0.012734184252181806,-0.013038938378821755,-0.016264581062330172,0.03023886534846771,,,-0.03040438670838068,,,-0.028699899757884346,0.04367286777332173,0.012600203938594925,0.12644386013521988,-0.03609253474273615
TAC1,-0.016229755793904715,0.03810379233635351,0.07697507314613256,-0.0654870442595234,0.038873269588091876,-0.002263676879511722,-0.03538541710018991,-0.050734159972467045,-0.0016842617804148777,-0.016368971578895365,0.02633991849168225,,-0.038949128913808986,,,,,,,
